time,open,high,low,close,volume
1157,457.155,457.38,457.03,457.38,2656
1158,457.44,457.525,457.29,457.33,1225
1159,457.38,457.55,457.31,457.34,1640
120,457.345,457.65,457.345,457.56,1872
121,457.51,457.72,457.45,457.7,2007
122,457.65,457.82,457.64,457.82,2761
123,457.905,458.15,457.88,458.01,1886
124,458.04,458.3,458.04,458.27,4461
125,458.12,458.17,457.81,458,2941
126,457.88,458.005,457.88,458.005,606
127,457.96,458.14,457.92,458,2123
128,457.9,457.9,457.51,457.58,2100
129,457.67,457.69,457.54,457.69,1503
1210,457.6,457.6,457.42,457.42,549
1211,457.45,457.51,457.21,457.21,2672
1212,457.38,457.63,457.38,457.51,1583
1213,457.56,457.62,457.5,457.58,990
1214,457.54,457.54,457.24,457.4,924
1215,457.52,457.6,457.52,457.6,300
1216,457.51,457.51,457.36,457.36,818
1217,457.33,457.43,457.3,457.3,659
1218,457.32,457.4,457.32,457.4,605
1219,457.43,457.43,457.34,457.41,1350
1220,457.4,457.63,457.4,457.53,837
1221,457.47,457.48,457.08,457.17,1416
1222,457.48,457.55,457.48,457.55,404
1223,457.64,457.73,457.64,457.7,1001
1224,457.76,457.85,457.75,457.8,1638
1225,457.88,457.98,457.875,457.98,1224
1226,458.01,458.045,457.83,457.92,3917
1227,458.01,458.01,457.72,457.72,2167
1228,457.62,457.77,457.62,457.76,1906
1229,457.77,457.77,457.72,457.72,335
1230,457.61,457.79,457.61,457.76,1320
1231,457.75,457.8,457.75,457.75,909
1232,457.74,457.74,457.5,457.55,958
1233,457.51,457.59,457.5,457.59,945
1234,457.36,457.45,457.33,457.45,1133
1235,457.55,457.57,457.21,457.26,1438
1236,457.2,457.38,457.2,457.3,987
1237,457.27,457.41,457.24,457.41,782
1238,457.33,457.36,457.17,457.36,1164
1239,457.27,457.44,457.27,457.44,1487
1240,457.36,457.53,457.28,457.46,1009
1241,457.46,457.46,457.23,457.34,705
1242,457.42,457.42,457.42,457.42,755
1243,457.61,457.69,457.61,457.65,1299
1244,457.6,457.63,457.56,457.59,1321
1245,457.6,457.63,457.49,457.49,728
1246,457.62,457.88,457.62,457.88,1089
1247,458.06,458.06,457.93,458,1972
1248,458.01,458.05,457.93,458.03,1330
1249,457.92,458.065,457.92,457.98,1677
1250,458.115,458.31,458.1,458.15,1708
1251,458.15,458.44,458.15,458.32,1036
1252,458.33,458.51,458.33,458.51,1100
1253,458.4,458.44,458.29,458.44,815
1254,458.53,458.56,458.49,458.56,407
1255,458.5,458.5,458.18,458.18,1582
1256,458.15,458.365,458.13,458.27,2321
1257,458.28,458.28,458.26,458.28,552
1258,458.36,458.7,458.36,458.7,862
1259,458.55,458.55,458.43,458.53,2186
130,458.8,458.8,458.61,458.61,1252
131,458.53,458.58,458.49,458.58,654
132,458.78,458.94,458.78,458.86,1019
133,458.89,459.13,458.88,459.05,2160
134,459.05,459.08,458.76,458.77,1139
135,458.78,458.82,458.56,458.56,980
136,458.64,458.769,458.64,458.65,1416
137,458.67,458.79,458.67,458.79,890
138,458.82,458.829,458.79,458.82,669
139,458.83,459.02,458.83,458.89,1575
1310,458.85,458.89,458.72,458.72,659
1311,458.99,459.1,458.97,458.97,847
1312,458.95,458.95,458.7,458.915,966
1313,458.93,459.01,458.93,458.965,1139
1314,458.83,458.89,458.7,458.79,1583
1315,459.04,459.04,458.95,458.99,848
1316,458.95,459.06,458.935,459.06,516
1317,458.94,458.99,458.77,458.85,1320
1318,458.83,458.83,458.8,458.83,530
1319,458.92,458.93,458.92,458.93,434
1320,458.9,458.9,458.58,458.58,543
1321,458.58,458.58,458.58,458.58,134
1323,458.54,458.55,458.52,458.52,570
1324,458.57,458.61,458.51,458.54,808
1325,458.51,458.51,458.24,458.24,1377
1326,458.12,458.19,458.12,458.12,1080
1327,458.23,458.23,457.87,457.98,2018
1328,457.82,457.82,457.65,457.65,922
1329,457.52,457.86,457.52,457.86,1834
1330,457.61,457.94,457.61,457.83,1330
1331,457.59,457.6,457.35,457.35,827
1332,457.26,457.7,457.25,457.61,1752
1333,457.54,457.75,457.54,457.73,1187
1334,457.61,457.61,457.55,457.57,524
1335,457.64,457.64,457.27,457.27,1337
1336,457.29,457.61,457.29,457.61,985
1337,457.56,457.56,457.35,457.35,1309
1338,457.29,457.49,457.29,457.49,463
1339,457.735,457.735,457.735,457.735,536
1340,457.65,457.84,457.65,457.84,541
1341,457.81,457.85,457.81,457.85,535
1342,457.99,458,457.99,458,232
1343,458.09,458.09,458.09,458.09,306
1344,457.86,458.05,457.86,458.05,746
1345,458.21,458.24,458.2,458.24,451
1347,458.07,458.15,458.07,458.15,318
1348,458.22,458.22,458.22,458.22,257
1350,458.16,458.16,458.03,458.1,510
1351,458.24,458.24,458.24,458.24,109
1352,458.09,458.09,458.09,458.09,456
1354,458.36,458.45,458.33,458.33,432
1355,458.33,458.33,458.04,458.06,645
1356,458.11,458.12,458.11,458.12,630
1357,458.25,458.26,458.25,458.26,344
1359,458.38,458.38,458.38,458.38,136
140,458.57,458.57,458.57,458.57,330
141,458.7,458.7,458.67,458.67,333
142,458.58,458.58,458.58,458.58,164
143,458.715,458.825,458.7,458.825,502
144,458.92,458.92,458.9,458.9,565
145,458.89,459,458.89,459,423
146,459.14,459.14,459.14,459.14,252
148,459.305,459.36,459.305,459.345,715
149,459.375,459.375,459.375,459.375,250
1410,459.44,459.84,459.44,459.84,401
1411,459.9,460.07,459.9,460.07,1156
1412,460.33,460.44,460.33,460.44,779
1413,460.28,460.28,459.68,459.72,1857
1414,459.78,459.98,459.78,459.98,839
1415,459.815,459.815,459.815,459.815,337
1416,459.805,459.805,459.69,459.69,317
1417,459.795,459.875,459.795,459.875,347
1418,459.975,460.02,459.975,460.02,557
1419,460.01,460.01,460.01,460.01,218
1420,459.86,459.86,459.715,459.74,717
1421,459.9,459.945,459.9,459.945,209
1422,459.915,460.16,459.915,460.16,574
1423,460.16,460.3,460.16,460.3,768
1424,460.45,460.485,460.45,460.475,815
1425,460.43,460.43,460.22,460.22,617
1426,460.12,460.125,460.12,460.125,678
1427,460.08,460.13,460.08,460.13,532
1428,460.15,460.18,460.12,460.145,605
1429,460.05,460.18,460.05,460.18,2615
1430,460.24,460.48,460.24,460.48,1123
1431,460.51,460.86,460.51,460.66,1697
1432,460.715,460.72,460.715,460.72,213
1433,460.49,460.54,460.43,460.49,1019
1434,460.53,460.59,460.53,460.59,302
1435,460.665,460.665,460.58,460.58,805
1436,460.55,460.77,460.52,460.76,1082
1437,460.67,460.67,460.67,460.67,282
1438,460.48,460.48,460.42,460.42,202
1439,460.645,460.67,460.645,460.67,382
1440,460.55,460.55,460.55,460.55,181
1441,460.29,460.32,460.02,460.09,787
1442,459.965,460.005,459.96,460,1006
1443,459.99,459.99,459.77,459.93,536
1444,459.85,459.85,459.85,459.85,217
1445,459.81,459.9,459.81,459.81,405
1447,459.559,459.76,459.559,459.76,350
1448,459.56,459.56,459.51,459.51,363
1449,459.66,459.68,459.47,459.47,524
1450,459.42,459.43,459.31,459.43,531
1451,459.535,459.84,459.535,459.84,702
1452,459.84,459.84,459.69,459.69,333
1453,459.68,459.75,459.68,459.75,469
1454,459.89,460.01,459.89,460.01,388
1455,460,460.13,460,460.13,971
1456,460.19,460.26,460.165,460.26,683
1457,460.27,460.28,460.18,460.28,827
1458,460.29,460.29,460.29,460.29,430
1459,460.21,460.23,460.21,460.23,363
151,460.2,460.2,459.9,459.9,725
152,459.85,459.9,459.85,459.9,210
153,459.63,459.65,459.545,459.545,419
154,459.635,459.635,459.4,459.4,313
155,459.51,459.51,459.51,459.51,179
156,459.52,459.52,459.52,459.52,155
157,459.42,459.45,459.42,459.425,436
158,459.21,459.21,459.16,459.16,1018
1510,459.17,459.17,459.155,459.155,404
1511,458.9,458.9,458.9,458.9,162
1513,458.78,458.83,458.78,458.83,224
1514,458.71,458.71,458.64,458.695,602
1515,458.85,458.9,458.73,458.9,549
1516,458.89,459.42,458.89,459.42,1067
1517,459.35,459.35,459.185,459.19,400
1518,459.2,459.2,459.05,459.09,325
1519,459.22,459.22,459.22,459.22,406
1520,459.13,459.13,459.13,459.13,200
1521,459.05,459.315,459.05,459.285,1530
1522,459.14,459.14,459.14,459.14,109
1523,459.25,459.25,459.25,459.25,154
1524,459.41,459.41,459.35,459.35,559
1525,459.54,459.54,459.52,459.52,238
1526,459.35,459.35,459.35,459.35,120
1527,459.32,459.57,459.31,459.56,935
1528,459.69,459.75,459.66,459.75,721
1529,459.69,459.69,459.64,459.69,467
1530,459.725,459.73,459.65,459.65,606
1531,459.74,459.84,459.72,459.78,1132
1532,459.8,459.82,459.52,459.52,980
1533,459.53,459.62,459.49,459.57,2050
1534,459.57,459.57,459.48,459.515,1749
1535,459.71,459.74,459.71,459.74,695
1536,459.8,460.035,459.8,459.97,2663
1537,460.005,460.02,459.94,460.015,1144
1538,459.995,460.03,459.995,460.03,627
1539,460.06,460.18,460.06,460.16,785
1540,460.14,460.2,460.07,460.195,963
1541,460.215,460.28,460.185,460.28,1305
1542,460.385,460.48,460.34,460.34,1533
1543,460.36,460.36,460.23,460.26,922
1544,460.245,460.245,460.15,460.18,1282
1545,460.07,460.1,459.95,460.05,1651
1546,459.74,459.89,459.73,459.82,1011
1547,459.92,459.92,459.86,459.88,820
1548,459.81,460.04,459.76,459.98,1913
1549,459.96,460.01,459.93,460.01,740
1550,460,460.45,460,460.275,4146
1551,460.275,460.275,459.96,460.08,2102
1552,460.06,460.075,459.98,459.98,1248
1553,460.075,460.075,459.92,459.96,1464
1554,459.955,460.05,459.3,459.3,4239
1555,459.09,459.27,459.03,459.27,1718
1556,459.285,459.285,458.9,458.96,1618
1557,458.94,458.94,458.65,458.86,2655
1558,458.6,458.68,458.43,458.64,2010
