time,open,high,low,close,volume
1537,12.28,12.28,12.27,12.275,600
1538,12.29,12.29,12.29,12.29,250
1541,12.295,12.305,12.295,12.305,400
1542,12.32,12.32,12.32,12.32,900
1543,12.31,12.31,12.31,12.31,200
1545,12.32,12.32,12.32,12.32,800
1546,12.33,12.33,12.32,12.32,400
1547,12.32,12.32,12.32,12.32,332
1548,12.32,12.32,12.32,12.32,532
1549,12.31,12.31,12.29,12.29,400
1550,12.31,12.31,12.305,12.305,800
1551,12.29,12.29,12.27,12.27,1000
1552,12.28,12.28,12.27,12.27,1200
1554,12.24,12.24,12.235,12.235,600
1555,12.255,12.255,12.255,12.255,400
1556,12.255,12.26,12.255,12.255,800
1557,12.265,12.265,12.265,12.265,200
1558,12.255,12.255,12.25,12.25,1422
1559,12.24,12.26,12.24,12.26,4118
938,12.345,12.345,12.345,12.345,200
1018,12.225,12.225,12.225,12.225,400
1024,12.27,12.27,12.27,12.27,200
1028,12.27,12.27,12.27,12.27,420
1040,12.09,12.09,12.09,12.09,200
1041,12.1,12.1,12.1,12.1,248
1055,12.275,12.275,12.275,12.275,200
112,12.23,12.23,12.21,12.21,400
1112,12.195,12.195,12.195,12.195,200
1119,12.265,12.265,12.26,12.26,400
1120,12.26,12.26,12.26,12.26,200
1129,12.25,12.25,12.25,12.25,268
1130,12.25,12.25,12.25,12.25,400
1132,12.225,12.225,12.225,12.225,200
1134,12.25,12.25,12.25,12.25,200
1138,12.21,12.21,12.21,12.21,290
123,12.225,12.225,12.225,12.225,200
1211,12.21,12.21,12.21,12.21,200
1216,12.23,12.23,12.23,12.23,200
130,12.21,12.21,12.21,12.21,220
1343,12.18,12.18,12.18,12.18,200
1423,12.24,12.24,12.24,12.24,200
1440,12.25,12.25,12.25,12.25,200
1449,12.23,12.23,12.23,12.23,200
150,12.22,12.22,12.22,12.22,266
1520,12.26,12.26,12.26,12.26,258
1523,12.24,12.24,12.24,12.24,226
1533,12.24,12.24,12.23,12.23,400
1538,12.225,12.225,12.225,12.225,1338
1541,12.23,12.23,12.23,12.23,208
1542,12.23,12.23,12.23,12.23,336
1544,12.23,12.23,12.23,12.23,370
1545,12.215,12.215,12.215,12.215,580
1548,12.23,12.23,12.23,12.23,200
1552,12.24,12.24,12.24,12.24,200
1554,12.25,12.25,12.25,12.25,236
1555,12.27,12.27,12.27,12.27,458
1556,12.29,12.29,12.29,12.29,412
1557,12.275,12.28,12.27,12.275,4800
1558,12.275,12.315,12.275,12.31,7982
1559,12.305,12.31,12.3,12.3,4540
932,12.225,12.225,12.225,12.225,202
951,12.21,12.24,12.21,12.24,648
959,12.17,12.17,12.17,12.17,416
103,12.19,12.19,12.19,12.19,200
104,12.185,12.185,12.185,12.185,200
1011,12.24,12.24,12.24,12.24,216
1014,12.36,12.36,12.36,12.36,200
1020,12.38,12.38,12.37,12.37,458
1023,12.44,12.44,12.43,12.43,400
1026,12.395,12.395,12.395,12.395,400
1035,12.415,12.415,12.415,12.415,200
1039,12.44,12.44,12.44,12.44,200
1048,12.43,12.43,12.43,12.43,350
1049,12.52,12.52,12.52,12.52,200
1051,12.52,12.52,12.52,12.52,200
1058,12.57,12.57,12.57,12.57,266
117,12.5,12.5,12.5,12.5,420
