time,open,high,low,close,volume
938,112,112,112,112,100
942,112.37,112.37,112.37,112.37,100
943,112.42,112.42,112.42,112.42,100
951,109.5,109.5,109.46,109.46,581
952,108.58,108.58,108.43,108.43,678
953,109.015,109.015,108.43,108.43,527
954,108.13,108.13,108.13,108.13,289
955,107.87,107.87,107.81,107.81,248
958,108.81,108.81,108.81,108.81,100
101,109.51,109.51,109.51,109.51,148
102,109.51,109.51,109.51,109.51,113
104,109,109.21,109,109.21,200
105,109.08,109.33,109.08,109.33,300
106,108.23,108.23,108.23,108.23,100
107,107.02,107.02,107.02,107.02,334
108,107.46,107.475,107.46,107.475,319
1014,108.28,108.28,108.28,108.28,100
1019,107.14,107.14,107.14,107.14,100
1021,107.48,107.48,107.28,107.28,200
1027,107.23,107.23,107.23,107.23,100
1029,106.58,106.58,106.27,106.27,200
1031,106.86,106.86,106.86,106.86,100
1032,106.61,106.61,106.61,106.61,206
1033,106.285,106.285,106.285,106.285,165
1035,106.14,106.15,106.14,106.15,224
1038,105.86,105.86,105.62,105.62,204
1039,105.66,105.66,105.5,105.5,200
1040,105.58,105.655,105.58,105.655,867
1050,106.49,106.52,106.49,106.52,306
1055,107.409,107.409,107.409,107.409,100
110,108.4,108.4,108.4,108.4,100
111,108.579,108.579,108.579,108.579,100
115,109.18,109.18,109.18,109.18,100
1110,108.64,108.64,108.64,108.64,100
1113,108.78,108.78,108.78,108.78,100
1122,108.86,108.86,108.86,108.86,100
1132,107.74,107.74,107.74,107.74,100
1133,108.23,108.23,108.22,108.22,308
1145,109.315,109.315,109.315,109.315,138
1155,110.37,110.37,110.37,110.37,200
1157,110.939,110.939,110.939,110.939,100
1158,111.35,111.35,111.35,111.35,105
124,111.13,111.13,111.13,111.13,200
1211,110.79,110.79,110.77,110.77,314
1214,111.34,111.34,111.34,111.34,100
1215,111.04,111.04,111.04,111.04,100
1220,111.25,111.28,111.25,111.28,300
1242,111.25,111.25,111.25,111.25,100
1258,110.26,110.26,110.26,110.26,100
1259,110.46,110.46,110.46,110.46,100
1325,111.03,111.03,111.03,111.03,100
1330,110.89,110.89,110.89,110.89,100
1335,111.44,111.44,111.44,111.44,110
1337,111.3,111.3,111.3,111.3,100
1352,111.13,111.13,111.13,111.13,100
1355,111,111,111,111,130
1359,110.36,110.36,110.36,110.36,105
143,110.17,110.17,110.17,110.17,105
149,111.03,111.03,111.03,111.03,100
1519,110.65,110.65,110.65,110.65,100
1521,110.62,110.62,110.62,110.62,106
1527,111.22,111.22,111.22,111.22,105
1537,111.08,111.08,111.08,111.08,105
1539,110.995,110.995,110.995,110.995,103
1541,110.935,110.935,110.935,110.935,106
1544,111.375,111.375,111.375,111.375,110
1546,111.48,111.48,111.48,111.48,106
1551,111.835,111.835,111.835,111.835,168
1553,111.555,111.555,111.555,111.555,123
1556,111.375,111.375,111.375,111.375,105
1558,111.415,111.415,111.415,111.415,111
1559,111.62,111.62,111.61,111.61,372
936,110.66,111.53,110.66,111.53,2000
100,110.28,110.28,110.28,110.28,157
1114,109.64,109.89,109.64,109.89,202
1119,110.06,110.06,110.06,110.06,100
1128,110.29,110.29,110.29,110.29,101
1221,110.3,110.3,110.3,110.3,101
1224,110.775,110.775,110.775,110.775,100
132,110.05,110.05,110.05,110.05,102
1349,110.92,110.92,110.92,110.92,195
141,111.11,111.11,111.11,111.11,100
1416,111.46,111.46,111.46,111.46,210
1441,111.31,111.31,111.31,111.31,100
1530,111.21,111.21,111.21,111.21,100
1536,111.38,111.41,111.12,111.38,673
1541,111.46,111.46,111.46,111.46,101
1545,111.89,111.89,111.715,111.715,201
1550,111.44,111.44,111.44,111.44,164
1554,111.82,111.82,111.82,111.82,105
1557,111.97,111.97,111.97,111.97,135
1559,112.18,112.18,112.18,112.18,645
930,111.14,111.14,111.14,111.14,125
940,110.49,110.49,110.49,110.49,100
942,110.04,110.04,110.04,110.04,100
951,110.22,110.22,110.22,110.22,100
108,110.695,110.695,110.695,110.695,100
109,110.165,110.165,110.165,110.165,100
1014,110.18,110.18,110.18,110.18,102
1015,110.105,110.105,109.99,109.99,212
1017,109.915,109.915,109.915,109.915,200
1020,109.94,109.94,109.94,109.94,101
1033,109.4,109.4,109.4,109.4,100
1034,109.28,109.28,109.28,109.28,100
