time,open,high,low,close,volume
1518,0.4369,0.4369,0.4369,0.4369,300
1521,0.4369,0.4369,0.4369,0.4369,800
1526,0.4328,0.4328,0.4328,0.4328,300
1527,0.4336,0.4336,0.4336,0.4336,200
1528,0.4336,0.4336,0.4336,0.4336,700
1529,0.4337,0.4337,0.4337,0.4337,700
1532,0.4337,0.4337,0.4337,0.4337,550
1533,0.4337,0.4338,0.4335,0.4338,684
1534,0.4338,0.4338,0.4338,0.4338,200
1535,0.4338,0.4338,0.4338,0.4338,200
1538,0.4338,0.4369,0.4338,0.4369,700
1539,0.435,0.435,0.435,0.435,200
1540,0.433,0.433,0.433,0.433,400
1541,0.4335,0.4335,0.4325,0.4325,500
1542,0.4335,0.4335,0.4317,0.4321,600
1543,0.4323,0.4336,0.4323,0.4336,784
1546,0.437,0.437,0.437,0.437,400
1551,0.433,0.433,0.433,0.433,1800
1552,0.4329,0.437,0.4316,0.437,3500
1554,0.4333,0.4333,0.4327,0.4333,1700
1555,0.4337,0.4337,0.4337,0.4337,400
1556,0.4337,0.4337,0.4337,0.4337,100
1557,0.4375,0.4375,0.4375,0.4375,567
930,0.42,0.42,0.42,0.42,1698
934,0.415,0.415,0.4125,0.4125,900
935,0.405,0.405,0.4047,0.405,3300
936,0.405,0.405,0.405,0.405,3800
937,0.4095,0.4095,0.4094,0.4094,4100
938,0.4094,0.4176,0.4094,0.4176,4000
939,0.4154,0.4154,0.4154,0.4154,400
940,0.4154,0.4154,0.4154,0.4154,700
941,0.4169,0.4169,0.4159,0.4159,700
942,0.415,0.4159,0.415,0.4159,200
943,0.415,0.415,0.415,0.415,325
944,0.415,0.415,0.415,0.415,100
945,0.4138,0.4138,0.4138,0.4138,2878
946,0.4138,0.4138,0.4138,0.4138,900
949,0.4146,0.4146,0.4146,0.4146,2300
951,0.411,0.411,0.411,0.411,1500
952,0.4122,0.4126,0.4122,0.4126,1669
953,0.4126,0.4149,0.4126,0.4149,1200
954,0.4149,0.415,0.4149,0.415,4898
955,0.416,0.417,0.416,0.417,303
956,0.4156,0.4156,0.4156,0.4156,100
957,0.4156,0.417,0.4156,0.417,2800
102,0.4124,0.4124,0.4124,0.4124,100
103,0.4123,0.4123,0.4123,0.4123,3600
104,0.4132,0.4153,0.4132,0.4153,3900
105,0.415,0.415,0.415,0.415,100
106,0.415,0.415,0.415,0.415,2407
107,0.4153,0.4156,0.4153,0.4156,1400
108,0.4156,0.4156,0.4156,0.4156,700
1012,0.4127,0.417,0.4127,0.417,4200
1014,0.4176,0.4231,0.4176,0.4231,5400
1015,0.4239,0.4239,0.4239,0.4239,100
1017,0.421,0.421,0.421,0.421,400
1021,0.4184,0.4184,0.4181,0.4181,3713
1022,0.4181,0.4184,0.4181,0.4184,2302
1023,0.4206,0.4211,0.4206,0.4211,1825
1025,0.4149,0.415,0.4149,0.415,3800
1026,0.4176,0.4176,0.4176,0.4176,800
1029,0.4174,0.4176,0.4174,0.4176,2837
1030,0.4176,0.4176,0.4174,0.4174,906
1031,0.4174,0.4174,0.4174,0.4174,1095
1032,0.4174,0.4174,0.4174,0.4174,1702
1034,0.4165,0.4165,0.4165,0.4165,2405
1035,0.4165,0.4166,0.4165,0.4166,2560
1036,0.4166,0.4174,0.4166,0.4174,1600
1037,0.4175,0.4175,0.4175,0.4175,1800
1038,0.4179,0.418,0.4179,0.418,1132
1039,0.4195,0.4197,0.4195,0.4197,1460
1040,0.4197,0.4197,0.4197,0.4197,900
1043,0.4191,0.4191,0.4191,0.4191,2300
1044,0.4191,0.4191,0.4191,0.4191,1350
1045,0.4191,0.4191,0.4191,0.4191,600
1047,0.4179,0.4179,0.4179,0.4179,400
1050,0.4153,0.4153,0.4153,0.4153,1600
1051,0.4153,0.4153,0.4153,0.4153,2400
1052,0.4152,0.4152,0.4152,0.4152,245
1053,0.4142,0.4151,0.4142,0.4151,2400
1055,0.41505,0.4151,0.41505,0.4151,877
1056,0.4151,0.4151,0.4151,0.4151,1605
1057,0.4151,0.4157,0.4151,0.4157,2800
1058,0.4125,0.4141,0.4125,0.4141,1445
1059,0.4141,0.4197,0.4141,0.4197,4100
111,0.4219,0.4238,0.4219,0.4238,700
112,0.4201,0.4201,0.4201,0.4201,1000
117,0.4205,0.4205,0.4205,0.4205,1900
1115,0.4136,0.4136,0.4136,0.4136,1000
1116,0.4135,0.4136,0.4135,0.4136,2100
1117,0.4135,0.4149,0.4134,0.4149,4200
1120,0.4144,0.4144,0.4144,0.4144,146
1126,0.413,0.4136,0.413,0.4136,6300
1129,0.4136,0.4137,0.4136,0.4137,2200
1130,0.4137,0.414,0.4137,0.414,2100
1135,0.412,0.412,0.412,0.412,700
1136,0.4117,0.4117,0.4117,0.4117,400
1138,0.4111,0.4111,0.4111,0.4111,2781
1139,0.4112,0.4118,0.4112,0.4118,939
