time,open,high,low,close,volume
1541,10.38,10.38,10.38,10.38,1500
1333,10.4,10.4,10.4,10.4,101
1457,10.58,10.58,10.58,10.58,100
1239,11,11,11,11,100
1246,10.85,10.85,10.85,10.85,100
1249,10.87,10.87,10.87,10.87,100
1257,10.93,10.93,10.93,10.93,100
1330,10.82,10.82,10.82,10.82,100
1119,10.8,10.8,10.8,10.8,100
1518,10.96,10.96,10.96,10.96,100
1122,10.6,10.6,10.6,10.6,100
131,10.98,10.98,10.98,10.98,100
942,10.98,10.98,10.98,10.98,100
1331,10.8,10.8,10.8,10.8,100
1325,10.98,10.98,10.98,10.98,100
1040,10.61,10.61,10.61,10.61,100
1117,10.97,10.97,10.97,10.97,100
1543,10.71,10.71,10.71,10.71,100
150,10.68,10.68,10.68,10.68,100
1555,10.62,10.62,10.62,10.62,100
1121,10.978,10.978,10.978,10.978,100
1122,10.98,10.98,10.98,10.98,100
1137,11.228,11.228,11.228,11.228,100
1322,10.8,10.8,10.76,10.76,300
1455,11.037,11.037,11.037,11.037,100
1550,11.28,11.28,11.28,11.28,200
952,12.5,12.5,12.5,12.5,200
1159,11.35,11.35,11.35,11.35,200
1539,11.78,11.78,11.78,11.78,200
1541,11.08,11.08,11.08,11.08,200
105,11.1,11.1,11.1,11.1,100
1559,10.944,10.944,10.944,10.944,200
153,11.699,11.699,11.699,11.699,175
1427,11.63,11.63,11.63,11.63,400
1428,11.42,11.42,11.42,11.42,400
1344,11.28,11.28,11.28,11.28,100
1438,13,13,13,13,100
1041,12.849,12.849,12.849,12.849,100
1432,12.299,12.299,12.299,12.299,100
950,11.9,11.9,11.9,11.9,571
1223,11.9,11.9,11.9,11.9,100
1259,11.9,11.9,11.9,11.9,100
1144,11.991,11.991,11.991,11.991,100
1212,12.75,12.75,12.75,12.75,100
1131,12.501,12.501,12.501,12.501,100
1332,12.16,12.16,12.16,12.16,100
1511,12.35,12.35,12.35,12.35,100
1537,12.35,12.35,12.35,12.35,100
1540,12.35,12.35,12.35,12.35,100
1545,12.35,12.35,12.35,12.35,100
1555,12.35,12.35,12.35,12.35,100
1559,12.35,12.35,12.35,12.35,323
1455,12.24,12.24,12.24,12.24,100
1235,13.55,13.55,13.55,13.55,100
1558,15.35,15.35,15.35,15.35,100
1533,15.5,15.5,15.5,15.5,100
1438,15.67,15.67,15.67,15.67,100
1511,15.52,15.52,15.52,15.52,100
1015,15.3,15.3,15.3,15.3,100
1018,15.3,15.3,15.3,15.3,100
1212,15.35,15.35,15.35,15.35,120
1215,15.35,15.35,15.35,15.35,100
1045,15.48,15.48,15.48,15.48,300
1452,15.48,15.48,15.48,15.48,100
1549,16.38,16.38,16.38,16.38,100
150,16.28,16.28,16.28,16.28,100
104,16,16,16,16,300
159,16.1,16.1,16.1,16.1,100
1544,15.5,15.53,15.14,15.18,400
1134,14.62,14.62,14.53,14.53,200
157,14.65,14.65,14.65,14.65,113
1459,14.43,14.43,14.43,14.43,100
1143,14.745,14.745,14.745,14.745,100
1144,14.745,14.745,14.745,14.745,200
1245,14.55,14.55,14.55,14.55,100
100,15.04,15.04,15.04,15.04,100
103,15.01,15.01,15.001,15.001,200
1045,15.13,15.13,15.13,15.13,100
1424,15.06,15.06,15.06,15.06,100
1541,15.01,15.01,15.01,15.01,100
118,15.03,15.03,15.03,15.03,100
1557,15.35,15.35,15.35,15.35,100
1131,15.23,15.23,15.23,15.23,100
1532,14.751,14.751,14.751,14.751,100
1034,15,15,15,15,100
1154,14.85,14.85,14.85,14.85,100
1014,15.19,15.19,15.19,15.19,100
1259,15.45,15.45,15.45,15.45,100
1559,15.22,15.22,15.22,15.22,200
1250,15.32,15.32,15.32,15.32,100
1256,15.25,15.25,15.25,15.25,100
143,15.21,15.21,15.21,15.21,100
144,15.24,15.24,15.24,15.24,100
1415,15.3,15.3,15.3,15.3,100
1142,15.34,15.34,15.34,15.34,100
934,15.38,15.38,15.38,15.38,100
1439,14.8,14.8,14.8,14.8,100
1143,14.98,14.98,14.98,14.98,130
1132,14.51,14.51,14.51,14.51,100
1315,14.8,14.8,14.8,14.8,100
142,14.67,14.67,14.67,14.67,100
118,14.92,14.92,14.92,14.92,100
119,14.92,14.92,14.92,14.92,100
1159,14.92,14.92,14.92,14.92,100
132,15.05,15.05,15.05,15.05,100
1310,15.05,15.05,15.05,15.05,100
1316,15.05,15.05,15.05,15.05,200
1339,15.05,15.05,15.05,15.05,100
1344,15.1,15.1,15.05,15.05,200
1559,15.05,15.05,15.05,15.05,100
1431,15.99,15.99,15.99,15.99,100
1556,15.64,15.64,15.64,15.64,100
1558,15.64,15.64,15.64,15.64,135
1528,15.24,15.24,15.24,15.24,100
1510,15.45,15.45,15.45,15.45,100
1550,14.95,14.95,14.95,14.95,100
1144,14.79,14.79,14.79,14.79,500
1326,14.79,14.79,14.79,14.79,200
1327,14.69,14.69,14.69,14.69,100
1550,14.595,14.595,14.595,14.595,500
942,14.5,14.5,14.5,14.5,100
1016,14.5,14.5,14.5,14.5,100
1028,14.5,14.5,14.5,14.5,100
129,14.39,14.39,14.39,14.39,300
1535,14.335,14.335,14.335,14.335,100
1554,14.115,14.115,14.115,14.115,100
141,14,14,14,14,100
1552,14,14,14,14,100
1235,14.22,14.22,14.22,14.22,100
1236,14.22,14.22,14.22,14.22,100
1237,14.22,14.22,14.22,14.22,100
1238,14.22,14.22,14.22,14.22,100
1239,14.22,14.22,14.22,14.22,100
1240,14.22,14.22,14.22,14.22,100
1241,14.22,14.22,14.22,14.22,100
1242,14.22,14.22,14.22,14.22,100
1243,14.22,14.22,14.22,14.22,100
1244,14.22,14.22,14.22,14.22,100
1524,14.64,14.64,14.64,14.64,200
