time,open,high,low,close,volume
1245,53.5,53.5,53.5,53.5,500
1249,54,54,54,54,500
1250,54,54,54,54,400
1251,53.75,53.75,53.75,53.75,100
1252,53.8,53.85,53.8,53.85,1500
1253,53.85,53.85,53.8,53.8,1900
1254,53.7,53.7,53.7,53.7,100
1257,53.65,53.65,53.65,53.65,200
1258,53.7,53.7,53.7,53.7,250
1311,53.4,53.4,53.4,53.4,400
1313,53.41,53.5,53.41,53.5,300
1314,53.5,53.51,53.5,53.51,600
1358,54,54,53.96,53.96,900
1434,54.65,54.65,54.65,54.65,800
1514,54.65,54.65,54.65,54.65,1200
1522,55.1,55.1,55.1,55.1,200
1535,55.66,55.66,55.66,55.66,200
1542,55.1,55.1,55.1,55.1,800
1543,55.6,55.6,55.6,55.6,100
1555,57.58,57.74,57.58,57.74,600
1557,56.7,56.7,56.7,56.7,100
930,56.01,56.01,56.01,56.01,300
932,55.18,55.18,55.18,55.18,200
937,56,56,56,56,450
942,56.6,56.6,56.6,56.6,1000
953,57.2,57.2,57.2,57.2,100
954,57.01,57.04,57,57,600
105,57.19,57.19,57.19,57.19,100
1034,56.12,56.12,56.12,56.12,100
947,56.98,56.98,56.98,56.98,100
111,57.02,57.02,57.02,57.02,237
935,57.2,57.2,57.2,57.2,173
133,56.91,56.91,56.91,56.91,103
158,57.09,57.09,57.09,57.09,100
1559,57.285,57.285,57.285,57.285,100
116,56.87,56.87,56.87,56.87,103
1140,56.82,56.82,56.82,56.82,100
947,56.8,56.8,56.8,56.8,100
104,56.8,56.8,56.8,56.8,100
1013,56.8,56.8,56.8,56.8,203
1014,56.8,56.8,56.8,56.8,300
1434,54.44,54.44,54.44,54.44,100
1519,53.89,53.89,53.89,53.89,100
1531,53.56,53.56,53.56,53.56,100
1554,52.92,52.92,52.92,52.92,100
1518,54.67,54.67,54.67,54.67,100
1536,54.79,54.79,54.79,54.79,100
1552,55.31,55.31,55.31,55.31,200
1558,55.17,55.17,55.17,55.17,100
1457,55.24,55.24,55.24,55.24,100
1555,54.88,54.88,54.3,54.33,1049
1556,54.29,54.29,54.09,54.09,600
1557,54.06,54.12,54,54.12,772
955,51.49,51.49,51.49,51.49,200
1021,52.26,52.26,52.26,52.26,104
1045,51.65,51.65,51.65,51.65,100
154,51.89,51.89,51.89,51.89,100
1559,51.92,51.92,51.92,51.92,100
107,51.92,51.92,51.92,51.92,100
1553,51.58,51.58,51.58,51.58,100
1556,51.58,51.58,51.58,51.58,200
1459,49.89,50,49.89,50,204
936,52.02,52.02,52.02,52.02,100
1057,55.27,55.27,55.25,55.25,200
1137,54.18,54.18,54.18,54.18,100
108,55.29,55.3,55.29,55.29,400
1011,55.41,55.41,55.41,55.41,100
1020,55.46,55.46,55.46,55.46,200
1022,55.21,55.21,55.2,55.2,200
1030,55.29,55.29,55.29,55.29,100
1040,55.53,55.53,55.53,55.53,100
1047,55.97,55.97,55.97,55.97,100
1013,57,57,57,57,200
117,57.43,57.43,57.43,57.43,100
1112,57.89,57.89,57.89,57.89,104
1134,58.17,58.17,58.17,58.17,100
1121,56.56,56.56,56.56,56.56,100
1115,55.54,55.54,55.54,55.54,100
959,52.12,52.12,52.12,52.12,100
1050,52.29,52.29,52.29,52.29,100
124,51.84,51.84,51.84,51.84,100
1210,52.04,52.04,52.04,52.04,100
1221,51.75,51.75,51.75,51.75,100
141,52.93,52.93,52.93,52.93,147
1558,53.7,53.7,53.7,53.7,100
124,53.97,53.97,53.97,53.97,100
127,53.97,53.97,53.97,53.97,200
128,54,54,54,54,100
1346,54.125,54.125,54.125,54.125,100
1048,54.32,54.32,54.32,54.32,200
1050,54.38,54.38,54.38,54.38,100
1051,54.38,54.38,54.38,54.38,100
1052,54.4,54.4,54.4,54.4,100
110,54.37,54.37,54.37,54.37,100
1121,54.15,54.15,54.15,54.15,100
1130,54.21,54.21,54.21,54.21,100
1137,54.31,54.31,54.31,54.31,100
1413,54.17,54.17,54.17,54.17,100
1433,54.17,54.17,54.17,54.17,100
1511,54.17,54.17,54.17,54.17,100
1555,54.42,54.58,54.42,54.58,871
1558,54.64,54.64,54.64,54.64,163
1559,54.52,54.82,54.52,54.82,837
1438,54.3,54.3,54.3,54.3,100
1023,54.58,54.58,54.58,54.58,100
1056,54.2,54.2,54.2,54.2,100
939,51.06,51.06,51.06,51.06,100
1341,47.91,47.91,47.91,47.91,100
930,50.3,50.3,50.3,50.3,198
957,50.14,50.14,50.14,50.14,100
104,49.92,49.92,49.92,49.92,200
1120,50.98,50.98,50.98,50.98,100
1239,51.42,51.42,51.42,51.42,100
1248,51.42,51.42,51.42,51.42,100
103,52.84,52.84,52.84,52.84,100
1448,52.81,52.81,52.8,52.8,300
1450,52.71,52.71,52.61,52.61,500
1531,52.45,52.45,52.45,52.45,372
1120,51,51,51,51,100
1319,50.73,50.73,50.73,50.73,100
1334,50.56,50.56,50.56,50.56,100
1559,51.075,51.075,51.075,51.075,100
1025,50.66,50.66,50.66,50.66,100
1048,50.63,50.63,50.63,50.63,200
1051,50.63,50.63,50.63,50.63,100
1053,50.57,50.57,50.57,50.57,100
1412,49.91,49.91,49.91,49.91,100
1418,49.76,49.76,49.76,49.76,100
1446,49.56,49.56,49.56,49.56,153
1037,48.77,48.77,48.77,48.77,200
1312,49.09,49.09,49.09,49.09,100
1511,47.14,47.14,47.14,47.14,100
1513,46.99,46.99,46.99,46.99,100
1516,46.93,46.93,46.93,46.93,166
1526,46.99,46.99,46.99,46.99,100
1532,48,48,47.97,47.97,500
1558,47.81,47.81,47.81,47.81,300
930,47.9,47.9,47.9,47.9,100
1558,46.65,46.65,46.65,46.65,200
1552,47.5,47.5,47.5,47.5,297
1554,47.53,47.53,47.53,47.53,137
1555,47.65,47.65,47.65,47.65,300
136,48.43,48.43,48.43,48.43,100
1444,48.08,48.08,48.08,48.08,100
1339,47.45,47.45,47.43,47.43,700
1353,47.49,47.49,47.49,47.49,160
1041,47.97,47.97,47.97,47.97,200
1045,48.09,48.09,48.09,48.09,200
1047,48.11,48.11,48.11,48.11,200
1356,50.03,50.03,50.03,50.03,100
937,50.63,50.63,50.63,50.63,100
1036,49.93,49.93,49.93,49.93,100
1143,49.98,49.98,49.98,49.98,100
123,49.96,49.96,49.96,49.96,100
1247,50.13,50.13,50.13,50.13,100
1542,50.72,50.72,50.72,50.72,100
1152,51.21,51.21,51.21,51.21,250
1215,51.68,51.68,51.68,51.68,100
1216,51.87,51.87,51.87,51.87,312
1218,51.72,51.72,51.72,51.72,100
1222,51.81,51.81,51.81,51.81,100
1251,51.33,51.33,51.33,51.33,100
1252,51.39,51.42,51.39,51.42,200
1255,51.36,51.36,51.36,51.36,100
1259,51.45,51.48,51.45,51.48,200
133,51.51,51.51,51.51,51.51,100
1312,51.36,51.36,51.36,51.36,100
1315,51.39,51.39,51.39,51.39,166
1319,51.36,51.36,51.36,51.36,234
1322,51.36,51.36,51.36,51.36,100
1324,51.39,51.39,51.39,51.39,100
1343,51.71,51.71,51.71,51.71,100
1352,51.89,51.89,51.89,51.89,200
1541,51.5,51.5,51.5,51.5,700
1545,51.49,51.49,51.49,51.49,959
1549,51.48,51.48,51.48,51.48,100
1551,51.48,51.48,51.48,51.48,266
1552,51.48,51.48,51.48,51.48,200
940,49.86,49.86,49.86,49.86,100
1057,49.86,49.86,49.86,49.86,100
1537,49.56,49.56,49.56,49.56,124
116,49.5,49.5,49.5,49.5,100
1334,49.68,49.68,49.68,49.68,100
103,52.59,52.59,52.59,52.59,100
1034,52.86,52.86,52.86,52.86,100
1342,52.32,52.32,52.32,52.32,100
1318,50.74,50.74,50.74,50.74,200
1558,51.14,51.14,51.14,51.14,500
952,51.21,51.21,51.21,51.21,100
1142,51.03,51.03,51.03,51.03,100
1255,51.46,51.46,51.46,51.46,100
1427,50.46,50.46,50.46,50.46,100
1033,51.51,51.51,51.51,51.51,332
1114,52.11,52.11,52.11,52.11,100
1212,51.61,51.61,51.61,51.61,200
1234,51.64,51.64,51.64,51.64,100
1238,51.66,51.66,51.66,51.66,100
1248,51.67,51.67,51.67,51.67,200
1325,51.64,51.64,51.64,51.64,100
1326,51.64,51.64,51.64,51.64,200
1348,51.55,51.55,51.55,51.55,200
1349,51.55,51.55,51.55,51.55,400
1353,51.55,51.55,51.55,51.55,366
1359,51.58,51.58,51.58,51.58,100
146,51.58,51.58,51.58,51.58,192
1412,51.67,51.67,51.67,51.67,100
1413,51.7,51.7,51.7,51.7,100
1428,51.61,51.61,51.61,51.61,100
1451,51.61,51.61,51.61,51.61,124
1456,51.73,51.73,51.73,51.73,100
1457,51.67,51.67,51.67,51.67,100
1458,51.64,51.64,51.64,51.64,100
1459,51.67,51.67,51.67,51.67,100
1512,51.73,51.73,51.73,51.73,230
1516,51.55,51.58,51.55,51.58,295
1517,51.58,51.58,51.58,51.58,100
1518,51.67,51.67,51.67,51.67,100
1519,51.65,51.65,51.65,51.65,196
1520,51.66,51.68,51.66,51.68,200
1524,51.45,51.5,51.45,51.5,469
1525,51.5,51.5,51.41,51.41,300
1526,51.35,51.41,51.35,51.41,200
1527,51.5,51.5,51.5,51.5,100
1528,51.5,51.5,51.5,51.5,200
1533,51.41,51.41,51.41,51.41,100
1534,51.41,51.41,51.41,51.41,400
1537,51.35,51.35,51.35,51.35,100
1542,51.44,51.44,51.44,51.44,100
1454,53.83,53.83,53.83,53.83,100
1028,53.84,53.84,53.84,53.84,100
1434,54.06,54.06,54.06,54.06,100
1459,54.44,54.44,54.44,54.44,100
932,53.18,53.18,53.18,53.18,100
1310,52.8,52.8,52.8,52.8,100
1527,52.96,52.96,52.96,52.96,200
959,52.16,52.16,52.16,52.16,100
1341,53.15,53.15,53.15,53.15,100
156,53.9,53.9,53.9,53.9,100
930,53.57,53.57,53.57,53.57,100
1410,55.82,55.82,55.82,55.82,100
1413,56.05,56.05,56.05,56.05,100
1559,60.23,60.23,60.23,60.23,100
1558,58.41,58.41,58.41,58.41,100
941,57.66,57.66,57.66,57.66,100
956,58.99,58.99,58.99,58.99,120
950,57.67,57.67,57.67,57.67,125
1230,59.31,59.31,59.31,59.31,100
1111,59.84,59.84,59.84,59.84,100
1123,59.59,59.59,59.59,59.59,100
1127,59.53,59.53,59.53,59.53,100
1040,61.06,61.06,61.06,61.06,200
1349,62.28,62.28,62.28,62.28,100
1554,62.03,62.03,62.03,62.03,167
1532,60.5,60.5,60.5,60.5,130
1424,58.65,58.65,58.65,58.65,100
1527,58.46,58.46,58.45,58.45,533
1528,58.4,58.4,58.4,58.4,300
1534,58.4,58.4,58.4,58.4,385
1536,58.4,58.4,58.4,58.4,100
1547,58.39,58.39,58.39,58.39,100
113,58.02,58.02,58.02,58.02,200
1117,58.2,58.2,58.2,58.2,195
1555,57.22,57.22,57.22,57.22,100
1559,57.25,57.25,57.25,57.25,279
1559,56.81,56.81,56.81,56.81,200
1123,58.9,58.9,58.9,58.9,100
1124,59,59,59,59,100
1055,59.4,59.4,59.4,59.4,100
1236,59.93,59.93,59.93,59.93,100
1311,60.1,60.1,60.1,60.1,100
1321,60.12,60.12,60.12,60.12,100
1358,57.05,57.05,57.05,57.05,100
1025,57.73,57.73,57.73,57.73,100
152,57.46,57.46,57.46,57.46,325
1019,57.62,57.62,57.62,57.62,800
1359,57.1,57.1,57.1,57.1,100
1525,55.365,55.365,55.365,55.365,100
105,48.43,48.43,48.43,48.43,100
937,50.77,50.77,50.77,50.77,400
940,51,51,51,51,100
943,51,51,51,51,100
949,51,51,51,51,100
951,51,51,51,51,2800
958,51,51,51,51,200
108,50.25,50.3,50.25,50.25,500
1043,49.71,49.71,49.71,49.71,150
1046,49.5,49.5,49.5,49.5,400
1054,49,49,49,49,400
118,48.5,48.5,48.5,48.5,100
1251,48.56,48.6,48.55,48.6,1800
1254,48.61,48.61,48.61,48.61,100
130,48.5,48.5,48.5,48.5,102
132,48.4,48.4,48.38,48.38,200
1322,48.4,48.4,48.4,48.4,700
1327,48.5,48.5,48.5,48.5,100
1328,48.65,48.65,48.65,48.65,400
1337,48.78,48.78,48.77,48.78,545
1341,48.78,48.78,48.78,48.78,100
1342,48.79,48.79,48.79,48.79,100
1343,48.79,48.79,48.79,48.79,100
1348,48.78,48.78,48.78,48.78,400
1353,48.86,48.86,48.86,48.86,100
1354,48.92,48.92,48.92,48.92,100
1415,48.9,48.9,48.9,48.9,100
1510,49.47,49.47,49.47,49.47,100
1554,50,50,50,50,885
1152,49.75,49.75,49.75,49.75,300
1352,49,49,49,49,100
1356,49.01,49.01,49.01,49.01,100
148,49,49,49,49,200
1435,49,49,49,49,200
1437,49.5,49.5,49.5,49.5,200
1453,49,49.01,49,49,300
1456,49,49,49,49,300
1516,49,49,49,49,100
1511,41.97,41.97,41.97,41.97,130
955,41.62,41.62,41.62,41.62,120
1124,47.19,47.19,47.19,47.19,200
1223,47.26,47.26,47.26,47.26,200
159,38.48,39,38.48,39,1200
1518,40,40,40,40,600
1537,39.42,40,39.39,40,1400
1538,40,40,40,40,700
1545,39.5,40,39.5,40,3300
1550,40,40,40,40,5600
1551,40,40,40,40,4720
1552,40,40,39.12,39.12,1230
1557,38.3,38.3,38.3,38.3,299
1558,38.16,38.16,38.13,38.13,264
1022,34.52,34.52,34.52,34.52,360
1352,37.26,37.26,37.26,37.26,100
1533,38.11,38.11,38.11,38.11,100
1534,37.76,37.76,37.76,37.76,200
1120,34.25,34.25,34.25,34.25,100
1359,34.01,34.01,34.01,34.01,100
1538,37.175,37.175,37.175,37.175,140
1554,42.41,42.41,42.41,42.41,100
1559,41.55,41.55,41.55,41.55,100
1124,39.115,39.115,39.115,39.115,120
122,39.045,39.045,39.045,39.045,120
158,38.425,38.425,38.425,38.425,300
159,38.425,38.425,38.425,38.425,120
1442,43.81,43.81,43.81,43.81,200
1256,44.58,44.58,44.58,44.58,100
139,44.56,44.56,44.56,44.56,100
941,42.3,42.3,42.3,42.3,280
159,43.62,43.62,43.62,43.62,622
1528,43.69,43.69,43.69,43.69,200
1542,43.69,43.69,43.69,43.69,200
1554,43.63,43.63,43.62,43.62,600
101,43.96,43.96,43.96,43.96,200
951,45.23,45.23,45.23,45.23,668
105,45.62,45.62,45.62,45.62,200
108,45.97,45.97,45.97,45.97,200
1550,46.11,46.11,46.11,46.11,200
1559,46.19,46.19,46.19,46.19,400
940,45.34,45.34,45.34,45.34,200
942,44.92,44.92,44.92,44.92,100
950,44.43,44.43,44.43,44.43,100
951,44.28,44.28,44.28,44.28,100
953,44.34,44.34,44.34,44.34,100
957,43.67,43.67,43.67,43.67,100
1059,44.56,44.56,44.56,44.56,100
1126,44.14,44.14,44.14,44.14,164
104,44.54,44.54,44.54,44.54,100
142,43.7,43.7,43.7,43.7,100
150,44.39,44.39,44.39,44.39,100
121,46.1,46.1,46.05,46.05,800
1242,45.62,45.62,45.53,45.53,766
1243,45.5,45.5,45.5,45.5,200
1244,45.51,45.51,45.51,45.51,440
1329,45.83,45.83,45.83,45.83,200
1542,45.3,45.3,45.3,45.3,200
1540,44.38,44.38,44.38,44.38,100
1226,45.73,45.73,45.73,45.73,200
1229,45.68,45.68,45.68,45.68,200
1241,45.61,45.61,45.2,45.2,400
1257,45.49,45.49,45.49,45.49,200
1310,45.43,45.43,45.43,45.43,200
1355,45.87,45.87,45.87,45.87,400
1410,45.76,45.76,45.76,45.76,270
1031,46.33,46.35,46.33,46.35,270
1038,48.91,48.91,48.91,48.91,100
1059,48.82,48.82,48.82,48.82,100
1441,48.73,48.73,48.73,48.73,100
1542,48.55,48.55,48.55,48.55,248
1443,48.34,48.34,48.34,48.34,200
1558,48.43,48.43,48.43,48.43,400
1538,48.08,48.08,48.08,48.08,100
135,46.93,46.93,46.93,46.93,100
1552,48.35,48.35,48.35,48.35,200
1554,48.38,48.38,48.38,48.38,200
1555,48.41,48.41,48.41,48.41,100
