time,open,high,low,close,volume
1329,34.89,34.89,34.89,34.89,210
1330,34.89,34.9,34.89,34.9,295
1331,34.89,34.89,34.88,34.88,607
1333,34.78,34.78,34.78,34.78,100
1335,34.8,34.8,34.8,34.8,373
1337,34.76,34.76,34.76,34.76,100
1342,34.75,34.775,34.75,34.775,532
1343,34.75,34.75,34.75,34.75,131
1344,34.75,34.75,34.75,34.75,200
1345,34.71,34.71,34.71,34.71,266
1346,34.74,34.75,34.74,34.75,208
1347,34.79,34.79,34.79,34.79,538
1353,34.92,34.93,34.92,34.93,456
1354,34.93,34.94,34.93,34.94,503
1355,34.93,34.93,34.93,34.93,148
1358,34.95,34.95,34.91,34.93,1643
1359,34.97,34.97,34.97,34.97,100
141,34.95,34.95,34.95,34.95,100
142,34.98,34.98,34.98,34.98,273
144,35,35.02,35,35,1212
146,34.99,34.99,34.965,34.98,613
147,34.99,34.99,34.99,34.99,267
149,35.02,35.02,35.02,35.02,101
1410,35.025,35.025,35,35,351
1414,34.99,34.99,34.99,34.99,100
1415,34.99,34.99,34.99,34.99,264
1416,34.99,34.99,34.97,34.97,324
1418,34.97,34.97,34.97,34.97,200
1419,34.97,34.97,34.95,34.95,300
1421,34.95,34.95,34.95,34.95,148
1423,34.96,34.96,34.96,34.96,204
1425,34.97,34.97,34.97,34.97,245
1426,34.99,35.03,34.99,35.03,209
1427,35.03,35.03,35.03,35.03,339
1428,35.03,35.03,35.03,35.03,171
1429,35.01,35.01,34.99,34.99,210
1430,35,35,35,35,500
1431,34.99,34.99,34.99,34.99,172
1432,34.98,34.98,34.98,34.98,327
1433,34.97,34.97,34.97,34.97,100
1434,34.98,34.98,34.98,34.98,485
1435,34.97,34.97,34.97,34.97,306
1436,34.96,34.96,34.92,34.93,632
1438,34.94,34.94,34.94,34.94,100
1442,34.98,34.99,34.98,34.98,646
1443,34.99,34.99,34.99,34.99,106
1444,34.96,34.97,34.96,34.97,367
1445,34.98,35.12,34.98,35.11,1036
1446,35.05,35.07,35.01,35.07,505
1447,35.12,35.12,35.1,35.1,318
1448,35.04,35.04,35.04,35.04,122
1449,34.98,34.99,34.98,34.99,251
1450,34.95,34.95,34.92,34.92,258
1451,34.91,34.91,34.91,34.91,113
1452,34.9,34.9,34.9,34.9,367
1455,34.88,34.88,34.88,34.88,351
1458,34.9,34.9,34.85,34.85,488
1459,34.85,34.87,34.85,34.87,356
150,34.91,34.91,34.91,34.91,108
151,34.87,34.87,34.87,34.87,101
152,34.86,34.86,34.85,34.85,504
153,34.88,34.88,34.88,34.88,205
155,34.875,34.875,34.875,34.875,156
156,34.89,34.89,34.885,34.885,200
157,34.88,34.89,34.88,34.89,507
158,34.86,34.86,34.86,34.86,248
159,34.88,34.88,34.88,34.88,118
1510,34.87,34.87,34.87,34.87,265
1511,34.88,34.88,34.88,34.88,324
1512,34.89,34.92,34.89,34.92,657
1513,34.95,34.95,34.94,34.94,239
1515,34.92,34.92,34.92,34.92,119
1516,34.95,34.95,34.95,34.95,304
1517,34.99,35.02,34.99,35.02,449
1518,35.01,35.01,35.01,35.01,192
1519,35,35,35,35,158
1520,35,35,34.945,34.945,1401
1521,34.955,34.975,34.955,34.97,766
1522,35.01,35.015,35,35.005,479
1524,35.055,35.09,35.055,35.09,947
1525,35.08,35.09,35.075,35.08,859
1526,35.08,35.08,35.045,35.045,430
1527,35.045,35.045,35.03,35.035,902
1528,35.03,35.085,35.03,35.085,351
1529,35.07,35.07,35.06,35.06,304
1530,35.075,35.08,35.07,35.08,400
1531,35.075,35.095,35.07,35.085,1440
1532,35.1,35.13,35.1,35.11,1525
1533,35.09,35.13,35.09,35.13,401
1534,35.12,35.12,35.12,35.12,200
1535,35.135,35.14,35.13,35.14,779
1536,35.15,35.16,35.125,35.13,1045
1537,35.14,35.15,35.14,35.15,536
1538,35.145,35.145,35.125,35.125,511
1539,35.115,35.13,35.115,35.125,1520
1540,35.12,35.13,35.105,35.125,890
1541,35.135,35.14,35.13,35.13,1373
1542,35.115,35.115,35.065,35.065,1103
1543,35.07,35.085,35.065,35.065,1078
1544,35.065,35.07,35.055,35.055,1023
1545,35.05,35.05,35.01,35.01,955
1546,35.01,35.01,35,35,339
1547,34.985,35,34.965,34.99,2070
1548,34.99,35.01,34.99,35.01,1388
1549,35.01,35.01,34.995,34.995,1034
1550,35,35,34.94,34.985,2171
1551,34.99,35.01,34.99,35,2445
1552,35,35.02,35,35.01,1646
1553,35.06,35.07,35.055,35.055,1568
1554,35.06,35.08,35.04,35.08,2904
1555,35.07,35.07,35.035,35.05,3789
1556,35.045,35.05,35.03,35.04,3253
1557,35.04,35.05,35.03,35.04,4659
1558,35.05,35.09,35.045,35.09,3953
1559,35.085,35.085,35.06,35.06,6883
934,34.64,34.65,34.615,34.615,1212
936,34.705,34.705,34.605,34.605,1067
937,34.62,34.77,34.62,34.77,803
938,34.65,34.65,34.65,34.65,200
939,34.61,34.61,34.61,34.61,1046
940,34.71,34.71,34.71,34.71,110
941,34.68,34.68,34.68,34.68,201
942,34.66,34.69,34.66,34.66,300
943,34.65,34.65,34.625,34.625,606
944,34.67,34.67,34.65,34.65,1063
945,34.645,34.645,34.645,34.645,110
946,34.65,34.65,34.65,34.65,200
948,34.65,34.7,34.65,34.7,1813
949,34.7,34.71,34.7,34.71,417
950,34.73,34.73,34.7,34.7,600
951,34.7,34.7,34.7,34.7,1201
952,34.7,34.7,34.695,34.7,1610
953,34.7,34.7,34.7,34.7,210
954,34.7,34.7,34.7,34.7,149
955,34.71,34.71,34.71,34.71,278
957,34.62,34.62,34.62,34.62,200
958,34.62,34.62,34.62,34.62,110
959,34.63,34.64,34.63,34.64,379
100,34.67,34.7,34.66,34.66,503
101,34.7,34.74,34.7,34.73,1289
102,34.71,34.71,34.71,34.71,210
