time,open,high,low,close,volume
1348,9.95,9.95,9.95,9.95,500
1437,9.965,9.965,9.965,9.965,100
1551,9.9,9.9,9.9,9.9,200
1557,9.99,9.99,9.9,9.9,200
1558,9.9,9.92,9.9,9.92,300
1323,9.98,9.98,9.975,9.975,2000
1042,9.95,9.95,9.95,9.95,100
1450,9.95,9.95,9.95,9.95,2600
1454,9.95,9.95,9.95,9.95,3600
1016,9.95,9.95,9.95,9.95,4000
1029,9.95,9.95,9.95,9.95,6400
1223,9.97,9.99,9.97,9.99,1400
1039,9.975,9.975,9.975,9.975,43600
1040,9.975,9.975,9.975,9.975,27700
941,10,10,10,10,800
1339,10.05,10.05,10.05,10.05,1200
1510,10.05,10.05,10.05,10.05,200
1512,10.05,10.05,10.05,10.05,2200
1513,10.05,10.05,10.05,10.05,1000
1514,10.05,10.05,10.05,10.05,4800
1517,10.05,10.05,10.05,10.05,4000
1518,10.05,10.05,10.05,10.05,13200
1519,10.05,10.05,10.05,10.05,13200
1520,10.05,10.05,10.05,10.05,1000
1535,10.005,10.005,10.005,10.005,1200
1512,10.05,10.05,10.05,10.05,4100
1530,10.05,10.05,10.05,10.05,800
1543,10.05,10.05,10.05,10.05,800
1559,10.04,10.04,10.04,10.04,18800
956,10,10,10,10,400
109,10,10,10,10,3200
1011,10,10,10,10,2348
1156,10.05,10.05,10.05,10.05,3000
1216,10.03,10.03,10.03,10.03,800
1326,10.03,10.03,10.03,10.03,1400
148,10.03,10.03,10.03,10.03,1600
1134,10.08,10.08,10.08,10.08,200
1559,10.01,10.01,10.01,10.01,9800
154,10.05,10.05,10.05,10.05,17600
1037,10.07,10.07,10.07,10.07,200
1334,10.03,10.03,10.03,10.03,2902
1338,10.03,10.03,10.03,10.03,4698
1120,10.1,10.1,10.1,10.1,10000
1244,10.1,10.1,10.1,10.1,2800
1251,10.1,10.1,10.1,10.1,200
1254,10.1,10.1,10.1,10.1,2600
1258,10.1,10.1,10.1,10.1,200
131,10.1,10.1,10.1,10.1,200
134,10.1,10.1,10.1,10.1,2800
1311,10.1,10.1,10.1,10.1,400
1314,10.1,10.1,10.1,10.1,200
1315,10.1,10.1,10.1,10.1,600
1556,10.16,10.16,10.16,10.16,800
1557,10.2,10.2,10.2,10.2,400
1558,10.21,10.255,10.21,10.255,1200
1559,10.245,10.245,10.245,10.245,2000
1027,10.29,10.29,10.29,10.29,1020
117,10.25,10.25,10.25,10.25,200
1224,10.32,10.32,10.32,10.32,200
1326,10.25,10.25,10.25,10.25,1200
1331,10.3,10.3,10.3,10.3,20000
1538,10.285,10.285,10.285,10.285,400
1539,10.285,10.285,10.285,10.285,400
1540,10.285,10.285,10.285,10.285,600
1541,10.285,10.285,10.285,10.285,400
1543,10.285,10.285,10.285,10.285,600
1544,10.285,10.285,10.285,10.285,4000
1545,10.285,10.285,10.285,10.285,400
1546,10.29,10.29,10.29,10.29,600
1547,10.29,10.295,10.29,10.295,800
1548,10.295,10.295,10.295,10.295,400
1549,10.295,10.295,10.295,10.295,200
1550,10.29,10.29,10.29,10.29,800
1551,10.29,10.29,10.29,10.29,1200
1553,10.29,10.29,10.29,10.29,800
1554,10.29,10.29,10.29,10.29,800
1555,10.29,10.29,10.29,10.29,800
1556,10.29,10.29,10.29,10.29,400
1220,10.3,10.3,10.3,10.3,200
118,10.3,10.3,10.3,10.3,200
1159,10.2,10.2,10.2,10.2,13000
1528,10.205,10.205,10.205,10.205,400
955,10.2,10.2,10.2,10.2,600
119,10.2,10.2,10.2,10.2,400
1143,10.2,10.2,10.2,10.2,500
