time,open,high,low,close,volume
1525,24.94,24.94,24.94,24.94,192
1117,24.8,24.8,24.8,24.8,123
1025,24.31,24.31,24.31,24.31,200
1459,24.52,24.52,24.52,24.52,100
1423,23.8,23.8,23.8,23.8,100
1443,23.8,23.8,23.8,23.8,100
1155,24.31,24.31,24.31,24.31,100
153,24.37,24.37,24.37,24.37,419
112,24.33,24.33,24.33,24.33,100
1011,24.57,24.57,24.57,24.57,700
1012,24.57,24.57,24.57,24.57,700
152,24.65,24.65,24.65,24.65,100
1215,24.81,24.81,24.81,24.81,100
1442,24.85,24.85,24.85,24.85,100
154,24.98,24.98,24.98,24.98,100
1531,25,25,25,25,100
1532,25.03,25.03,25.03,25.03,220
153,25.11,25.11,25.11,25.11,100
1351,25.28,25.28,25.28,25.28,100
129,25.17,25.17,25.17,25.17,100
1259,25.18,25.19,25.18,25.19,355
1236,25.155,25.16,25.155,25.16,384
1526,25.18,25.18,25.18,25.18,100
1446,25.22,25.22,25.22,25.22,100
941,25.3,25.3,25.3,25.3,100
153,25.35,25.37,25.35,25.37,1000
1059,25.44,25.44,25.44,25.44,200
1457,25.62,25.62,25.62,25.62,714
151,25.66,25.66,25.66,25.66,1000
1334,25.67,25.67,25.67,25.67,100
1124,25.69,25.69,25.69,25.69,100
126,25.7,25.7,25.7,25.7,300
1428,25.72,25.72,25.72,25.72,100
151,25.7,25.7,25.7,25.7,307
141,25.7,25.7,25.7,25.7,100
152,25.74,25.74,25.74,25.74,979
1247,25.78,25.78,25.78,25.78,100
1558,25.75,25.75,25.75,25.75,100
1038,25.77,25.77,25.77,25.77,100
1040,25.84,25.84,25.84,25.84,100
954,25.97,25.97,25.97,25.97,100
1548,26.01,26.01,26.01,26.01,100
1555,26.01,26.01,26.01,26.01,200
1018,26.09,26.09,26.09,26.09,100
1114,26.09,26.09,26.09,26.09,100
1527,26.09,26.09,26.09,26.09,100
1250,26.23,26.23,26.23,26.23,100
1253,26.23,26.23,26.23,26.23,100
1019,26.45,26.45,26.45,26.45,100
1020,26.45,26.45,26.45,26.45,100
1053,26.53,26.53,26.53,26.53,100
1245,26.53,26.53,26.53,26.53,100
1410,26.53,26.53,26.52,26.52,200
1459,26.54,26.54,26.54,26.54,100
1036,26.55,26.55,26.55,26.55,100
1156,26.55,26.55,26.55,26.55,100
1234,26.54,26.54,26.54,26.54,100
1337,26.54,26.54,26.54,26.54,100
106,26.475,26.475,26.475,26.475,100
1028,26.475,26.475,26.475,26.475,100
1054,26.475,26.475,26.475,26.475,100
1123,26.475,26.475,26.475,26.475,100
1157,26.475,26.475,26.475,26.475,100
1238,26.46,26.46,26.46,26.46,100
138,26.48,26.48,26.48,26.48,100
144,26.47,26.47,26.47,26.47,100
1429,26.47,26.47,26.47,26.47,100
1449,26.47,26.47,26.47,26.47,100
156,26.47,26.47,26.47,26.47,100
1522,26.47,26.47,26.47,26.47,100
1536,26.47,26.47,26.47,26.47,100
112,26.46,26.46,26.46,26.46,195
942,26.42,26.42,26.42,26.42,100
100,26.38,26.38,26.38,26.38,300
106,26.37,26.37,26.37,26.37,200
108,26.37,26.37,26.37,26.37,4600
1254,26.29,26.29,26.29,26.29,100
1038,26.21,26.21,26.21,26.21,100
118,26.08,26.08,26.08,26.08,100
1220,26.07,26.07,26.07,26.07,100
109,26.04,26.04,26.04,26.04,100
1349,25.97,25.97,25.97,25.97,233
