time,open,high,low,close,volume
1217,39.085,39.085,39.085,39.085,200
1220,39.11,39.11,39.11,39.11,200
1226,39.115,39.125,39.115,39.125,400
1227,39.125,39.125,39.125,39.125,200
1229,39.16,39.16,39.16,39.16,200
1233,39.155,39.155,39.155,39.155,200
1234,39.17,39.17,39.17,39.17,200
1235,39.16,39.16,39.16,39.16,200
1239,39.165,39.165,39.165,39.165,400
1240,39.165,39.185,39.165,39.185,800
1244,39.21,39.22,39.21,39.22,760
1245,39.25,39.25,39.25,39.25,200
1246,39.225,39.225,39.225,39.225,400
1255,39.21,39.21,39.21,39.21,400
1257,39.2,39.2,39.2,39.2,600
132,39.21,39.21,39.21,39.21,600
133,39.26,39.26,39.26,39.26,200
1310,39.21,39.21,39.2,39.2,600
1312,39.185,39.19,39.185,39.19,400
1317,39.22,39.22,39.22,39.22,200
1318,39.23,39.23,39.23,39.23,200
1322,39.2,39.2,39.2,39.2,200
1324,39.205,39.205,39.205,39.205,200
1325,39.235,39.24,39.235,39.24,3600
1326,39.24,39.26,39.24,39.25,3600
1327,39.235,39.24,39.235,39.24,400
1328,39.25,39.265,39.25,39.265,788
1329,39.26,39.29,39.26,39.28,800
1330,39.28,39.28,39.28,39.28,400
1331,39.28,39.28,39.27,39.28,600
1332,39.285,39.285,39.285,39.285,400
1333,39.27,39.275,39.27,39.275,800
1334,39.275,39.275,39.26,39.26,1800
1335,39.265,39.265,39.265,39.265,200
1336,39.275,39.275,39.275,39.275,608
1337,39.305,39.305,39.305,39.305,600
1339,39.3,39.3,39.29,39.29,2600
1340,39.29,39.29,39.255,39.255,1220
1341,39.255,39.255,39.255,39.255,400
1342,39.25,39.25,39.2,39.2,600
1343,39.2,39.21,39.2,39.21,800
1344,39.21,39.21,39.19,39.19,400
1345,39.19,39.21,39.19,39.21,600
1346,39.205,39.205,39.205,39.205,400
1347,39.205,39.205,39.205,39.205,400
1348,39.205,39.205,39.205,39.205,480
1349,39.205,39.205,39.19,39.2,2400
1350,39.205,39.205,39.205,39.205,420
1351,39.205,39.21,39.205,39.21,600
1352,39.205,39.21,39.2,39.2,1000
1353,39.2,39.2,39.19,39.19,600
1354,39.2,39.2,39.2,39.2,620
1355,39.2,39.2,39.2,39.2,400
1356,39.2,39.2,39.19,39.19,578
1357,39.2,39.205,39.2,39.205,400
1358,39.205,39.205,39.205,39.205,400
1359,39.2,39.2,39.19,39.195,1758
140,39.205,39.205,39.205,39.205,600
141,39.205,39.225,39.205,39.225,1008
142,39.22,39.225,39.21,39.22,1792
143,39.21,39.245,39.21,39.245,1200
144,39.22,39.22,39.18,39.18,2200
145,39.2,39.2,39.2,39.2,606
146,39.18,39.18,39.175,39.175,420
147,39.195,39.195,39.185,39.185,600
148,39.185,39.185,39.175,39.175,400
1410,39.205,39.21,39.205,39.205,1436
1411,39.205,39.205,39.205,39.205,400
1412,39.2,39.2,39.195,39.195,600
1413,39.2,39.2,39.2,39.2,400
1414,39.235,39.26,39.235,39.26,800
1415,39.265,39.27,39.265,39.27,666
1416,39.27,39.27,39.265,39.265,600
1417,39.255,39.26,39.255,39.255,600
1418,39.255,39.265,39.255,39.265,400
1419,39.26,39.26,39.25,39.26,800
1420,39.245,39.255,39.245,39.255,838
1421,39.26,39.26,39.245,39.245,706
1422,39.245,39.245,39.235,39.235,400
1423,39.235,39.235,39.235,39.235,400
1424,39.235,39.235,39.235,39.235,956
1425,39.235,39.245,39.235,39.245,400
1426,39.245,39.245,39.245,39.245,400
1427,39.245,39.245,39.245,39.245,400
1428,39.245,39.245,39.235,39.235,800
1429,39.28,39.28,39.26,39.26,804
1430,39.245,39.245,39.245,39.245,200
1431,39.245,39.245,39.245,39.245,206
1432,39.21,39.21,39.205,39.205,400
1433,39.215,39.225,39.215,39.22,1000
1434,39.22,39.22,39.22,39.22,600
1435,39.23,39.23,39.23,39.23,200
1436,39.225,39.225,39.225,39.225,400
1439,39.235,39.235,39.235,39.235,400
1440,39.23,39.235,39.23,39.235,1800
1441,39.245,39.245,39.245,39.245,400
1442,39.255,39.255,39.255,39.255,554
1443,39.25,39.255,39.25,39.255,846
1445,39.275,39.275,39.275,39.275,1000
1446,39.27,39.275,39.27,39.275,800
1447,39.27,39.27,39.26,39.26,2604
1448,39.25,39.25,39.25,39.25,400
1449,39.24,39.25,39.24,39.25,1400
1450,39.25,39.25,39.25,39.25,202
1451,39.255,39.255,39.245,39.245,1000
1452,39.245,39.255,39.245,39.255,1050
1453,39.265,39.265,39.25,39.25,400
1454,39.25,39.25,39.25,39.25,400
1455,39.24,39.24,39.235,39.235,410
1456,39.22,39.235,39.22,39.235,800
1457,39.235,39.235,39.22,39.22,400
1459,39.21,39.21,39.21,39.21,600
150,39.22,39.22,39.22,39.22,800
151,39.235,39.24,39.235,39.24,1800
152,39.24,39.25,39.24,39.25,1000
153,39.255,39.255,39.245,39.255,800
154,39.255,39.255,39.255,39.255,400
155,39.25,39.25,39.235,39.235,2000
156,39.245,39.255,39.245,39.255,400
157,39.24,39.245,39.24,39.245,800
158,39.255,39.255,39.255,39.255,600
159,39.255,39.255,39.22,39.22,2000
1510,39.2,39.2,39.185,39.185,600
1511,39.185,39.19,39.185,39.19,400
1512,39.185,39.185,39.18,39.18,800
1514,39.12,39.125,39.12,39.125,1200
1515,39.135,39.135,39.135,39.135,600
1516,39.18,39.18,39.175,39.175,1646
1517,39.17,39.17,39.16,39.17,1400
1519,39.18,39.185,39.18,39.185,2040
1520,39.18,39.18,39.18,39.18,400
1521,39.17,39.17,39.17,39.17,400
1522,39.155,39.155,39.155,39.155,204
1524,39.15,39.15,39.15,39.15,1022
1525,39.165,39.165,39.165,39.165,400
1527,39.165,39.19,39.165,39.19,3600
1528,39.18,39.18,39.18,39.18,400
1529,39.195,39.195,39.195,39.195,800
1530,39.2,39.2,39.2,39.2,334
1531,39.205,39.205,39.205,39.205,1604
1532,39.2,39.2,39.2,39.2,200
1534,39.16,39.16,39.155,39.155,400
1535,39.135,39.135,39.135,39.135,1800
1536,39.115,39.115,39.115,39.115,1000
1537,39.115,39.115,39.065,39.065,2194
1538,39.055,39.055,39.01,39.01,2052
1539,38.975,38.975,38.975,38.975,328
1540,38.96,38.96,38.96,38.96,200
1541,38.96,38.96,38.96,38.96,1786
1542,38.945,38.955,38.945,38.955,1200
1543,38.955,38.955,38.955,38.955,420
1544,38.95,38.955,38.945,38.945,1200
1545,38.93,38.93,38.915,38.925,808
1546,38.935,38.935,38.93,38.93,422
1547,38.93,38.935,38.91,38.925,1516
1548,38.92,38.92,38.92,38.92,608
1549,38.895,38.895,38.885,38.885,600
1550,38.865,38.875,38.865,38.875,1634
1551,38.87,38.875,38.86,38.86,1404
1552,38.885,38.92,38.885,38.915,1884
1553,38.935,38.945,38.935,38.945,400
1554,38.935,38.935,38.925,38.925,818
1555,38.935,38.945,38.915,38.915,1620
1556,38.905,38.91,38.88,38.885,1612
1557,38.895,38.925,38.895,38.91,2310
1558,38.925,38.925,38.89,38.895,5370
1559,38.875,38.875,38.845,38.86,4022
957,38.96,38.96,38.96,38.96,200
108,39.1,39.1,39.1,39.1,366
1025,39.13,39.13,39.13,39.13,200
1040,39.365,39.365,39.365,39.365,200
1048,39.3,39.3,39.3,39.3,200
1056,39.135,39.135,39.135,39.135,200
1113,39.325,39.325,39.325,39.325,200
1114,39.27,39.27,39.27,39.27,200
1119,39.265,39.265,39.265,39.265,200
1123,39.25,39.25,39.25,39.25,200
1135,39.25,39.25,39.25,39.25,200
1136,39.235,39.235,39.235,39.235,200
120,39.275,39.275,39.275,39.275,200
1210,39.365,39.365,39.33,39.33,600
1211,39.31,39.31,39.31,39.31,200
1212,39.27,39.27,39.27,39.27,200
1216,39.415,39.415,39.39,39.39,600
1218,39.4,39.4,39.38,39.38,400
1224,39.47,39.47,39.445,39.445,400
1229,39.46,39.46,39.46,39.46,200
1233,39.46,39.46,39.46,39.46,200
1234,39.44,39.44,39.405,39.405,600
1235,39.375,39.375,39.375,39.375,200
1239,39.46,39.46,39.46,39.46,200
1241,39.53,39.54,39.53,39.54,400
1244,39.62,39.62,39.595,39.595,400
1246,39.635,39.635,39.635,39.635,200
1247,39.65,39.65,39.65,39.65,202
1248,39.62,39.62,39.62,39.62,400
1249,39.635,39.635,39.565,39.565,1000
1251,39.56,39.56,39.56,39.56,200
1253,39.585,39.585,39.585,39.585,200
1254,39.52,39.52,39.52,39.52,400
1257,39.56,39.56,39.515,39.515,402
131,39.52,39.52,39.52,39.52,400
134,39.56,39.56,39.56,39.56,200
135,39.545,39.545,39.545,39.545,200
137,39.585,39.585,39.585,39.585,200
1311,39.6,39.6,39.6,39.6,200
1316,39.66,39.66,39.66,39.66,200
1323,39.79,39.79,39.79,39.79,200
1325,39.835,39.835,39.825,39.825,400
1328,39.83,39.83,39.83,39.83,200
1330,39.855,39.855,39.855,39.855,200
1332,39.85,39.85,39.85,39.85,200
1333,39.85,39.85,39.84,39.84,400
1335,39.77,39.77,39.77,39.77,674
1336,39.775,39.775,39.755,39.755,780
1339,39.79,39.79,39.79,39.79,400
1343,39.82,39.82,39.82,39.82,200
1344,39.865,39.865,39.865,39.865,400
1349,39.775,39.775,39.775,39.775,200
1352,39.66,39.66,39.65,39.65,428
1359,39.68,39.68,39.68,39.68,200
143,39.685,39.685,39.67,39.67,600
148,39.65,39.65,39.65,39.65,200
1418,39.675,39.675,39.675,39.675,200
1419,39.69,39.69,39.69,39.69,200
1421,39.69,39.69,39.69,39.69,600
1432,39.66,39.66,39.66,39.66,200
1437,39.71,39.71,39.71,39.71,200
1441,39.65,39.65,39.65,39.65,200
1444,39.66,39.66,39.66,39.66,408
1447,39.65,39.65,39.65,39.65,200
1448,39.65,39.65,39.65,39.65,200
1453,39.665,39.665,39.665,39.665,202
1459,39.68,39.68,39.68,39.68,200
151,39.7,39.7,39.7,39.7,202
156,39.705,39.705,39.705,39.705,200
158,39.725,39.735,39.725,39.735,402
159,39.745,39.745,39.745,39.745,200
1510,39.72,39.72,39.72,39.72,404
1513,39.69,39.69,39.69,39.69,202
1516,39.73,39.73,39.73,39.73,600
1517,39.735,39.735,39.735,39.735,202
1519,39.72,39.72,39.72,39.72,200
1524,39.735,39.735,39.735,39.735,200
1525,39.705,39.705,39.7,39.7,602
1527,39.715,39.715,39.715,39.715,220
1528,39.72,39.72,39.72,39.72,200
1530,39.735,39.735,39.735,39.735,206
1532,39.71,39.71,39.71,39.71,202
1535,39.715,39.715,39.715,39.715,208
1538,39.745,39.745,39.745,39.745,200
1539,39.745,39.745,39.745,39.745,200
1540,39.75,39.75,39.75,39.75,206
1542,39.72,39.72,39.72,39.72,400
1544,39.735,39.735,39.735,39.735,234
1545,39.74,39.75,39.74,39.75,400
1546,39.76,39.76,39.75,39.75,400
1547,39.745,39.745,39.735,39.735,600
1548,39.745,39.745,39.745,39.745,202
1549,39.725,39.725,39.725,39.725,426
1550,39.755,39.755,39.755,39.755,412
1551,39.76,39.76,39.76,39.76,202
1552,39.775,39.775,39.775,39.775,210
1553,39.785,39.785,39.785,39.785,402
1555,39.765,39.765,39.765,39.765,242
1556,39.785,39.79,39.785,39.79,1438
1557,39.805,39.805,39.8,39.8,826
1558,39.785,39.8,39.785,39.8,756
