time,open,high,low,close,volume
1124,6.98,6.98,6.98,6.98,400
1436,7.01,7.01,7,7,400
1438,7,7,7,7,200
1542,6.995,6.995,6.995,6.995,400
1554,6.99,6.99,6.99,6.99,400
1555,6.98,6.98,6.98,6.98,400
110,7.1,7.1,7.1,7.1,200
1212,7.11,7.11,7.11,7.11,200
1219,7.1,7.1,7.1,7.1,200
1419,7.1,7.1,7.09,7.09,400
1524,7.12,7.15,7.12,7.135,2200
1527,7.12,7.12,7.12,7.12,200
1529,7.11,7.11,7.11,7.11,200
1546,7.08,7.08,7.08,7.08,400
939,7.09,7.09,7.09,7.09,200
1153,7.06,7.06,7.06,7.06,400
1235,7.09,7.09,7.09,7.09,200
1526,7,7,7,7,1000
1546,7,7,7,7,600
1554,7.01,7.01,7.01,7.01,1776
1558,7,7,7,7,200
1123,6.91,6.91,6.91,6.91,200
1125,6.92,6.92,6.9,6.9,600
1128,6.9,6.9,6.9,6.9,200
1253,6.86,6.86,6.86,6.86,386
1315,6.83,6.83,6.81,6.81,400
1323,6.89,6.89,6.89,6.89,200
1416,6.905,6.905,6.905,6.905,800
1459,6.905,6.905,6.88,6.88,400
941,6.98,6.98,6.98,6.98,2200
103,7.03,7.03,7.03,7.03,424
1019,7.02,7.03,7.02,7.03,6000
1020,7.02,7.03,7.02,7.03,1696
1026,7.03,7.03,7.03,7.03,200
1041,7.01,7.01,7.01,7.01,4000
117,6.975,6.975,6.975,6.975,200
1122,6.97,6.97,6.97,6.97,200
1133,6.94,6.94,6.94,6.94,200
1138,6.97,6.97,6.97,6.97,200
1222,6.99,6.99,6.99,6.99,1600
1257,7.04,7.04,7.04,7.04,400
134,7.03,7.03,7.03,7.03,200
1318,7.07,7.08,7.07,7.08,400
1422,7.03,7.03,7.03,7.03,200
1424,7.03,7.03,7.03,7.03,200
1441,7.05,7.05,7.05,7.05,200
1445,7.04,7.04,7.04,7.04,400
150,7.05,7.05,7.05,7.05,600
1519,7.04,7.04,7.04,7.04,1428
1530,7.02,7.02,7.02,7.02,200
1531,7.02,7.02,7.02,7.02,200
1543,7,7,7,7,200
1544,7,7,7,7,264
1546,7,7,7,7,1400
1559,7,7,7,7,200
942,7.16,7.16,7.16,7.16,200
943,7.16,7.16,7.16,7.16,200
950,7.16,7.16,7.16,7.16,200
1016,7.16,7.16,7.16,7.16,200
1022,7.175,7.175,7.175,7.175,200
1048,7.1,7.1,7.1,7.1,200
1050,7.09,7.09,7.09,7.09,400
1051,7.09,7.09,7.09,7.09,1000
1052,7.1,7.1,7.1,7.1,400
1357,7.11,7.11,7.1,7.1,400
1415,7.12,7.12,7.12,7.12,200
1434,7.12,7.12,7.12,7.12,200
1542,7.1,7.1,7.1,7.1,800
1549,7.08,7.08,7.08,7.08,600
1133,7.21,7.21,7.21,7.21,200
1135,7.25,7.25,7.25,7.25,800
1235,7.27,7.27,7.27,7.27,400
1239,7.25,7.25,7.25,7.25,800
137,7.29,7.29,7.29,7.29,2400
1422,7.31,7.31,7.31,7.31,200
1533,7.31,7.31,7.31,7.31,200
938,7.13,7.13,7.12,7.12,1800
104,7.12,7.12,7.12,7.12,200
1055,7.18,7.18,7.18,7.18,524
1123,7.155,7.155,7.155,7.155,1600
1138,7.155,7.155,7.155,7.155,510
1147,7.15,7.15,7.15,7.15,1000
1254,7.15,7.15,7.15,7.15,600
1357,7.16,7.16,7.16,7.16,472
1558,7.23,7.23,7.23,7.23,502
945,7.04,7.04,7.04,7.04,200
104,7.07,7.07,7.07,7.07,200
1122,7.02,7.02,7.02,7.02,200
1356,6.95,6.95,6.95,6.95,400
1418,6.97,6.97,6.97,6.97,400
1536,6.96,6.96,6.96,6.96,200
1544,6.94,6.94,6.94,6.94,1000
1034,6.88,6.88,6.88,6.88,600
1039,6.83,6.83,6.83,6.83,200
1116,6.83,6.83,6.83,6.83,1800
1122,6.855,6.855,6.855,6.855,200
1145,6.86,6.86,6.86,6.86,200
1238,6.9,6.9,6.9,6.9,200
130,6.9,6.9,6.9,6.9,776
1556,6.98,6.98,6.98,6.98,2400
959,7.06,7.06,7.06,7.06,200
1050,7.06,7.06,7.06,7.06,200
1051,7.075,7.075,7.075,7.075,200
1053,7.075,7.075,7.075,7.075,200
112,7.06,7.06,7.06,7.06,200
114,7.06,7.06,7.06,7.06,200
1142,7.11,7.11,7.11,7.11,200
1144,7.11,7.11,7.11,7.11,200
1145,7.11,7.11,7.11,7.11,200
1147,7.11,7.11,7.11,7.11,200
1229,7.13,7.13,7.13,7.13,200
1424,7.13,7.13,7.13,7.13,400
1518,7.14,7.14,7.13,7.13,400
1053,7.13,7.13,7.13,7.13,200
114,7.13,7.13,7.13,7.13,200
1310,7.095,7.095,7.095,7.095,200
1411,7.095,7.095,7.095,7.095,200
954,7.18,7.18,7.18,7.18,1586
134,7.195,7.195,7.195,7.195,400
135,7.195,7.195,7.195,7.195,400
1312,7.205,7.205,7.205,7.205,200
1416,7.18,7.18,7.18,7.18,200
1533,7.12,7.12,7.12,7.12,200
1535,7.12,7.12,7.12,7.12,200
1127,7.25,7.25,7.25,7.25,200
1433,7.285,7.285,7.28,7.28,400
158,7.28,7.28,7.28,7.28,200
1539,7.28,7.28,7.28,7.28,600
1411,7.23,7.23,7.23,7.23,200
1435,7.23,7.23,7.23,7.23,200
940,7.16,7.16,7.16,7.16,200
942,7.15,7.165,7.15,7.165,400
1029,7.07,7.07,7.07,7.07,400
1049,7.07,7.07,7.07,7.07,400
1050,7.07,7.07,7.07,7.07,200
113,7.075,7.075,7.075,7.075,1000
119,7.095,7.095,7.095,7.095,400
1127,7.08,7.08,7.08,7.08,200
1128,7.07,7.07,7.07,7.07,600
1259,6.99,6.99,6.99,6.99,600
150,7.01,7.01,7.01,7.01,200
1030,6.87,6.87,6.87,6.87,400
1031,6.885,6.885,6.885,6.885,11200
1041,6.9,6.9,6.9,6.9,400
1052,6.885,6.885,6.885,6.885,800
127,6.69,6.69,6.68,6.68,400
1333,6.77,6.77,6.77,6.77,800
1445,6.72,6.72,6.68,6.68,842
1458,6.685,6.7,6.685,6.7,400
1524,6.705,6.71,6.705,6.71,402
1538,6.72,6.72,6.72,6.72,1000
947,6.58,6.58,6.58,6.58,600
1016,6.46,6.46,6.46,6.46,200
1043,6.53,6.53,6.53,6.53,200
1045,6.54,6.54,6.54,6.54,400
1129,6.53,6.53,6.5,6.5,1000
1147,6.52,6.52,6.52,6.52,400
1215,6.545,6.545,6.545,6.545,1298
1441,6.61,6.61,6.61,6.61,200
1540,6.69,6.69,6.69,6.69,200
1545,6.69,6.69,6.69,6.69,200
1547,6.72,6.72,6.72,6.72,200
1548,6.72,6.72,6.72,6.72,400
1312,6.57,6.57,6.57,6.57,200
1358,6.61,6.61,6.61,6.61,200
153,6.62,6.62,6.62,6.62,200
1131,6.98,6.98,6.98,6.98,200
1542,7.02,7.02,7.02,7.02,200
958,6.99,6.99,6.99,6.99,1000
1013,7,7,7,7,200
1149,7,7,7,7,200
1242,6.99,6.99,6.99,6.99,200
1258,6.98,6.98,6.98,6.98,200
1444,7.03,7.03,7.03,7.03,200
1525,7.04,7.04,7.04,7.04,200
1548,7.03,7.03,7.03,7.03,200
1047,7.1,7.1,7.1,7.1,200
1056,7.1,7.1,7.1,7.1,200
1344,7.07,7.07,7.07,7.07,200
1346,7.06,7.06,7.05,7.05,400
152,7,7,7,7,200
153,6.99,6.99,6.99,6.99,200
1528,6.95,6.95,6.95,6.95,200
1534,6.97,6.97,6.97,6.97,200
1539,6.95,6.95,6.95,6.95,200
1543,6.95,6.95,6.95,6.95,600
1544,6.95,6.95,6.95,6.95,600
1545,6.95,6.95,6.95,6.95,600
1549,6.94,6.94,6.94,6.94,200
1550,6.93,6.93,6.925,6.93,800
1015,7.09,7.09,7.09,7.09,200
1058,7.02,7.02,7.02,7.02,200
1353,6.96,6.96,6.96,6.96,200
1450,6.96,6.96,6.96,6.96,200
1537,6.97,6.97,6.97,6.97,200
1544,6.97,6.97,6.97,6.97,200
1548,6.97,6.97,6.97,6.97,200
1250,7.01,7.01,7,7,560
1255,7.01,7.01,7.01,7.01,200
1556,7.1,7.1,7.1,7.1,200
1558,7.1,7.1,7.1,7.1,200
1559,7.1,7.1,7.1,7.1,400
118,7.29,7.29,7.29,7.29,300
159,7.41,7.41,7.41,7.41,600
1512,7.4,7.4,7.4,7.4,200
1547,7.38,7.38,7.38,7.38,400
1555,7.37,7.37,7.37,7.37,200
1023,7.465,7.465,7.465,7.465,200
1041,7.43,7.43,7.43,7.43,200
1124,7.4,7.4,7.4,7.4,200
1217,7.38,7.38,7.38,7.38,200
1255,7.38,7.38,7.38,7.38,200
1515,7.405,7.405,7.405,7.405,200
1539,7.425,7.425,7.425,7.425,200
1551,7.43,7.43,7.43,7.43,200
938,7.52,7.52,7.52,7.52,200
943,7.5,7.5,7.48,7.48,1000
947,7.51,7.51,7.51,7.51,600
103,7.5,7.5,7.5,7.5,200
1014,7.5,7.5,7.5,7.5,200
1052,7.49,7.49,7.49,7.49,600
113,7.49,7.49,7.49,7.49,600
1114,7.49,7.49,7.49,7.49,200
1147,7.48,7.48,7.48,7.48,200
127,7.48,7.48,7.48,7.48,200
1210,7.49,7.49,7.49,7.49,200
1219,7.49,7.49,7.49,7.49,200
1235,7.48,7.48,7.48,7.48,200
1440,7.525,7.525,7.525,7.525,200
1524,7.525,7.525,7.525,7.525,200
1559,7.54,7.54,7.54,7.54,200
1028,7.53,7.53,7.53,7.53,200
1133,7.57,7.57,7.57,7.57,200
1134,7.6,7.6,7.6,7.6,400
1140,7.6,7.6,7.6,7.6,200
136,7.56,7.56,7.56,7.56,400
143,7.57,7.57,7.57,7.57,400
149,7.57,7.57,7.57,7.57,400
1452,7.55,7.55,7.55,7.55,200
1453,7.53,7.53,7.53,7.53,200
1455,7.54,7.54,7.54,7.54,400
1458,7.58,7.58,7.58,7.58,200
1529,7.62,7.62,7.62,7.62,400
160,7.56,7.56,7.56,7.56,200
1014,7.61,7.61,7.61,7.61,200
1025,7.61,7.61,7.61,7.61,200
1210,7.75,7.75,7.75,7.75,200
1245,7.75,7.75,7.75,7.75,200
1431,7.79,7.79,7.79,7.79,200
1537,7.8,7.8,7.8,7.8,200
1550,7.79,7.79,7.79,7.79,200
1551,7.8,7.8,7.79,7.79,400
117,7.85,7.85,7.85,7.85,200
1340,7.86,7.86,7.86,7.86,300
142,7.81,7.81,7.8,7.8,400
143,7.81,7.81,7.81,7.81,358
1426,7.8,7.8,7.8,7.8,200
1517,7.73,7.73,7.73,7.73,400
1519,7.74,7.74,7.74,7.74,400
1520,7.74,7.74,7.74,7.74,600
1521,7.73,7.74,7.73,7.74,400
1527,7.71,7.71,7.71,7.71,200
1542,7.69,7.69,7.69,7.69,200
1545,7.69,7.69,7.69,7.69,200
1548,7.7,7.7,7.7,7.7,400
1550,7.7,7.7,7.7,7.7,664
1554,7.69,7.69,7.69,7.69,520
1024,7.89,7.89,7.89,7.89,600
1031,7.9,7.9,7.9,7.9,400
1032,7.9,7.9,7.9,7.9,400
1043,7.91,7.91,7.91,7.91,1800
1045,7.93,7.93,7.93,7.93,200
1124,7.965,7.965,7.965,7.965,400
1125,7.965,7.965,7.965,7.965,1184
1132,7.965,7.965,7.965,7.965,600
1140,7.985,7.985,7.985,7.985,400
1159,7.985,7.985,7.985,7.985,200
1215,7.93,7.93,7.93,7.93,200
1243,7.95,7.95,7.95,7.95,4800
1324,7.965,7.965,7.965,7.965,1048
1325,7.965,7.965,7.965,7.965,600
1339,7.97,7.97,7.97,7.97,200
1451,7.97,7.97,7.97,7.97,200
159,7.96,7.96,7.96,7.96,1400
1556,8.01,8.01,8.01,8.01,200
948,7.94,7.94,7.94,7.94,400
956,7.92,7.92,7.92,7.92,200
1111,7.97,7.97,7.97,7.97,200
1143,7.95,7.95,7.95,7.95,200
1231,7.94,7.94,7.94,7.94,342
1449,7.92,7.92,7.91,7.91,400
1456,7.9,7.9,7.9,7.9,200
1547,7.91,7.91,7.905,7.905,400
1548,7.905,7.905,7.905,7.905,1800
932,8.25,8.25,8.25,8.25,1600
1113,8.3,8.3,8.3,8.3,200
1212,8.315,8.315,8.315,8.315,200
1213,8.3,8.3,8.3,8.3,200
1239,8.29,8.29,8.29,8.29,200
131,8.28,8.28,8.28,8.28,200
142,8.27,8.27,8.27,8.27,200
1416,8.28,8.28,8.28,8.28,200
1429,8.27,8.27,8.27,8.27,200
1442,8.26,8.26,8.26,8.26,200
156,8.26,8.26,8.26,8.26,200
159,8.32,8.32,8.32,8.32,200
1537,8.285,8.285,8.285,8.285,200
1550,8.245,8.245,8.245,8.245,200
933,8.35,8.35,8.35,8.35,400
939,8.44,8.44,8.44,8.44,400
102,8.39,8.39,8.38,8.38,3400
1021,8.41,8.41,8.41,8.41,200
1040,8.42,8.42,8.42,8.42,200
1121,8.455,8.455,8.455,8.455,200
1155,8.455,8.455,8.455,8.455,200
132,8.4,8.4,8.4,8.4,200
135,8.42,8.42,8.42,8.42,200
1318,8.42,8.42,8.42,8.42,200
1323,8.42,8.46,8.42,8.46,400
159,8.455,8.455,8.455,8.455,600
1518,8.455,8.455,8.455,8.455,400
1526,8.455,8.455,8.455,8.455,200
1527,8.49,8.49,8.49,8.49,200
1549,8.49,8.49,8.49,8.49,200
1037,8.34,8.34,8.34,8.34,200
1337,8.33,8.33,8.33,8.33,400
1417,8.27,8.27,8.27,8.27,1200
1532,8.32,8.32,8.32,8.32,400
1536,8.32,8.32,8.32,8.32,200
1118,8.1,8.1,8.1,8.1,200
141,8.16,8.16,8.16,8.16,200
1515,8.18,8.18,8.18,8.18,200
1518,8.2,8.2,8.2,8.2,200
1532,8.18,8.18,8.18,8.18,200
1546,8.13,8.13,8.13,8.13,200
933,7.84,7.84,7.84,7.84,200
934,7.71,7.71,7.71,7.71,400
957,7.89,7.89,7.89,7.89,300
1045,7.78,7.78,7.71,7.71,400
1316,7.64,7.64,7.64,7.64,200
1333,7.65,7.65,7.65,7.65,200
1336,7.65,7.65,7.65,7.65,200
1344,7.65,7.65,7.65,7.65,200
1347,7.65,7.65,7.65,7.65,200
1356,7.66,7.66,7.66,7.66,200
1438,7.67,7.67,7.67,7.67,200
1440,7.67,7.67,7.67,7.67,200
1441,7.67,7.67,7.67,7.67,200
1511,7.63,7.63,7.63,7.63,400
1525,7.65,7.65,7.65,7.65,200
1528,7.63,7.63,7.63,7.63,200
1534,7.64,7.64,7.64,7.64,200
1538,7.625,7.625,7.625,7.625,200
948,7.72,7.72,7.72,7.72,780
957,7.65,7.65,7.65,7.65,1400
105,7.675,7.675,7.675,7.675,200
113,7.51,7.51,7.51,7.51,200
1225,7.6,7.6,7.6,7.6,200
948,7.36,7.36,7.36,7.36,200
953,7.38,7.38,7.38,7.38,400
1050,7.5,7.5,7.5,7.5,100
1433,7.72,7.72,7.72,7.72,100
1510,7.69,7.705,7.69,7.705,300
1512,7.695,7.695,7.695,7.695,500
1516,7.7,7.7,7.7,7.7,200
107,7.9,7.9,7.9,7.9,100
1019,7.87,7.87,7.86,7.86,200
111,7.66,7.66,7.66,7.66,184
123,7.75,7.75,7.75,7.75,100
1248,7.78,7.78,7.78,7.78,200
1333,7.74,7.74,7.74,7.74,100
148,7.745,7.745,7.73,7.73,200
1515,7.74,7.74,7.74,7.74,100
1517,7.74,7.74,7.74,7.74,100
1524,7.77,7.77,7.765,7.765,200
1539,7.77,7.77,7.77,7.77,100
1030,7.74,7.74,7.74,7.74,200
117,7.76,7.76,7.76,7.76,100
1115,7.77,7.77,7.77,7.77,100
1515,7.8,7.8,7.8,7.8,600
1541,7.78,7.78,7.78,7.78,199
117,7.76,7.76,7.76,7.76,100
1144,7.73,7.73,7.73,7.73,100
1146,7.73,7.73,7.73,7.73,100
1148,7.74,7.74,7.74,7.74,100
1150,7.74,7.74,7.74,7.74,100
1152,7.74,7.74,7.74,7.74,100
1153,7.73,7.73,7.73,7.73,100
1155,7.73,7.73,7.73,7.73,100
120,7.71,7.71,7.71,7.71,500
1222,7.72,7.72,7.72,7.72,100
