time,open,high,low,close,volume
1056,10.015,10.015,10.015,10.015,300
110,10.015,10.015,10.015,10.015,400
113,10.025,10.025,10.025,10.025,100
1118,10.2,10.2,10.2,10.2,100
1119,10.21,10.21,10.21,10.21,209
1124,10.28,10.28,10.28,10.28,100
1129,10.2,10.2,10.195,10.195,202
1137,10.2,10.2,10.2,10.2,100
1138,10.225,10.225,10.225,10.225,100
1153,10.2,10.2,10.19,10.19,200
1156,10.145,10.145,10.145,10.145,100
125,10.08,10.08,10.08,10.08,301
1215,10.03,10.03,9.98,9.98,396
1218,10.07,10.07,10.07,10.07,100
1219,10.15,10.15,10.15,10.15,152
1222,10.12,10.12,10.12,10.12,100
1224,10.17,10.17,10.17,10.17,100
1226,10.14,10.14,10.14,10.14,100
1230,10.135,10.135,10.135,10.135,200
1259,10.085,10.085,10.085,10.085,100
1346,9.99,9.99,9.99,9.99,100
1349,9.97,9.97,9.97,9.97,100
1414,9.925,9.925,9.925,9.925,100
1426,9.87,9.87,9.87,9.87,125
1430,9.9,9.9,9.9,9.9,101
1431,9.925,9.925,9.925,9.925,102
1439,9.93,9.93,9.89,9.89,200
153,9.955,9.955,9.955,9.955,100
1524,9.95,9.95,9.95,9.95,201
1525,9.915,9.915,9.915,9.915,126
1526,9.915,9.915,9.915,9.915,102
1531,9.86,9.86,9.86,9.86,201
1543,9.88,9.88,9.88,9.88,112
1558,9.835,9.835,9.835,9.835,105
1559,9.825,9.825,9.825,9.825,824
938,9.28,9.28,9.28,9.28,201
940,9.205,9.205,9.205,9.205,100
101,9.43,9.46,9.43,9.46,200
1050,9.56,9.56,9.56,9.56,100
1054,9.54,9.595,9.54,9.595,200
1055,9.595,9.595,9.595,9.595,100
114,9.66,9.66,9.66,9.66,100
1117,9.625,9.625,9.625,9.625,100
1134,9.46,9.46,9.45,9.45,200
1143,9.45,9.45,9.45,9.45,120
1144,9.53,9.53,9.52,9.52,700
1146,9.47,9.47,9.47,9.47,150
1148,9.52,9.52,9.52,9.52,200
123,9.51,9.51,9.51,9.51,100
1215,9.54,9.54,9.54,9.54,100
1225,9.52,9.52,9.52,9.52,100
1244,9.56,9.56,9.56,9.56,100
1255,9.53,9.53,9.53,9.53,200
1330,9.52,9.52,9.52,9.52,100
1349,9.44,9.44,9.44,9.44,132
1357,9.44,9.44,9.44,9.44,100
1426,9.53,9.53,9.53,9.53,100
1442,9.54,9.54,9.54,9.54,193
1544,9.49,9.49,9.49,9.49,187
1548,9.49,9.49,9.49,9.49,100
1555,9.51,9.51,9.51,9.51,100
1557,9.47,9.5,9.47,9.5,400
1558,9.5,9.5,9.5,9.5,100
80,9.56,9.56,9.39,9.39,200
81,9.47,9.47,9.47,9.47,100
84,9.41,9.41,9.41,9.41,100
86,9.42,9.42,9.42,9.42,100
87,9.43,9.43,9.43,9.43,100
88,9.42,9.42,9.42,9.42,100
810,9.44,9.44,9.4,9.4,200
812,9.47,9.48,9.47,9.48,200
813,9.52,9.52,9.43,9.43,200
815,9.43,9.45,9.43,9.45,200
817,9.5,9.5,9.41,9.41,200
818,9.4,9.4,9.4,9.4,100
820,9.49,9.49,9.49,9.49,200
821,9.46,9.51,9.46,9.51,200
822,9.49,9.49,9.49,9.49,100
826,9.37,9.37,9.37,9.37,100
827,9.43,9.43,9.38,9.38,200
828,9.46,9.46,9.46,9.46,100
