time,open,high,low,close,volume
1557,12.26,12.27,12.26,12.27,935
936,12.065,12.065,12.065,12.065,100
937,12.065,12.065,12.065,12.065,400
1119,12.12,12.12,12.12,12.12,100
1459,12.03,12.03,12.03,12.03,200
1538,12.02,12.02,12.02,12.02,300
1540,12.02,12.02,12.02,12.02,100
1544,12.02,12.02,12.02,12.02,300
1545,12.02,12.02,12.02,12.02,200
1548,12.02,12.02,12.02,12.02,900
1346,12.005,12.005,12.005,12.005,100
1357,12.02,12.02,12.02,12.02,300
141,12.02,12.02,12.01,12.01,200
1424,12.02,12.02,12.02,12.02,100
1520,12.005,12.005,12.005,12.005,100
1547,12,12,12,12,100
1554,11.99,11.99,11.99,11.99,100
1555,11.99,11.99,11.99,11.99,100
1557,11.99,11.99,11.99,11.99,100
937,12,12,12,12,100
1037,12.01,12.01,12.01,12.01,200
1111,12.02,12.02,12.02,12.02,100
1332,12.02,12.02,12.02,12.02,100
156,12.05,12.05,12.05,12.05,100
1511,12.05,12.05,12.05,12.05,100
1516,12.05,12.05,12.05,12.05,100
1518,12.05,12.05,12.05,12.05,100
1010,11.995,11.995,11.995,11.995,100
1014,11.995,11.995,11.995,11.995,100
1143,12.015,12.015,12.015,12.015,100
1247,11.995,11.995,11.995,11.995,100
1312,12,12,12,12,100
1324,12,12,11.94,11.94,1200
1350,11.99,11.99,11.99,11.99,100
1419,12.005,12.005,12.005,12.005,100
1532,12.025,12.025,12.025,12.025,100
1248,12.06,12.06,12.06,12.06,100
1355,12.06,12.06,12.06,12.06,200
144,12.05,12.05,12.05,12.05,100
147,12.06,12.06,12.06,12.06,100
1521,12.05,12.05,12.05,12.05,150
1013,12.07,12.07,12.07,12.07,100
1059,12.07,12.07,12.07,12.07,100
116,12.07,12.07,12.07,12.07,100
1115,12.07,12.07,12.07,12.07,100
1411,12.09,12.09,12.09,12.09,100
151,12.1,12.1,12.1,12.1,100
1514,12.09,12.09,12.09,12.09,500
1056,12.1,12.1,12.1,12.1,100
1126,12.1,12.1,12.1,12.1,100
1136,12.1,12.1,12.1,12.1,100
1146,12.1,12.1,12.1,12.1,100
1156,12.1,12.1,12.1,12.1,100
1256,12.1,12.1,12.1,12.1,100
138,12.1,12.1,12.1,12.1,400
1327,12.1,12.1,12.1,12.1,100
1328,12.11,12.11,12.11,12.11,100
1357,12.1,12.1,12.1,12.1,100
1417,12.08,12.08,12.08,12.08,100
1427,12.075,12.075,12.075,12.075,100
1437,12.07,12.07,12.07,12.07,100
1447,12.07,12.07,12.07,12.07,100
1547,12.1,12.1,12.1,12.1,100
1557,12.1,12.1,12.1,12.1,633
1337,12.135,12.15,12.135,12.15,300
110,12.06,12.06,12.06,12.06,100
1113,12.06,12.06,12.06,12.06,100
1125,12.06,12.06,12.06,12.06,100
1151,12.06,12.06,12.06,12.06,100
1535,12.07,12.07,12.07,12.07,100
1121,12.01,12.01,12.01,12.01,100
1250,12.01,12.01,12.01,12.01,500
1417,12.01,12.01,12.01,12.01,100
1134,12.02,12.02,12.02,12.02,107
1235,12.04,12.04,12.04,12.04,200
1249,12.04,12.04,12.04,12.04,180
1533,12.09,12.09,12.09,12.09,440
1016,12.07,12.07,12.07,12.07,100
1037,12.04,12.04,12.04,12.04,100
1043,12.04,12.04,12.04,12.04,200
118,12.04,12.04,12.04,12.04,100
1122,12.04,12.04,12.04,12.04,100
1240,11.98,11.98,11.98,11.98,800
1534,11.985,11.985,11.985,11.985,300
1551,11.985,11.985,11.985,11.985,600
1038,12.01,12.01,12.01,12.01,200
939,12.01,12.01,12.01,12.01,190
948,12.02,12.02,12.02,12.02,100
1113,12.08,12.08,12.08,12.08,100
1516,12.04,12.04,12.04,12.04,100
1551,12.07,12.07,12.07,12.07,200
1039,12.03,12.03,12.03,12.03,100
1056,12.025,12.025,12.025,12.025,200
119,12.025,12.025,12.025,12.025,800
1122,12.025,12.025,12.025,12.025,100
1246,12.04,12.04,12.04,12.04,200
949,12.045,12.045,12.045,12.045,200
959,12.03,12.03,12.03,12.03,100
