time,open,high,low,close,volume
1133,16.58,16.58,16.47,16.47,400
1135,16.6,16.6,16.6,16.6,100
1245,17.04,17.04,17.04,17.04,100
135,16.95,16.95,16.95,16.95,130
1417,17.16,17.16,17.16,17.16,100
1453,16.98,16.98,16.98,16.98,100
152,16.84,16.84,16.82,16.82,200
1533,16.81,16.81,16.81,16.81,100
1559,16.7,16.71,16.7,16.71,200
930,15.83,15.83,15.82,15.82,1200
934,15.75,15.76,15.75,15.76,400
936,15.75,15.75,15.75,15.75,200
959,15.68,15.68,15.68,15.68,200
1016,15.8,15.8,15.8,15.8,332
1037,15.97,15.97,15.97,15.97,400
1046,15.96,15.96,15.95,15.95,400
1051,15.97,15.97,15.97,15.97,200
118,15.64,15.64,15.64,15.64,200
1211,15.29,15.29,15.29,15.29,200
1212,15.09,15.1,15.09,15.1,400
1230,15.06,15.06,15.06,15.06,200
1416,15.22,15.22,15.22,15.22,400
1430,15.42,15.42,15.42,15.42,200
1441,15.355,15.355,15.355,15.355,500
1443,15.355,15.355,15.355,15.355,400
1449,15.43,15.435,15.43,15.435,800
1451,15.455,15.455,15.455,15.455,200
1452,15.455,15.455,15.455,15.455,400
1454,15.455,15.455,15.455,15.455,400
1456,15.455,15.455,15.455,15.455,400
1457,15.455,15.485,15.455,15.485,800
1458,15.505,15.505,15.505,15.505,1358
1459,15.555,15.555,15.555,15.555,400
153,15.56,15.56,15.56,15.56,200
154,15.565,15.635,15.565,15.635,600
155,15.705,15.705,15.705,15.705,400
156,15.75,15.765,15.75,15.765,2740
157,15.745,15.745,15.745,15.745,400
158,15.745,15.745,15.745,15.745,1200
159,15.745,15.745,15.745,15.745,400
1510,15.745,15.77,15.745,15.77,800
1511,15.78,15.8,15.775,15.795,3200
1513,15.79,15.79,15.78,15.78,800
1514,15.775,15.775,15.775,15.775,400
1515,15.835,15.835,15.835,15.835,200
1517,15.925,15.925,15.925,15.925,200
1523,16.04,16.04,16.04,16.04,200
1524,15.995,15.995,15.995,15.995,200
1527,16.25,16.25,16.25,16.25,394
1528,16.13,16.13,16.07,16.07,1400
1530,16.08,16.08,16.08,16.08,360
