time,open,high,low,close,volume
1522,12.26,12.26,12.26,12.26,200
1551,12.24,12.24,12.24,12.24,400
944,12.165,12.165,12.11,12.11,2600
945,12.11,12.11,12.11,12.11,200
948,12.1,12.1,12.1,12.1,200
956,12.105,12.105,12.105,12.105,1000
103,12.11,12.11,12.11,12.11,400
104,12.105,12.105,12.09,12.09,2400
105,12.095,12.1,12.095,12.1,400
1011,12.12,12.12,12.12,12.12,200
1018,12.11,12.11,12.11,12.11,800
1020,12.095,12.095,12.095,12.095,200
1029,12.095,12.095,12.095,12.095,200
1039,12.1,12.1,12.1,12.1,200
1041,12.095,12.095,12.095,12.095,600
1042,12.11,12.11,12.11,12.11,400
1051,12.1,12.1,12.1,12.1,200
1056,12.11,12.11,12.11,12.11,800
1314,12.12,12.12,12.11,12.12,2200
1338,12.12,12.12,12.12,12.12,200
1339,12.14,12.14,12.14,12.14,800
1344,12.14,12.14,12.14,12.14,1124
1421,12.13,12.13,12.12,12.12,512
1426,12.13,12.13,12.13,12.13,400
1434,12.14,12.14,12.14,12.14,400
1453,12.13,12.13,12.13,12.13,200
1513,12.135,12.14,12.135,12.14,400
1553,12.14,12.14,12.14,12.14,200
1015,12.125,12.125,12.125,12.125,200
1016,12.105,12.105,12.105,12.105,200
1054,12.12,12.12,12.11,12.11,600
110,12.12,12.12,12.12,12.12,200
119,12.12,12.12,12.12,12.12,200
1254,12.12,12.12,12.12,12.12,600
1459,12.1,12.1,12.1,12.1,200
1518,12.12,12.12,12.12,12.12,200
1523,12.12,12.12,12.12,12.12,200
947,12.17,12.17,12.17,12.17,100
950,12.17,12.17,12.17,12.17,100
121,12.155,12.155,12.155,12.155,100
956,12.16,12.16,12.16,12.16,400
1034,12.165,12.165,12.165,12.165,200
1054,12.17,12.17,12.17,12.17,800
1222,12.165,12.165,12.165,12.165,200
140,12.165,12.165,12.165,12.165,200
1438,12.16,12.16,12.16,12.16,400
1440,12.175,12.175,12.175,12.175,600
1459,12.18,12.18,12.18,12.18,200
159,12.18,12.18,12.18,12.18,200
1512,12.18,12.18,12.18,12.18,400
1519,12.18,12.18,12.18,12.18,800
1555,12.175,12.175,12.175,12.175,200
1556,12.175,12.175,12.175,12.175,200
1559,12.18,12.18,12.18,12.18,200
1053,12.23,12.23,12.23,12.23,200
1220,12.235,12.235,12.235,12.235,1906
1225,12.23,12.23,12.23,12.23,1200
1228,12.235,12.235,12.235,12.235,200
1238,12.235,12.235,12.235,12.235,1600
1242,12.235,12.235,12.235,12.235,200
1445,12.245,12.245,12.245,12.245,250
1559,12.225,12.225,12.225,12.225,200
121,12.31,12.31,12.31,12.31,200
126,12.31,12.31,12.31,12.31,800
1251,12.33,12.33,12.33,12.33,400
1525,12.33,12.33,12.33,12.33,200
1552,12.33,12.33,12.33,12.33,328
931,12.36,12.36,12.36,12.36,1330
1026,12.395,12.395,12.395,12.395,200
1038,12.395,12.395,12.395,12.395,200
1042,12.395,12.395,12.395,12.395,400
1044,12.39,12.39,12.39,12.39,200
1047,12.4,12.4,12.4,12.4,200
1049,12.39,12.39,12.39,12.39,200
1058,12.4,12.4,12.4,12.4,200
1121,12.41,12.41,12.41,12.41,200
1315,12.425,12.425,12.425,12.425,200
1353,12.41,12.41,12.41,12.41,200
155,12.42,12.42,12.42,12.42,246
1544,12.42,12.42,12.42,12.42,762
955,12.46,12.46,12.46,12.46,200
1025,12.45,12.45,12.45,12.45,200
1032,12.465,12.465,12.465,12.465,200
1037,12.47,12.47,12.47,12.47,200
1041,12.465,12.465,12.465,12.465,400
1054,12.455,12.455,12.455,12.455,200
117,12.45,12.45,12.45,12.45,400
119,12.46,12.46,12.46,12.46,200
1125,12.465,12.465,12.465,12.465,200
1433,12.485,12.485,12.485,12.485,200
150,12.495,12.495,12.495,12.495,200
157,12.48,12.48,12.48,12.48,200
1511,12.48,12.48,12.48,12.48,1800
1517,12.5,12.5,12.5,12.5,400
1541,12.49,12.49,12.49,12.49,792
1549,12.485,12.49,12.485,12.49,400
1553,12.48,12.48,12.48,12.48,200
103,12.53,12.53,12.525,12.525,1800
1044,12.555,12.555,12.555,12.555,400
1238,12.57,12.57,12.57,12.57,328
1417,12.58,12.59,12.58,12.59,3600
1421,12.56,12.56,12.56,12.56,200
1458,12.57,12.57,12.57,12.57,200
1533,12.56,12.56,12.56,12.56,200
950,12.61,12.61,12.61,12.61,300
106,12.63,12.63,12.63,12.63,200
108,12.63,12.63,12.63,12.63,200
1014,12.63,12.63,12.63,12.63,200
1023,12.63,12.63,12.63,12.63,200
1027,12.62,12.62,12.62,12.62,200
1028,12.63,12.63,12.63,12.63,200
1033,12.625,12.625,12.625,12.625,200
1054,12.65,12.65,12.65,12.65,200
1056,12.65,12.66,12.65,12.66,400
110,12.66,12.66,12.66,12.66,200
116,12.66,12.66,12.66,12.66,200
1223,12.65,12.65,12.65,12.65,600
1233,12.64,12.64,12.64,12.64,200
1253,12.66,12.66,12.66,12.66,398
1255,12.67,12.67,12.67,12.67,200
130,12.67,12.67,12.67,12.67,200
134,12.66,12.66,12.66,12.66,200
135,12.67,12.68,12.67,12.68,1460
1312,12.68,12.68,12.68,12.68,200
1315,12.67,12.67,12.67,12.67,200
1319,12.67,12.67,12.67,12.67,200
1331,12.66,12.66,12.66,12.66,200
1341,12.67,12.67,12.67,12.67,200
1345,12.66,12.66,12.66,12.66,200
1348,12.67,12.67,12.67,12.67,200
1358,12.66,12.66,12.66,12.66,200
144,12.66,12.66,12.66,12.66,200
145,12.67,12.67,12.67,12.67,200
147,12.665,12.665,12.66,12.66,400
1421,12.66,12.66,12.66,12.66,200
1424,12.66,12.66,12.66,12.66,200
1427,12.67,12.67,12.67,12.67,400
1430,12.665,12.665,12.665,12.665,200
1433,12.66,12.66,12.66,12.66,200
1448,12.66,12.66,12.66,12.66,200
151,12.66,12.66,12.66,12.66,200
156,12.65,12.655,12.65,12.655,400
159,12.65,12.65,12.65,12.65,200
1511,12.65,12.65,12.65,12.65,200
1514,12.65,12.655,12.65,12.65,800
1524,12.65,12.65,12.65,12.65,200
1544,12.655,12.655,12.655,12.655,200
1545,12.655,12.66,12.65,12.66,778
1553,12.665,12.665,12.665,12.665,200
1554,12.66,12.66,12.66,12.66,400
1556,12.675,12.675,12.675,12.675,600
940,12.74,12.74,12.74,12.74,200
942,12.74,12.74,12.74,12.74,200
100,12.75,12.75,12.75,12.75,200
1023,12.76,12.76,12.76,12.76,200
1034,12.77,12.77,12.77,12.77,200
1038,12.77,12.77,12.77,12.77,258
1122,12.76,12.76,12.76,12.76,200
1127,12.76,12.76,12.76,12.76,200
1244,12.72,12.72,12.72,12.72,200
134,12.72,12.72,12.72,12.72,200
1345,12.74,12.74,12.74,12.74,600
1348,12.75,12.75,12.75,12.75,200
1443,12.745,12.745,12.745,12.745,400
1452,12.755,12.755,12.755,12.755,252
153,12.755,12.76,12.755,12.76,800
158,12.755,12.76,12.755,12.76,400
1521,12.755,12.76,12.755,12.76,400
1526,12.755,12.76,12.755,12.76,600
1549,12.77,12.77,12.77,12.77,400
1554,12.77,12.785,12.77,12.785,658
1558,12.78,12.78,12.78,12.78,400
938,12.83,12.83,12.83,12.83,400
950,12.87,12.87,12.87,12.87,200
957,12.86,12.86,12.86,12.86,200
102,12.865,12.865,12.865,12.865,400
1011,12.85,12.85,12.85,12.85,200
1115,12.84,12.85,12.84,12.85,600
1118,12.84,12.84,12.84,12.84,200
1128,12.84,12.84,12.84,12.84,200
129,12.81,12.81,12.81,12.81,200
1321,12.83,12.83,12.83,12.83,200
1324,12.84,12.84,12.84,12.84,200
1522,12.83,12.83,12.83,12.83,400
1559,12.83,12.83,12.83,12.83,318
950,12.87,12.87,12.87,12.87,200
1011,12.87,12.87,12.87,12.87,400
1026,12.87,12.87,12.87,12.87,400
1041,12.85,12.85,12.85,12.85,200
1241,12.82,12.83,12.82,12.83,600
1257,12.84,12.84,12.84,12.84,600
1258,12.85,12.85,12.85,12.85,666
1315,12.84,12.84,12.84,12.84,200
1319,12.86,12.86,12.86,12.86,200
1320,12.88,12.88,12.88,12.88,400
1328,12.88,12.88,12.88,12.88,200
1359,12.86,12.86,12.86,12.86,200
1419,12.86,12.9,12.86,12.89,1258
1430,12.86,12.86,12.85,12.85,600
150,12.86,12.86,12.86,12.86,400
157,12.86,12.86,12.86,12.86,300
1518,12.865,12.87,12.865,12.87,2600
1519,12.87,12.87,12.87,12.87,400
1522,12.87,12.87,12.87,12.87,200
1524,12.87,12.87,12.87,12.87,1400
1525,12.865,12.865,12.865,12.865,1000
1526,12.86,12.86,12.86,12.86,400
1542,12.87,12.87,12.87,12.87,800
1545,12.87,12.87,12.87,12.87,200
1546,12.87,12.87,12.87,12.87,400
1557,12.87,12.87,12.87,12.87,200
1123,12.86,12.88,12.86,12.88,658
137,12.85,12.85,12.85,12.85,200
1315,12.84,12.84,12.84,12.84,1000
1317,12.84,12.84,12.84,12.84,200
1359,12.83,12.83,12.83,12.83,200
1421,12.83,12.85,12.83,12.85,1000
1434,12.83,12.83,12.83,12.83,400
1435,12.82,12.82,12.82,12.82,200
1442,12.86,12.9,12.86,12.9,1000
1519,12.87,12.87,12.87,12.87,200
1528,12.89,12.89,12.89,12.89,200
1537,12.89,12.9,12.89,12.9,400
950,12.88,12.88,12.88,12.88,200
1012,12.87,12.87,12.87,12.87,200
1121,12.87,12.87,12.86,12.86,400
1141,12.87,12.87,12.87,12.87,200
1144,12.88,12.88,12.88,12.88,200
1318,12.91,12.94,12.91,12.94,1400
1343,12.885,12.885,12.885,12.885,200
154,12.88,12.88,12.88,12.88,200
1537,12.88,12.88,12.88,12.88,200
1548,12.88,12.88,12.88,12.88,200
1551,12.87,12.87,12.87,12.87,200
1553,12.88,12.89,12.88,12.89,1000
1048,12.88,12.88,12.88,12.88,200
1053,12.88,12.9,12.88,12.9,1000
1513,12.87,12.87,12.87,12.87,200
1555,12.85,12.85,12.85,12.85,200
942,12.93,12.93,12.93,12.93,200
953,12.91,12.91,12.91,12.91,800
955,12.91,12.91,12.91,12.91,200
101,12.91,12.91,12.91,12.91,1200
1112,12.905,12.905,12.905,12.905,400
1119,12.9,12.9,12.9,12.9,200
1120,12.91,12.91,12.91,12.91,200
1252,12.91,12.91,12.91,12.91,1800
134,12.93,12.93,12.93,12.93,200
1452,12.9,12.9,12.9,12.9,400
157,12.92,12.92,12.92,12.92,200
1537,12.915,12.92,12.915,12.92,3200
1545,12.93,12.93,12.93,12.93,400
1024,12.94,12.94,12.94,12.94,600
1030,12.96,12.96,12.96,12.96,242
1041,12.94,12.94,12.94,12.94,200
116,12.93,12.93,12.93,12.93,200
1132,12.93,12.93,12.93,12.93,200
1142,12.93,12.93,12.93,12.93,200
1155,12.93,12.93,12.93,12.93,200
1224,12.935,12.935,12.935,12.935,200
1336,12.94,12.94,12.94,12.94,200
1337,12.95,12.95,12.95,12.95,200
1338,12.94,12.94,12.94,12.94,200
1559,12.93,12.93,12.93,12.93,244
1129,12.905,12.92,12.905,12.92,1800
1255,12.93,12.93,12.93,12.93,200
1257,12.94,12.94,12.94,12.94,200
1444,12.935,12.935,12.92,12.92,400
1511,12.94,12.94,12.94,12.94,200
1528,12.935,12.935,12.935,12.935,200
1532,12.94,12.94,12.94,12.94,200
1535,12.94,12.94,12.94,12.94,400
1056,12.87,12.87,12.87,12.87,200
1126,12.86,12.86,12.85,12.85,400
129,12.82,12.82,12.82,12.82,200
1236,12.81,12.81,12.81,12.81,400
1248,12.8,12.8,12.8,12.8,200
1447,12.81,12.81,12.81,12.81,200
930,12.77,12.78,12.77,12.78,2000
952,12.85,12.85,12.85,12.85,200
106,12.83,12.83,12.83,12.83,284
1023,12.85,12.85,12.85,12.85,200
110,12.82,12.82,12.82,12.82,200
1251,12.8,12.8,12.8,12.8,200
1252,12.8,12.8,12.8,12.8,200
1258,12.8,12.8,12.8,12.8,200
130,12.8,12.8,12.8,12.8,200
132,12.8,12.8,12.8,12.8,200
1413,12.77,12.77,12.77,12.77,200
1433,12.77,12.77,12.77,12.77,200
1447,12.79,12.79,12.79,12.79,200
1450,12.79,12.79,12.79,12.79,200
1452,12.79,12.79,12.79,12.79,200
1454,12.79,12.79,12.79,12.79,200
1551,12.825,12.825,12.825,12.825,200
1554,12.81,12.81,12.81,12.81,200
1555,12.81,12.81,12.81,12.81,200
937,12.76,12.76,12.75,12.75,400
951,12.75,12.75,12.75,12.75,100
955,12.77,12.77,12.77,12.77,100
107,12.77,12.77,12.77,12.77,200
1016,12.77,12.77,12.77,12.77,100
1030,12.77,12.8,12.77,12.77,400
1034,12.76,12.76,12.76,12.76,100
1047,12.77,12.77,12.77,12.77,100
1110,12.755,12.755,12.755,12.755,100
