time,open,high,low,close,volume
1045,19.32,19.33,19.31,19.31,500
1047,19.305,19.305,19.305,19.305,500
1048,19.305,19.305,19.305,19.305,200
1049,19.305,19.305,19.285,19.285,6700
1050,19.29,19.35,19.29,19.34,925
1051,19.345,19.345,19.33,19.345,2227
1052,19.33,19.33,19.33,19.33,165
1054,19.4,19.4,19.4,19.4,200
1055,19.405,19.405,19.4,19.4,306
1056,19.415,19.415,19.415,19.415,150
1058,19.439,19.525,19.439,19.525,900
110,19.49,19.49,19.465,19.465,210
112,19.46,19.46,19.46,19.46,110
114,19.455,19.455,19.455,19.455,100
115,19.47,19.47,19.47,19.47,154
116,19.37,19.37,19.37,19.37,100
117,19.375,19.375,19.375,19.375,110
118,19.365,19.365,19.365,19.365,100
119,19.37,19.38,19.37,19.38,500
1110,19.39,19.39,19.39,19.39,326
1111,19.38,19.38,19.37,19.37,474
1113,19.355,19.355,19.355,19.355,129
1115,19.33,19.33,19.33,19.33,101
1119,19.225,19.225,19.215,19.215,300
1121,19.21,19.21,19.21,19.21,100
1122,19.21,19.21,19.21,19.21,1508
1125,19.24,19.24,19.24,19.24,108
1126,19.225,19.225,19.225,19.225,160
1128,19.22,19.22,19.21,19.21,396
1129,19.21,19.22,19.21,19.22,200
1131,19.215,19.23,19.215,19.23,849
1132,19.24,19.24,19.23,19.23,1301
1135,19.205,19.21,19.205,19.21,400
1139,19.19,19.19,19.19,19.19,246
1141,19.22,19.23,19.22,19.23,200
1142,19.24,19.24,19.21,19.21,215
1143,19.23,19.23,19.21,19.21,300
1148,19.195,19.195,19.195,19.195,161
1149,19.2,19.21,19.2,19.21,510
1150,19.2,19.2,19.2,19.2,100
1152,19.21,19.21,19.21,19.21,139
1157,19.26,19.26,19.26,19.26,100
1158,19.23,19.23,19.23,19.23,100
124,19.16,19.16,19.16,19.16,200
128,19.15,19.15,19.15,19.15,100
129,19.105,19.15,19.105,19.15,1255
1210,19.09,19.105,19.09,19.095,456
1212,19.1,19.1,19.1,19.1,120
1214,19.1,19.13,19.1,19.13,200
1221,19.15,19.19,19.15,19.155,400
1226,19.17,19.17,19.17,19.17,145
1230,19.15,19.15,19.15,19.15,144
1237,18.99,18.99,18.99,18.99,205
1239,18.98,18.98,18.98,18.98,350
1242,19,19,19,19,100
1244,19.03,19.03,19.02,19.03,300
1245,19.045,19.045,19.045,19.045,100
1246,19.01,19.01,19.01,19.01,114
1247,18.99,18.99,18.99,18.99,200
1252,18.9,18.9,18.88,18.88,451
1253,18.86,18.86,18.77,18.77,857
1255,18.77,18.77,18.765,18.77,500
1256,18.72,18.72,18.71,18.71,250
1257,18.7,18.7,18.7,18.7,104
1259,18.68,18.68,18.68,18.68,200
130,18.605,18.605,18.605,18.605,117
131,18.59,18.6,18.59,18.6,200
132,18.65,18.65,18.6,18.6,800
133,18.66,18.66,18.66,18.66,100
135,18.67,18.7,18.67,18.68,3200
138,18.72,18.72,18.72,18.72,100
139,18.73,18.73,18.73,18.73,100
1311,18.775,18.775,18.775,18.775,200
1312,18.77,18.77,18.75,18.75,500
1314,18.77,18.77,18.77,18.77,100
1317,18.73,18.73,18.73,18.73,100
1320,18.7,18.7,18.7,18.7,100
1322,18.715,18.715,18.715,18.715,100
1326,18.68,18.68,18.62,18.62,700
1327,18.61,18.61,18.61,18.61,276
1328,18.6,18.62,18.6,18.62,310
1329,18.64,18.64,18.64,18.64,200
1331,18.61,18.61,18.61,18.61,100
1333,18.635,18.635,18.635,18.635,100
1337,18.62,18.62,18.62,18.62,320
1338,18.6,18.6,18.6,18.6,610
1341,18.555,18.555,18.555,18.555,100
1342,18.54,18.54,18.54,18.54,139
1344,18.53,18.53,18.53,18.53,100
1345,18.52,18.52,18.52,18.52,255
1349,18.5,18.51,18.5,18.51,661
1350,18.5,18.5,18.5,18.5,510
1351,18.5,18.5,18.475,18.475,576
1352,18.475,18.55,18.475,18.55,1885
1353,18.55,18.57,18.55,18.55,498
1354,18.61,18.61,18.61,18.61,210
1355,18.66,18.66,18.66,18.66,100
1356,18.64,18.655,18.64,18.655,300
1358,18.61,18.61,18.61,18.61,200
1359,18.635,18.635,18.635,18.635,100
141,18.61,18.61,18.61,18.61,100
143,18.625,18.625,18.625,18.625,179
146,18.56,18.57,18.55,18.55,800
149,18.54,18.57,18.54,18.57,620
1413,18.59,18.59,18.59,18.59,183
1414,18.61,18.61,18.61,18.61,147
1427,18.51,18.52,18.51,18.52,376
1428,18.52,18.54,18.52,18.54,340
1430,18.5,18.5,18.5,18.5,230
1437,18.51,18.51,18.51,18.51,100
1439,18.53,18.53,18.53,18.53,100
1450,18.58,18.58,18.56,18.56,213
1452,18.5,18.52,18.5,18.52,1635
1459,18.51,18.51,18.51,18.51,105
151,18.529,18.529,18.529,18.529,995
152,18.53,18.53,18.53,18.53,309
153,18.54,18.54,18.54,18.54,132
156,18.52,18.55,18.52,18.55,200
1511,18.51,18.51,18.51,18.51,400
1512,18.51,18.51,18.505,18.505,200
1516,18.505,18.505,18.505,18.505,200
1517,18.51,18.51,18.5,18.5,708
1518,18.505,18.51,18.505,18.51,200
1519,18.51,18.54,18.51,18.54,710
1520,18.56,18.56,18.56,18.56,110
1521,18.53,18.53,18.53,18.53,100
1522,18.56,18.56,18.56,18.56,200
1525,18.63,18.63,18.63,18.63,110
1527,18.52,18.52,18.52,18.52,300
1531,18.51,18.52,18.51,18.52,987
1532,18.52,18.52,18.515,18.515,230
1533,18.485,18.485,18.485,18.485,100
1534,18.49,18.5,18.49,18.5,1630
1538,18.505,18.505,18.48,18.48,610
1539,18.48,18.48,18.48,18.48,310
