time,open,high,low,close,volume
1026,5.305,5.305,5.305,5.305,100
1027,5.305,5.305,5.305,5.305,100
1029,5.305,5.305,5.305,5.305,100
1034,5.315,5.315,5.315,5.315,100
1044,5.315,5.315,5.315,5.315,100
1046,5.315,5.315,5.315,5.315,100
1053,5.305,5.305,5.305,5.305,101
1055,5.27,5.27,5.27,5.27,100
111,5.27,5.27,5.27,5.27,100
116,5.255,5.255,5.255,5.255,200
1114,5.24,5.24,5.24,5.24,100
1119,5.24,5.25,5.24,5.25,1001
1131,5.259,5.259,5.259,5.259,149
1132,5.255,5.255,5.255,5.255,100
1134,5.269,5.27,5.269,5.27,600
1149,5.29,5.29,5.29,5.29,100
1150,5.28,5.28,5.28,5.28,100
1153,5.265,5.265,5.265,5.265,100
1156,5.26,5.26,5.26,5.26,200
1159,5.245,5.245,5.245,5.245,100
1219,5.305,5.315,5.305,5.315,3000
1220,5.315,5.315,5.315,5.315,2000
1222,5.345,5.345,5.345,5.345,200
1230,5.365,5.365,5.365,5.365,100
1240,5.36,5.36,5.36,5.36,100
1251,5.395,5.395,5.395,5.395,100
131,5.435,5.435,5.435,5.435,100
139,5.415,5.415,5.415,5.415,100
1323,5.435,5.435,5.435,5.435,100
1325,5.42,5.42,5.42,5.42,110
1335,5.42,5.42,5.42,5.42,100
1351,5.435,5.435,5.435,5.435,100
147,5.42,5.42,5.42,5.42,199
1419,5.46,5.46,5.46,5.46,101
1439,5.44,5.44,5.44,5.44,100
1451,5.455,5.455,5.455,5.455,200
1456,5.475,5.479,5.475,5.479,1100
150,5.485,5.485,5.485,5.485,100
155,5.48,5.48,5.48,5.48,100
1517,5.455,5.455,5.455,5.455,200
1538,5.455,5.455,5.455,5.455,800
1546,5.455,5.455,5.455,5.455,100
1549,5.46,5.46,5.46,5.46,100
1551,5.46,5.46,5.46,5.46,100
1552,5.46,5.46,5.46,5.46,100
1554,5.465,5.465,5.465,5.465,102
1559,5.5,5.5,5.5,5.5,100
931,5.63,5.63,5.63,5.63,100
933,5.67,5.67,5.67,5.67,114
935,5.66,5.66,5.66,5.66,200
938,5.745,5.745,5.745,5.745,255
940,5.72,5.72,5.72,5.72,100
948,5.77,5.77,5.77,5.77,100
949,5.77,5.77,5.77,5.77,100
954,5.76,5.78,5.76,5.78,3845
958,5.765,5.765,5.765,5.765,100
959,5.765,5.765,5.76,5.76,200
100,5.77,5.77,5.77,5.77,200
101,5.765,5.765,5.765,5.765,100
102,5.765,5.765,5.765,5.765,100
104,5.775,5.775,5.775,5.775,100
1021,5.68,5.68,5.68,5.68,102
1029,5.66,5.66,5.66,5.66,100
1032,5.67,5.67,5.67,5.67,200
1046,5.71,5.71,5.71,5.71,100
1051,5.67,5.67,5.67,5.67,100
113,5.68,5.68,5.68,5.68,100
114,5.68,5.68,5.68,5.68,100
116,5.69,5.69,5.69,5.69,100
117,5.69,5.69,5.69,5.69,100
1117,5.69,5.69,5.69,5.69,102
1122,5.685,5.685,5.685,5.685,187
1123,5.65,5.66,5.65,5.66,200
122,5.66,5.66,5.66,5.66,104
1219,5.675,5.675,5.675,5.675,100
1230,5.66,5.66,5.66,5.66,100
1239,5.69,5.69,5.69,5.69,100
1242,5.699,5.699,5.699,5.699,1350
1243,5.7,5.7,5.7,5.7,100
1246,5.69,5.69,5.69,5.69,102
1251,5.68,5.68,5.66,5.66,200
139,5.68,5.68,5.68,5.68,100
1311,5.69,5.69,5.69,5.69,100
1315,5.7,5.7,5.7,5.7,100
1321,5.7,5.7,5.7,5.7,101
1327,5.71,5.71,5.71,5.71,102
1330,5.72,5.72,5.72,5.72,100
1331,5.72,5.72,5.72,5.72,400
1332,5.715,5.715,5.715,5.715,100
1334,5.719,5.719,5.719,5.719,900
1335,5.72,5.72,5.72,5.72,100
1343,5.73,5.73,5.73,5.73,106
1346,5.74,5.74,5.74,5.74,100
1350,5.745,5.745,5.72,5.72,400
1351,5.73,5.73,5.73,5.73,100
1354,5.71,5.71,5.71,5.71,100
1356,5.705,5.705,5.705,5.705,100
1357,5.71,5.75,5.71,5.75,500
141,5.74,5.74,5.74,5.74,100
1410,5.73,5.73,5.73,5.73,100
1413,5.725,5.725,5.725,5.725,100
1432,5.74,5.74,5.74,5.74,100
1441,5.74,5.74,5.74,5.74,300
1449,5.72,5.74,5.72,5.73,300
1452,5.72,5.72,5.72,5.72,100
156,5.735,5.735,5.71,5.71,200
157,5.72,5.72,5.72,5.72,100
158,5.72,5.72,5.72,5.72,100
1513,5.72,5.72,5.72,5.72,300
