time,open,high,low,close,volume
120,12.91,12.91,12.91,12.91,100
1232,12.93,12.93,12.885,12.885,200
135,12.885,12.885,12.885,12.885,200
1317,12.92,12.92,12.92,12.92,100
143,12.92,12.92,12.92,12.92,100
1429,12.895,12.895,12.895,12.895,105
1431,12.91,12.91,12.91,12.91,154
1459,12.87,12.87,12.87,12.87,100
1536,12.9,12.9,12.9,12.9,184
1537,12.885,12.885,12.87,12.87,300
1554,12.89,12.89,12.88,12.88,200
1555,12.905,12.905,12.905,12.905,160
1556,12.9,12.9,12.9,12.9,200
944,12.95,12.95,12.95,12.95,100
114,12.925,12.925,12.925,12.925,100
1133,12.88,12.88,12.88,12.88,100
1157,12.91,12.91,12.91,12.91,200
1240,12.89,12.89,12.89,12.89,200
1245,12.92,12.92,12.92,12.92,100
1340,12.935,12.935,12.935,12.935,100
1459,12.885,12.885,12.885,12.885,100
153,12.885,12.9,12.885,12.9,220
154,12.91,12.91,12.91,12.91,100
1524,12.91,12.91,12.91,12.91,125
1548,12.92,12.92,12.92,12.92,100
1549,12.92,12.92,12.92,12.92,200
1555,12.905,12.905,12.905,12.905,100
1558,12.915,12.915,12.915,12.915,178
1042,12.86,12.86,12.86,12.86,100
1144,12.89,12.89,12.89,12.89,100
1159,12.93,12.93,12.93,12.93,200
120,12.92,12.92,12.92,12.92,100
1554,12.95,12.96,12.95,12.96,268
935,13.02,13.02,13.02,13.02,100
956,13.08,13.08,13.08,13.08,100
1024,13.09,13.09,13.09,13.09,100
1148,13.04,13.04,13.04,13.04,100
1152,13.05,13.05,13.05,13.05,100
1227,13.01,13.01,13,13,229
1229,13.03,13.03,13.02,13.02,300
1328,13,13,13,13,900
1329,13,13,13,13,200
1332,13,13,13,13,400
1334,13,13,13,13,400
1425,12.995,12.995,12.995,12.995,100
1457,13.03,13.045,13.02,13.045,1000
157,12.97,12.97,12.97,12.97,101
1513,13,13,13,13,100
1514,13,13,13,13,100
1530,12.99,12.99,12.99,12.99,100
1552,13.015,13.015,13.015,13.015,100
1553,13.03,13.03,13.005,13.005,300
1555,13,13,13,13,300
938,13.05,13.05,13.02,13.02,300
1018,13.11,13.11,13.11,13.11,100
1019,13.02,13.02,13.02,13.02,100
1023,13.13,13.13,13.13,13.13,301
1236,13.39,13.39,13.39,13.39,100
1337,13.4,13.4,13.4,13.4,200
1434,13.45,13.45,13.45,13.45,100
1457,13.54,13.54,13.54,13.54,139
158,13.63,13.63,13.56,13.56,300
1534,13.61,13.61,13.61,13.61,100
1536,13.59,13.59,13.59,13.59,100
1539,13.585,13.585,13.585,13.585,300
1555,13.64,13.64,13.64,13.64,100
1556,13.64,13.64,13.615,13.615,200
1230,13.54,13.54,13.54,13.54,100
133,13.49,13.49,13.49,13.49,100
1423,13.53,13.53,13.53,13.53,100
1427,13.5,13.5,13.49,13.49,200
1432,13.515,13.515,13.515,13.515,100
1457,13.46,13.46,13.46,13.46,100
1539,13.43,13.43,13.43,13.43,100
1058,13.26,13.26,13.26,13.26,200
114,13.2,13.2,13.2,13.2,100
1115,13.145,13.145,13.145,13.145,100
1120,13.22,13.22,13.22,13.22,180
1131,13.25,13.25,13.25,13.25,100
127,13.19,13.19,13.19,13.19,100
1510,13.27,13.27,13.27,13.27,100
1550,13.185,13.185,13.185,13.185,100
1551,13.18,13.18,13.18,13.18,100
1553,13.185,13.185,13.185,13.185,100
1554,13.185,13.185,13.185,13.185,100
1429,13.39,13.39,13.39,13.39,100
1516,13.37,13.37,13.37,13.37,300
1548,13.41,13.41,13.41,13.41,100
1058,13.49,13.49,13.49,13.49,100
1212,13.52,13.52,13.52,13.52,100
131,13.4,13.4,13.4,13.4,100
149,13.46,13.46,13.46,13.46,100
1423,13.45,13.45,13.45,13.45,100
1548,13.45,13.45,13.45,13.45,100
1557,13.45,13.45,13.45,13.45,200
1559,13.44,13.45,13.44,13.45,389
109,13.38,13.38,13.38,13.38,100
1158,13.48,13.48,13.48,13.48,100
1159,13.49,13.49,13.49,13.49,100
1439,13.515,13.515,13.515,13.515,100
1442,13.51,13.51,13.51,13.51,100
1540,13.48,13.48,13.48,13.48,100
1550,13.49,13.49,13.49,13.49,320
1559,13.495,13.495,13.495,13.495,100
1118,13.43,13.43,13.43,13.43,400
1414,13.48,13.49,13.445,13.445,2618
1430,13.41,13.41,13.41,13.41,500
1512,13.44,13.44,13.44,13.44,110
1536,13.42,13.42,13.42,13.42,100
1554,13.42,13.42,13.42,13.42,105
1557,13.43,13.43,13.43,13.43,200
1026,13.29,13.29,13.29,13.29,100
115,13.325,13.325,13.325,13.325,100
1140,13.48,13.48,13.48,13.48,200
1212,13.405,13.405,13.405,13.405,100
1244,13.45,13.46,13.45,13.46,300
1259,13.345,13.345,13.345,13.345,100
1312,13.35,13.35,13.35,13.35,700
1314,13.425,13.425,13.425,13.425,100
1325,13.4,13.4,13.4,13.4,100
1349,13.44,13.44,13.43,13.43,200
1525,13.475,13.475,13.475,13.475,100
1545,13.485,13.485,13.485,13.485,100
1256,13.73,13.73,13.73,13.73,100
1313,13.65,13.65,13.64,13.65,1722
1314,13.545,13.545,13.545,13.545,200
1341,13.65,13.65,13.65,13.65,100
1418,13.625,13.625,13.5,13.5,4200
1419,13.49,13.49,13.465,13.465,367
1421,13.5,13.5,13.5,13.5,565
1426,13.49,13.49,13.46,13.46,827
1430,13.43,13.43,13.43,13.43,100
1433,13.46,13.46,13.42,13.42,661
1444,13.29,13.29,13.29,13.29,100
1453,13.23,13.29,13.17,13.17,2278
1458,13.29,13.29,13.28,13.29,1218
1459,13.29,13.29,13.29,13.29,5282
153,13.305,13.305,13.305,13.305,100
156,13.29,13.29,13.26,13.26,305
1520,13.29,13.29,13.29,13.29,2207
1522,13.29,13.29,13.29,13.29,103
1535,13.22,13.22,13.22,13.22,105
1545,13.27,13.27,13.27,13.27,105
1551,13.27,13.27,13.27,13.27,100
1556,13.29,13.29,13.29,13.29,2314
1557,13.29,13.29,13.29,13.29,5374
1558,13.28,13.28,13.28,13.28,100
1559,13.27,13.27,13.24,13.24,330
957,13.32,13.32,13.32,13.32,236
958,13.32,13.32,13.32,13.32,886
1112,13.24,13.24,13.24,13.24,105
123,13.21,13.22,13.21,13.22,400
1256,13.27,13.27,13.27,13.27,100
1328,13.27,13.27,13.27,13.27,100
150,13.29,13.29,13.29,13.29,100
1538,13.27,13.27,13.27,13.27,100
1549,13.27,13.27,13.27,13.27,100
1550,13.275,13.275,13.27,13.27,523
1551,13.255,13.255,13.255,13.255,100
1555,13.26,13.26,13.26,13.26,100
1556,13.26,13.26,13.26,13.26,100
1558,13.27,13.27,13.27,13.27,100
1559,13.27,13.27,13.27,13.27,777
1120,13.4,13.4,13.4,13.4,200
1121,13.4,13.4,13.4,13.4,309
1144,13.39,13.39,13.39,13.39,362
1253,13.4,13.4,13.4,13.4,234
1332,13.4,13.4,13.4,13.4,100
1336,13.4,13.4,13.4,13.4,100
1337,13.4,13.4,13.4,13.4,200
1338,13.4,13.4,13.4,13.4,200
1339,13.4,13.44,13.4,13.44,200
1427,13.485,13.485,13.4,13.4,800
1428,13.4,13.4,13.4,13.4,300
1429,13.4,13.4,13.4,13.4,464
1430,13.4,13.4,13.4,13.4,300
1432,13.4,13.4,13.4,13.4,100
1434,13.4,13.4,13.4,13.4,100
1435,13.4,13.4,13.4,13.4,267
1436,13.4,13.4,13.4,13.4,100
1437,13.4,13.4,13.4,13.4,200
1438,13.4,13.4,13.4,13.4,102
1440,13.4,13.4,13.4,13.4,100
1441,13.4,13.4,13.4,13.4,100
1442,13.4,13.4,13.4,13.4,200
1451,13.4,13.4,13.4,13.4,100
1452,13.4,13.4,13.4,13.4,234
1453,13.4,13.4,13.4,13.4,100
1455,13.4,13.4,13.4,13.4,100
1456,13.4,13.4,13.4,13.4,550
1457,13.4,13.4,13.4,13.4,100
1458,13.4,13.4,13.4,13.4,657
1459,13.4,13.4,13.4,13.4,100
150,13.4,13.4,13.4,13.4,240
151,13.4,13.4,13.4,13.4,130
152,13.4,13.4,13.4,13.4,120
155,13.4,13.4,13.4,13.4,130
1510,13.4,13.4,13.4,13.4,300
1511,13.4,13.4,13.4,13.4,600
1523,13.515,13.515,13.4,13.4,438
1524,13.4,13.4,13.4,13.4,262
1529,13.4,13.4,13.4,13.4,100
1530,13.4,13.4,13.4,13.4,156
1538,13.4,13.4,13.4,13.4,100
1547,13.4,13.4,13.4,13.4,130
1550,13.4,13.4,13.4,13.4,233
