time,open,high,low,close,volume
1531,107.96,107.96,107.96,107.96,175
1536,107.89,107.89,107.89,107.89,100
1540,107.83,107.83,107.83,107.83,143
1543,107.96,107.96,107.9,107.9,217
1546,107.94,108,107.94,108,232
1548,107.97,107.97,107.96,107.96,212
1549,107.93,107.93,107.875,107.875,314
1550,107.84,107.84,107.84,107.84,121
1551,107.7,107.73,107.7,107.73,254
1552,107.81,107.81,107.81,107.81,210
1553,107.9,107.9,107.9,107.9,100
1554,107.87,107.995,107.87,107.995,254
1555,107.88,107.88,107.88,107.88,227
1556,107.76,107.76,107.76,107.76,117
1557,107.865,107.92,107.865,107.92,432
1558,107.91,108.04,107.91,108.04,409
1559,108.03,108.03,108.03,108.03,121
933,108.215,108.215,108.215,108.215,100
934,108.21,108.21,108.21,108.21,200
949,107.445,107.445,107.445,107.445,100
100,107.93,107.93,107.93,107.93,100
101,108.245,108.245,108.24,108.24,300
102,108.35,108.375,108.35,108.375,403
103,108.615,108.615,108.615,108.615,105
105,108.27,108.28,108.25,108.28,944
1010,108.76,108.76,108.76,108.76,100
1015,108.21,108.21,108.21,108.21,277
1018,108.2,108.2,108.2,108.2,106
1021,107.97,107.97,107.97,107.97,100
1029,107.13,107.13,107.13,107.13,100
1037,107.35,107.35,107.35,107.35,200
1038,107.52,107.52,107.52,107.52,131
1039,107.56,107.56,107.56,107.56,200
1045,107.58,107.58,107.58,107.58,100
1047,107.64,107.64,107.64,107.64,746
1057,108.06,108.105,108.06,108.1,501
1059,108.145,108.145,108.02,108.02,600
112,107.9,107.9,107.805,107.805,205
116,107.98,107.98,107.98,107.98,100
118,107.96,108.14,107.96,108.14,669
119,108.12,108.12,108.12,108.12,200
1112,108.035,108.035,108.035,108.035,100
1113,108.165,108.165,108.165,108.165,100
1116,108.15,108.15,108.15,108.15,100
1118,108.115,108.115,108.115,108.115,100
1119,108.195,108.195,108.195,108.195,168
1126,108.25,108.25,108.25,108.25,100
1140,107.765,107.765,107.765,107.765,100
