time,open,high,low,close,volume
1331,27,27,27,27,100
1359,26.86,26.86,26.86,26.86,100
1148,28.03,28.03,28.03,28.03,100
1028,28.46,28.46,28.46,28.46,150
954,28.4,28.4,28.4,28.4,100
1025,27.95,27.95,27.95,27.95,100
1416,28.25,28.25,28.25,28.25,100
105,29.01,29.01,29.01,29.01,100
1559,29.99,29.99,29.99,29.99,200
1213,29.3,29.3,29.2,29.2,200
1455,29.35,29.35,29.35,29.35,100
1532,28.7,28.7,28.7,28.7,100
126,29.18,29.18,29.18,29.18,100
1446,29.1,29.1,29.1,29.1,100
1048,28.87,28.87,28.87,28.87,100
105,29.92,29.92,29.92,29.92,100
1259,29.06,29.06,29.06,29.06,100
1042,30.25,30.25,30.25,30.25,230
1156,30.25,30.25,30.25,30.25,474
1013,30.25,30.25,30.25,30.25,200
108,30.45,30.45,30.45,30.45,100
1024,30.45,30.45,30.45,30.45,200
1434,30.92,30.92,30.92,30.92,200
1512,30.34,30.34,30.34,30.34,138
136,30.45,30.45,30.45,30.45,100
1416,31,31,31,31,100
1020,31.6,31.6,31.6,31.6,100
1241,32.751,32.751,32.751,32.751,100
1531,31.001,31.001,31.001,31.001,100
150,30.1,30.1,30.1,30.1,100
157,30.21,30.21,30.21,30.21,100
158,30.22,30.22,30.22,30.22,200
1515,30.25,30.25,30.25,30.25,200
1546,30.2,30.2,30.2,30.2,100
105,30.19,30.19,30.19,30.19,100
1238,30.41,30.41,30.17,30.17,200
1249,30.81,30.81,30.81,30.81,100
1156,30.43,30.43,30.43,30.43,100
1158,30.43,30.43,30.43,30.43,100
1542,30.15,30.15,30.15,30.15,100
140,30.23,30.23,30.23,30.23,100
1541,29.88,29.88,29.14,29.14,200
1117,29.91,29.91,29.91,29.91,100
120,29.6,29.6,29.6,29.6,300
1534,29.22,29.22,29.22,29.22,100
946,29.28,29.28,29.28,29.28,100
1024,29.23,29.23,29.23,29.23,100
145,29.36,29.36,29.36,29.36,100
1531,29.32,29.32,29.32,29.32,100
1448,29.24,29.24,29.17,29.17,200
1545,29.32,29.32,29.32,29.32,100
