time,open,high,low,close,volume
1430,8.73,8.8,8.73,8.8,5000
1431,8.8,8.8,8.8,8.8,400
1444,9.29,9.29,9.29,9.29,100
1518,9.225,9.225,9.225,9.225,100
1529,9.15,9.15,9.11,9.11,500
1537,9.1,9.1,9.1,9.1,1000
930,9.41,9.41,9.41,9.41,204
931,9.45,9.45,9.37,9.37,900
933,9.36,9.36,9.36,9.36,300
943,9.42,9.42,9.385,9.385,400
945,9.38,9.38,9.38,9.38,505
946,9.33,9.33,9.33,9.33,100
952,9.43,9.43,9.43,9.43,100
954,9.425,9.425,9.425,9.425,620
959,9.53,9.53,9.53,9.53,430
105,9.48,9.48,9.48,9.48,584
1059,9.95,9.95,9.95,9.95,160
114,10.05,10.05,10.05,10.05,100
115,10.045,10.045,10.045,10.045,100
1118,10.005,10.005,10.005,10.005,200
1122,10.01,10.01,10.01,10.01,105
1129,10.005,10.005,10.005,10.005,350
1141,10.005,10.005,10.005,10.005,100
125,10.005,10.005,10.005,10.005,190
1220,10.005,10.005,10.005,10.005,200
1226,10.01,10.01,10.01,10.01,140
1257,9.955,9.955,9.955,9.955,200
1321,9.65,9.66,9.64,9.64,301
1323,9.49,9.49,9.49,9.49,100
1338,9.535,9.535,9.535,9.535,1300
1421,9.165,9.165,9.165,9.165,500
1431,9.165,9.165,9.165,9.165,175
1435,9.165,9.165,9.165,9.165,120
1436,9.165,9.165,9.165,9.165,100
1443,8.885,8.885,8.885,8.885,100
1444,8.57,8.57,8.46,8.48,3250
1447,8.46,8.46,8.45,8.46,2000
1449,8.38,8.43,8.38,8.43,200
1451,8.44,8.45,8.37,8.37,2000
1454,8.45,8.45,8.45,8.45,200
1456,8.33,8.33,8.27,8.27,1460
1457,8.3,8.3,8.3,8.3,450
1458,8.5,8.53,8.5,8.53,1000
150,8.51,8.51,8.51,8.51,100
152,8.44,8.44,8.44,8.44,100
155,8.465,8.465,8.465,8.465,100
1512,8.3,8.3,8.3,8.3,500
1521,8.53,8.53,8.53,8.53,200
1523,8.56,8.56,8.56,8.56,100
1524,8.65,8.65,8.65,8.65,200
1525,8.625,8.625,8.625,8.625,160
1526,8.67,8.67,8.67,8.67,101
1527,8.69,8.69,8.69,8.69,100
1529,8.69,8.69,8.69,8.69,200
1530,8.69,8.69,8.69,8.69,110
1536,8.81,8.82,8.805,8.82,763
1539,8.89,8.89,8.89,8.89,430
1544,8.895,8.895,8.895,8.895,200
1552,8.65,8.65,8.65,8.65,210
1025,9.32,9.32,9.32,9.32,100
1045,9.68,9.765,9.68,9.765,700
1046,9.765,9.765,9.765,9.765,1200
1048,9.54,9.54,9.54,9.54,500
1054,9.645,9.645,9.645,9.645,300
119,9.95,9.95,9.93,9.93,799
1128,10.225,10.225,10.225,10.225,160
1143,10.21,10.21,10.21,10.21,100
1153,10.12,10.12,10.12,10.12,100
1215,9.98,9.98,9.98,9.98,100
1230,10.015,10.015,10.015,10.015,100
1317,10.2,10.2,10.2,10.2,300
1323,10.29,10.3,10.29,10.3,942
1327,10.26,10.26,10.26,10.26,100
1331,10.275,10.275,10.275,10.275,100
149,10.315,10.315,10.25,10.25,1100
1410,10.3,10.3,10.3,10.3,400
1411,10.31,10.31,10.31,10.31,400
1418,10.32,10.32,10.32,10.32,500
1444,10.69,10.69,10.69,10.69,131
154,10.88,10.88,10.88,10.88,100
107,10.75,10.75,10.75,10.75,100
1015,10.93,10.93,10.93,10.93,300
1017,11.04,11.04,11.04,11.04,100
1047,11.47,11.47,11.47,11.47,100
1052,11.31,11.31,11.31,11.31,300
1054,11.35,11.35,11.35,11.35,200
1057,11.38,11.38,11.38,11.38,100
1130,11.17,11.17,11.16,11.16,400
1218,10.97,10.97,10.97,10.97,200
1427,10.28,10.28,10.28,10.28,200
935,10.04,10.04,10.04,10.04,100
937,10.02,10.02,10.01,10.01,200
956,9.51,9.51,9.51,9.51,300
959,9.63,9.63,9.63,9.63,200
104,9.77,9.77,9.77,9.77,100
107,9.84,9.84,9.81,9.84,1200
108,9.825,9.825,9.825,9.825,100
1054,9.885,9.885,9.885,9.885,100
1147,10.1,10.1,10.1,10.1,167
1257,10.42,10.42,10.42,10.42,100
135,10.32,10.32,10.32,10.32,100
1325,10.25,10.25,10.25,10.25,100
1339,10.33,10.33,10.33,10.33,100
