time,open,high,low,close,volume
1118,7.475,7.475,7.475,7.475,100
1129,7.485,7.485,7.485,7.485,180
133,7.42,7.42,7.42,7.42,200
1328,7.425,7.425,7.425,7.425,100
1450,7.395,7.395,7.395,7.395,100
1213,7.535,7.535,7.535,7.535,400
1233,7.515,7.515,7.515,7.515,200
933,7.45,7.45,7.45,7.45,100
935,7.52,7.52,7.52,7.52,100
938,7.49,7.49,7.49,7.49,100
100,7.47,7.47,7.47,7.47,100
102,7.46,7.46,7.46,7.46,100
1010,7.48,7.48,7.465,7.465,200
1013,7.45,7.45,7.45,7.45,100
1031,7.44,7.44,7.44,7.44,100
1050,7.45,7.45,7.45,7.45,100
933,7.44,7.44,7.44,7.44,100
940,7.39,7.39,7.39,7.39,100
941,7.37,7.37,7.37,7.37,100
105,7.48,7.48,7.48,7.48,100
106,7.48,7.48,7.48,7.48,100
108,7.47,7.47,7.47,7.47,100
1012,7.455,7.455,7.455,7.455,100
1017,7.455,7.455,7.455,7.455,100
1022,7.455,7.455,7.455,7.455,100
1029,7.44,7.44,7.44,7.44,100
1047,7.47,7.47,7.47,7.47,100
1155,7.4,7.4,7.39,7.39,200
1444,7.43,7.43,7.43,7.43,100
1513,7.44,7.44,7.44,7.44,100
1551,7.435,7.435,7.43,7.435,800
934,7.32,7.32,7.32,7.32,100
944,7.32,7.32,7.32,7.32,100
101,7.38,7.38,7.38,7.38,100
1113,7.47,7.47,7.47,7.47,100
1412,7.48,7.48,7.48,7.48,100
1447,7.4,7.4,7.31,7.38,1044
1458,7.39,7.39,7.39,7.39,100
121,7.51,7.51,7.51,7.51,100
124,7.51,7.51,7.51,7.51,600
1220,7.52,7.52,7.52,7.52,100
1517,7.46,7.46,7.46,7.46,100
1542,7.5,7.72,7.5,7.71,2442
1544,7.59,7.59,7.58,7.58,300
1559,7.57,7.57,7.57,7.57,100
116,7.61,7.61,7.61,7.61,100
1349,7.55,7.55,7.55,7.55,100
148,7.54,7.54,7.54,7.54,100
157,7.4,7.4,7.4,7.4,100
1532,7.44,7.44,7.44,7.44,300
1552,7.435,7.435,7.435,7.435,100
935,7.56,7.56,7.56,7.56,100
955,7.54,7.55,7.54,7.55,200
107,7.62,7.63,7.62,7.63,200
1026,7.58,7.58,7.58,7.58,100
1034,7.585,7.585,7.585,7.585,100
1127,7.55,7.55,7.55,7.55,100
1035,7.64,7.64,7.64,7.64,100
1048,7.65,7.65,7.65,7.65,100
1134,7.68,7.68,7.68,7.68,100
1519,7.7,7.71,7.7,7.71,200
1532,7.7,7.7,7.7,7.7,100
1414,7.63,7.63,7.63,7.63,430
1415,7.59,7.59,7.59,7.59,100
1427,7.58,7.58,7.57,7.57,200
1339,7.82,7.82,7.82,7.82,200
939,7.74,7.74,7.74,7.74,300
1059,7.735,7.735,7.735,7.735,100
1121,7.73,7.73,7.73,7.73,100
1137,7.71,7.71,7.71,7.71,153
1156,7.69,7.69,7.69,7.69,100
1157,7.72,7.72,7.72,7.72,100
120,7.7,7.7,7.7,7.7,100
1215,7.68,7.68,7.68,7.68,100
1455,7.64,7.64,7.64,7.64,100
1543,7.67,7.67,7.67,7.67,100
1550,7.66,7.66,7.66,7.66,400
942,7.605,7.605,7.53,7.53,200
1050,7.55,7.55,7.55,7.55,300
1110,7.55,7.55,7.55,7.55,100
1148,7.57,7.57,7.57,7.57,100
1056,7.59,7.59,7.59,7.59,150
104,7.75,7.75,7.75,7.75,100
1330,7.73,7.73,7.73,7.73,100
1558,7.75,7.75,7.75,7.75,300
1559,7.75,7.75,7.75,7.75,300
104,7.74,7.74,7.74,7.74,100
1039,7.74,7.74,7.74,7.74,101
1154,7.75,7.75,7.75,7.75,200
1419,7.74,7.74,7.74,7.74,100
1525,7.73,7.73,7.73,7.73,100
1536,7.73,7.73,7.73,7.73,100
1541,7.74,7.74,7.74,7.74,100
1542,7.74,7.74,7.74,7.74,100
1543,7.74,7.74,7.74,7.74,100
1544,7.74,7.74,7.74,7.74,100
1547,7.74,7.74,7.74,7.74,100
1554,7.74,7.74,7.74,7.74,100
1031,7.7,7.7,7.7,7.7,300
1040,7.69,7.69,7.69,7.69,300
1250,7.7,7.7,7.7,7.7,100
