time,open,high,low,close,volume
1131,114.43,114.535,114.43,114.535,1420
1132,114.49,114.6,114.49,114.6,600
1135,114.73,114.73,114.73,114.73,200
1139,114.79,114.79,114.79,114.79,200
1140,114.78,114.78,114.78,114.78,252
1141,114.79,114.79,114.79,114.79,200
1144,114.77,114.77,114.77,114.77,200
1148,114.7,114.7,114.7,114.7,200
1152,114.74,114.74,114.74,114.74,202
1153,114.68,114.68,114.68,114.68,720
1158,114.73,114.73,114.73,114.73,200
120,114.66,114.66,114.605,114.605,1000
121,114.735,114.735,114.735,114.735,200
123,114.795,114.795,114.795,114.795,200
124,114.785,114.785,114.785,114.785,200
126,114.845,114.845,114.845,114.845,400
129,114.96,114.96,114.96,114.96,200
1212,114.99,114.99,114.98,114.98,800
1213,114.975,114.975,114.975,114.975,248
1214,114.98,114.98,114.955,114.955,600
1215,115.01,115.01,115.01,115.01,200
1218,114.995,114.995,114.995,114.995,408
1224,115,115,115,115,200
1235,114.99,114.99,114.99,114.99,1200
1239,115.1,115.1,115.1,115.1,400
1242,115.095,115.095,115.095,115.095,202
1243,115.115,115.115,115.115,115.115,200
1251,115.105,115.105,115.105,115.105,200
1254,115.095,115.095,115.095,115.095,208
1255,115.08,115.08,115.08,115.08,200
1256,114.995,114.995,114.995,114.995,204
1257,114.98,114.98,114.98,114.98,200
1259,115.02,115.02,115.02,115.02,210
133,115.18,115.18,115.18,115.18,232
138,115.185,115.185,115.185,115.185,200
139,115.065,115.065,115.065,115.065,200
1311,115.115,115.115,115.115,115.115,204
1313,115.13,115.13,115.13,115.13,214
1315,115.145,115.15,115.145,115.15,400
1320,115.18,115.18,115.18,115.18,200
1321,115.18,115.18,115.18,115.18,202
1327,115.355,115.355,115.355,115.355,262
1329,115.355,115.355,115.355,115.355,358
1334,115.37,115.37,115.315,115.315,446
1342,115.47,115.47,115.47,115.47,416
1344,115.57,115.57,115.57,115.57,216
1346,115.5,115.5,115.43,115.43,440
1347,115.485,115.485,115.485,115.485,200
1350,115.35,115.35,115.25,115.25,600
1353,115.225,115.225,115.225,115.225,256
1355,115.31,115.31,115.31,115.31,400
1356,115.375,115.375,115.375,115.375,200
142,115.46,115.46,115.46,115.46,202
143,115.395,115.395,115.395,115.395,240
1412,115.335,115.335,115.335,115.335,200
1417,115.25,115.25,115.25,115.25,200
1422,115.145,115.145,115.145,115.145,292
1425,115.055,115.055,114.99,114.99,746
1427,115.085,115.085,115.085,115.085,212
1431,114.975,114.975,114.975,114.975,2032
1432,114.96,114.96,114.96,114.96,810
1434,115.095,115.095,115.095,115.095,310
1436,115.33,115.33,115.28,115.28,1002
1437,115.17,115.3,115.17,115.3,600
1447,115.295,115.295,115.295,115.295,202
1448,115.28,115.28,115.28,115.28,200
1453,115.4,115.41,115.4,115.41,456
1455,115.27,115.27,115.27,115.27,208
1459,115.305,115.305,115.305,115.305,400
158,115.38,115.38,115.38,115.38,200
159,115.405,115.405,115.405,115.405,264
1510,115.3,115.3,115.3,115.3,350
1512,115.315,115.315,115.315,115.315,202
1515,115.2,115.2,115.2,115.2,400
1517,115.24,115.24,115.22,115.22,400
1521,115.215,115.215,115.215,115.215,400
1525,115.25,115.25,115.25,115.25,262
1526,115.3,115.3,115.3,115.3,360
1527,115.255,115.255,115.255,115.255,212
1528,115.215,115.215,115.215,115.215,400
1529,115.22,115.22,115.145,115.145,480
1530,115.13,115.13,115.13,115.13,1200
1531,115.1,115.1,115.1,115.1,410
1532,115.145,115.145,115.145,115.145,212
1533,115.33,115.33,115.33,115.33,210
1535,115.31,115.31,115.31,115.31,204
1536,115.305,115.305,115.29,115.29,482
1538,115.38,115.38,115.35,115.35,800
1539,115.345,115.405,115.345,115.405,410
1543,115.35,115.415,115.34,115.415,1012
1545,115.57,115.57,115.57,115.57,208
1546,115.575,115.575,115.575,115.575,222
1549,115.52,115.52,115.52,115.52,206
1550,115.49,115.49,115.49,115.49,200
1551,115.5,115.5,115.45,115.45,580
1552,115.43,115.43,115.43,115.43,406
1553,115.49,115.49,115.49,115.49,200
1554,115.465,115.465,115.465,115.465,200
1556,115.54,115.72,115.54,115.71,1474
1557,115.695,115.695,115.695,115.695,298
1559,115.71,115.79,115.71,115.79,1244
937,116.33,116.33,116.33,116.33,200
938,116.26,116.26,116.26,116.26,200
945,115.98,115.98,115.98,115.98,200
947,115.88,115.88,115.88,115.88,200
948,115.79,115.79,115.79,115.79,882
949,115.7,115.7,115.7,115.7,228
954,115.7,115.7,115.7,115.7,372
1022,115.57,115.57,115.57,115.57,1428
1023,115.61,115.95,115.61,115.95,824
1024,116.01,116.01,116.01,116.01,400
1030,116.49,116.49,116.49,116.49,206
1041,116.84,116.84,116.84,116.84,400
1043,116.92,116.92,116.92,116.92,868
1051,116.905,116.905,116.905,116.905,200
1053,117.04,117.12,117.04,117.12,400
1054,117.19,117.19,117.19,117.19,200
1058,117.19,117.19,117.19,117.19,200
113,117.15,117.15,117.15,117.15,200
114,117.15,117.15,117.15,117.15,200
1110,116.87,116.87,116.87,116.87,200
1111,116.92,116.95,116.92,116.95,568
1112,116.98,116.98,116.98,116.98,200
1113,117.045,117.085,117.045,117.085,500
1115,117.14,117.14,117.14,117.14,200
1116,117.13,117.13,117.13,117.13,200
1121,116.86,116.86,116.86,116.86,200
1125,116.55,116.55,116.55,116.55,200
1127,116.495,116.495,116.495,116.495,200
1128,116.55,116.55,116.55,116.55,400
1130,116.48,116.48,116.48,116.48,200
1131,116.63,116.63,116.63,116.63,200
1132,116.7,116.7,116.7,116.7,200
1135,116.93,116.93,116.93,116.93,312
1138,117.06,117.06,117.06,117.06,204
1139,117.06,117.06,117.06,117.06,204
1142,117.05,117.05,117.05,117.05,200
1143,117.04,117.04,116.93,116.93,636
1144,117.04,117.04,117.04,117.04,200
1146,117.05,117.06,117.05,117.06,442
1147,116.93,116.93,116.92,116.92,402
1149,116.9,116.9,116.9,116.9,200
1153,116.9,116.9,116.86,116.86,400
1156,116.87,116.87,116.87,116.87,200
122,116.6,116.6,116.6,116.6,200
128,116.5,116.5,116.5,116.5,200
1214,116.38,116.38,116.38,116.38,200
1216,116.33,116.33,116.33,116.33,202
1225,116.32,116.32,116.32,116.32,240
1227,116.28,116.28,116.28,116.28,400
1229,116.075,116.075,116.075,116.075,400
1244,116.04,116.04,116.04,116.04,200
1252,115.87,115.87,115.87,115.87,202
137,115.9,115.9,115.9,115.9,202
1327,115.67,115.705,115.67,115.705,772
1328,115.815,115.815,115.815,115.815,202
1341,116.14,116.14,116.14,116.14,204
1347,116.38,116.38,116.38,116.38,204
1357,116.33,116.33,116.33,116.33,200
1411,116.655,116.655,116.64,116.64,1342
1422,116.6,116.6,116.6,116.6,364
1426,116.5,116.5,116.5,116.5,758
1435,116.305,116.305,116.305,116.305,212
1436,116.32,116.32,116.32,116.32,478
1444,116.16,116.16,116.16,116.16,230
1452,116.24,116.24,116.11,116.11,400
1459,116.11,116.11,116.06,116.06,564
151,116.03,116.08,116.03,116.08,1688
152,116.08,116.08,116.08,116.08,254
155,116.15,116.15,116.15,116.15,356
1519,116.05,116.05,116.05,116.05,200
1523,116.22,116.22,116.22,116.22,440
1524,116.23,116.23,116.23,116.23,216
1525,116.18,116.18,116.18,116.18,208
1526,116.18,116.18,116.18,116.18,218
1528,116.085,116.085,116.085,116.085,200
1533,115.98,115.98,115.98,115.98,300
1534,116.09,116.09,116.07,116.07,442
1537,116.08,116.08,116.08,116.08,400
1539,116.06,116.06,116.06,116.06,400
1541,116.095,116.095,116.095,116.095,400
1544,116.125,116.125,116.125,116.125,546
1546,116.1,116.1,116.1,116.1,402
1547,116.11,116.11,116.11,116.11,206
1548,116.085,116.11,116.085,116.11,620
1549,116.1,116.1,116.1,116.1,200
1550,115.98,116,115.97,116,680
1551,115.98,116.01,115.98,116.01,580
1552,116.015,116.015,116.015,116.015,262
1553,115.98,115.98,115.98,115.98,218
1554,116.01,116.03,116.01,116.03,698
1555,116.09,116.09,116.09,116.09,428
1556,116.09,116.09,116.09,116.09,474
1558,116.115,116.16,116.115,116.16,1162
1559,116.19,116.23,116.09,116.11,3384
933,118.39,118.4,118.39,118.4,582
937,118.12,118.12,118.12,118.12,202
945,118.3,118.3,118.3,118.3,200
948,118.31,118.35,118.31,118.35,404
950,118.54,118.7,118.54,118.7,674
951,118.7,118.7,118.7,118.7,1000
954,118.605,118.605,118.605,118.605,200
956,118.88,118.88,118.88,118.88,340
104,118.915,118.915,118.915,118.915,220
1010,118.565,118.565,118.565,118.565,200
1011,118.63,118.63,118.63,118.63,500
1013,118.575,118.575,118.5,118.5,1018
1014,118.48,118.63,118.46,118.63,820
1016,118.63,118.715,118.63,118.715,404
1019,118.895,118.91,118.895,118.91,400
1021,118.74,118.83,118.74,118.83,600
1022,118.685,118.685,118.685,118.685,200
1025,118.69,118.69,118.69,118.69,200
1028,118.735,118.735,118.735,118.735,202
1030,118.765,118.765,118.765,118.765,200
1032,118.525,118.525,118.525,118.525,200
1034,118.255,118.255,118.255,118.255,200
1037,118.24,118.24,118.24,118.24,200
1040,118.13,118.13,118.13,118.13,468
1043,118.07,118.07,118.07,118.07,200
1045,118.23,118.23,118.23,118.23,200
1047,118.225,118.225,118.225,118.225,200
1048,118.27,118.27,118.27,118.27,220
1052,118.35,118.35,118.35,118.35,200
1055,118.47,118.54,118.47,118.54,422
1056,118.71,118.71,118.71,118.71,200
1057,118.72,118.72,118.7,118.7,400
1058,118.7,118.7,118.7,118.7,202
111,118.79,118.79,118.76,118.76,400
114,118.765,118.765,118.765,118.765,202
116,118.72,118.72,118.72,118.72,208
117,118.66,118.66,118.62,118.62,408
119,118.63,118.63,118.63,118.63,202
1110,118.695,118.695,118.695,118.695,200
1112,118.73,118.73,118.73,118.73,204
1113,118.65,118.65,118.65,118.65,200
1115,118.66,118.66,118.66,118.66,202
1116,118.72,118.72,118.72,118.72,202
1117,118.8,118.8,118.8,118.8,200
1118,118.75,118.75,118.75,118.75,200
1121,118.86,118.86,118.86,118.86,348
1123,118.735,118.735,118.735,118.735,200
1125,118.8,118.8,118.8,118.8,200
1129,118.93,118.93,118.93,118.93,200
1137,119.11,119.11,119.11,119.11,200
1138,119.02,119.02,119.02,119.02,200
1141,118.93,118.93,118.93,118.93,266
1144,119.29,119.29,119.29,119.29,426
1146,119.195,119.195,119.195,119.195,200
1149,119.04,119.04,119.04,119.04,302
1150,119,119,119,119,216
1151,118.99,118.99,118.99,118.99,244
1152,118.955,118.955,118.955,118.955,204
1155,118.985,118.985,118.985,118.985,202
1159,118.985,118.985,118.985,118.985,200
122,119.05,119.09,119.05,119.09,506
124,119.14,119.14,119.14,119.14,400
125,119.06,119.06,119.06,119.06,200
127,119.12,119.12,119.12,119.12,318
1214,119.04,119.04,119.04,119.04,200
1216,119.035,119.035,119.035,119.035,200
1220,119.04,119.04,119.04,119.04,232
1223,118.95,118.95,118.95,118.95,222
1226,118.875,118.875,118.875,118.875,298
1230,119,119,119,119,200
1233,119.16,119.16,119.16,119.16,242
1238,118.925,118.925,118.925,118.925,202
1243,118.98,118.98,118.98,118.98,298
1244,118.945,118.945,118.945,118.945,200
1249,119.005,119.005,118.98,118.98,2894
1251,118.98,118.98,118.98,118.98,200
1253,119.025,119.025,119.025,119.025,200
1254,119.01,119.01,119.01,119.01,600
1259,119.46,119.46,119.42,119.42,400
132,119.415,119.415,119.415,119.415,302
133,119.4,119.4,119.4,119.4,414
135,119.31,119.31,119.31,119.31,222
137,119.39,119.39,119.39,119.39,202
138,119.45,119.45,119.395,119.395,432
1311,119.365,119.365,119.365,119.365,204
1312,119.32,119.32,119.32,119.32,204
1314,119.28,119.355,119.28,119.355,1008
1315,119.38,119.38,119.38,119.38,202
1317,119.4,119.4,119.4,119.4,600
1320,119.545,119.545,119.545,119.545,204
1325,119.72,119.72,119.72,119.72,200
1326,119.72,119.785,119.72,119.775,1950
1327,119.82,119.82,119.82,119.82,200
1328,119.83,119.83,119.82,119.82,496
1329,119.725,119.725,119.725,119.725,646
1332,119.75,119.75,119.75,119.75,214
1335,119.79,119.79,119.775,119.775,404
1340,119.64,119.64,119.64,119.64,200
1341,119.675,119.675,119.645,119.645,400
1344,119.645,119.645,119.645,119.645,200
1350,119.44,119.44,119.41,119.41,800
1351,119.305,119.305,119.305,119.305,2000
1352,119.42,119.42,119.385,119.385,1052
1353,119.41,119.41,119.39,119.39,600
140,119.44,119.44,119.44,119.44,226
142,119.485,119.53,119.485,119.53,938
146,119.46,119.46,119.46,119.46,256
147,119.42,119.42,119.42,119.42,204
148,119.365,119.365,119.365,119.365,202
1412,119.525,119.525,119.525,119.525,204
1413,119.55,119.55,119.55,119.55,206
1414,119.485,119.485,119.485,119.485,202
1415,119.485,119.485,119.485,119.485,200
1416,119.52,119.555,119.52,119.555,414
1418,119.7,119.7,119.7,119.7,378
1419,119.65,119.65,119.65,119.65,250
1420,119.63,119.63,119.63,119.63,394
1424,119.645,119.645,119.645,119.645,200
1434,119.735,119.735,119.735,119.735,298
1438,119.635,119.635,119.635,119.635,200
1439,119.665,119.665,119.665,119.665,202
1440,119.72,119.72,119.72,119.72,200
1441,119.705,119.705,119.705,119.705,200
1443,119.66,119.72,119.66,119.72,402
1444,119.7,119.7,119.7,119.7,200
1447,119.615,119.615,119.615,119.615,200
1448,119.54,119.54,119.54,119.54,216
1450,119.575,119.575,119.575,119.575,210
1452,119.6,119.6,119.6,119.6,420
1453,119.725,119.725,119.725,119.725,200
1456,119.84,119.84,119.84,119.84,230
1458,119.79,119.79,119.79,119.79,200
1459,119.785,119.785,119.785,119.785,250
150,119.83,119.83,119.83,119.83,358
153,119.84,119.84,119.84,119.84,288
155,119.83,119.83,119.83,119.83,460
1511,119.91,119.945,119.91,119.945,538
1515,119.635,119.635,119.635,119.635,220
1516,119.56,119.56,119.365,119.365,1780
1518,119.385,119.385,119.31,119.31,906
1519,119.33,119.33,119.22,119.22,806
1520,119.41,119.58,119.41,119.58,6906
1521,119.66,119.69,119.645,119.665,20878
1523,119.24,119.24,119.095,119.095,420
1527,118.81,118.81,118.81,118.81,240
1529,118.81,118.825,118.81,118.825,430
1531,118.885,118.885,118.885,118.885,200
1532,118.62,118.63,118.62,118.63,400
1533,118.51,118.51,118.51,118.51,202
1534,118.47,118.56,118.435,118.55,2154
1535,118.635,118.635,118.63,118.63,1606
1538,118.57,118.57,118.57,118.57,456
1542,118.46,118.47,118.46,118.47,560
1544,118.54,118.54,118.54,118.54,208
1545,118.43,118.43,118.43,118.43,200
1546,118.385,118.385,118.385,118.385,424
1548,118.36,118.43,118.36,118.43,442
1550,118.18,118.18,118.18,118.18,346
1551,118.25,118.25,118.25,118.25,312
1552,118.175,118.2,118.175,118.2,804
1553,117.92,117.92,117.84,117.84,682
1554,118.03,118.095,118.02,118.055,2308
1555,118.07,118.2,118.07,118.2,1644
1556,118.26,118.3,118.26,118.3,1018
1558,118.2,118.21,118.19,118.2,1836
1559,118.27,118.3,118.27,118.3,1756
931,119.815,119.815,119.815,119.815,218
935,119.86,119.86,119.86,119.86,400
936,119.695,119.695,119.695,119.695,400
937,119.81,119.81,119.81,119.81,200
939,119.745,119.745,119.745,119.745,400
940,119.665,119.665,119.665,119.665,202
949,119.885,119.885,119.885,119.885,200
950,119.78,119.78,119.78,119.78,418
953,119.25,119.25,119.23,119.23,402
954,119.25,119.25,119.25,119.25,202
956,119.38,119.59,119.38,119.59,400
957,119.62,119.62,119.62,119.62,212
100,119.48,119.48,119.48,119.48,200
1012,119.5,119.5,119.47,119.47,422
1029,120.36,120.36,120.36,120.36,296
1034,120.27,120.29,120.27,120.29,400
1035,120.41,120.45,120.41,120.45,400
1039,120.335,120.335,120.335,120.335,204
1041,120.37,120.37,120.37,120.37,242
1044,120.36,120.36,120.36,120.36,200
1048,120.325,120.325,120.325,120.325,220
114,120.54,120.54,120.54,120.54,212
1123,120.14,120.14,120.14,120.14,202
1125,120.18,120.18,120.18,120.18,202
1133,120.055,120.055,120.055,120.055,218
1140,120.025,120.025,120.025,120.025,202
1145,119.99,119.99,119.99,119.99,230
126,120.38,120.38,120.38,120.38,402
1218,120.515,120.515,120.515,120.515,200
1227,120.39,120.39,120.39,120.39,228
131,120.48,120.48,120.48,120.48,240
1311,120.275,120.275,120.275,120.275,200
1324,120,120,119.915,119.915,400
1327,119.83,119.83,119.83,119.83,200
1329,119.91,119.91,119.91,119.91,200
1332,119.85,119.85,119.85,119.85,200
1355,120.28,120.28,120.28,120.28,240
147,120.19,120.19,120.19,120.19,282
1411,120.24,120.24,120.24,120.24,200
1413,120.26,120.26,120.26,120.26,316
1417,120.32,120.32,120.32,120.32,200
1424,120.345,120.345,120.345,120.345,200
1427,120.26,120.26,120.26,120.26,210
1428,120.23,120.23,120.22,120.22,404
1430,120.245,120.245,120.245,120.245,400
1432,120.32,120.32,120.32,120.32,200
1434,120.4,120.4,120.4,120.4,224
1437,120.41,120.41,120.41,120.41,200
1445,120.34,120.34,120.34,120.34,302
1446,120.375,120.375,120.375,120.375,200
1452,120.44,120.44,120.44,120.44,230
1456,120.44,120.44,120.44,120.44,202
1457,120.46,120.46,120.46,120.46,202
157,120.51,120.51,120.51,120.51,232
1510,120.51,120.51,120.51,120.51,200
1513,120.44,120.44,120.44,120.44,204
1524,120.77,120.77,120.735,120.735,440
1526,120.75,120.75,120.75,120.75,212
1527,120.8,120.8,120.8,120.8,272
1530,120.69,120.69,120.69,120.69,250
1531,120.63,120.63,120.63,120.63,234
1532,120.585,120.585,120.585,120.585,200
1535,120.71,120.71,120.655,120.655,2802
1536,120.68,120.735,120.68,120.68,600
1539,120.62,120.62,120.62,120.62,200
1543,120.7,120.7,120.7,120.7,404
1544,120.765,120.765,120.765,120.765,600
1545,120.65,120.65,120.65,120.65,224
1546,120.66,120.66,120.62,120.62,400
1547,120.7,120.7,120.7,120.7,400
1552,120.48,120.51,120.46,120.51,600
1553,120.48,120.48,120.44,120.44,430
1554,120.39,120.41,120.39,120.41,414
1555,120.41,120.41,120.4,120.41,1420
1556,120.42,120.42,120.42,120.42,324
1557,120.41,120.41,120.41,120.41,748
1558,120.38,120.45,120.38,120.44,1738
1559,120.44,120.47,120.44,120.47,1136
930,118.97,118.97,118.97,118.97,400
932,118.97,118.97,118.97,118.97,200
936,119.02,119.02,119.02,119.02,200
943,119.01,119.01,119.01,119.01,200
950,118.93,118.93,118.93,118.93,204
955,119.01,119.01,119.01,119.01,200
959,118.99,119.06,118.95,118.95,692
100,119.06,119.06,119.06,119.06,240
101,119.01,119.015,119.01,119.015,578
102,119,119,119,119,220
105,118.81,118.81,118.81,118.81,232
107,118.85,118.85,118.85,118.85,200
1011,118.99,118.99,118.94,118.94,626
1013,119,119,119,119,414
1015,118.94,118.94,118.94,118.94,204
1023,118.94,118.94,118.94,118.94,206
1032,118.89,118.89,118.89,118.89,202
1043,118.47,118.47,118.47,118.47,200
1045,118.45,118.45,118.45,118.45,200
1050,118.435,118.435,118.435,118.435,200
1121,118.78,118.78,118.78,118.78,262
1126,118.825,118.83,118.825,118.83,400
1133,119,119,119,119,200
1139,118.84,118.84,118.84,118.84,200
1148,118.93,118.93,118.93,118.93,200
1153,118.93,118.93,118.93,118.93,200
1155,118.835,118.835,118.835,118.835,200
1158,118.865,118.865,118.865,118.865,238
124,118.915,118.915,118.915,118.915,208
125,118.955,118.955,118.955,118.955,200
1212,119.08,119.08,119.08,119.08,200
1213,119.08,119.08,119.08,119.08,206
1236,118.995,118.995,118.995,118.995,200
1245,118.725,118.725,118.725,118.725,400
132,118.965,118.965,118.965,118.965,200
1319,119.005,119.005,119.005,119.005,200
1332,118.84,118.84,118.84,118.84,200
1338,118.8,118.905,118.8,118.905,402
1339,118.92,118.92,118.92,118.92,200
1349,118.825,118.825,118.825,118.825,200
1350,118.77,118.78,118.77,118.78,400
1351,118.76,118.76,118.76,118.76,200
1354,118.74,118.74,118.74,118.74,202
1355,118.68,118.68,118.68,118.68,218
1357,118.635,118.635,118.635,118.635,200
143,118.62,118.62,118.62,118.62,334
144,118.665,118.665,118.665,118.665,200
149,118.69,118.69,118.69,118.69,200
1411,118.68,118.68,118.68,118.68,228
1419,118.555,118.555,118.555,118.555,240
1421,118.46,118.46,118.46,118.46,200
1422,118.39,118.39,118.39,118.39,200
1424,118.41,118.45,118.41,118.45,634
1425,118.47,118.47,118.47,118.47,268
1428,118.55,118.57,118.53,118.55,800
1429,118.535,118.535,118.535,118.535,200
1430,118.505,118.505,118.505,118.505,234
1432,118.49,118.49,118.415,118.415,400
1433,118.45,118.45,118.45,118.45,400
1436,118.25,118.25,118.21,118.21,600
1437,118.24,118.24,118.24,118.24,200
1444,118.24,118.24,118.24,118.24,340
1445,118.285,118.285,118.285,118.285,202
1450,118,118,118,118,400
1451,117.89,117.89,117.89,117.89,412
1454,118.06,118.06,118.06,118.06,826
1458,118.15,118.15,118.15,118.15,404
152,118.085,118.085,118,118,402
154,118.1,118.1,118.1,118.1,610
156,118.13,118.16,118.13,118.16,600
1520,118.21,118.21,118.21,118.21,228
1522,118.275,118.28,118.275,118.28,422
1525,118.42,118.42,118.42,118.42,206
1527,118.41,118.41,118.41,118.41,244
1528,118.425,118.425,118.425,118.425,200
1529,118.42,118.42,118.42,118.42,200
1531,118.325,118.325,118.32,118.32,584
1532,118.305,118.305,118.305,118.305,488
1535,118.31,118.31,118.305,118.305,404
1538,118.26,118.26,118.26,118.26,404
1540,118.17,118.175,118.17,118.17,640
1541,118.22,118.22,118.22,118.22,202
1543,118.25,118.25,118.25,118.25,434
1548,118.16,118.16,118.11,118.11,406
1549,118.065,118.065,118.02,118.02,750
1550,118,118.1,118,118.1,808
1551,118.19,118.19,118.19,118.19,238
1552,118.18,118.18,118.12,118.12,718
1553,118.21,118.21,118.18,118.18,412
1554,118.205,118.225,118.205,118.225,440
1555,118.275,118.29,118.27,118.29,1674
1556,118.275,118.275,118.275,118.275,594
1557,118.3,118.325,118.25,118.325,1116
1559,118.36,118.41,118.34,118.37,2250
935,117.63,117.63,117.63,117.63,200
937,117.67,117.67,117.67,117.67,214
957,117.875,117.875,117.875,117.875,200
106,117.865,117.865,117.85,117.85,1244
1013,117.62,117.62,117.62,117.62,300
1017,117.5,117.5,117.5,117.5,200
1028,117.55,117.55,117.55,117.55,278
1030,117.48,117.48,117.48,117.48,204
1034,117.445,117.445,117.445,117.445,440
1052,117.47,117.47,117.47,117.47,200
1054,117.46,117.61,117.46,117.61,654
112,117.24,117.24,117.24,117.24,826
114,117.155,117.155,117.155,117.155,200
1112,117.26,117.26,117.26,117.26,500
1117,117.305,117.305,117.305,117.305,240
1118,117.36,117.36,117.36,117.36,428
1126,117.395,117.395,117.395,117.395,466
1128,117.325,117.325,117.325,117.325,202
1129,117.36,117.36,117.36,117.36,494
1134,117.335,117.335,117.335,117.335,408
1143,117.345,117.345,117.345,117.345,202
1146,117.42,117.42,117.42,117.42,240
1148,117.33,117.33,117.33,117.33,220
122,117.305,117.305,117.305,117.305,444
128,117.36,117.36,117.36,117.36,200
1213,117.21,117.235,117,117.235,4182
1214,117.235,117.335,117.235,117.335,400
1216,117.245,117.245,117.245,117.245,440
1217,117.245,117.245,117.245,117.245,200
1220,117.155,117.155,117.155,117.155,200
1225,117.035,117.035,117.035,117.035,364
1228,117.06,117.06,117.06,117.06,244
1229,117.025,117.025,117.025,117.025,200
1234,117.04,117.065,117.04,117.065,446
1240,117.16,117.16,117.16,117.16,200
1245,117.185,117.185,117.185,117.185,200
1248,116.97,116.97,116.96,116.96,454
1249,116.975,116.985,116.85,116.86,2284
1251,116.89,116.935,116.89,116.935,804
132,116.85,116.85,116.85,116.85,200
134,116.865,116.865,116.865,116.865,312
138,116.955,116.955,116.955,116.955,200
139,117.07,117.07,117.07,117.07,244
1310,117.145,117.145,117.145,117.145,200
1312,117.155,117.155,117.155,117.155,240
1314,117.11,117.11,117.11,117.11,200
1317,117.07,117.07,117.07,117.07,202
1320,117.18,117.18,117.18,117.18,240
1329,117.25,117.25,117.25,117.25,218
1332,117.22,117.22,117.22,117.22,202
1335,117.27,117.27,117.27,117.27,400
1340,117.29,117.29,117.29,117.29,210
1343,117.4,117.41,117.4,117.41,400
1350,117.5,117.5,117.5,117.5,200
1351,117.56,117.61,117.56,117.61,402
1352,117.66,117.66,117.66,117.66,200
1356,117.76,117.76,117.76,117.76,200
1359,117.74,117.74,117.74,117.74,218
140,117.69,117.69,117.69,117.69,236
1416,117.84,117.875,117.84,117.875,412
1419,117.8,117.8,117.8,117.8,220
1427,117.47,117.47,117.47,117.47,200
1428,117.47,117.47,117.47,117.47,364
1429,117.46,117.46,117.46,117.46,210
1431,117.525,117.525,117.525,117.525,320
1440,117.225,117.225,117.225,117.225,294
1452,117.32,117.32,117.32,117.32,310
1454,117.13,117.185,117.13,117.185,512
1457,117.165,117.165,117.165,117.165,220
152,117,117,117,117,496
153,117.055,117.055,117.055,117.055,600
155,117.05,117.05,117.05,117.05,400
156,117.055,117.055,117.055,117.055,402
157,117.02,117.02,117.02,117.02,200
1516,116.93,116.93,116.93,116.93,214
1522,116.945,116.945,116.945,116.945,278
1523,116.96,116.96,116.96,116.96,200
1525,116.915,116.915,116.915,116.915,200
1529,117.05,117.05,117.05,117.05,276
1531,116.945,116.945,116.945,116.945,400
1532,116.87,116.87,116.87,116.87,212
1539,116.65,116.65,116.65,116.65,200
1540,116.65,116.65,116.61,116.61,620
1541,116.63,116.63,116.63,116.63,440
1544,116.71,116.74,116.71,116.74,614
1545,116.66,116.68,116.66,116.68,610
1546,116.61,116.61,116.61,116.61,200
1547,116.63,116.63,116.63,116.63,774
1548,116.64,116.675,116.64,116.675,404
1549,116.43,116.43,116.43,116.43,576
1552,116.6,116.6,116.6,116.6,582
1553,116.52,116.54,116.5,116.5,840
1554,116.47,116.56,116.47,116.54,900
1555,116.47,116.48,116.47,116.48,802
1556,116.48,116.5,116.48,116.5,542
1558,116.525,116.525,116.525,116.525,518
1559,116.58,116.58,116.58,116.58,1462
939,117.09,117.09,117.09,117.09,316
951,116.78,116.92,116.78,116.92,400
105,116.78,116.78,116.78,116.78,212
1010,117.03,117.03,117.03,117.03,250
1014,116.82,116.82,116.82,116.82,202
1041,117.06,117.06,117.06,117.06,200
1044,116.99,116.99,116.99,116.99,222
1049,116.78,116.78,116.78,116.78,234
1051,116.885,116.885,116.885,116.885,200
1053,117,117,117,117,236
1054,116.995,116.995,116.995,116.995,200
1059,117.04,117.04,117.04,117.04,242
110,117.045,117.045,117,117,468
114,117.015,117.015,117.015,117.015,200
116,116.965,116.965,116.965,116.965,200
118,117,117,116.94,116.94,536
1114,116.745,116.745,116.745,116.745,200
1118,116.67,116.67,116.67,116.67,230
1127,116.61,116.61,116.61,116.61,236
1130,116.66,116.66,116.66,116.66,200
1141,116.695,116.695,116.695,116.695,300
1142,116.68,116.68,116.68,116.68,200
1144,116.54,116.54,116.54,116.54,292
1145,116.43,116.43,116.43,116.43,600
1151,116.24,116.24,116.24,116.24,282
1159,116.395,116.395,116.395,116.395,214
124,116.405,116.405,116.405,116.405,200
1218,116.49,116.49,116.49,116.49,202
1219,116.455,116.455,116.455,116.455,200
1228,116.205,116.205,116.205,116.205,200
1229,116.19,116.19,116.19,116.19,518
1232,116.295,116.295,116.295,116.295,200
1240,116.395,116.395,116.395,116.395,200
1242,116.41,116.41,116.41,116.41,402
1251,116.44,116.44,116.44,116.44,200
1255,116.48,116.48,116.48,116.48,476
1256,116.555,116.555,116.555,116.555,200
1257,116.55,116.55,116.55,116.55,202
132,116.58,116.58,116.58,116.58,400
