time,open,high,low,close,volume
1354,1.755,1.755,1.755,1.755,100
141,1.755,1.755,1.755,1.755,100
142,1.755,1.755,1.755,1.755,100
144,1.755,1.755,1.755,1.755,100
1416,1.755,1.755,1.755,1.755,100
1418,1.755,1.755,1.755,1.755,100
1422,1.76,1.76,1.76,1.76,100
1453,1.76,1.76,1.76,1.76,100
1454,1.755,1.755,1.755,1.755,200
1455,1.755,1.755,1.755,1.755,100
1516,1.75,1.75,1.75,1.75,200
1530,1.76,1.77,1.76,1.77,200
1537,1.76,1.76,1.76,1.76,100
1538,1.755,1.755,1.755,1.755,100
1543,1.77,1.77,1.77,1.77,290
1544,1.765,1.765,1.765,1.765,100
1554,1.76,1.76,1.76,1.76,100
1558,1.75,1.75,1.75,1.75,1334
1559,1.755,1.755,1.755,1.755,2058
930,1.76,1.76,1.76,1.76,100
936,1.78,1.78,1.78,1.78,100
937,1.79,1.79,1.79,1.79,100
102,1.77,1.77,1.77,1.77,100
1022,1.78,1.78,1.78,1.78,100
1023,1.78,1.78,1.78,1.78,100
1033,1.78,1.78,1.78,1.78,100
1118,1.77,1.77,1.77,1.77,196
1119,1.775,1.775,1.775,1.775,200
1143,1.775,1.775,1.775,1.775,200
1147,1.77,1.77,1.77,1.77,100
1153,1.77,1.77,1.77,1.77,100
120,1.77,1.77,1.77,1.77,200
1220,1.78,1.78,1.75,1.75,900
1225,1.74,1.74,1.74,1.74,100
1317,1.745,1.745,1.745,1.745,100
1326,1.74,1.74,1.74,1.74,100
1328,1.74,1.74,1.74,1.74,200
1345,1.74,1.74,1.74,1.74,100
1346,1.735,1.735,1.735,1.735,100
1350,1.745,1.745,1.745,1.745,200
1352,1.75,1.75,1.75,1.75,700
142,1.755,1.755,1.755,1.755,200
1414,1.77,1.77,1.77,1.77,100
1427,1.77,1.77,1.77,1.77,100
1429,1.8,1.8,1.795,1.795,310
1434,1.81,1.82,1.81,1.82,200
1436,1.8,1.8,1.8,1.8,100
1452,1.805,1.805,1.805,1.805,100
1457,1.805,1.805,1.75,1.77,1800
1510,1.765,1.765,1.765,1.765,100
1528,1.765,1.765,1.765,1.765,100
1533,1.765,1.765,1.765,1.765,100
1544,1.78,1.78,1.775,1.775,200
1545,1.79,1.79,1.79,1.79,100
1546,1.785,1.785,1.785,1.785,100
1547,1.795,1.795,1.795,1.795,100
1557,1.79,1.79,1.79,1.79,200
933,1.76,1.76,1.76,1.76,100
942,1.745,1.745,1.745,1.745,100
109,1.74,1.74,1.74,1.74,200
1017,1.745,1.745,1.745,1.745,200
1035,1.76,1.76,1.76,1.76,100
1111,1.74,1.74,1.72,1.735,300
1117,1.745,1.745,1.745,1.745,100
1125,1.745,1.745,1.745,1.745,200
1138,1.755,1.755,1.755,1.755,689
1142,1.765,1.765,1.765,1.765,200
1147,1.765,1.765,1.765,1.765,200
1152,1.765,1.765,1.765,1.765,100
1158,1.765,1.765,1.765,1.765,100
125,1.765,1.765,1.765,1.765,100
1212,1.765,1.765,1.765,1.765,100
1215,1.765,1.765,1.765,1.765,100
1219,1.765,1.765,1.765,1.765,100
1222,1.765,1.765,1.765,1.765,100
1244,1.765,1.765,1.765,1.765,400
1249,1.765,1.765,1.765,1.765,282
1253,1.765,1.765,1.765,1.765,100
139,1.765,1.765,1.765,1.765,200
1341,1.755,1.755,1.755,1.755,400
1348,1.755,1.755,1.755,1.755,300
1356,1.77,1.77,1.77,1.77,200
140,1.765,1.765,1.76,1.76,300
1440,1.77,1.77,1.765,1.765,300
1442,1.775,1.78,1.775,1.78,289
152,1.78,1.78,1.78,1.78,100
1524,1.775,1.775,1.775,1.775,100
1530,1.78,1.78,1.78,1.78,116
1556,1.78,1.785,1.78,1.785,700
1559,1.785,1.79,1.785,1.79,421
936,1.795,1.8,1.795,1.8,200
938,1.805,1.81,1.805,1.81,300
941,1.815,1.82,1.815,1.82,200
947,1.835,1.84,1.835,1.84,400
950,1.82,1.83,1.82,1.83,300
951,1.83,1.84,1.83,1.84,200
106,1.825,1.825,1.825,1.825,200
109,1.825,1.825,1.825,1.825,100
1019,1.84,1.84,1.84,1.84,101
1020,1.845,1.85,1.845,1.85,380
1031,1.825,1.825,1.825,1.825,100
1037,1.845,1.85,1.845,1.85,500
1038,1.85,1.86,1.85,1.86,600
1039,1.865,1.89,1.865,1.89,669
1041,1.89,1.89,1.885,1.885,252
1042,1.88,1.88,1.88,1.88,100
1045,1.86,1.86,1.86,1.86,100
1046,1.855,1.855,1.855,1.855,100
1049,1.87,1.87,1.865,1.865,200
1051,1.875,1.88,1.875,1.88,305
1054,1.88,1.88,1.875,1.875,200
1056,1.875,1.89,1.875,1.89,400
1058,1.885,1.89,1.885,1.89,500
1059,1.9,1.9,1.9,1.9,500
110,1.91,1.91,1.91,1.91,500
111,1.915,1.915,1.915,1.915,151
