time,open,high,low,close,volume
1144,6.34,6.35,6.34,6.35,200
1148,6.28,6.28,6.28,6.28,100
1150,6.37,6.39,6.37,6.39,200
1158,6.33,6.33,6.33,6.33,100
121,6.27,6.27,6.27,6.27,100
124,6.29,6.29,6.29,6.29,100
126,6.32,6.32,6.32,6.32,100
127,6.34,6.34,6.34,6.34,100
128,6.36,6.36,6.36,6.36,100
1212,6.37,6.39,6.37,6.39,200
1215,6.41,6.41,6.41,6.41,200
1221,6.36,6.36,6.36,6.36,100
1224,6.34,6.37,6.34,6.37,200
1226,6.38,6.41,6.38,6.41,200
1228,6.39,6.39,6.39,6.39,100
1232,6.34,6.35,6.34,6.35,200
1233,6.3,6.3,6.3,6.3,100
1242,6.33,6.33,6.33,6.33,100
1248,6.36,6.36,6.36,6.36,100
1250,6.4,6.4,6.4,6.4,100
1251,6.41,6.41,6.41,6.41,100
1253,6.27,6.27,6.27,6.27,100
1259,6.34,6.34,6.34,6.34,100
949,6.365,6.365,6.36,6.36,500
103,6.315,6.315,6.315,6.315,300
1016,6.35,6.35,6.35,6.35,100
1034,6.51,6.51,6.51,6.51,600
1037,6.47,6.47,6.45,6.45,500
1038,6.43,6.43,6.43,6.43,100
1040,6.415,6.415,6.415,6.415,100
1048,6.475,6.475,6.475,6.475,300
110,6.445,6.445,6.445,6.445,300
111,6.48,6.48,6.48,6.48,300
112,6.475,6.475,6.46,6.46,600
116,6.435,6.435,6.435,6.435,100
1110,6.45,6.45,6.45,6.45,500
1114,6.445,6.445,6.445,6.445,300
1117,6.48,6.48,6.48,6.48,158
1118,6.48,6.48,6.48,6.48,100
1121,6.485,6.485,6.485,6.485,100
1124,6.445,6.445,6.445,6.445,225
1127,6.475,6.475,6.475,6.475,100
1130,6.475,6.475,6.475,6.475,100
1137,6.46,6.46,6.46,6.46,100
1140,6.455,6.455,6.455,6.455,100
1143,6.455,6.455,6.455,6.455,100
1146,6.475,6.475,6.475,6.475,100
1149,6.475,6.475,6.475,6.475,100
129,6.49,6.49,6.49,6.49,400
1213,6.49,6.49,6.485,6.485,500
1216,6.475,6.475,6.475,6.475,100
1218,6.465,6.465,6.465,6.465,100
1221,6.465,6.465,6.465,6.465,100
1227,6.47,6.47,6.47,6.47,200
1230,6.46,6.46,6.46,6.46,100
1236,6.46,6.46,6.46,6.46,200
1237,6.46,6.46,6.46,6.46,100
1241,6.44,6.44,6.44,6.44,200
1244,6.43,6.43,6.43,6.43,100
1247,6.445,6.445,6.445,6.445,100
1255,6.44,6.44,6.44,6.44,300
1256,6.44,6.44,6.44,6.44,100
1259,6.43,6.43,6.43,6.43,100
133,6.43,6.43,6.43,6.43,100
134,6.425,6.425,6.425,6.425,100
137,6.425,6.425,6.425,6.425,100
1310,6.41,6.41,6.41,6.41,100
1313,6.405,6.405,6.405,6.405,100
1325,6.39,6.39,6.39,6.39,400
1326,6.39,6.39,6.39,6.39,100
1329,6.39,6.39,6.39,6.39,100
1332,6.39,6.39,6.39,6.39,100
1337,6.42,6.425,6.42,6.425,300
1339,6.425,6.425,6.425,6.425,100
1341,6.425,6.425,6.425,6.425,100
1342,6.425,6.425,6.425,6.425,100
1344,6.39,6.39,6.39,6.39,100
1358,6.37,6.37,6.37,6.37,400
1359,6.37,6.37,6.37,6.37,100
140,6.37,6.37,6.37,6.37,100
142,6.36,6.36,6.36,6.36,100
144,6.36,6.36,6.36,6.36,100
1413,6.35,6.35,6.35,6.35,200
1432,6.335,6.335,6.335,6.335,400
1443,6.335,6.335,6.335,6.335,400
1444,6.335,6.335,6.335,6.335,359
1447,6.34,6.34,6.34,6.34,100
1449,6.325,6.325,6.325,6.325,100
1451,6.32,6.32,6.32,6.32,100
1452,6.32,6.32,6.32,6.32,100
1454,6.32,6.32,6.32,6.32,100
1457,6.37,6.37,6.37,6.37,100
150,6.365,6.365,6.355,6.355,300
152,6.36,6.36,6.36,6.36,100
154,6.36,6.36,6.36,6.36,100
156,6.36,6.36,6.36,6.36,112
157,6.36,6.36,6.36,6.36,100
