time,open,high,low,close,volume
1133,11.08,11.08,11.08,11.08,100
1154,11.12,11.12,11.12,11.12,100
123,11.12,11.12,11.12,11.12,100
127,11.12,11.12,11.12,11.12,100
1212,11.12,11.12,11.09,11.09,200
1214,11.12,11.12,11.12,11.12,100
1217,11.11,11.11,11.11,11.11,100
1219,11.11,11.11,11.11,11.11,100
1221,11.12,11.12,11.12,11.12,100
1223,11.12,11.12,11.12,11.12,100
1225,11.12,11.12,11.12,11.12,100
1228,11.12,11.12,11.12,11.12,100
1234,11.12,11.12,11.12,11.12,100
1237,11.12,11.12,11.12,11.12,200
1242,11.12,11.12,11.12,11.12,100
1244,11.12,11.12,11.12,11.12,200
1249,11.12,11.12,11.12,11.12,100
1251,11.11,11.11,11.11,11.11,200
130,11.11,11.11,11.11,11.11,200
131,11.11,11.11,11.11,11.11,100
133,11.115,11.115,11.115,11.115,100
134,11.115,11.115,11.115,11.115,100
136,11.115,11.115,11.115,11.115,100
138,11.115,11.115,11.115,11.115,100
1310,11.115,11.115,11.115,11.115,100
1311,11.115,11.115,11.115,11.115,100
1313,11.115,11.115,11.115,11.115,100
1314,11.115,11.115,11.115,11.115,100
1316,11.115,11.115,11.115,11.115,100
1319,11.115,11.115,11.115,11.115,100
1321,11.115,11.115,11.115,11.115,100
1323,11.115,11.115,11.115,11.115,100
1325,11.115,11.115,11.115,11.115,100
1327,11.115,11.115,11.115,11.115,100
1329,11.115,11.115,11.115,11.115,100
1332,11.11,11.11,11.11,11.11,100
1334,11.115,11.115,11.115,11.115,100
1336,11.115,11.115,11.115,11.115,100
1338,11.115,11.115,11.115,11.115,100
1341,11.115,11.115,11.115,11.115,100
1343,11.115,11.115,11.115,11.115,100
1346,11.09,11.09,11.09,11.09,100
1357,11.1,11.1,11.1,11.1,100
140,11.1,11.1,11.1,11.1,100
141,11.1,11.1,11.1,11.1,100
144,11.1,11.1,11.1,11.1,100
147,11.1,11.1,11.1,11.1,100
1413,11.1,11.1,11.1,11.1,100
1416,11.1,11.1,11.1,11.1,100
1418,11.1,11.1,11.1,11.1,100
1421,11.1,11.1,11.1,11.1,200
1424,11.1,11.1,11.1,11.1,100
1428,11.1,11.1,11.1,11.1,100
1433,11.1,11.1,11.1,11.1,100
1436,11.1,11.1,11.1,11.1,100
1437,11.08,11.08,11.08,11.08,100
1441,11.09,11.09,11.09,11.09,3114
1451,11.08,11.08,11.08,11.08,400
1513,11.06,11.06,11.06,11.06,100
1519,11.07,11.07,11.07,11.07,100
1532,11.04,11.04,11.04,11.04,100
1541,11.05,11.05,11.05,11.05,200
1548,11.05,11.05,11.05,11.05,100
1550,11.06,11.065,11.06,11.065,200
1551,11.065,11.085,11.065,11.085,200
1552,11.085,11.085,11.06,11.06,400
1553,11.06,11.06,11.06,11.06,200
1554,11.06,11.06,11.06,11.06,300
1557,11.04,11.05,11.03,11.04,2500
1059,11.095,11.095,11.095,11.095,200
1146,11.085,11.085,11.085,11.085,400
1211,11.1,11.11,11.1,11.11,885
1222,11.115,11.115,11.115,11.115,300
1438,11.05,11.05,11.05,11.05,100
1442,11.05,11.05,11.05,11.05,1200
1542,11.03,11.03,11.03,11.03,2546
1556,11.05,11.05,11.05,11.05,400
81,10.91,10.91,10.91,10.91,100
83,10.92,10.92,10.92,10.92,100
84,10.92,10.92,10.92,10.92,100
87,10.95,10.95,10.95,10.95,100
810,10.99,10.99,10.99,10.99,100
811,11.05,11.05,11.05,11.05,100
814,10.99,10.99,10.99,10.99,100
819,11,11,11,11,100
821,11.02,11.04,11.02,11.04,200
822,11.02,11.02,11.02,11.02,100
823,11.02,11.02,11.02,11.02,100
826,10.93,10.93,10.93,10.93,100
829,11.05,11.05,11.05,11.05,100
834,10.97,10.99,10.97,10.99,200
835,11.05,11.06,11.05,11.06,200
836,11.07,11.1,11.07,11.1,200
839,10.97,10.97,10.97,10.97,100
844,11.01,11.01,11.01,11.01,100
845,11.02,11.02,11.02,11.02,100
850,11.09,11.09,11.09,11.09,100
851,11.04,11.1,11.04,11.1,300
853,11.11,11.11,11.11,11.11,100
855,11.01,11.01,11.01,11.01,100
857,10.93,10.93,10.93,10.93,100
859,11,11,11,11,100
90,10.92,10.92,10.92,10.92,100
95,11.03,11.03,11.03,11.03,100
96,10.96,10.96,10.96,10.96,100
911,10.99,10.99,10.99,10.99,100
913,11.05,11.05,11.05,11.05,100
917,11.05,11.05,11.02,11.02,200
918,10.93,10.93,10.93,10.93,100
921,11.1,11.1,11.1,11.1,100
930,10.9,10.9,10.9,10.9,100
932,10.96,10.96,10.96,10.96,100
936,10.95,10.95,10.95,10.95,100
937,10.98,10.98,10.98,10.98,100
938,11,11,11,11,100
940,11,11,11,11,100
944,10.99,10.99,10.99,10.99,100
946,11.01,11.01,11.01,11.01,100
948,11,11,11,11,100
949,11.01,11.01,11.01,11.01,100
953,10.96,10.96,10.96,10.96,100
955,10.98,10.98,10.92,10.92,300
957,11,11,11,11,100
103,10.97,10.97,10.97,10.97,100
105,10.99,10.99,10.99,10.99,100
108,11,11,11,11,200
1010,11,11,11,11,100
1011,11.01,11.01,11.01,11.01,100
1012,11.02,11.02,11.02,11.02,100
1013,11.02,11.02,11.02,11.02,100
1014,11,11,11,11,100
1016,10.96,10.96,10.96,10.96,100
1018,11.05,11.05,11.05,11.05,100
1020,11.06,11.07,11.06,11.07,200
1022,11.07,11.07,11.07,11.07,200
1025,10.96,10.96,10.96,10.96,100
1026,10.99,10.99,10.99,10.99,100
1030,11.02,11.02,11.02,11.02,100
1032,11.04,11.04,11.04,11.04,100
1033,10.91,10.91,10.91,10.91,100
1035,10.94,10.96,10.94,10.96,200
1036,10.98,10.98,10.98,10.98,100
1037,10.95,10.95,10.95,10.95,100
1038,11.02,11.02,11.02,11.02,100
1040,11.04,11.04,11.04,11.04,100
1051,11.04,11.04,11.04,11.04,100
1053,10.96,10.96,10.96,10.96,100
1055,11.03,11.03,11.03,11.03,100
1057,11.06,11.06,11.06,11.06,100
1058,10.96,10.96,10.96,10.96,100
116,10.96,10.96,10.96,10.96,100
119,10.99,11.02,10.99,11.02,300
1112,10.91,10.91,10.91,10.91,100
1117,10.93,10.93,10.93,10.93,100
1118,11.03,11.03,11.03,11.03,100
1120,10.94,10.94,10.94,10.94,100
1127,10.97,10.97,10.97,10.97,100
1128,10.93,10.93,10.93,10.93,100
1131,10.95,10.95,10.95,10.95,100
1132,10.95,10.95,10.95,10.95,100
1144,10.94,10.94,10.94,10.94,100
1148,10.91,10.91,10.91,10.91,100
1151,10.94,10.94,10.94,10.94,100
1153,10.97,10.97,10.97,10.97,100
1156,10.99,10.99,10.99,10.99,100
1157,11.01,11.01,11.01,11.01,100
1159,10.93,10.93,10.93,10.93,100
125,10.9,10.9,10.9,10.9,100
128,10.9,10.9,10.9,10.9,100
129,10.92,10.92,10.92,10.92,100
1210,10.99,10.99,10.99,10.99,100
1212,10.98,10.98,10.98,10.98,100
1215,10.98,10.98,10.95,10.95,200
1222,10.96,10.96,10.96,10.96,100
1223,11.02,11.02,11.02,11.02,100
1225,10.96,10.96,10.96,10.96,100
1226,10.95,10.95,10.95,10.95,100
1227,11.01,11.01,11.01,11.01,100
1232,11.02,11.02,11.02,11.02,100
1233,10.99,10.99,10.99,10.99,100
1240,11.01,11.01,11.01,11.01,100
1242,11.01,11.01,11.01,11.01,100
1244,10.97,10.97,10.97,10.97,100
1247,10.985,10.985,10.985,10.985,100
1248,10.96,10.96,10.96,10.96,100
1249,11.01,11.01,11.01,11.01,100
1251,10.97,10.97,10.97,10.97,100
1253,10.92,10.92,10.92,10.92,100
1256,10.97,10.97,10.97,10.97,100
710,12,12,12,12,400
711,12,12,11.99,11.99,3316
729,11.9,11.9,11.9,11.9,400
