time,open,high,low,close,volume
1153,11.97,11.97,11.97,11.97,388
1155,11.94,11.94,11.94,11.94,200
1157,11.965,11.965,11.965,11.965,200
1159,11.96,11.96,11.96,11.96,200
120,11.975,11.975,11.975,11.975,200
1210,11.995,12.005,11.995,12.005,406
1215,12,12,12,12,2096
1216,12,12,12,12,400
1217,12,12,12,12,834
1218,12,12,12,12,1766
1223,12,12,12,12,1784
1225,12,12,12,12,2766
1227,12,12,11.995,12,5686
1228,11.995,12,11.995,12,1638
1229,12,12,12,12,3762
1230,12,12.025,12,12.015,10422
1231,12.005,12.01,12.005,12.01,400
1232,12.01,12.015,12.01,12.015,400
1233,12.025,12.025,12.025,12.025,5600
1234,12.035,12.045,12.035,12.035,600
1235,12.025,12.025,12.01,12.01,5318
1237,11.985,11.99,11.985,11.99,400
1238,12,12,11.995,12,5980
1240,12,12.01,12,12,17878
1241,12,12,12,12,400
1243,12,12.04,12,12.04,3210
1244,12.065,12.065,12.065,12.065,200
1251,12.115,12.115,12.115,12.115,200
136,12.08,12.08,12.08,12.08,200
1313,12.12,12.13,12.12,12.13,400
1318,12.11,12.11,12.1,12.1,800
1319,12.08,12.085,12.08,12.08,8094
1320,12.085,12.085,12.065,12.065,8606
1323,12.03,12.035,12.03,12.035,1008
1324,12.035,12.035,12.035,12.035,400
1325,12.035,12.035,12.035,12.035,200
1326,12.035,12.035,12.025,12.025,600
1328,12.035,12.035,12.03,12.03,800
1329,12.055,12.055,12.055,12.055,930
1330,12.06,12.06,12.06,12.06,224
1332,12.055,12.055,12.055,12.055,220
1333,12.055,12.065,12.02,12.065,3860
1334,12.065,12.065,12.045,12.05,2000
1338,12.065,12.065,12.06,12.06,620
1341,12.07,12.07,12.07,12.07,348
1342,12.06,12.06,12.05,12.05,5134
1343,12.06,12.06,12.06,12.06,200
1346,12.055,12.055,12.055,12.055,200
1349,12.02,12.05,12.02,12.045,6438
1352,12.035,12.035,12.035,12.035,200
1353,12.01,12.01,12.01,12.01,200
1354,12.01,12.01,12.01,12.01,416
1356,12.04,12.04,12.04,12.04,200
1359,12.075,12.075,12.06,12.06,3390
147,11.995,11.995,11.995,11.995,200
148,12.005,12.005,12.005,12.005,200
149,11.995,12,11.995,12,800
1414,12.075,12.075,12.075,12.075,200
1416,12.085,12.085,12.085,12.085,208
1421,12.065,12.065,12.065,12.065,200
1422,12.05,12.05,12.05,12.05,200
1429,12.02,12.02,12.02,12.02,824
1430,12.03,12.03,12.03,12.03,200
1437,12.055,12.055,12.055,12.055,200
1444,12.08,12.08,12.08,12.08,396
