time,open,high,low,close,volume
1241,22.585,22.585,22.585,22.585,110
1244,22.575,22.58,22.575,22.58,297
1247,22.575,22.575,22.55,22.55,538
1249,22.555,22.57,22.555,22.565,500
1250,22.56,22.57,22.56,22.57,303
1251,22.565,22.575,22.555,22.575,6216
1254,22.585,22.585,22.585,22.585,100
1255,22.57,22.57,22.57,22.57,201
1256,22.555,22.555,22.555,22.555,103
1257,22.555,22.555,22.555,22.555,102
1258,22.57,22.57,22.57,22.57,306
1259,22.58,22.58,22.58,22.58,301
130,22.595,22.6,22.595,22.6,328
131,22.61,22.61,22.61,22.61,175
133,22.6,22.6,22.6,22.6,202
135,22.615,22.615,22.61,22.61,300
137,22.6,22.6,22.6,22.6,137
138,22.59,22.61,22.59,22.61,241
139,22.605,22.605,22.605,22.605,101
1312,22.6,22.6,22.6,22.6,332
1314,22.59,22.59,22.59,22.59,100
1315,22.585,22.6,22.585,22.6,471
1318,22.61,22.61,22.6,22.6,402
1322,22.59,22.59,22.59,22.59,203
1324,22.58,22.58,22.58,22.58,131
1330,22.59,22.59,22.59,22.59,441
1331,22.58,22.58,22.58,22.58,102
1332,22.585,22.585,22.585,22.585,100
1336,22.59,22.59,22.59,22.59,138
1337,22.605,22.605,22.605,22.605,201
1338,22.61,22.61,22.61,22.61,102
1340,22.61,22.61,22.61,22.61,100
1344,22.64,22.64,22.63,22.63,259
1345,22.64,22.64,22.64,22.64,230
1348,22.7,22.7,22.7,22.7,200
1349,22.7,22.7,22.68,22.68,508
1350,22.675,22.675,22.67,22.67,351
1352,22.69,22.69,22.68,22.68,202
1353,22.67,22.67,22.67,22.67,101
1354,22.655,22.655,22.655,22.655,627
1355,22.655,22.655,22.645,22.645,809
1356,22.635,22.635,22.635,22.635,501
1358,22.66,22.665,22.66,22.665,205
141,22.67,22.67,22.665,22.67,725
142,22.67,22.67,22.67,22.67,129
143,22.67,22.67,22.67,22.67,100
144,22.66,22.66,22.66,22.66,213
145,22.655,22.655,22.65,22.65,300
147,22.65,22.65,22.65,22.65,100
148,22.66,22.66,22.66,22.66,259
1410,22.68,22.68,22.68,22.68,128
1411,22.685,22.685,22.685,22.685,104
1416,22.7,22.7,22.69,22.695,371
1417,22.69,22.69,22.68,22.68,604
1418,22.695,22.695,22.69,22.69,201
1419,22.705,22.705,22.705,22.705,354
1421,22.71,22.71,22.71,22.71,272
1422,22.71,22.71,22.68,22.68,645
1424,22.68,22.68,22.68,22.68,207
1425,22.68,22.68,22.68,22.68,123
1426,22.68,22.68,22.68,22.68,374
1427,22.67,22.67,22.65,22.65,526
1428,22.65,22.66,22.65,22.66,223
1429,22.665,22.665,22.665,22.665,202
1430,22.665,22.665,22.665,22.665,122
1431,22.67,22.67,22.67,22.67,200
1432,22.675,22.675,22.67,22.67,257
1433,22.665,22.665,22.655,22.655,317
1435,22.665,22.665,22.66,22.665,481
1436,22.66,22.66,22.66,22.66,396
1440,22.665,22.665,22.66,22.66,436
1441,22.665,22.665,22.665,22.665,301
1442,22.66,22.66,22.66,22.66,489
1443,22.64,22.655,22.64,22.65,2352
1444,22.655,22.655,22.655,22.655,201
1446,22.655,22.655,22.65,22.65,306
1448,22.635,22.64,22.635,22.64,301
1449,22.65,22.65,22.65,22.65,112
1450,22.675,22.675,22.675,22.675,141
1451,22.675,22.68,22.675,22.68,376
1453,22.66,22.66,22.66,22.66,100
1455,22.66,22.66,22.66,22.66,165
1458,22.665,22.665,22.665,22.665,115
150,22.71,22.71,22.71,22.71,525
