time,open,high,low,close,volume
1035,19.56,19.57,19.56,19.57,200
1316,19.65,19.65,19.65,19.65,101
1337,19.7,19.7,19.7,19.7,100
1340,19.74,19.74,19.74,19.74,100
934,19.52,19.52,19.52,19.52,273
108,19.6,19.6,19.6,19.6,100
1011,19.6,19.6,19.6,19.6,100
1014,19.62,19.62,19.62,19.62,100
112,19.65,19.65,19.65,19.65,100
1119,19.69,19.69,19.69,19.69,100
1128,19.72,19.72,19.72,19.72,100
129,19.7,19.7,19.7,19.7,100
135,19.75,19.75,19.75,19.75,100
1310,19.73,19.73,19.73,19.73,100
1333,19.75,19.75,19.75,19.75,200
936,19.79,19.79,19.79,19.79,200
1351,19.925,19.925,19.925,19.925,256
1211,19.88,19.88,19.88,19.88,390
1218,19.88,19.88,19.88,19.88,500
1222,19.88,19.88,19.88,19.88,100
1225,19.88,19.88,19.88,19.88,210
1358,19.935,19.935,19.93,19.93,518
1419,19.925,19.925,19.925,19.925,100
1439,19.925,19.925,19.925,19.925,100
1459,19.925,19.925,19.925,19.925,100
1516,19.93,19.93,19.93,19.93,100
1531,19.915,19.915,19.915,19.915,100
1534,19.915,19.915,19.915,19.915,100
1542,19.915,19.915,19.915,19.915,100
1245,20.225,20.225,20.225,20.225,100
1250,20.225,20.225,20.225,20.225,100
1253,20.28,20.28,20.28,20.28,100
1259,20.275,20.275,20.275,20.275,100
1326,20.305,20.305,20.305,20.305,100
127,19.99,19.99,19.99,19.99,100
1330,20,20,20,20,200
1213,20.15,20.15,20.15,20.15,100
1552,19.65,19.65,19.65,19.65,100
1213,20.3,20.3,20.3,20.3,100
1511,20.15,20.15,20.15,20.15,100
1128,20.2,20.2,20.2,20.2,100
1329,19.945,19.945,19.945,19.945,200
1558,19.825,19.825,19.825,19.825,200
126,19.81,19.81,19.81,19.81,100
1244,19.945,19.945,19.945,19.945,200
1451,20,20,20,20,100
1224,20,20,20,20,100
118,20.1,20.1,20.1,20.1,100
1125,20.1,20.1,20.1,20.1,100
1136,20.1,20.1,20.1,20.1,100
1033,20.11,20.11,20.11,20.11,200
1512,19.975,19.975,19.975,19.975,100
107,19.82,19.82,19.82,19.82,100
1438,19.78,19.78,19.78,19.78,100
945,19.5,19.5,19.5,19.5,100
1145,19.515,19.515,19.515,19.515,200
147,19.515,19.515,19.515,19.515,200
1013,19.49,19.49,19.49,19.49,100
140,19.55,19.55,19.55,19.55,200
1551,19.605,19.605,19.605,19.605,200
1517,19.38,19.38,19.38,19.38,100
1322,19.77,19.77,19.77,19.77,100
110,19.55,19.55,19.55,19.55,100
1156,19.54,19.54,19.54,19.54,100
1235,19.54,19.54,19.54,19.54,100
1311,19.54,19.54,19.54,19.54,100
1020,19.37,19.37,19.37,19.37,100
1030,19.38,19.38,19.38,19.38,100
1035,19.39,19.39,19.39,19.39,100
1320,19.31,19.31,19.31,19.31,400
1451,19.22,19.22,19.22,19.22,100
1125,19.05,19.05,19.05,19.05,100
1242,19.05,19.05,19.05,19.05,100
1313,19.05,19.05,19.05,19.05,100
1338,19.05,19.05,19.05,19.05,100
1419,19.05,19.05,19.05,19.05,100
1558,19.06,19.06,19.06,19.06,200
951,18.75,18.75,18.75,18.75,600
952,18.75,18.75,18.75,18.75,200
954,18.75,18.75,18.75,18.75,100
1437,18.75,18.75,18.75,18.75,300
1453,18.97,18.97,18.97,18.97,100
1512,18.97,18.97,18.97,18.97,300
1534,18.97,18.97,18.97,18.97,100
1543,18.975,18.975,18.975,18.975,300
1551,18.99,18.99,18.99,18.99,400
1552,18.99,18.99,18.99,18.99,191
1559,18.99,18.99,18.99,18.99,200
1043,19.07,19.07,19.07,19.07,100
106,18.86,18.87,18.86,18.87,200
1142,18.87,18.87,18.87,18.87,200
1550,18.82,18.82,18.82,18.82,170
1349,19.02,19.02,19.02,19.02,100
1539,19.025,19.025,19.025,19.025,200
1554,19.01,19.01,19.01,19.01,100
952,19.045,19.045,19.045,19.045,150
1017,19.065,19.065,19.065,19.065,100
1559,18.9,18.9,18.9,18.9,100
1558,18.6,18.62,18.6,18.62,200
1519,18.15,18.15,18.15,18.15,200
126,18.345,18.345,18.345,18.345,300
148,18.345,18.345,18.345,18.345,100
1559,18.29,18.29,18.29,18.29,100
1032,18.295,18.295,18.295,18.295,300
939,18.35,18.35,18.35,18.35,350
945,18.35,18.35,18.35,18.35,350
150,18.35,18.35,18.35,18.35,100
1041,18.595,18.595,18.595,18.595,100
1042,18.595,18.595,18.595,18.595,100
1542,18.635,18.635,18.635,18.635,300
1224,18.67,18.67,18.67,18.67,100
1050,18.65,18.65,18.65,18.65,100
1054,18.65,18.65,18.65,18.65,100
1116,18.65,18.65,18.65,18.65,100
1118,18.65,18.65,18.65,18.65,100
1123,18.695,18.695,18.695,18.695,200
1141,18.65,18.65,18.65,18.65,200
150,18.71,18.71,18.71,18.71,300
1019,18.72,18.72,18.72,18.72,200
1037,18.72,18.72,18.72,18.72,600
1155,18.72,18.72,18.72,18.72,600
1248,18.8,18.8,18.8,18.8,100
1249,18.8,18.8,18.8,18.8,100
954,18.89,18.89,18.89,18.89,400
1456,18.9,18.9,18.9,18.9,200
1553,18.935,18.935,18.935,18.935,300
1033,18.89,18.89,18.89,18.89,200
1311,19.02,19.02,19.02,19.02,100
1555,18.96,18.96,18.96,18.96,100
945,18.9,18.9,18.9,18.9,200
1551,18.99,18.99,18.99,18.99,400
1121,19.04,19.04,19.04,19.04,638
1132,19.03,19.03,19.03,19.03,200
1225,19.03,19.03,19.03,19.03,100
1548,19.03,19.03,19.03,19.03,200
947,19.12,19.12,19.12,19.12,200
1329,19.115,19.115,19.115,19.115,400
1322,19.09,19.09,19.09,19.09,100
1432,19.095,19.095,19.095,19.095,100
1552,19.1,19.1,19.1,19.1,400
1546,19.155,19.155,19.155,19.155,200
1121,19.165,19.165,19.165,19.165,600
1220,19.16,19.16,19.16,19.16,300
1054,19.1,19.1,19.1,19.1,400
1012,19.07,19.07,19.07,19.07,100
1539,19.06,19.06,19.06,19.06,100
1024,19.01,19.01,19.01,19.01,100
1313,19.02,19.02,19.02,19.02,100
1559,19,19,19,19,100
1057,18.78,18.78,18.78,18.78,100
1251,18.805,18.805,18.805,18.805,100
1255,19.125,19.125,19.125,19.125,127
106,18.97,18.97,18.97,18.97,100
1022,19.055,19.055,19.055,19.055,200
1447,18.55,18.55,18.55,18.55,856
1512,18.55,18.55,18.55,18.55,100
1247,18.25,18.25,18.25,18.25,100
1320,18.1,18.1,18.1,18.1,100
1048,16.88,16.88,16.88,16.88,100
133,17.01,17.01,17.01,17.01,100
131,16.59,16.59,16.59,16.59,100
1337,16.61,16.61,16.61,16.61,100
1527,16.56,16.57,16.56,16.57,500
1546,16.31,16.31,16.31,16.31,256
105,15.98,15.98,15.98,15.98,100
110,14.45,14.45,14.45,14.45,100
1553,13.605,13.605,13.605,13.605,100
1221,8.24,8.24,8.24,8.24,207
1228,8.23,8.23,8.23,8.23,400
1535,6.45,6.45,6.45,6.45,100
942,6.01,6.01,6.01,6.01,240
1122,6.11,6.11,6.11,6.11,100
1126,5.96,5.96,5.96,5.96,100
1249,6.99,6.99,6.99,6.99,100
1312,7.54,7.54,7.54,7.54,400
1318,7.91,7.91,7.91,7.91,600
159,8.48,8.5,8.48,8.5,800
1556,8.99,8.99,8.99,8.99,100
1125,8.75,8.75,8.75,8.75,400
1339,8.84,8.84,8.84,8.84,100
1035,9.615,9.615,9.615,9.615,100
1037,9.615,9.615,9.615,9.615,100
1136,9.38,9.41,9.38,9.41,200
1235,9.45,9.49,9.45,9.49,300
1257,9.45,9.45,9.45,9.45,100
955,9.95,9.95,9.95,9.95,100
1117,10.375,10.375,10.375,10.375,702
122,10.5,10.5,10.5,10.5,100
1530,10.34,10.34,10.34,10.34,200
930,10.5,10.5,10.5,10.5,200
931,10.5,10.5,10.5,10.5,100
932,10.5,10.5,10.5,10.5,100
936,10.735,10.735,10.735,10.735,100
940,10.945,10.945,10.945,10.945,300
104,11.5,11.5,11.5,11.5,200
1023,11.5,11.5,11.5,11.5,217
1027,11.5,11.5,11.5,11.5,200
1037,11.475,11.475,11.475,11.475,700
1039,11.485,11.485,11.485,11.485,300
1253,12.05,12.05,12.05,12.05,200
1256,12.08,12.08,12.08,12.08,300
1258,12.14,12.14,12.14,12.14,200
1327,12.14,12.14,12.14,12.14,400
1459,12.52,12.52,12.52,12.52,400
152,12.7,12.7,12.7,12.7,400
155,12.88,12.88,12.88,12.88,180
1547,12.6,12.6,12.5,12.5,1525
1334,12.26,12.26,12.26,12.26,300
1344,12.26,12.26,12.26,12.26,300
1554,12.27,12.27,12.27,12.27,100
1555,12.03,12.03,12.02,12.02,200
1418,10.84,10.84,10.84,10.84,100
155,11.01,11.01,11.01,11.01,200
1457,11.74,11.74,11.72,11.72,200
1514,11.27,11.27,11.27,11.27,200
1515,11.22,11.22,11.22,11.22,129
1024,9.32,9.32,9.32,9.32,100
1318,9.45,9.45,9.45,9.45,100
1445,9.5,9.5,9.5,9.5,300
1034,8.81,8.81,8.81,8.81,100
1118,8.15,8.15,8.15,8.15,600
1129,7.64,7.64,7.64,7.64,144
1256,7.9,7.9,7.9,7.9,200
1138,8.67,8.67,8.67,8.67,241
951,9.04,9.04,9.04,9.04,150
1132,9.09,9.1,8.95,8.95,400
1035,9.75,9.75,9.75,9.75,288
1053,11.91,11.91,11.91,11.91,300
1054,11.91,11.91,11.91,11.91,100
1125,10.79,10.79,10.79,10.79,100
1530,10.48,10.48,10.48,10.48,200
1048,10.76,10.76,10.76,10.76,100
126,10.41,10.41,10.41,10.41,100
1233,10.34,10.34,10.34,10.34,200
147,10.94,10.94,10.94,10.94,150
950,9.63,9.63,9.63,9.63,100
1013,9.7,9.7,9.7,9.7,100
1535,9.64,9.64,9.64,9.64,100
137,9.51,9.51,9.51,9.51,100
139,9.51,9.51,9.51,9.51,100
1312,9.51,9.51,9.51,9.51,100
1315,9.5,9.5,9.5,9.5,100
1316,9.5,9.5,9.5,9.5,100
1331,9.5,9.5,9.5,9.5,100
1332,9.5,9.5,9.5,9.5,100
1545,9.01,9.01,9.01,9.01,190
1549,9,9,9,9,100
1552,9,9,9,9,100
1553,9,9,9,9,100
1555,9,9,9,9,100
1126,9.17,9.17,9.17,9.17,100
1315,9.8,9.8,9.8,9.8,100
1124,9.75,9.75,9.75,9.75,100
139,9.745,9.745,9.745,9.745,100
113,9.7,9.7,9.7,9.7,200
1051,9.7,9.7,9.7,9.7,300
1215,9.61,9.61,9.61,9.61,100
1423,9.64,9.64,9.64,9.64,100
1245,9.67,9.67,9.67,9.67,600
1247,9.67,9.67,9.67,9.67,499
1250,9.68,9.68,9.68,9.68,200
1253,9.67,9.67,9.67,9.67,100
130,9.67,9.68,9.67,9.68,200
131,9.68,9.68,9.68,9.68,300
948,9.56,9.56,9.53,9.53,500
1558,9.235,9.235,9.235,9.235,700
1028,9.3,9.3,9.3,9.3,100
1029,9.3,9.3,9.3,9.3,200
1030,9.3,9.3,9.3,9.3,100
1058,9.25,9.25,9.25,9.25,114
111,9.25,9.25,9.25,9.25,100
119,9.25,9.25,9.25,9.25,255
1139,9.25,9.25,9.25,9.25,100
1217,9,9,9,9,100
1315,9.16,9.16,9.15,9.15,200
1554,9.1,9.1,9.06,9.06,388
1057,8.51,8.51,8.51,8.51,100
949,9.295,9.39,9.295,9.39,1600
1547,9.4,9.4,9.4,9.4,100
1237,9.26,9.26,9.26,9.26,100
1559,9.41,9.44,9.41,9.44,200
1050,9.375,9.375,9.375,9.375,100
1138,9.395,9.395,9.395,9.395,100
1311,9.97,9.97,9.97,9.97,110
1344,10.11,10.11,10.11,10.11,190
1444,10.42,10.42,10.4,10.4,400
1541,10.3,10.3,10.3,10.3,100
933,10.54,10.54,10.54,10.54,100
938,10.38,10.38,10.38,10.38,100
158,10.63,10.63,10.63,10.63,100
104,10.68,10.68,10.68,10.68,100
1020,11.03,11.03,11,11,300
1029,11,11,11,11,100
1058,10.8,10.8,10.8,10.8,100
112,10.8,10.8,10.8,10.8,100
1122,10.8,10.8,10.8,10.8,200
1333,10.94,10.94,10.94,10.94,165
1417,10.89,10.89,10.89,10.89,100
1036,11.36,11.36,11.36,11.36,100
958,11.85,11.85,11.85,11.85,200
1038,12.23,12.23,12.23,12.23,100
1220,12.74,12.74,12.74,12.74,176
1221,14.08,14.08,14.08,14.08,670
1231,13.23,13.23,13.23,13.23,100
131,13.16,13.16,13.16,13.16,100
137,13.22,13.22,13.22,13.22,200
1052,13.73,13.73,13.73,13.73,100
107,13.97,14,13.97,14,200
1412,13.68,13.68,13.68,13.68,100
1550,13.325,13.325,13.325,13.325,200
