time,open,high,low,close,volume
1319,22.08,22.08,22.08,22.08,100
1338,22.08,22.08,22.08,22.08,100
1342,22.1,22.1,22.1,22.1,100
1354,22.11,22.11,22.08,22.08,300
140,22.12,22.12,22.12,22.12,100
1443,22.18,22.19,22.18,22.19,202
125,22.495,22.495,22.495,22.495,100
1211,22.49,22.49,22.49,22.49,100
1213,22.51,22.51,22.51,22.51,100
1224,22.5,22.5,22.5,22.5,100
1245,22.49,22.49,22.49,22.49,100
131,22.485,22.485,22.485,22.485,100
133,22.48,22.48,22.48,22.48,100
135,22.48,22.48,22.48,22.48,100
138,22.48,22.48,22.48,22.48,100
139,22.47,22.47,22.47,22.47,200
1312,22.49,22.49,22.49,22.49,102
1313,22.49,22.49,22.49,22.49,100
1321,22.48,22.48,22.48,22.48,100
1327,22.48,22.48,22.48,22.48,100
1341,22.475,22.48,22.475,22.48,200
1411,22.51,22.51,22.51,22.51,200
1445,22.53,22.53,22.53,22.53,372
1454,22.54,22.61,22.54,22.61,1988
1455,22.58,22.58,22.58,22.58,200
939,22.03,22.03,22.03,22.03,100
106,22.01,22.03,22.01,22.03,500
1233,22.05,22.06,22.05,22.06,500
1259,21.95,21.95,21.95,21.95,100
132,21.98,21.98,21.98,21.98,370
1332,21.95,21.95,21.95,21.95,100
148,22.02,22.02,22.02,22.02,100
1416,22.01,22.01,22.01,22.01,100
1538,21.96,21.96,21.96,21.96,200
1559,21.98,21.98,21.98,21.98,419
1525,22.33,22.33,22.33,22.33,760
1559,22.33,22.33,22.33,22.33,248
936,22.59,22.64,22.59,22.64,200
106,22.48,22.48,22.48,22.48,100
1229,22.125,22.125,22.125,22.125,100
142,21.91,21.91,21.66,21.66,1800
145,21.77,21.77,21.77,21.77,200
1458,22.1,22.1,22.1,22.1,236
1559,22.01,22.01,22.01,22.01,600
1029,22.54,22.54,22.54,22.54,200
1157,22.34,22.34,22.32,22.32,400
1452,22.26,22.26,22.26,22.26,100
1559,22.34,22.34,22.34,22.34,300
930,22.95,22.95,22.95,22.95,309
1028,22.95,22.95,22.95,22.95,100
1029,22.95,22.95,22.95,22.95,800
1031,22.94,22.94,22.94,22.94,100
1035,22.94,22.94,22.94,22.94,100
1110,22.91,22.91,22.91,22.91,500
1117,22.93,22.93,22.93,22.93,100
1157,22.96,22.96,22.96,22.96,431
1356,22.925,22.925,22.925,22.925,100
1359,22.9,22.92,22.89,22.92,300
1415,22.885,22.885,22.885,22.885,200
1422,22.825,22.825,22.825,22.825,100
1423,22.855,22.855,22.855,22.855,100
1425,22.81,22.81,22.81,22.81,100
1427,22.8,22.8,22.8,22.8,100
1437,22.77,22.77,22.77,22.77,100
1439,22.77,22.77,22.77,22.77,200
1440,22.75,22.75,22.75,22.75,100
1441,22.75,22.75,22.75,22.75,100
1443,22.74,22.74,22.74,22.74,100
1444,22.73,22.73,22.73,22.73,100
1453,22.75,22.75,22.75,22.75,100
1455,22.74,22.74,22.74,22.74,100
1510,22.75,22.75,22.75,22.75,400
1512,22.75,22.75,22.75,22.75,100
1528,22.67,22.67,22.67,22.67,400
1539,22.72,22.72,22.72,22.72,400
1540,22.72,22.73,22.72,22.73,400
1541,22.73,22.74,22.73,22.74,500
1542,22.74,22.74,22.74,22.74,200
1550,22.76,22.76,22.76,22.76,100
1551,22.76,22.76,22.76,22.76,400
1559,22.65,22.65,22.64,22.64,600
1010,22.94,22.98,22.94,22.98,400
1210,23.05,23.05,23.05,23.05,200
149,23.11,23.11,23.11,23.11,288
1446,23.14,23.14,23.12,23.12,3660
1447,23.1,23.1,23.1,23.1,200
1449,23.07,23.07,23.07,23.07,200
157,23.14,23.14,23.14,23.14,200
104,25.21,25.21,25.21,25.21,100
1046,24.83,24.85,24.83,24.85,200
1053,24.88,24.88,24.88,24.88,100
113,24.83,24.83,24.83,24.83,200
118,24.765,24.765,24.745,24.745,200
1118,24.69,24.69,24.69,24.69,100
1140,24.65,24.65,24.65,24.65,200
1152,24.65,24.65,24.65,24.65,100
1310,24.78,24.78,24.78,24.78,386
1333,24.735,24.735,24.4,24.4,400
1335,24.685,24.685,24.685,24.685,100
1336,24.62,24.62,24.62,24.62,100
1340,24.67,24.68,24.67,24.68,200
1341,24.7,24.72,24.7,24.72,500
1344,24.675,24.7,24.675,24.7,200
1454,24.33,24.33,24.3,24.3,500
1546,24.53,24.55,24.53,24.55,300
938,24.7,24.72,24.7,24.71,400
1136,24.11,24.16,24.11,24.11,1213
1137,24.44,24.47,24.39,24.46,1400
1215,24.445,24.445,24.445,24.445,100
1218,24.46,24.46,24.46,24.46,100
946,25.085,25.085,25.085,25.085,600
106,25.06,25.07,25.06,25.07,400
1014,25.07,25.07,25.07,25.07,376
1020,25.09,25.09,25.09,25.09,400
1045,25.01,25.01,25.01,25.01,200
1050,24.99,24.99,24.99,24.99,200
1116,24.85,24.85,24.85,24.85,200
1151,24.84,24.84,24.84,24.84,200
128,24.9,24.92,24.9,24.92,1200
129,24.92,24.92,24.92,24.92,800
1236,24.945,24.945,24.945,24.945,200
1255,24.96,24.96,24.96,24.96,200
1259,24.95,25.1,24.95,25.1,400
1313,24.94,24.94,24.94,24.94,200
1342,24.82,24.82,24.82,24.82,200
1347,24.805,24.805,24.795,24.795,400
1353,24.715,24.715,24.715,24.715,200
1356,24.675,24.675,24.675,24.675,200
1357,24.56,24.56,24.56,24.56,200
141,24.55,24.61,24.55,24.61,400
143,24.56,24.56,24.56,24.56,200
145,24.61,24.61,24.61,24.61,200
146,24.55,24.61,24.55,24.61,400
148,24.56,24.615,24.56,24.615,400
149,24.56,24.56,24.56,24.56,200
1410,24.56,24.56,24.56,24.56,200
1411,24.57,24.57,24.57,24.57,200
1412,24.57,24.61,24.57,24.57,600
1413,24.585,24.585,24.585,24.585,200
1414,24.57,24.57,24.57,24.57,200
1415,24.585,24.585,24.585,24.585,200
1416,24.585,24.585,24.585,24.585,200
1417,24.585,24.585,24.585,24.585,200
1419,24.585,24.585,24.585,24.585,200
1443,24.635,24.635,24.635,24.635,200
1453,24.81,24.81,24.81,24.81,200
1457,24.81,24.81,24.81,24.81,200
1558,24.93,24.93,24.93,24.93,832
1522,24.48,24.48,24.48,24.48,200
1546,24.52,24.52,24.52,24.52,400
1559,24.56,24.56,24.55,24.55,600
1053,24.69,24.69,24.69,24.69,100
1059,24.75,24.75,24.75,24.75,100
144,24.66,24.66,24.66,24.66,100
1410,24.66,24.66,24.66,24.66,100
954,24.34,24.34,24.31,24.31,489
954,23.87,23.87,23.87,23.87,200
955,23.87,23.87,23.86,23.86,446
126,23.67,23.67,23.67,23.67,400
1251,23.6,23.6,23.6,23.6,200
1337,23.77,23.78,23.77,23.78,2800
1534,23.83,23.85,23.83,23.85,800
1550,23.82,23.82,23.82,23.82,200
1416,24.06,24.06,24.06,24.06,100
1429,24,24,24,24,612
935,24.24,24.24,24.24,24.24,200
936,24.25,24.25,24.24,24.24,400
1226,24.33,24.33,24.33,24.33,100
1229,24.32,24.32,24.32,24.32,100
1245,24.22,24.22,24.22,24.22,100
134,24.24,24.24,24.24,24.24,100
158,24.34,24.35,24.34,24.35,300
1514,24.28,24.28,24.28,24.28,100
1526,24.26,24.26,24.26,24.26,200
1533,24.28,24.28,24.28,24.28,100
1546,24.25,24.25,24.25,24.25,199
124,24.15,24.15,24.15,24.15,100
144,24.18,24.18,24.18,24.18,100
1529,24.2,24.2,24.2,24.2,200
1559,24.02,24.02,24.02,24.02,400
1043,24.19,24.19,24.19,24.19,400
1044,24.19,24.19,24.19,24.19,876
135,24.22,24.22,24.22,24.22,200
1347,24.07,24.07,24.06,24.06,800
1423,24.15,24.16,24.15,24.16,600
154,24.14,24.15,24.14,24.15,400
101,24.12,24.13,24.12,24.13,400
1114,24.09,24.09,24.01,24.01,1470
1430,24.22,24.22,24.22,24.22,200
1528,24.22,24.22,24.22,24.22,200
952,24.43,24.43,24.43,24.43,200
1049,24.44,24.44,24.43,24.43,400
1050,24.43,24.43,24.43,24.43,800
117,24.44,24.44,24.44,24.44,200
1137,24.46,24.46,24.46,24.46,400
1021,24.58,24.58,24.58,24.58,100
1149,24.54,24.54,24.54,24.54,100
120,24.52,24.52,24.52,24.52,100
1513,24.47,24.47,24.47,24.47,100
153,24.32,24.32,24.32,24.32,100
1458,24.68,24.68,24.68,24.68,200
1558,24.62,24.62,24.62,24.62,1124
1559,24.64,24.65,24.64,24.65,3200
935,24.75,24.75,24.75,24.75,100
1147,24.7,24.7,24.7,24.7,200
1022,24.71,24.71,24.69,24.69,1000
1023,24.69,24.69,24.68,24.68,400
1442,24.63,24.63,24.63,24.63,400
1443,24.63,24.63,24.63,24.63,400
1535,24.69,24.69,24.69,24.69,200
950,24.82,24.82,24.82,24.82,200
1132,24.89,24.9,24.89,24.9,400
123,24.8,24.8,24.8,24.8,200
1559,24.72,24.72,24.72,24.72,200
1236,24.59,24.59,24.59,24.59,127
1344,24.58,24.59,24.58,24.59,400
1413,24.58,24.58,24.58,24.58,200
157,24.55,24.57,24.55,24.57,300
1532,24.56,24.56,24.56,24.56,165
1540,24.55,24.55,24.55,24.55,200
1559,24.59,24.59,24.59,24.59,200
1110,24.47,24.47,24.47,24.47,300
1232,24.46,24.46,24.46,24.46,200
1516,24.51,24.52,24.51,24.52,300
1549,24.52,24.52,24.52,24.52,100
1559,24.55,24.57,24.55,24.57,600
1031,24.49,24.49,24.49,24.49,200
1047,24.49,24.49,24.49,24.49,200
1054,24.46,24.46,24.46,24.46,200
117,24.45,24.45,24.45,24.45,600
1133,24.48,24.48,24.48,24.48,200
1134,24.49,24.49,24.49,24.49,200
1147,24.45,24.45,24.45,24.45,200
1244,24.54,24.6,24.54,24.6,1000
1342,24.53,24.53,24.53,24.53,400
1053,24.97,24.97,24.97,24.97,100
1058,24.97,24.97,24.97,24.97,100
112,24.98,24.98,24.98,24.98,100
116,24.99,24.99,24.99,24.99,100
1110,24.99,24.99,24.99,24.99,100
1115,25,25,25,25,100
1119,25,25,25,25,100
1123,25,25,25,25,100
1127,24.99,24.99,24.99,24.99,100
1132,24.98,24.98,24.98,24.98,100
1136,24.96,24.96,24.96,24.96,100
1140,24.96,24.96,24.96,24.96,100
1144,24.95,24.95,24.95,24.95,100
1148,24.94,24.94,24.94,24.94,100
1152,24.93,24.93,24.93,24.93,100
