time,open,high,low,close,volume
148,78.97,78.97,78.97,78.97,266
1413,79.07,79.07,79.02,79.02,424
1419,78.99,78.99,78.99,78.99,204
1422,78.97,78.97,78.97,78.97,200
1423,78.99,78.99,78.99,78.99,200
1424,78.995,78.995,78.995,78.995,200
1425,78.98,78.98,78.97,78.97,800
1426,78.97,78.97,78.935,78.935,612
1428,78.895,78.895,78.895,78.895,200
1430,78.89,78.89,78.89,78.89,200
1431,78.87,78.89,78.87,78.89,408
1434,78.94,78.94,78.94,78.94,202
1435,78.91,78.91,78.91,78.91,220
1437,78.91,78.92,78.91,78.92,402
1438,78.935,78.935,78.935,78.935,200
1439,78.97,78.97,78.97,78.97,232
1440,78.985,79.06,78.985,79.06,800
1443,79.14,79.14,79.14,79.14,200
1446,79.11,79.11,79.11,79.11,200
1450,79.03,79.03,79.03,79.03,400
1451,79.08,79.09,79.08,79.09,404
1455,79.02,79.02,79.02,79.02,306
1456,79.02,79.02,79.02,79.02,200
1458,78.99,78.99,78.99,78.99,200
1459,78.99,78.99,78.975,78.975,800
152,78.985,78.985,78.985,78.985,200
153,79.035,79.055,79.03,79.03,820
155,79.065,79.065,79.065,79.065,200
158,79.11,79.11,79.11,79.11,208
1510,79.11,79.11,79.08,79.08,442
1511,79.09,79.09,79.09,79.09,200
1512,78.99,78.99,78.99,78.99,206
1513,78.99,78.99,78.99,78.99,200
1516,79.035,79.035,79.035,79.035,208
1521,79.02,79.02,79.02,79.02,200
1529,79.04,79.045,79.04,79.045,606
1530,79.045,79.045,79.045,79.045,310
1531,79.04,79.04,79.04,79.04,276
1533,79.005,79.06,79.005,79.06,422
1535,79.06,79.06,79.06,79.06,600
1539,79.16,79.16,79.16,79.16,200
1542,79.1,79.1,79.1,79.1,414
1543,79.03,79.03,79.03,79.03,398
1544,79.095,79.095,79.09,79.09,406
1545,79.025,79.025,79.025,79.025,738
1546,78.98,78.98,78.98,78.98,400
1547,79,79.015,79,79.015,1516
1548,78.985,78.985,78.955,78.955,428
1549,79.025,79.08,79.01,79.08,1352
1550,79.11,79.11,79.06,79.06,572
1551,79.06,79.125,79.04,79.095,1354
1553,78.99,78.99,78.99,78.99,510
1554,79.01,79.04,79.01,79.04,1962
1555,79.06,79.16,79.06,79.09,1142
1556,79.13,79.19,79.13,79.19,702
1557,79.17,79.17,78.98,78.98,2766
1558,79,79,79,79,972
1559,78.94,78.94,78.805,78.94,4114
950,79.15,79.15,79.15,79.15,400
101,79.17,79.17,79.17,79.17,270
102,79.23,79.23,79.23,79.23,200
103,79.27,79.27,79.27,79.27,200
105,79.2,79.2,79.2,79.2,210
1013,79.25,79.25,79.25,79.25,382
1015,79.21,79.36,79.2,79.2,1288
1016,79.265,79.265,79.265,79.265,210
1017,79.28,79.28,79.28,79.28,400
1020,79.39,79.39,79.38,79.38,400
1023,79.62,79.62,79.56,79.56,830
1034,79.45,79.45,79.45,79.45,200
1036,79.525,79.8,79.525,79.8,520
1037,79.795,79.795,79.795,79.795,800
1038,79.81,79.81,79.81,79.81,200
1039,79.95,79.95,79.95,79.95,340
1044,80.21,80.21,80.21,80.21,240
1047,80.52,80.52,80.52,80.52,200
1053,80.655,80.655,80.655,80.655,502
1056,80.72,80.72,80.72,80.72,200
1058,80.615,80.615,80.615,80.615,200
110,80.745,80.745,80.745,80.745,202
114,80.81,80.81,80.81,80.81,210
117,80.765,80.875,80.765,80.875,430
118,80.88,80.88,80.88,80.88,430
1113,80.89,80.89,80.89,80.89,220
1123,80.975,80.975,80.975,80.975,350
1125,81.005,81.005,81.005,81.005,260
