time,open,high,low,close,volume
145,47.69,47.69,47.69,47.69,100
148,47.69,47.69,47.69,47.69,100
1410,47.69,47.69,47.69,47.69,100
1412,47.7,47.7,47.7,47.7,100
1413,47.7,47.7,47.7,47.7,100
1419,47.67,47.67,47.67,47.67,100
1422,47.67,47.67,47.67,47.67,100
1425,47.67,47.67,47.67,47.67,100
1428,47.67,47.67,47.67,47.67,100
1430,47.67,47.67,47.67,47.67,100
1432,47.67,47.67,47.67,47.67,1500
1433,47.77,47.77,47.77,47.77,100
1145,47.41,47.41,47.41,47.41,100
1147,47.64,47.64,47.64,47.64,110
1223,47.64,47.64,47.64,47.64,100
140,47.64,47.64,47.64,47.64,100
1010,47.69,47.69,47.69,47.69,100
1154,47.3,47.3,47.3,47.3,200
1426,47.51,47.51,47.51,47.51,100
1051,47.01,47.01,47.01,47.01,100
1133,47.9,47.9,47.9,47.9,112
952,49.08,49.08,49.08,49.08,100
1057,48.96,48.96,48.96,48.96,100
1059,48.96,48.96,48.96,48.96,100
1526,49.14,49.14,49.14,49.14,100
1520,49.1,49.1,49.1,49.1,105
1345,49.72,49.72,49.72,49.72,120
1140,48.78,48.78,48.78,48.78,122
957,48.64,48.64,48.64,48.64,100
1046,48.64,48.64,48.64,48.64,100
1157,48.64,48.71,48.64,48.71,220
138,48.64,48.72,48.64,48.72,300
1254,48.65,48.65,48.65,48.65,100
1330,48.94,48.94,48.94,48.94,121
1034,48.99,48.99,48.99,48.99,200
1533,49.19,49.33,49.19,49.19,300
942,48.83,48.83,48.83,48.83,100
1549,49.8,49.8,49.8,49.8,200
1429,50.04,50.04,50.04,50.04,100
1021,49.85,49.85,49.85,49.85,297
1423,49.88,50.25,49.88,50.25,312
1536,49.88,49.88,49.88,49.88,100
1328,49.94,49.94,49.94,49.94,140
1131,50.36,50.36,50.36,50.36,100
1322,49.51,49.51,49.51,49.51,200
1343,49.52,49.52,49.52,49.52,100
1457,49.5,49.5,49.5,49.5,100
1318,50.17,50.17,50.17,50.17,100
1349,50.14,50.14,50.14,50.14,100
1153,49.81,49.81,49.81,49.81,104
1215,49.69,49.69,49.69,49.69,200
1224,49.65,49.65,49.65,49.65,100
1241,49.61,49.61,49.61,49.61,102
1322,50.51,50.51,50.51,50.51,100
1243,50.47,50.47,50.47,50.47,100
1536,50.29,50.29,50.29,50.29,400
1432,50.38,50.38,50.38,50.38,100
1436,50.44,50.44,50.44,50.44,100
1542,50.29,50.29,50.29,50.29,100
147,51.24,51.24,51.24,51.24,293
1428,51.18,51.18,51.18,51.18,100
1431,51.18,51.18,51.18,51.18,100
1255,51.65,51.69,51.095,51.095,370
1154,51.61,51.61,51.61,51.61,100
1315,51.44,51.44,51.44,51.44,148
1346,51.44,51.44,51.44,51.44,300
1315,51.51,51.51,51.51,51.51,100
155,51.99,51.99,51.99,51.99,100
124,51.35,51.35,51.35,51.35,114
1517,51.74,51.74,51.74,51.74,176
156,51.13,51.13,51.13,51.13,100
1146,51.93,51.93,51.93,51.93,100
1541,51.5,51.5,51.5,51.5,157
1551,51.51,51.51,51.51,51.51,331
1449,51.08,51.08,51.08,51.08,100
1510,51.12,51.12,51.12,51.12,100
1311,51.56,51.56,51.56,51.56,100
153,51.49,51.49,51.49,51.49,100
114,51.87,51.87,51.87,51.87,120
1334,51.33,51.33,51.33,51.33,100
1430,51.99,52.04,51.95,52.03,1400
143,51.82,51.82,51.82,51.82,100
1534,51.83,51.83,51.83,51.83,200
1427,52.28,52.28,52.28,52.28,100
159,52.29,52.29,52.29,52.29,100
1254,52.39,52.39,52.39,52.39,155
1045,52.49,52.49,52.49,52.49,127
1254,52.17,52.17,52.17,52.17,100
1058,52.05,52.05,52.05,52.05,100
151,52.51,52.51,52.51,52.51,100
1512,52.51,52.51,52.51,52.51,124
1556,52.5,52.5,52.5,52.5,100
1355,51.7,51.7,51.7,51.7,100
932,52.1,52.1,52.1,52.1,100
1133,52.03,52.03,52.03,52.03,200
1153,52.46,52.46,52.46,52.46,117
1253,52.39,52.39,52.39,52.39,100
1210,52.28,52.28,52.28,52.28,100
1325,52.14,52.14,52.14,52.14,100
148,52.17,52.17,52.17,52.17,126
1430,52.17,52.17,52.17,52.17,113
1551,51.96,51.96,51.96,51.96,160
931,52.68,52.68,52.68,52.68,184
933,52.57,52.57,52.57,52.57,101
1418,51.7,51.7,51.7,51.7,100
1458,51.94,51.94,51.94,51.94,184
1031,52.42,52.42,52.42,52.42,100
1035,52.41,52.41,52.41,52.41,100
1232,52.26,52.26,52.19,52.19,1300
1450,53.64,53.64,53.64,53.64,100
133,53.47,53.47,53.47,53.47,100
135,53.47,53.47,53.47,53.47,176
1031,53.84,53.84,53.84,53.84,254
1156,53.62,53.62,53.62,53.62,178
1356,53.775,53.775,53.775,53.775,100
1550,54.045,54.045,54.045,54.045,158
946,54.09,54.09,54.09,54.09,100
1354,54,54,54,54,140
1354,53.88,53.88,53.88,53.88,100
1420,53.88,53.88,53.88,53.88,273
1541,54.08,54.08,54.08,54.08,193
1550,54.09,54.09,54.09,54.09,100
949,54.13,54.13,54.13,54.13,126
153,54.56,54.56,54.56,54.56,150
1114,54.28,54.28,54.28,54.28,100
955,54.51,54.51,54.51,54.51,149
1328,54.52,54.52,54.52,54.52,100
957,54.65,54.65,54.65,54.65,264
136,54.67,54.67,54.67,54.67,136
1311,54.67,54.675,54.67,54.675,200
1154,55.04,55.04,55.04,55.04,100
1212,54.88,54.88,54.88,54.88,100
105,54.54,54.54,54.54,54.54,200
1037,54.68,54.68,54.68,54.68,100
1043,54.64,54.64,54.64,54.64,100
1119,54.59,54.59,54.59,54.59,100
129,54.51,54.51,54.51,54.51,100
1235,54.58,54.58,54.58,54.58,100
1310,54.55,54.55,54.55,54.55,100
931,55.46,55.46,55.46,55.46,111
1026,55.43,55.43,55.43,55.43,100
1512,55.84,55.84,55.84,55.84,100
940,55.82,55.82,55.82,55.82,100
1010,55.42,55.42,55.42,55.42,100
1222,55.36,55.36,55.36,55.36,200
1227,55.26,55.26,55.26,55.26,200
1250,55.25,55.25,55.25,55.25,100
1431,55.3,55.3,55.3,55.3,100
1429,55.64,55.64,55.64,55.64,100
946,55.28,55.28,55.28,55.28,100
1445,55.3,55.3,55.3,55.3,100
1534,55.3,55.3,55.3,55.3,100
1020,55.57,55.57,55.57,55.57,300
1217,55.61,55.61,55.61,55.61,100
1133,56.09,56.09,56.09,56.09,126
1313,56.13,56.13,56.13,56.13,170
143,55.91,55.91,55.91,55.91,100
1541,55.92,55.92,55.92,55.92,200
1253,55.62,55.62,55.62,55.62,200
1522,55.36,55.37,55.36,55.37,500
1526,55.36,55.36,55.36,55.36,100
1531,55.37,55.37,55.37,55.37,200
1541,55.38,55.41,55.38,55.39,500
1158,55.03,55.03,55.03,55.03,450
144,55.49,55.49,55.49,55.49,200
1526,55.53,55.53,55.53,55.53,320
102,55.79,55.79,55.79,55.79,349
1550,55.79,55.79,55.79,55.79,100
1552,55.79,55.79,55.79,55.79,100
1554,55.76,55.76,55.76,55.76,100
1436,55.5,55.5,55.5,55.5,150
1529,55.78,55.78,55.78,55.78,100
1012,55.19,55.19,55.19,55.19,100
117,55.12,55.12,55.12,55.12,100
1159,54.92,54.92,54.92,54.92,100
1018,54.98,54.98,54.98,54.98,100
1119,54.91,54.91,54.91,54.91,100
1236,55.05,55.05,55.05,55.05,100
146,55.03,55.03,55.03,55.03,100
1012,54.81,54.81,54.81,54.81,100
1329,55.02,55.02,55.02,55.02,100
104,55.03,55.03,55.03,55.03,100
1524,55.27,55.27,55.27,55.27,250
1356,55.4,55.4,55.4,55.4,284
1150,54.36,54.36,54.36,54.36,124
136,54.33,54.33,54.33,54.33,100
1347,54.37,54.37,54.37,54.37,200
1045,54.24,54.24,54.24,54.24,100
1050,54.24,54.24,54.24,54.24,112
1228,54.19,54.19,54.19,54.19,100
1431,54.22,54.22,54.22,54.22,100
1036,55.22,55.22,55.22,55.22,100
123,55.15,55.15,55.15,55.15,100
949,54.95,54.95,54.76,54.76,207
1420,55.5,55.5,55.5,55.5,100
1039,55.94,55.94,55.94,55.94,100
1221,55.93,56.15,55.93,56.15,455
1427,55.94,55.95,55.94,55.95,200
1432,55.95,55.95,55.95,55.95,100
1458,55.8,55.8,55.8,55.8,500
1459,55.8,55.8,55.8,55.8,1100
158,55.81,55.85,55.81,55.85,200
1440,55.15,55.15,55.15,55.15,161
106,54.441,54.441,54.441,54.441,100
1536,55.42,55.44,55.42,55.44,200
1520,55.23,55.23,55.23,55.23,100
105,55.37,55.37,55.37,55.37,100
1134,55.31,55.31,55.31,55.31,100
1237,55.43,55.43,55.43,55.43,100
1344,55.43,55.43,55.43,55.43,100
1443,55.39,55.39,55.39,55.39,130
1351,55.74,55.74,55.74,55.74,100
126,55.81,55.81,55.81,55.81,171
138,55.79,55.79,55.79,55.79,300
1436,56.07,56.07,56.07,56.07,100
1530,56.19,56.19,56.19,56.19,436
1553,56.15,56.15,56.15,56.15,300
1057,56.58,56.66,56.58,56.58,1629
1057,56.67,56.67,56.67,56.67,100
1235,56.68,56.68,56.68,56.68,100
1010,55.93,55.93,55.77,55.77,400
1523,55.82,55.82,55.79,55.79,200
1355,57.31,57.31,57.31,57.31,200
103,57.52,57.52,57.52,57.52,100
1046,57.65,57.65,57.65,57.65,100
1135,57.69,57.69,57.69,57.69,100
1350,57.7,57.7,57.7,57.7,100
152,57.1,57.1,57.1,57.1,100
1541,57.5,57.5,57.5,57.5,100
1553,57.5,57.5,57.5,57.5,145
