time,open,high,low,close,volume
1413,83.05,83.05,83.05,83.05,100
1422,83.1,83.1,83.1,83.1,257
1423,83.205,83.205,83.205,83.205,204
1425,83.215,83.215,83.215,83.215,104
1428,83.305,83.305,83.305,83.305,110
1457,82.355,82.355,82.355,82.355,100
151,82.57,82.74,82.385,82.74,998
1512,82.695,82.695,82.695,82.695,100
1530,82.325,82.325,82.325,82.325,100
1536,82.565,82.565,82.565,82.565,220
1538,82.5,82.5,82.5,82.5,272
1539,82.57,82.57,82.57,82.57,100
1553,82.04,82.04,82.04,82.04,149
1554,81.7,82.15,81.7,82.15,571
1557,82.46,82.46,82.46,82.46,133
1558,82.46,82.46,82.46,82.46,138
1046,85.335,85.335,85.335,85.335,200
116,85.215,85.215,85.215,85.215,100
1136,85.39,85.39,85.39,85.39,157
1144,85.255,85.255,85.255,85.255,203
1146,85.255,85.255,85.255,85.255,100
1147,85.195,85.195,85.195,85.195,100
1151,85.13,85.13,85.13,85.13,100
1158,85.56,85.56,85.56,85.56,200
122,85.34,85.34,85.335,85.335,400
127,85.335,85.335,85.335,85.335,100
1213,85.48,85.48,85.48,85.48,100
1223,85.5,85.5,85.5,85.5,200
1234,85.545,85.545,85.545,85.545,200
1235,85.395,85.395,85.395,85.395,103
1326,86.08,86.08,86.045,86.045,414
1336,85.93,85.93,85.93,85.93,200
1359,86.12,86.12,86.12,86.12,200
159,86.68,86.68,86.68,86.68,200
1513,86.4,86.4,86.4,86.4,338
1531,86.32,86.32,86.32,86.32,200
1538,86.48,86.48,86.48,86.48,200
1541,86.565,86.565,86.565,86.565,200
1542,86.63,86.63,86.63,86.63,200
1546,86.52,86.52,86.52,86.52,770
1547,86.54,86.54,86.54,86.54,200
1548,86.52,86.66,86.52,86.66,476
1550,86.53,86.53,86.13,86.13,1168
1553,86.09,86.09,86.09,86.09,200
1554,86.17,86.17,86.17,86.17,400
1555,86.175,86.175,86.1,86.1,788
1556,85.73,85.73,85.73,85.73,400
1558,85.99,85.99,85.905,85.905,1072
1032,86.255,86.255,86.255,86.255,208
1046,86.385,86.385,86.385,86.385,400
1111,86.335,86.335,86.335,86.335,400
1149,86.33,86.33,86.33,86.33,400
1211,86.02,86.02,86.02,86.02,400
1252,86,86,86,86,200
1314,86.22,86.22,86.22,86.22,400
1426,86.325,86.325,86.325,86.325,400
150,85.34,85.34,85.34,85.34,586
1513,85.47,85.47,85.47,85.47,200
1518,85.43,85.43,85.43,85.43,200
1519,85.475,85.49,85.475,85.49,800
1524,85.645,85.645,85.645,85.645,610
1525,85.455,85.455,85.365,85.365,600
1532,84.975,84.975,84.975,84.975,400
1535,84.89,84.89,84.89,84.89,200
1541,85.135,85.135,85.135,85.135,294
1544,85.155,85.155,85.155,85.155,612
1547,85.2,85.2,85.2,85.2,210
1555,84.705,84.705,84.705,84.705,408
1557,84.755,84.755,84.755,84.755,200
1558,84.63,84.64,84.63,84.635,798
1559,84.54,84.585,84.54,84.585,492
106,84.985,84.995,84.985,84.995,201
1016,85.325,85.325,85.325,85.325,1500
1018,84.95,84.95,84.95,84.95,100
1023,85.1,85.1,85.1,85.1,400
1031,85.36,85.36,85.36,85.36,232
1043,85.13,85.13,85.13,85.13,110
1056,84.915,84.915,84.915,84.915,100
1118,84.92,85.1,84.92,85.1,200
1125,85.17,85.17,85.17,85.17,100
1138,85.17,85.17,85.17,85.17,100
1151,85.34,85.34,85.34,85.34,102
137,84.59,84.59,84.59,84.59,101
1019,83.4,83.4,83.4,83.4,107
1246,83.94,83.94,83.94,83.94,100
1517,84.8,84.8,84.8,84.8,200
1555,84.67,84.67,84.67,84.67,113
1256,85.2,85.2,85.2,85.2,240
1459,84.56,84.56,84.56,84.56,200
1530,85.26,85.26,85.26,85.26,200
1555,85.5,85.5,85.5,85.5,234
1558,85.56,85.56,85.56,85.56,206
1019,85.53,85.53,85.53,85.53,100
1041,85.7,85.7,85.7,85.7,102
1047,85.7,85.7,85.7,85.7,100
1051,85.97,85.97,85.97,85.97,100
146,85.36,85.36,85.36,85.36,100
1412,85.17,85.17,85.17,85.17,100
1520,85.715,85.715,85.715,85.715,100
1534,85.45,85.45,85.45,85.45,101
1535,85.455,85.455,85.455,85.455,100
1554,85.26,85.26,85.26,85.26,100
946,86.13,86.13,86.13,86.13,228
1022,85.36,85.36,85.36,85.36,200
1048,85.065,85.065,85.065,85.065,200
1322,86.17,86.17,86.17,86.17,400
1326,86.21,86.21,86.21,86.21,200
1342,86.32,86.32,86.32,86.32,200
1430,86.58,86.58,86.58,86.58,280
1459,86.48,86.48,86.48,86.48,200
1528,86.64,86.64,86.64,86.64,200
1540,86.8,86.8,86.8,86.8,200
1545,86.79,86.79,86.79,86.79,200
1555,86.9,86.92,86.9,86.92,466
937,88.01,88.01,88.01,88.01,202
945,88.61,88.61,88.61,88.61,200
952,88.01,88.01,88.01,88.01,200
102,87.96,87.96,87.96,87.96,200
1012,88.585,88.585,88.585,88.585,200
1013,88.585,88.585,88.585,88.585,200
1050,88.81,88.81,88.81,88.81,200
1056,88.825,88.825,88.825,88.825,200
1119,88.765,88.765,88.765,88.765,200
1155,87.91,87.91,87.91,87.91,200
1230,87.64,87.64,87.51,87.51,402
134,87.61,87.61,87.61,87.61,400
1328,86.82,86.82,86.82,86.82,200
140,87.055,87.055,87.055,87.055,400
1412,87.045,87.045,87.045,87.045,200
1450,86.62,86.62,86.62,86.62,200
153,87.015,87.015,87.015,87.015,200
1512,87.06,87.06,87.06,87.06,200
1528,86.745,86.745,86.745,86.745,200
1547,86.36,86.36,86.36,86.36,210
1549,86.18,86.18,86.18,86.18,400
1552,86.44,86.44,86.44,86.44,200
1554,86.56,86.56,86.56,86.56,200
1555,86.74,86.74,86.74,86.74,200
1557,86.79,86.795,86.79,86.795,456
1559,86.53,86.53,86.53,86.53,202
953,85.67,85.67,85.67,85.67,200
100,84.98,84.98,84.98,84.98,100
1019,84.51,84.51,84.51,84.51,101
1023,85.19,85.19,85.19,85.19,204
1056,85.82,85.82,85.82,85.82,105
113,85.385,85.385,85.385,85.385,100
1123,85.6,85.6,85.6,85.6,100
1151,85.675,85.675,85.675,85.675,100
1245,86.24,86.24,86.24,86.24,100
1335,86.13,86.13,86.13,86.13,100
1455,86.125,86.125,86.125,86.125,100
1457,86.33,86.33,86.33,86.33,103
152,86.79,86.79,86.79,86.79,105
1511,86.685,86.685,86.685,86.685,100
1529,86.915,86.915,86.915,86.915,100
1535,86.895,86.895,86.895,86.895,100
1540,86.9,86.9,86.9,86.9,100
1544,87.02,87.02,87.02,87.02,100
1551,87.02,87.02,87.02,87.02,124
934,86.58,86.58,86.58,86.58,100
947,87.555,87.555,87.555,87.555,100
1014,87.29,87.29,87.29,87.29,200
1023,87.24,87.24,87.24,87.24,100
127,87.27,87.27,87.27,87.27,100
1257,87.055,87.055,87.055,87.055,100
1317,86.96,86.96,86.96,86.96,100
1321,86.7,86.7,86.7,86.7,200
1346,86.665,86.665,86.665,86.665,100
142,86.315,86.315,86.315,86.315,223
143,86.025,86.025,86.025,86.025,100
144,86.025,86.025,86.025,86.025,200
146,85.775,85.79,85.775,85.79,230
147,86.085,86.085,86.085,86.085,100
148,86.105,86.105,86.105,86.105,200
