time,open,high,low,close,volume
1014,9.03,9.045,9.03,9.045,500
1022,9.045,9.045,9.045,9.045,500
1121,8.815,8.815,8.815,8.815,100
1123,8.735,8.735,8.735,8.735,200
136,8.66,8.66,8.66,8.66,700
1428,8.56,8.56,8.56,8.56,100
935,8.86,8.86,8.86,8.86,497
936,8.86,8.86,8.86,8.86,200
951,8.825,8.825,8.825,8.825,128
1235,9.19,9.19,9.19,9.19,100
1322,9.135,9.135,9.135,9.135,100
146,9.15,9.15,9.15,9.15,140
1220,9.74,9.74,9.74,9.74,120
1259,10,10,10,10,100
1358,10.07,10.07,10.07,10.07,100
1410,10.02,10.02,10.02,10.02,100
1559,9.99,10,9.99,10,610
105,10.36,10.36,10.36,10.36,100
1018,10.83,10.83,10.83,10.83,200
1243,10.74,10.74,10.74,10.74,100
1436,10.58,10.58,10.58,10.58,200
1439,10.51,10.51,10.51,10.51,3600
1546,10.14,10.14,10.14,10.14,303
1549,10.1,10.1,10.08,10.08,517
1552,10.17,10.17,10.17,10.17,200
1558,10.19,10.19,10.19,10.19,200
107,9.98,9.98,9.98,9.98,200
1011,9.96,9.995,9.96,9.995,590
1015,9.99,10.01,9.99,10.01,200
1017,10.04,10.04,10.04,10.04,100
1024,10.05,10.05,10.05,10.05,200
1054,10.05,10.06,10.05,10.06,300
111,10.1,10.1,10.1,10.1,100
1132,10.3,10.3,10.3,10.3,100
1313,10.27,10.27,10.27,10.27,100
1316,10.28,10.28,10.28,10.28,100
1344,10.285,10.285,10.285,10.285,179
1353,10.285,10.285,10.285,10.285,100
1355,10.28,10.285,10.28,10.285,310
142,10.25,10.25,10.25,10.25,200
1429,10.255,10.255,10.255,10.255,100
1450,10.25,10.25,10.24,10.24,600
1451,10.24,10.24,10.24,10.24,1300
1452,10.24,10.24,10.24,10.24,1001
1018,10.39,10.39,10.39,10.39,200
1123,10.385,10.4,10.385,10.4,8400
1159,10.51,10.51,10.51,10.51,200
1249,10.505,10.505,10.505,10.505,200
131,10.485,10.485,10.485,10.485,200
132,10.485,10.485,10.485,10.485,200
1352,10.47,10.47,10.47,10.47,200
1356,10.495,10.495,10.495,10.495,200
1455,10.515,10.515,10.515,10.515,200
1514,10.525,10.525,10.525,10.525,200
1531,10.545,10.545,10.545,10.545,200
1157,10.95,10.98,10.95,10.98,400
1218,10.97,10.97,10.97,10.97,200
1235,10.945,10.945,10.945,10.945,200
1342,10.92,10.92,10.92,10.92,600
1449,10.96,10.96,10.96,10.96,200
1451,10.965,10.965,10.96,10.96,1000
1454,10.97,10.97,10.97,10.97,400
157,10.98,10.98,10.98,10.98,400
1527,10.97,10.97,10.97,10.97,200
1543,10.935,10.935,10.935,10.935,200
1553,10.88,10.88,10.88,10.88,200
1554,10.88,10.925,10.88,10.925,400
1559,10.93,10.95,10.93,10.95,600
954,10.64,10.64,10.64,10.64,236
1048,10.55,10.55,10.55,10.55,200
114,10.61,10.61,10.61,10.61,200
1127,10.56,10.57,10.56,10.57,656
1155,10.59,10.59,10.59,10.59,200
121,10.59,10.59,10.59,10.59,200
1217,10.55,10.55,10.55,10.55,400
1315,10.52,10.52,10.52,10.52,200
1342,10.515,10.515,10.515,10.515,200
1343,10.51,10.51,10.51,10.51,400
1452,10.52,10.52,10.52,10.52,200
1517,10.485,10.485,10.485,10.485,200
1550,10.435,10.435,10.435,10.435,200
1559,10.4,10.43,10.4,10.43,1200
1036,10.425,10.425,10.425,10.425,200
1039,10.43,10.43,10.43,10.43,200
1049,10.42,10.42,10.42,10.42,400
1051,10.4,10.4,10.4,10.4,400
1057,10.415,10.415,10.415,10.415,200
1139,10.365,10.365,10.365,10.365,200
1222,10.385,10.385,10.385,10.385,200
1246,10.375,10.375,10.375,10.375,200
1312,10.365,10.365,10.365,10.365,200
141,10.37,10.37,10.37,10.37,400
1451,10.385,10.385,10.385,10.385,200
1548,10.415,10.415,10.415,10.415,200
1036,10.49,10.49,10.49,10.49,200
1041,10.46,10.46,10.46,10.46,200
1057,10.455,10.455,10.455,10.455,200
119,10.45,10.45,10.45,10.45,200
1157,10.455,10.455,10.455,10.455,200
1226,10.415,10.415,10.415,10.415,200
1414,10.29,10.32,10.29,10.32,400
1428,10.325,10.325,10.325,10.325,400
156,10.33,10.33,10.33,10.33,200
157,10.33,10.33,10.33,10.33,400
