time,open,high,low,close,volume
1135,25.18,25.18,25.18,25.18,400
949,25.99,25.99,25.99,25.99,100
1022,26.25,26.25,26.25,26.25,500
1236,26.49,26.49,26.49,26.49,378
1312,26.42,26.42,26.42,26.42,250
1457,26.41,26.41,26.41,26.41,100
153,26.4,26.4,26.4,26.4,100
154,26.4,26.4,26.4,26.4,100
1512,26.39,26.39,26.39,26.39,200
1515,26.4,26.4,26.4,26.4,100
1517,26.4,26.4,26.4,26.4,200
1518,26.4,26.4,26.4,26.4,100
1519,26.4,26.4,26.4,26.4,100
1520,26.4,26.4,26.4,26.4,100
1522,26.41,26.41,26.41,26.41,100
1123,26.38,26.38,26.38,26.38,725
1143,26.46,26.46,26.46,26.46,100
1310,26.47,26.47,26.47,26.47,300
149,26.46,26.46,26.46,26.46,500
1140,26.39,26.39,26.39,26.39,100
1242,26.39,26.39,26.39,26.39,500
1431,26.38,26.38,26.38,26.38,100
1030,26.32,26.32,26.32,26.32,100
110,26.33,26.33,26.33,26.33,100
1130,26.33,26.33,26.33,26.33,100
1319,26.3,26.3,26.3,26.3,100
1525,26.3,26.3,26.3,26.3,100
1250,26.34,26.34,26.34,26.34,1000
1536,26.4,26.4,26.4,26.4,200
1538,26.4,26.4,26.4,26.4,100
1544,26.42,26.42,26.42,26.42,400
1551,26.43,26.43,26.43,26.43,400
1552,26.43,26.43,26.43,26.43,400
1553,26.43,26.43,26.43,26.43,300
1554,26.43,26.43,26.43,26.43,1700
1555,26.43,26.43,26.43,26.43,1300
1556,26.43,26.43,26.43,26.43,1400
1529,26.59,26.59,26.59,26.59,500
1159,26.71,26.71,26.71,26.71,500
156,26.85,26.85,26.85,26.85,616
1518,26.85,26.85,26.85,26.85,700
1113,26.89,26.89,26.89,26.89,200
1247,26.91,26.91,26.91,26.91,500
1553,26.96,26.96,26.96,26.96,500
939,27,27,27,27,2000
153,27.03,27.11,27.03,27.03,815
1027,26.92,26.92,26.92,26.92,300
1318,26.96,26.96,26.96,26.96,300
958,27.23,27.23,27.23,27.23,1000
1158,27.29,27.29,27.29,27.29,500
151,27.25,27.25,27.25,27.25,226
1355,27.47,27.47,27.47,27.47,500
1455,27.52,27.61,27.52,27.52,1100
157,27.54,27.54,27.54,27.54,2000
1150,27.42,27.42,27.42,27.42,180
1557,27.46,27.46,27.46,27.46,500
1037,27.52,27.52,27.52,27.52,350
1350,27.87,27.87,27.87,27.87,200
156,27.85,27.85,27.85,27.85,100
