time,open,high,low,close,volume
1056,2.845,2.845,2.845,2.845,100
1059,2.85,2.85,2.85,2.85,100
112,2.825,2.825,2.825,2.825,100
117,2.815,2.815,2.815,2.815,100
1110,2.785,2.785,2.785,2.785,100
1115,2.76,2.76,2.76,2.76,100
1120,2.76,2.76,2.76,2.76,200
1126,2.77,2.77,2.77,2.77,300
1148,2.71,2.71,2.71,2.71,299
1211,2.71,2.71,2.71,2.71,200
1253,2.82,2.82,2.805,2.805,200
1254,2.82,2.82,2.82,2.82,100
1314,2.79,2.79,2.79,2.79,300
1329,2.8,2.8,2.8,2.8,100
1332,2.79,2.79,2.79,2.79,100
1356,2.795,2.795,2.78,2.78,300
145,2.795,2.795,2.795,2.795,300
146,2.81,2.81,2.81,2.81,100
1418,2.79,2.79,2.79,2.79,900
1419,2.79,2.79,2.79,2.79,100
1420,2.79,2.79,2.79,2.79,100
1421,2.79,2.79,2.79,2.79,100
1433,2.8,2.8,2.8,2.8,300
1451,2.8,2.8,2.8,2.8,100
152,2.8,2.8,2.8,2.8,100
153,2.78,2.78,2.78,2.78,100
1510,2.78,2.78,2.78,2.78,100
1514,2.78,2.78,2.78,2.78,100
1523,2.78,2.78,2.78,2.78,100
1532,2.76,2.76,2.76,2.76,100
1539,2.755,2.755,2.75,2.75,400
1540,2.76,2.76,2.76,2.76,100
1542,2.76,2.76,2.76,2.76,100
1549,2.78,2.78,2.78,2.78,300
1552,2.78,2.78,2.78,2.78,100
1553,2.76,2.76,2.76,2.76,100
1558,2.74,2.74,2.74,2.74,100
932,2.81,2.81,2.81,2.81,100
933,2.81,2.81,2.81,2.81,200
936,2.8,2.8,2.8,2.8,115
104,2.9,2.9,2.9,2.9,100
1013,2.98,2.98,2.98,2.98,200
1014,2.94,2.95,2.94,2.95,200
1016,2.95,2.95,2.95,2.95,100
1019,2.95,2.95,2.95,2.95,200
1042,2.93,2.93,2.93,2.93,100
1114,2.83,2.83,2.83,2.83,100
1115,2.83,2.83,2.83,2.83,100
1116,2.83,2.83,2.83,2.83,200
1117,2.83,2.83,2.83,2.83,200
1132,2.54,2.54,2.54,2.54,600
1152,2.5,2.5,2.5,2.5,200
1219,2.48,2.48,2.48,2.48,100
1227,2.4,2.4,2.4,2.4,100
1232,2.4,2.4,2.4,2.4,400
1239,2.47,2.47,2.47,2.47,100
1244,2.49,2.49,2.49,2.49,100
1245,2.49,2.49,2.49,2.49,100
139,2.48,2.48,2.48,2.48,200
1335,2.55,2.55,2.55,2.55,100
1338,2.54,2.54,2.54,2.54,100
1341,2.54,2.54,2.54,2.54,300
1438,2.52,2.52,2.52,2.52,200
1442,2.52,2.52,2.52,2.52,100
1445,2.52,2.52,2.52,2.52,100
1446,2.52,2.52,2.52,2.52,100
1449,2.5,2.5,2.5,2.5,100
1453,2.51,2.51,2.51,2.51,200
1457,2.51,2.51,2.51,2.51,100
1542,2.53,2.53,2.53,2.53,300
1546,2.53,2.53,2.53,2.53,200
1550,2.5,2.5,2.5,2.5,100
1551,2.52,2.52,2.52,2.52,300
1553,2.54,2.55,2.54,2.55,500
1554,2.59,2.68,2.59,2.68,780
1559,2.67,2.67,2.67,2.67,200
958,2.43,2.43,2.43,2.43,100
107,2.48,2.48,2.48,2.48,100
1010,2.41,2.41,2.41,2.41,100
1019,2.41,2.41,2.41,2.41,300
1023,2.45,2.45,2.45,2.45,100
1026,2.45,2.45,2.45,2.45,100
1032,2.475,2.49,2.475,2.49,200
1042,2.56,2.56,2.56,2.56,100
1120,2.59,2.6,2.59,2.6,300
1131,2.6,2.6,2.6,2.6,100
1148,2.6,2.62,2.6,2.62,700
1227,2.53,2.53,2.53,2.53,200
1234,2.52,2.52,2.52,2.52,100
1242,2.52,2.52,2.52,2.52,572
1250,2.56,2.56,2.55,2.56,300
139,2.51,2.51,2.51,2.51,300
1326,2.54,2.54,2.54,2.54,100
1350,2.44,2.44,2.44,2.44,700
143,2.48,2.48,2.48,2.48,600
1412,2.41,2.41,2.41,2.41,100
1416,2.41,2.41,2.41,2.41,100
1433,2.4,2.4,2.4,2.4,200
1435,2.45,2.45,2.45,2.45,100
1448,2.47,2.47,2.47,2.47,500
1457,2.36,2.36,2.36,2.36,100
1458,2.36,2.36,2.36,2.36,100
1459,2.36,2.36,2.36,2.36,100
150,2.36,2.36,2.36,2.36,100
153,2.36,2.36,2.36,2.36,100
1511,2.335,2.335,2.335,2.335,100
1512,2.3,2.3,2.3,2.3,134
1519,2.3,2.3,2.3,2.3,100
