time,open,high,low,close,volume
1018,23.18,23.18,23.18,23.18,100
1034,23.31,23.31,23.31,23.31,100
117,23.37,23.39,23.37,23.39,1010
1211,23,23,23,23,100
1327,23.1,23.1,23.1,23.1,100
1544,22.901,22.901,22.901,22.901,200
1010,22.45,22.45,22.45,22.45,200
1414,22.58,22.58,22.58,22.58,200
1444,22.6,22.77,22.6,22.77,200
1445,23,23,23,23,100
1534,22.86,22.86,22.86,22.86,100
1034,22.6,22.6,22.6,22.6,100
1050,22.33,22.33,22.33,22.33,100
1222,22.43,22.43,22.43,22.43,100
1357,22.33,22.33,22.33,22.33,100
141,22.52,22.52,22.52,22.52,100
144,22.6,22.6,22.6,22.6,100
1559,22.42,22.42,22.42,22.42,100
123,21.99,21.99,21.99,21.99,300
129,22,22,22,22,129
150,22.12,22.13,22.12,22.13,300
1550,22.23,22.23,22.23,22.23,100
1048,21.935,21.935,21.935,21.935,100
1058,21.935,21.935,21.935,21.935,100
139,22.01,22.01,22.01,22.01,100
1317,22.01,22.01,22.01,22.01,100
1351,22.07,22.07,22.07,22.07,100
1514,22.07,22.07,22.07,22.07,100
1518,22.02,22.02,22.02,22.02,100
1538,21.985,21.985,21.985,21.985,100
1552,22.07,22.07,22.07,22.07,100
1035,21.995,21.995,21.995,21.995,100
1112,21.985,21.985,21.985,21.985,849
1148,21.97,21.97,21.97,21.97,200
122,21.97,21.97,21.97,21.97,300
1312,21.95,21.96,21.95,21.96,410
1423,21.94,21.94,21.94,21.94,100
1549,22.16,22.16,22.16,22.16,100
1554,22.15,22.15,22.15,22.15,100
1559,22.16,22.16,22.16,22.16,193
1217,22.2,22.2,22.2,22.2,172
1246,22.38,22.38,22.38,22.38,300
1310,22.47,22.49,22.47,22.49,300
1312,22.49,22.49,22.49,22.49,335
1428,22.34,22.34,22.34,22.34,400
1429,22.48,22.48,22.48,22.48,100
1431,22.44,22.475,22.44,22.475,300
1456,23.68,23.68,23.68,23.68,130
1527,23.85,23.85,23.85,23.85,104
