time,open,high,low,close,volume
1459,9.42,9.42,9.42,9.42,100
153,9.425,9.425,9.425,9.425,100
156,9.41,9.41,9.41,9.41,102
1510,9.4,9.4,9.4,9.4,100
1514,9.385,9.385,9.385,9.385,100
1515,9.385,9.385,9.385,9.385,417
1527,9.41,9.41,9.405,9.405,315
1529,9.39,9.39,9.39,9.39,300
1532,9.35,9.35,9.35,9.35,100
1533,9.3,9.3,9.3,9.3,122
1534,9.29,9.29,9.29,9.29,113
1536,9.29,9.295,9.29,9.29,300
1538,9.29,9.29,9.29,9.29,200
1540,9.29,9.29,9.29,9.29,200
1546,9.31,9.315,9.31,9.315,400
1548,9.32,9.32,9.31,9.31,200
1549,9.32,9.32,9.32,9.32,100
1550,9.32,9.32,9.32,9.32,115
1551,9.295,9.295,9.295,9.295,300
1555,9.285,9.285,9.285,9.285,100
1556,9.285,9.285,9.285,9.285,300
1557,9.285,9.285,9.275,9.275,616
1558,9.275,9.275,9.275,9.275,100
957,9.53,9.53,9.53,9.53,100
1013,9.38,9.38,9.38,9.38,100
1040,9.34,9.34,9.34,9.34,110
1044,9.355,9.355,9.355,9.355,101
110,9.355,9.355,9.355,9.355,100
112,9.325,9.325,9.325,9.325,100
1124,9.275,9.275,9.275,9.275,105
1132,9.3,9.3,9.3,9.3,152
1133,9.31,9.31,9.31,9.31,100
1134,9.31,9.31,9.31,9.31,100
1153,9.25,9.25,9.25,9.25,101
1159,9.22,9.22,9.22,9.22,102
129,9.29,9.29,9.29,9.29,110
1210,9.285,9.285,9.285,9.285,100
1212,9.31,9.31,9.31,9.31,102
1220,9.305,9.305,9.305,9.305,101
1230,9.33,9.335,9.33,9.335,310
1232,9.31,9.31,9.31,9.31,100
1236,9.31,9.31,9.31,9.31,100
1259,9.265,9.265,9.265,9.265,101
1323,9.3,9.3,9.3,9.3,206
1327,9.32,9.32,9.32,9.32,100
1329,9.325,9.325,9.325,9.325,103
1332,9.32,9.32,9.32,9.32,100
1334,9.335,9.335,9.335,9.335,100
1344,9.31,9.31,9.31,9.31,101
1350,9.335,9.335,9.335,9.335,100
1352,9.345,9.345,9.335,9.335,200
1358,9.35,9.35,9.35,9.35,100
140,9.33,9.33,9.33,9.33,104
146,9.315,9.315,9.315,9.315,111
1415,9.31,9.31,9.31,9.31,101
1416,9.315,9.315,9.315,9.315,100
1432,9.315,9.315,9.31,9.31,298
1435,9.3,9.3,9.3,9.3,100
1442,9.3,9.3,9.3,9.3,101
1456,9.345,9.345,9.345,9.345,100
155,9.36,9.36,9.36,9.36,100
158,9.38,9.38,9.38,9.38,110
1513,9.35,9.35,9.35,9.35,100
1521,9.35,9.35,9.35,9.35,110
1522,9.345,9.345,9.345,9.345,100
1530,9.34,9.34,9.34,9.34,200
1533,9.325,9.325,9.325,9.325,100
1535,9.32,9.32,9.29,9.29,225
1536,9.295,9.3,9.295,9.3,337
1537,9.3,9.3,9.3,9.3,207
1538,9.3,9.3,9.295,9.295,202
1540,9.3,9.3,9.3,9.3,250
1541,9.3,9.3,9.29,9.295,302
1545,9.3,9.3,9.3,9.3,100
1547,9.3,9.3,9.3,9.3,400
1548,9.305,9.305,9.3,9.3,342
1549,9.3,9.3,9.3,9.3,102
1550,9.305,9.305,9.305,9.305,100
1551,9.3,9.3,9.3,9.3,100
1552,9.3,9.3,9.3,9.3,100
1553,9.295,9.295,9.295,9.295,101
1557,9.325,9.325,9.325,9.325,100
939,9.14,9.14,9.14,9.14,109
1038,9.225,9.225,9.225,9.225,133
1044,9.2,9.2,9.2,9.2,100
1045,9.21,9.21,9.21,9.21,100
1048,9.19,9.19,9.16,9.16,222
1050,9.19,9.19,9.19,9.19,100
1119,9.51,9.51,9.51,9.51,100
1135,9.47,9.47,9.47,9.47,107
1140,9.46,9.46,9.46,9.46,105
1144,9.42,9.42,9.42,9.42,100
1148,9.44,9.44,9.44,9.44,103
1154,9.48,9.48,9.48,9.48,223
1219,9.47,9.47,9.47,9.47,100
1222,9.47,9.47,9.47,9.47,100
1228,9.465,9.465,9.465,9.465,100
1244,9.42,9.42,9.42,9.42,200
1254,9.4,9.4,9.4,9.4,116
1256,9.4,9.4,9.4,9.4,104
136,9.435,9.435,9.435,9.435,100
1341,9.4,9.4,9.4,9.4,100
1412,9.37,9.37,9.37,9.37,102
1431,9.3,9.3,9.3,9.3,104
157,9.3,9.3,9.3,9.3,112
1526,9.27,9.27,9.27,9.27,100
1550,9.25,9.25,9.25,9.25,200
1552,9.215,9.215,9.215,9.215,100
1559,9.21,9.21,9.21,9.21,100
1016,9.26,9.26,9.26,9.26,100
116,8.95,8.95,8.95,8.95,104
1147,8.935,8.935,8.935,8.935,100
1148,8.96,8.96,8.96,8.96,100
1152,8.93,8.93,8.93,8.93,100
125,8.95,8.95,8.95,8.95,100
1243,8.92,8.92,8.92,8.92,100
1319,8.91,8.91,8.91,8.91,100
1323,8.91,8.91,8.91,8.91,100
1327,8.93,8.93,8.93,8.93,100
1346,8.95,8.95,8.95,8.95,100
1439,8.9,8.9,8.9,8.9,100
153,8.975,8.975,8.975,8.975,100
1530,9.05,9.05,9.05,9.05,101
1533,9.05,9.05,9.05,9.05,100
1549,9.03,9.03,9.03,9.03,100
1551,9.05,9.05,9.05,9.05,100
1555,9.095,9.095,9.06,9.06,572
1556,9.065,9.065,9.065,9.065,100
1010,8.96,8.96,8.96,8.96,206
1017,8.89,8.89,8.89,8.89,101
1035,8.89,8.89,8.89,8.89,100
1036,8.87,8.87,8.87,8.87,102
1038,8.86,8.86,8.86,8.86,100
1039,8.88,8.88,8.88,8.88,102
1042,8.78,8.78,8.78,8.78,100
1043,8.78,8.78,8.78,8.78,101
1050,8.72,8.75,8.72,8.75,200
1056,8.725,8.725,8.725,8.725,102
1057,8.74,8.74,8.72,8.72,200
111,8.73,8.73,8.73,8.73,101
116,8.68,8.68,8.68,8.68,100
1116,8.73,8.73,8.73,8.73,101
1119,8.67,8.67,8.67,8.67,101
1120,8.65,8.65,8.65,8.65,100
1127,8.74,8.74,8.74,8.74,100
1132,8.73,8.73,8.73,8.73,100
1137,8.71,8.71,8.71,8.71,100
1143,8.66,8.66,8.66,8.66,100
1148,8.73,8.73,8.73,8.73,100
1158,8.79,8.79,8.79,8.79,100
128,8.91,8.91,8.91,8.91,100
1235,8.74,8.74,8.74,8.74,369
1255,8.76,8.76,8.76,8.76,103
1259,8.76,8.76,8.76,8.76,101
131,8.79,8.79,8.79,8.79,101
1330,8.77,8.77,8.77,8.77,160
1337,8.75,8.76,8.75,8.76,208
1346,8.76,8.76,8.76,8.76,100
143,8.72,8.72,8.72,8.72,300
145,8.71,8.71,8.71,8.71,108
1425,8.77,8.77,8.77,8.77,100
1436,8.77,8.77,8.77,8.77,100
1444,8.71,8.71,8.71,8.71,102
150,8.72,8.72,8.72,8.72,100
154,8.7,8.7,8.7,8.7,100
159,8.66,8.66,8.66,8.66,100
1521,8.66,8.66,8.66,8.66,100
1522,8.67,8.67,8.67,8.67,100
1529,8.63,8.63,8.63,8.63,100
1532,8.6,8.6,8.6,8.6,200
1538,8.59,8.59,8.59,8.59,100
1542,8.59,8.59,8.59,8.59,100
1547,8.62,8.62,8.62,8.62,100
1548,8.64,8.64,8.64,8.64,105
1549,8.65,8.65,8.65,8.65,100
1550,8.63,8.63,8.63,8.63,126
1551,8.625,8.625,8.62,8.62,200
1553,8.63,8.63,8.63,8.63,100
1556,8.6,8.6,8.6,8.6,100
1557,8.6,8.6,8.6,8.6,101
1558,8.6,8.6,8.6,8.6,308
1559,8.62,8.62,8.62,8.62,298
933,8.57,8.57,8.57,8.57,101
1010,8.75,8.75,8.75,8.75,100
1029,8.83,8.83,8.83,8.83,103
1031,8.85,8.85,8.85,8.85,100
1153,8.86,8.86,8.86,8.86,200
1158,8.89,8.89,8.89,8.89,101
1240,8.8,8.8,8.8,8.8,100
1257,8.83,8.83,8.83,8.83,101
1332,8.78,8.78,8.78,8.78,102
1354,8.82,8.82,8.82,8.82,201
1410,8.825,8.825,8.825,8.825,101
1435,8.82,8.82,8.82,8.82,140
1448,8.825,8.825,8.825,8.825,100
1511,8.75,8.75,8.75,8.75,100
1514,8.765,8.765,8.765,8.765,210
1515,8.75,8.75,8.75,8.75,229
1519,8.81,8.81,8.81,8.81,100
1524,8.84,8.84,8.84,8.84,200
1532,8.85,8.85,8.85,8.85,100
1536,8.85,8.85,8.85,8.85,110
1541,8.85,8.85,8.85,8.85,100
1543,8.84,8.84,8.84,8.84,100
1544,8.85,8.85,8.85,8.85,100
1545,8.85,8.85,8.85,8.85,100
1549,8.87,8.87,8.87,8.87,100
1550,8.9,8.9,8.9,8.9,453
1559,8.87,8.87,8.87,8.87,142
949,9,9,9,9,185
1040,8.8,8.8,8.8,8.8,108
1046,8.72,8.72,8.72,8.72,101
1049,8.73,8.73,8.73,8.73,104
1057,8.76,8.76,8.76,8.76,100
1126,8.72,8.72,8.72,8.72,101
1136,8.725,8.725,8.725,8.725,200
1145,8.75,8.75,8.75,8.75,100
1156,8.775,8.775,8.775,8.775,101
1159,8.75,8.75,8.75,8.75,102
1251,8.885,8.885,8.885,8.885,106
1316,9.05,9.05,9.05,9.05,100
1320,9.06,9.06,9.06,9.06,100
1323,9.02,9.02,9.02,9.02,201
1327,8.98,8.98,8.98,8.98,100
1334,9.025,9.025,9.025,9.025,100
1346,9.06,9.06,9.06,9.06,129
1355,9.065,9.065,9.065,9.065,103
1429,9.08,9.08,9.08,9.08,101
1437,9.08,9.08,9.08,9.08,102
1446,9.08,9.08,9.08,9.08,100
151,9.125,9.125,9.125,9.125,100
1515,9.11,9.11,9.11,9.11,301
1521,9.12,9.12,9.12,9.12,100
1527,9.07,9.07,9.07,9.07,100
1528,9.07,9.07,9.07,9.07,100
1535,8.99,8.99,8.99,8.99,100
1540,8.91,8.91,8.91,8.91,100
1546,8.92,8.92,8.92,8.92,100
1553,8.92,8.92,8.92,8.92,196
1556,8.91,8.91,8.91,8.91,202
934,8.87,8.87,8.87,8.87,153
1044,9.08,9.08,9.08,9.08,100
110,9.07,9.07,9.07,9.07,101
113,9.1,9.1,9.1,9.1,100
1112,9.11,9.11,9.1,9.1,200
1114,9.09,9.09,9.09,9.09,100
1230,9.085,9.085,9.085,9.085,101
1334,8.995,8.995,8.995,8.995,100
1358,8.99,8.99,8.99,8.99,200
1422,9.06,9.06,9.06,9.06,100
151,9.09,9.09,9.09,9.09,100
1521,9.01,9.01,9.01,9.01,100
1530,9.015,9.015,9.015,9.015,100
1537,9.03,9.03,9.03,9.03,102
1552,9.11,9.11,9.11,9.11,100
936,9.5,9.5,9.5,9.5,102
951,9.42,9.42,9.42,9.42,100
1028,9.51,9.51,9.51,9.51,118
1046,9.59,9.59,9.59,9.59,100
1047,9.6,9.6,9.6,9.6,168
1112,9.64,9.64,9.64,9.64,101
1155,9.64,9.64,9.63,9.63,200
133,9.66,9.66,9.66,9.66,123
1320,9.68,9.68,9.68,9.68,100
1334,9.65,9.65,9.65,9.65,100
1350,9.65,9.65,9.63,9.63,200
1420,9.585,9.585,9.585,9.585,200
1511,9.675,9.675,9.675,9.675,100
1526,9.68,9.68,9.68,9.68,100
1543,9.72,9.72,9.72,9.72,200
1545,9.715,9.715,9.715,9.715,100
1547,9.72,9.72,9.72,9.72,200
1548,9.74,9.74,9.74,9.74,100
1556,9.62,9.62,9.62,9.62,100
1559,9.61,9.61,9.61,9.61,195
943,9.41,9.41,9.41,9.41,100
1025,9.44,9.44,9.44,9.44,100
1123,9.705,9.705,9.705,9.705,300
1129,9.69,9.69,9.69,9.69,100
1133,9.65,9.65,9.65,9.65,100
1159,9.585,9.585,9.585,9.585,300
122,9.56,9.56,9.56,9.56,103
124,9.58,9.58,9.58,9.58,104
128,9.6,9.6,9.6,9.6,100
1220,9.58,9.58,9.58,9.58,107
1223,9.58,9.58,9.58,9.58,111
1226,9.6,9.6,9.6,9.6,100
1227,9.61,9.61,9.61,9.61,104
1236,9.61,9.61,9.61,9.61,100
1422,9.565,9.565,9.565,9.565,100
1429,9.565,9.565,9.565,9.565,100
1445,9.565,9.565,9.565,9.565,100
1524,9.57,9.57,9.57,9.57,100
1556,9.63,9.63,9.63,9.63,100
1557,9.615,9.63,9.615,9.63,200
1558,9.62,9.62,9.62,9.62,188
1559,9.58,9.58,9.58,9.58,100
945,9.67,9.67,9.67,9.67,100
955,9.71,9.71,9.71,9.71,100
107,9.585,9.585,9.585,9.585,100
1039,9.42,9.42,9.42,9.42,108
1043,9.425,9.425,9.425,9.425,100
1044,9.43,9.43,9.43,9.43,100
1048,9.45,9.45,9.45,9.45,100
1129,9.385,9.385,9.385,9.385,100
1233,9.49,9.49,9.49,9.49,102
1245,9.465,9.465,9.465,9.465,100
131,9.44,9.44,9.44,9.44,100
133,9.42,9.42,9.42,9.42,100
1313,9.48,9.48,9.48,9.48,100
1337,9.49,9.49,9.49,9.49,100
1354,9.48,9.48,9.48,9.48,100
1440,9.45,9.45,9.45,9.45,100
1510,9.5,9.5,9.5,9.5,100
1528,9.51,9.525,9.51,9.525,200
1540,9.52,9.52,9.52,9.52,100
1550,9.55,9.55,9.55,9.55,100
1553,9.555,9.555,9.555,9.555,236
1556,9.55,9.555,9.55,9.555,305
1557,9.555,9.555,9.555,9.555,200
1558,9.565,9.565,9.565,9.565,546
1559,9.565,9.565,9.565,9.565,289
106,9.38,9.38,9.38,9.38,100
1016,9.46,9.46,9.46,9.46,100
1030,9.5,9.5,9.5,9.5,101
115,9.45,9.45,9.45,9.45,100
1116,9.415,9.415,9.4,9.415,3700
1117,9.39,9.39,9.39,9.39,100
1157,9.47,9.47,9.47,9.47,100
1251,9.41,9.41,9.41,9.41,100
1252,9.43,9.43,9.43,9.43,102
1317,9.4,9.4,9.4,9.4,100
153,9.38,9.38,9.38,9.38,199
159,9.35,9.35,9.35,9.35,384
1541,9.3,9.3,9.3,9.3,100
1548,9.305,9.305,9.305,9.305,200
1550,9.295,9.295,9.295,9.295,108
1552,9.27,9.27,9.27,9.27,100
941,9.63,9.65,9.63,9.65,200
944,9.63,9.63,9.63,9.63,174
945,9.595,9.605,9.595,9.605,269
953,9.7,9.7,9.7,9.7,288
1139,9.85,9.85,9.85,9.85,100
1247,9.87,9.87,9.87,9.87,100
153,9.89,9.89,9.89,9.89,100
1539,9.72,9.72,9.72,9.72,100
1557,9.72,9.72,9.72,9.72,100
1559,9.72,9.72,9.72,9.72,286
959,9.705,9.705,9.705,9.705,118
1023,9.55,9.55,9.55,9.55,105
1317,9.48,9.48,9.48,9.48,3206
1325,9.42,9.42,9.41,9.41,200
1326,9.42,9.42,9.42,9.42,100
1337,9.41,9.41,9.41,9.41,200
1528,9.32,9.32,9.32,9.32,152
1542,9.32,9.32,9.32,9.32,300
1016,9.41,9.41,9.41,9.41,100
1036,9.38,9.38,9.38,9.38,113
1050,9.45,9.45,9.45,9.45,102
115,9.44,9.44,9.44,9.44,100
123,9.47,9.47,9.47,9.47,102
1221,9.54,9.54,9.54,9.54,102
1242,9.545,9.545,9.545,9.545,100
1250,9.525,9.525,9.525,9.525,100
1331,9.54,9.54,9.54,9.54,100
1454,9.57,9.57,9.57,9.57,102
1535,9.5,9.5,9.5,9.5,100
1550,9.49,9.49,9.49,9.49,100
1556,9.49,9.49,9.49,9.49,102
1557,9.5,9.5,9.5,9.5,102
1558,9.5,9.52,9.5,9.5,353
1559,9.52,9.52,9.52,9.52,106
1326,9.305,9.305,9.305,9.305,300
1327,9.305,9.305,9.305,9.305,251
1343,9.29,9.29,9.29,9.29,100
1353,9.285,9.285,9.285,9.285,100
1411,9.235,9.235,9.235,9.235,100
1442,9.27,9.27,9.27,9.27,106
1446,9.265,9.265,9.265,9.265,100
1518,9.2,9.2,9.2,9.2,100
1520,9.185,9.185,9.185,9.185,100
1521,9.21,9.21,9.21,9.21,100
1529,9.18,9.18,9.18,9.18,100
1533,9.155,9.155,9.155,9.155,110
1547,9.23,9.23,9.23,9.23,100
1548,9.27,9.27,9.27,9.27,101
1551,9.24,9.24,9.24,9.24,100
1554,9.21,9.21,9.21,9.21,110
1558,9.17,9.17,9.17,9.17,134
1559,9.17,9.17,9.15,9.16,314
86,9.06,9.06,9.06,9.06,100
87,9.07,9.07,9.07,9.07,100
812,9.17,9.17,9.17,9.17,100
815,9.07,9.07,9.07,9.07,100
817,9.06,9.06,9.06,9.06,100
818,9.21,9.21,9.21,9.21,100
821,9.06,9.06,9.06,9.06,100
823,9.11,9.15,9.11,9.15,200
825,9.12,9.12,9.12,9.12,100
827,9.1,9.1,9.1,9.1,100
831,9.14,9.14,9.11,9.11,200
832,9.2,9.2,9.2,9.2,100
833,9.21,9.21,9.21,9.21,100
836,9.09,9.09,9.09,9.09,100
843,9.1,9.1,9.1,9.1,100
845,9.1,9.17,9.1,9.17,300
846,9.22,9.22,9.22,9.22,100
859,9.04,9.04,9.04,9.04,100
90,9.1,9.1,9.1,9.1,100
93,9.15,9.15,9.15,9.15,100
95,9.19,9.19,9.19,9.19,100
96,9.06,9.06,9.06,9.06,100
