time,open,high,low,close,volume
159,55.045,55.045,55.045,55.045,100
1511,55.03,55.03,55.03,55.03,200
1512,55.03,55.03,55.03,55.03,200
1513,55.03,55.03,55.03,55.03,100
1514,55.035,55.055,55.035,55.055,201
1515,55.08,55.1,55.08,55.1,200
1517,55.12,55.12,55.12,55.12,100
1518,55.14,55.14,55.14,55.14,200
1520,55.135,55.135,55.135,55.135,100
1522,55.1,55.1,55.1,55.1,200
1523,55.1,55.1,55.1,55.1,100
1524,55.1,55.1,55.1,55.1,100
1525,55.12,55.12,55.12,55.12,102
1528,55.11,55.11,55.11,55.11,100
1529,55.155,55.155,55.155,55.155,100
1534,55.19,55.19,55.19,55.19,200
1535,55.18,55.18,55.18,55.18,100
1536,55.185,55.185,55.185,55.185,100
1537,55.225,55.225,55.225,55.225,100
1538,55.225,55.245,55.225,55.225,300
1548,55.165,55.165,55.165,55.165,100
1549,55.18,55.205,55.18,55.205,300
1550,55.2,55.2,55.2,55.2,100
1551,55.215,55.215,55.215,55.215,100
1552,55.2,55.225,55.2,55.225,200
1554,55.24,55.24,55.24,55.24,100
1556,55.22,55.22,55.205,55.205,200
1557,55.215,55.215,55.215,55.215,100
1558,55.18,55.19,55.18,55.19,200
1559,55.19,55.19,55.18,55.18,381
936,55.87,55.87,55.87,55.87,100
1032,55.755,55.84,55.75,55.75,454
112,56.01,56.01,56.01,56.01,100
1119,55.92,55.92,55.92,55.92,100
1134,55.93,55.93,55.93,55.93,100
129,55.9,55.9,55.9,55.9,100
1249,55.9,55.9,55.9,55.9,100
136,55.97,55.97,55.97,55.97,100
1346,56.01,56.01,56.01,56.01,100
1411,56.15,56.15,56.15,56.15,100
1444,56.17,56.17,56.17,56.17,200
1449,56.16,56.16,56.16,56.16,100
1530,56.13,56.13,56.13,56.13,100
1549,56.13,56.13,56.13,56.13,130
1554,56.1,56.1,56.1,56.1,100
1557,56.09,56.09,56.09,56.09,156
1559,56.09,56.09,56.07,56.07,1171
80,56.21,56.21,56.21,56.21,100
85,56.1,56.1,56.1,56.1,100
87,56.07,56.07,56.07,56.07,100
89,56.01,56.01,56.01,56.01,100
810,56.12,56.12,56.12,56.12,100
814,56.04,56.04,56.04,56.04,100
820,56.05,56.05,56.05,56.05,100
822,56.14,56.14,56.14,56.14,100
824,56.02,56.02,56.02,56.02,100
825,56.03,56.03,56.03,56.03,100
830,55.96,55.96,55.96,55.96,100
831,55.98,55.98,55.98,55.98,100
835,55.99,55.99,55.99,55.99,100
837,55.97,55.97,55.97,55.97,100
841,55.97,55.97,55.97,55.97,100
844,56.06,56.08,56.06,56.08,200
845,56.06,56.06,56.06,56.06,100
846,56.05,56.05,56.05,56.05,100
850,56.07,56.07,56.07,56.07,100
856,55.94,55.94,55.94,55.94,100
857,56.05,56.05,56.05,56.05,100
90,55.97,55.97,55.97,55.97,100
93,55.93,56.03,55.93,56.03,200
95,56.06,56.06,56.06,56.06,100
98,55.96,55.96,55.96,55.96,200
912,55.24,55.24,55.24,55.24,100
913,55.99,55.99,55.99,55.99,100
916,55.93,55.93,55.93,55.93,100
917,56.06,56.06,56.06,56.06,100
918,56.07,56.07,56.07,56.07,100
921,56.05,56.05,56.05,56.05,100
922,55.98,55.98,55.96,55.96,200
924,56.07,56.07,56.07,56.07,100
925,56.07,56.07,56.07,56.07,100
930,55.97,55.97,55.97,55.97,100
936,55.99,55.99,55.99,55.99,100
937,55.99,55.99,55.99,55.99,100
945,55.99,55.99,55.99,55.99,100
947,55.99,56.03,55.99,56.03,200
949,56.01,56.01,56.01,56.01,100
959,55.99,55.99,55.99,55.99,100
107,55.94,55.94,55.94,55.94,100
1012,55.95,55.95,55.95,55.95,100
1014,55.98,55.98,55.98,55.98,200
1015,55.99,55.99,55.99,55.99,100
1016,55.98,55.98,55.98,55.98,100
1024,55.95,56.01,55.95,56.01,300
1028,55.97,55.97,55.97,55.97,100
1032,55.98,56.02,55.98,56.02,200
1034,56.02,56.02,56.02,56.02,100
1035,56.02,56.02,56.02,56.02,100
1036,56.02,56.02,56.02,56.02,100
1043,55.97,56,55.97,56,200
1044,56.03,56.03,56.03,56.03,200
1045,56.005,56.005,56.005,56.005,100
1050,56.04,56.04,56.04,56.04,100
1056,56,56.04,56,56.04,200
1057,55.96,55.96,55.96,55.96,100
1114,55.95,55.95,55.95,55.95,100
1119,55.97,55.97,55.97,55.97,100
1125,55.98,56.02,55.98,56.02,500
1126,56.025,56.025,56.025,56.025,100
1128,56.025,56.025,56.025,56.025,100
1129,56.04,56.04,56.04,56.04,100
1130,56,56,55.99,55.99,200
1133,56.05,56.05,56.05,56.05,100
1134,56.05,56.05,56.05,56.05,100
1135,55.98,55.98,55.98,55.98,100
1143,56.02,56.06,56.02,56.06,200
1146,55.96,55.96,55.96,55.96,100
1148,56.06,56.06,56.06,56.06,100
1149,55.96,55.96,55.96,55.96,100
1152,56.01,56.01,56.01,56.01,100
1154,55.98,55.98,55.98,55.98,100
1159,55.96,55.96,55.96,55.96,100
120,55.96,56.03,55.96,56.03,200
121,55.96,55.96,55.96,55.96,100
122,55.95,55.95,55.95,55.95,100
127,55.98,55.98,55.98,55.98,100
