time,open,high,low,close,volume
1453,12.215,12.215,12.205,12.205,700
152,12.165,12.165,12.165,12.165,200
1510,12.105,12.105,12.105,12.105,100
1557,12.12,12.19,12.12,12.19,900
952,12.23,12.23,12.23,12.23,200
955,12.23,12.23,12.22,12.22,300
107,12.23,12.23,12.23,12.23,200
1021,12.41,12.41,12.41,12.41,400
115,12.91,12.91,12.91,12.91,100
1137,12.94,12.94,12.94,12.94,100
131,12.92,12.92,12.92,12.92,300
1428,12.78,12.78,12.78,12.78,200
1512,12.835,12.835,12.835,12.835,100
1518,12.79,12.79,12.79,12.79,100
1522,12.79,12.79,12.79,12.79,100
1525,12.78,12.78,12.78,12.78,100
1530,12.77,12.77,12.77,12.77,100
1536,12.785,12.785,12.785,12.785,100
1540,12.8,12.8,12.8,12.8,100
1542,12.76,12.76,12.72,12.72,200
1544,12.745,12.745,12.745,12.745,100
1545,12.76,12.76,12.76,12.76,100
1024,12.13,12.13,12.13,12.13,100
1031,11.93,12.025,11.93,12.025,200
1214,11.74,11.74,11.74,11.74,100
132,12.07,12.07,12.07,12.07,100
1322,12.095,12.095,12.095,12.095,100
1443,11.705,11.705,11.6,11.65,1000
1455,11.72,11.74,11.72,11.74,570
1459,11.63,11.63,11.63,11.63,100
1529,11.74,11.74,11.74,11.74,100
1556,11.8,11.8,11.71,11.71,1300
1559,11.71,11.71,11.71,11.71,200
111,12.29,12.29,12.29,12.29,100
122,12.345,12.37,12.345,12.37,300
1211,12.345,12.345,12.345,12.345,100
1029,12.715,12.715,12.715,12.715,100
1038,12.83,12.83,12.83,12.83,200
1041,12.86,12.86,12.86,12.86,100
1043,12.89,12.89,12.89,12.89,100
112,12.98,12.98,12.98,12.98,300
1119,13,13,13,13,100
1152,13.08,13.09,13.08,13.09,400
1225,13.16,13.16,13.16,13.16,480
1254,13.34,13.34,13.34,13.34,100
1434,13.44,13.44,13.44,13.44,100
1445,13.43,13.43,13.32,13.32,400
104,13.92,13.92,13.92,13.92,100
1436,13.74,13.74,13.74,13.74,2102
1542,13.97,13.97,13.97,13.97,100
940,13.88,13.88,13.88,13.88,200
943,13.87,13.87,13.87,13.87,400
947,13.86,13.86,13.86,13.86,100
956,13.88,13.88,13.88,13.88,500
100,13.88,13.89,13.88,13.89,400
101,13.88,13.89,13.88,13.88,800
1026,13.86,13.86,13.86,13.86,179
1027,13.865,13.865,13.865,13.865,100
1045,13.94,13.94,13.94,13.94,300
1051,13.94,13.94,13.94,13.94,300
1057,13.955,13.955,13.92,13.92,600
1128,13.9,13.9,13.88,13.88,200
1129,13.87,13.87,13.855,13.855,1500
1130,13.855,13.855,13.855,13.855,200
1141,13.75,13.76,13.73,13.73,700
1142,13.76,13.76,13.76,13.76,100
1143,13.775,13.775,13.76,13.76,2100
1150,13.78,13.78,13.78,13.78,100
1248,13.815,13.815,13.815,13.815,400
1249,13.78,13.78,13.78,13.78,100
1330,13.71,13.71,13.7,13.7,900
1332,13.705,13.705,13.7,13.7,600
1429,13.76,13.76,13.76,13.76,100
1450,13.695,13.695,13.695,13.695,100
1537,13.7,13.7,13.7,13.7,300
1538,13.7,13.7,13.7,13.7,200
1544,13.69,13.69,13.69,13.69,100
1548,13.69,13.69,13.69,13.69,100
956,13.86,13.86,13.86,13.86,400
105,13.86,13.86,13.85,13.85,600
1020,13.875,13.875,13.875,13.875,2300
1022,13.89,13.89,13.89,13.89,300
1043,13.9,13.9,13.9,13.9,400
1113,13.97,13.97,13.97,13.97,100
1132,14.03,14.03,14.03,14.03,100
1257,14.125,14.125,14.125,14.125,100
1321,14.155,14.155,14.155,14.155,100
1420,14.28,14.28,14.28,14.28,100
150,14.22,14.22,14.22,14.22,100
1554,14.31,14.31,14.18,14.18,800
1558,14.34,14.34,14.06,14.06,1048
1019,14.21,14.21,14.2,14.2,600
1042,14.2,14.2,14.2,14.2,100
1158,14.1,14.1,14.1,14.1,100
1231,14.16,14.16,14.14,14.14,200
1328,14.095,14.095,14.095,14.095,400
1338,14.105,14.105,14.105,14.105,100
1422,14.13,14.13,14.13,14.13,100
1524,14.165,14.165,14.165,14.165,100
1549,14.195,14.195,14.18,14.18,200
932,14,14,14,14,100
947,14,14.04,14,14,700
1017,13.935,13.935,13.935,13.935,100
1049,13.93,13.94,13.93,13.93,900
1050,13.925,13.925,13.925,13.925,130
1059,13.915,13.915,13.915,13.915,400
1114,13.915,13.915,13.915,13.915,200
1123,13.9,13.9,13.9,13.9,700
1146,13.84,13.84,13.84,13.84,200
122,13.79,13.79,13.79,13.79,100
1233,13.77,13.77,13.77,13.77,100
148,13.635,13.635,13.635,13.635,100
1549,13.615,13.615,13.615,13.615,1631
1551,13.615,13.615,13.615,13.615,100
1553,13.615,13.615,13.615,13.615,100
1556,13.615,13.615,13.615,13.615,310
1559,13.62,13.62,13.62,13.62,200
1129,13.58,13.58,13.58,13.58,100
1222,13.46,13.46,13.44,13.44,200
1238,13.44,13.44,13.44,13.44,100
1350,13.5,13.5,13.5,13.5,116
1424,13.54,13.64,13.54,13.64,300
1429,13.74,13.74,13.74,13.74,300
1456,13.65,13.65,13.65,13.65,100
1549,13.625,13.625,13.625,13.625,164
1554,13.615,13.615,13.615,13.615,100
151,13.27,13.27,13.27,13.27,143
155,13.26,13.26,13.26,13.26,100
957,13.48,13.48,13.48,13.48,800
1032,13.54,13.54,13.54,13.54,400
1053,13.56,13.56,13.56,13.56,100
1215,13.56,13.56,13.56,13.56,100
1220,13.56,13.56,13.56,13.56,300
1224,13.56,13.56,13.56,13.56,112
1227,13.55,13.55,13.52,13.52,1900
1359,13.51,13.51,13.51,13.51,400
1425,13.5,13.5,13.5,13.5,100
1426,13.48,13.48,13.48,13.48,100
1428,13.5,13.5,13.5,13.5,100
1440,13.475,13.475,13.475,13.475,100
1459,13.51,13.51,13.51,13.51,100
151,13.515,13.515,13.515,13.515,100
155,13.51,13.51,13.51,13.51,100
159,13.51,13.51,13.51,13.51,200
1514,13.51,13.51,13.51,13.51,200
1517,13.52,13.52,13.51,13.51,500
1523,13.5,13.5,13.5,13.5,300
1527,13.495,13.495,13.495,13.495,400
1528,13.495,13.495,13.495,13.495,500
1530,13.495,13.495,13.495,13.495,400
1531,13.495,13.495,13.495,13.495,400
1532,13.5,13.5,13.5,13.5,100
1537,13.495,13.495,13.495,13.495,600
1539,13.495,13.495,13.495,13.495,200
1549,13.46,13.46,13.46,13.46,100
1553,13.47,13.47,13.47,13.47,100
1554,13.45,13.45,13.45,13.45,200
1555,13.46,13.46,13.46,13.46,100
1558,13.44,13.44,13.44,13.44,100
1559,13.455,13.455,13.455,13.455,100
936,13.57,13.57,13.57,13.57,100
1353,13.65,13.65,13.65,13.65,100
1440,13.63,13.63,13.63,13.63,100
1520,13.58,13.58,13.58,13.58,300
1215,13.79,13.79,13.79,13.79,100
1417,13.87,13.87,13.87,13.87,100
1523,13.95,13.95,13.95,13.95,100
1524,13.97,13.97,13.97,13.97,100
1558,13.88,13.92,13.88,13.92,600
947,14.25,14.25,14.25,14.25,100
1056,14.23,14.23,14.23,14.23,400
1059,14.23,14.23,14.23,14.23,100
1146,14.23,14.23,14.14,14.14,5800
1151,14.185,14.185,14.185,14.185,2300
1219,14.235,14.235,14.235,14.235,800
1231,14.3,14.3,14.3,14.3,100
1254,14.31,14.31,14.31,14.31,188
132,14.4,14.4,14.4,14.4,100
1348,14.25,14.25,14.25,14.25,100
1351,14.33,14.33,14.33,14.33,100
1456,14.395,14.395,14.35,14.35,400
153,14.43,14.43,14.43,14.43,166
154,14.48,14.5,14.48,14.49,300
155,14.49,14.49,14.49,14.49,100
1511,14.43,14.43,14.4,14.4,200
1513,14.39,14.39,14.39,14.39,800
1554,14.445,14.445,14.445,14.445,102
1555,14.445,14.445,14.445,14.445,100
1558,14.46,14.46,14.46,14.46,100
1559,14.46,14.46,14.46,14.46,100
1010,14.22,14.22,14.22,14.22,100
1030,14.22,14.22,14.22,14.22,100
1034,14.21,14.21,14.21,14.21,341
1044,14.25,14.25,14.22,14.22,200
1138,14.22,14.22,14.21,14.21,1400
1143,14.205,14.205,14.205,14.205,200
1147,14.19,14.19,14.19,14.19,400
1150,14.205,14.205,14.205,14.205,100
1153,14.205,14.205,14.205,14.205,100
125,14.2,14.2,14.2,14.2,300
1223,14.215,14.215,14.215,14.215,100
1228,14.215,14.215,14.215,14.215,200
1243,14.215,14.215,14.215,14.215,100
1258,14.165,14.165,14.165,14.165,100
134,14.165,14.165,14.165,14.165,100
137,14.165,14.165,14.165,14.165,100
1311,14.165,14.165,14.165,14.165,100
1332,14.28,14.28,14.28,14.28,100
1346,14.25,14.25,14.25,14.25,100
