time,open,high,low,close,volume
1248,72.27,72.27,72.27,72.27,117
133,71.85,71.85,71.85,71.85,100
1316,71.62,71.62,71.62,71.62,100
1317,71.64,71.64,71.64,71.64,100
143,71.885,71.885,71.885,71.885,100
1421,72.01,72.01,72.01,72.01,110
1430,72.05,72.05,72.05,72.05,168
1442,71.89,71.89,71.89,71.89,100
1454,71.8,71.815,71.8,71.815,400
1455,71.765,71.8,71.765,71.8,310
1457,71.841,71.841,71.841,71.841,200
1458,71.94,71.94,71.94,71.94,400
154,72.015,72.015,72.015,72.015,101
155,72.02,72.02,72.02,72.02,1130
156,72.05,72.05,72.05,72.05,900
1511,72.07,72.07,72.07,72.07,100
1514,72,72,72,72,114
1519,71.94,71.94,71.94,71.94,100
1526,72.02,72.02,72.02,72.02,105
1531,72.02,72.02,72.02,72.02,200
1535,72.05,72.08,72.05,72.08,2600
1536,72.115,72.14,72.115,72.14,200
1537,72.235,72.235,72.11,72.125,1000
1538,72.115,72.115,72.055,72.055,751
1539,72.045,72.045,72.045,72.045,100
1541,72.035,72.035,72.035,72.035,1300
1544,72.025,72.025,72,72,578
1545,71.961,71.961,71.95,71.95,312
1549,72.005,72.005,72.005,72.005,110
1557,71.825,71.865,71.825,71.865,210
1558,71.92,72,71.92,71.955,991
83,71.75,71.75,71.75,71.75,100
85,71.79,71.79,71.79,71.79,100
88,71.89,71.89,71.89,71.89,100
89,71.83,71.83,71.83,71.83,100
810,71.82,71.82,71.82,71.82,100
812,71.99,71.99,71.99,71.99,100
814,71.87,71.87,71.87,71.87,100
817,71.92,71.92,71.92,71.92,100
820,71.84,71.97,71.84,71.97,200
822,71.82,71.82,71.76,71.76,200
823,71.85,71.85,71.85,71.85,100
828,71.77,71.79,71.77,71.79,200
834,71.73,71.73,71.73,71.73,100
835,71.74,71.74,71.74,71.74,100
837,71.75,71.75,71.75,71.75,100
839,71.9,71.9,71.9,71.9,100
849,71.83,71.83,71.83,71.83,100
850,71.84,71.84,71.84,71.84,100
851,71.84,71.84,71.84,71.84,100
852,71.82,71.82,71.81,71.81,200
854,71.74,71.83,71.74,71.83,200
857,71.79,71.83,71.79,71.83,200
859,71.83,71.83,71.83,71.83,100
95,71.81,71.81,71.81,71.81,100
96,71.83,71.83,71.83,71.83,100
910,71.87,71.87,71.87,71.87,100
917,71.875,71.875,71.875,71.875,100
923,71.88,71.88,71.88,71.88,100
924,71.9,71.9,71.9,71.9,100
929,71.82,71.82,71.82,71.82,100
935,71.82,71.88,71.82,71.88,300
937,71.81,71.81,71.81,71.81,100
944,71.89,71.89,71.87,71.87,200
946,71.91,71.91,71.91,71.91,100
947,71.94,71.94,71.94,71.94,100
952,71.85,71.85,71.85,71.85,100
955,71.83,71.83,71.83,71.83,100
956,71.91,71.91,71.91,71.91,100
101,71.85,71.85,71.85,71.85,100
102,71.85,71.85,71.85,71.85,100
103,71.85,71.85,71.85,71.85,100
105,71.86,71.86,71.86,71.86,100
106,71.87,71.895,71.87,71.895,200
108,71.84,71.84,71.84,71.84,100
109,71.91,71.91,71.91,71.91,100
1014,71.84,71.845,71.84,71.845,200
1016,71.84,71.84,71.84,71.84,100
1019,71.85,71.85,71.85,71.85,200
1021,71.84,71.84,71.84,71.84,100
1022,71.82,71.82,71.82,71.82,100
1027,71.85,71.85,71.85,71.85,100
1032,71.86,71.86,71.86,71.86,100
1033,71.86,71.86,71.86,71.86,100
1035,71.93,71.93,71.93,71.93,100
1037,71.89,71.89,71.89,71.89,100
1038,71.84,71.84,71.84,71.84,100
1040,71.865,71.865,71.865,71.865,100
1044,71.86,71.86,71.86,71.86,100
1047,71.82,71.82,71.82,71.82,100
1049,71.85,71.85,71.85,71.85,100
1050,71.86,71.86,71.74,71.74,800
1052,71.84,71.84,71.84,71.84,100
1053,71.87,71.89,71.87,71.89,200
1056,71.82,71.86,71.82,71.86,200
110,71.75,71.75,71.75,71.75,100
1110,71.79,71.79,71.79,71.79,100
1114,71.73,71.73,71.73,71.73,100
1115,71.8,71.8,71.8,71.8,100
1118,71.83,71.83,71.83,71.83,100
1119,71.83,71.84,71.83,71.84,200
1126,71.82,71.82,71.82,71.82,100
1130,71.79,71.79,71.79,71.79,100
1131,71.81,71.81,71.81,71.81,100
1138,71.75,71.86,71.75,71.86,300
1142,71.82,71.82,71.82,71.82,100
1143,71.86,71.86,71.8,71.8,200
1144,71.83,71.83,71.83,71.83,100
1148,71.86,71.86,71.86,71.86,100
1152,71.87,71.87,71.87,71.87,200
1153,71.86,71.86,71.86,71.86,100
1154,71.75,71.75,71.75,71.75,100
1157,71.87,71.87,71.87,71.87,100
1158,71.86,71.87,71.86,71.87,200
120,71.79,71.79,71.79,71.79,100
128,71.87,71.87,71.87,71.87,100
1214,71.85,71.85,71.85,71.85,100
1216,71.87,71.87,71.87,71.87,100
1217,71.88,71.88,71.88,71.88,100
931,73.16,73.16,72.515,72.515,1100
936,72.2,72.2,72.2,72.2,100
941,72.185,72.185,72.185,72.185,100
942,72.15,72.15,72.15,72.15,100
945,72.29,72.29,72.29,72.29,100
959,72.83,72.83,72.83,72.83,209
104,72.895,72.895,72.895,72.895,103
1120,73.275,73.275,73.275,73.275,100
1125,73.225,73.225,73.225,73.225,100
1137,73.14,73.14,73.14,73.14,100
1138,73.16,73.16,73.16,73.16,100
1143,73.045,73.045,73.045,73.045,100
1144,73.015,73.015,73.015,73.015,110
1145,73.11,73.11,73.11,73.11,105
1150,73.11,73.11,73.11,73.11,100
129,73.215,73.215,73.19,73.19,400
1224,73.141,73.141,73.09,73.09,500
1234,73.165,73.165,73.165,73.165,100
1239,73.135,73.135,73.135,73.135,100
1244,73.12,73.12,73.12,73.12,105
1250,73.085,73.085,73.085,73.085,305
1258,73.23,73.23,73.23,73.23,100
135,73.08,73.08,73.08,73.08,100
1312,73.095,73.095,73.095,73.095,100
1321,73.1,73.1,73.1,73.1,100
1344,73.07,73.07,73.07,73.07,100
1352,73.05,73.05,73.05,73.05,100
1353,73.05,73.05,73.05,73.05,100
1354,73.045,73.045,73.045,73.045,100
1356,73.025,73.025,73.025,73.025,105
145,73.04,73.04,73.04,73.04,100
1424,73.02,73.02,73.01,73.01,301
1427,72.97,72.97,72.97,72.97,200
1439,72.95,72.95,72.95,72.95,200
1446,72.93,72.93,72.93,72.93,251
1458,73.1,73.1,73.1,73.1,100
153,73.18,73.18,73.18,73.18,112
1520,73.18,73.18,73.18,73.18,110
1521,73.165,73.165,73.165,73.165,102
1522,73.19,73.19,73.19,73.19,100
1523,73.175,73.175,73.175,73.175,100
1526,73.205,73.205,73.205,73.205,105
1531,73.22,73.22,73.22,73.22,100
1536,73.01,73.01,73,73,210
1540,72.92,72.92,72.92,72.92,100
1542,72.81,72.81,72.81,72.81,190
1544,72.81,72.825,72.81,72.825,253
1547,72.845,72.845,72.845,72.845,230
1550,72.99,72.99,72.935,72.935,310
1552,72.85,72.85,72.8,72.8,425
1553,72.8,72.82,72.8,72.82,323
1554,72.86,72.9,72.86,72.89,435
1556,72.82,72.82,72.82,72.82,163
1557,72.82,72.82,72.82,72.82,200
1558,72.83,72.88,72.83,72.87,633
1559,72.86,72.91,72.86,72.91,338
102,72.21,72.21,72.21,72.21,182
1030,72.245,72.245,72.245,72.245,111
1037,72.09,72.09,72.09,72.09,100
1114,72.61,72.61,72.53,72.53,200
1148,72.78,72.78,72.78,72.78,100
1153,72.765,72.765,72.765,72.765,100
121,72.57,72.57,72.57,72.57,100
1210,72.58,72.58,72.58,72.58,100
1218,72.27,72.27,72.27,72.27,106
1236,72.65,72.65,72.65,72.65,145
1237,72.71,72.71,72.71,72.71,107
1250,72.54,72.54,72.54,72.54,100
1254,72.6,72.6,72.6,72.6,100
131,72.61,72.61,72.61,72.61,200
139,72.76,72.76,72.76,72.76,100
1312,72.855,72.855,72.855,72.855,100
1319,72.86,72.86,72.86,72.86,100
1328,72.81,72.81,72.81,72.81,100
1330,72.86,72.86,72.86,72.86,100
1340,72.95,72.95,72.905,72.905,275
1352,72.76,72.76,72.76,72.76,100
1356,72.835,72.835,72.835,72.835,110
1410,72.95,72.95,72.95,72.95,100
1424,72.7,72.7,72.7,72.7,100
1434,72.74,72.74,72.74,72.74,300
1436,72.67,72.67,72.62,72.62,231
1443,72.495,72.495,72.495,72.495,100
1446,72.48,72.48,72.48,72.48,112
1456,72.525,72.525,72.525,72.525,100
1459,72.41,72.41,72.4,72.4,400
150,72.435,72.435,72.435,72.435,100
151,72.435,72.435,72.435,72.435,100
1512,72.395,72.395,72.395,72.395,102
1513,72.435,72.435,72.435,72.435,100
1514,72.44,72.44,72.435,72.435,202
1515,72.46,72.46,72.46,72.46,100
1516,72.46,72.46,72.46,72.46,101
1517,72.44,72.44,72.44,72.44,100
1518,72.45,72.45,72.36,72.36,200
1520,72.41,72.41,72.41,72.41,200
1521,72.325,72.325,72.325,72.325,1380
1522,72.37,72.37,72.37,72.37,100
1524,72.43,72.43,72.43,72.43,300
1525,72.465,72.515,72.465,72.515,302
