time,open,high,low,close,volume
940,24.58,24.58,24.58,24.58,100
1047,24.46,24.46,24.46,24.46,100
110,24.46,24.46,24.46,24.46,106
1221,24.58,24.58,24.58,24.58,200
1529,24.57,24.57,24.57,24.57,100
129,24.575,24.575,24.575,24.575,200
1132,24.64,24.64,24.64,24.64,100
1145,24.64,24.64,24.64,24.64,100
1237,24.48,24.48,24.48,24.48,100
1238,24.48,24.48,24.48,24.48,100
1239,24.48,24.48,24.48,24.48,108
1222,24.43,24.43,24.43,24.43,200
1356,24.49,24.49,24.49,24.49,200
1128,24.43,24.43,24.43,24.43,200
1135,24.43,24.43,24.43,24.43,100
1140,24.43,24.43,24.43,24.43,200
1154,24.43,24.43,24.43,24.43,100
1159,24.43,24.43,24.43,24.43,100
123,24.43,24.43,24.43,24.43,100
1216,24.43,24.43,24.43,24.43,100
1221,24.43,24.43,24.43,24.43,100
1225,24.43,24.43,24.43,24.43,100
1231,24.43,24.43,24.43,24.43,100
1259,24.425,24.425,24.425,24.425,100
1331,24.43,24.43,24.43,24.43,300
141,24.435,24.435,24.435,24.435,300
1425,24.425,24.425,24.425,24.425,300
1441,24.425,24.425,24.425,24.425,400
1451,24.42,24.42,24.42,24.42,100
1511,24.405,24.405,24.405,24.405,400
1521,24.405,24.405,24.405,24.405,100
1531,24.39,24.39,24.39,24.39,200
1541,24.39,24.39,24.39,24.39,400
1551,24.39,24.39,24.39,24.39,300
1543,24.56,24.56,24.56,24.56,1000
1351,24.58,24.58,24.58,24.58,216
157,24.62,24.62,24.62,24.62,100
944,24.62,24.62,24.62,24.62,100
100,24.63,24.63,24.63,24.63,100
1019,24.63,24.63,24.63,24.63,100
1039,24.62,24.62,24.62,24.62,100
111,24.61,24.61,24.61,24.61,100
1124,24.62,24.62,24.62,24.62,100
1219,24.62,24.62,24.62,24.62,100
1250,24.62,24.62,24.62,24.62,100
1354,24.62,24.62,24.62,24.62,100
1421,24.62,24.62,24.62,24.62,100
1447,24.62,24.62,24.62,24.62,150
1046,24.58,24.58,24.58,24.58,100
1239,24.58,24.58,24.58,24.58,100
1449,24.57,24.57,24.57,24.57,100
944,24.495,24.495,24.495,24.495,200
1450,24.42,24.42,24.42,24.42,2900
1459,24.5,24.5,24.5,24.5,200
150,24.5,24.5,24.5,24.5,410
1320,24.49,24.49,24.49,24.49,100
144,24.49,24.49,24.49,24.49,100
1524,24.49,24.49,24.49,24.49,200
110,24.5,24.52,24.5,24.5,322
1032,24.54,24.54,24.54,24.54,400
1012,24.69,24.69,24.69,24.69,1000
1524,24.58,24.58,24.58,24.58,100
1521,24.6,24.6,24.6,24.6,106
110,24.59,24.59,24.59,24.59,330
1030,24.58,24.58,24.58,24.58,231
1559,24.48,24.48,24.48,24.48,117
1457,24.41,24.41,24.41,24.41,500
1348,24.33,24.33,24.33,24.33,139
929,24.25,24.25,24.25,24.25,175
1557,24.39,24.39,24.39,24.39,546
1023,24.71,24.71,24.71,24.71,100
1424,24.62,24.62,24.61,24.61,876
1510,24.5,24.5,24.5,24.5,100
111,24.64,24.64,24.64,24.64,275
1559,24.63,24.63,24.63,24.63,200
1439,24.46,24.46,24.46,24.46,317
953,24.53,24.53,24.53,24.53,111
1029,24.455,24.455,24.455,24.455,100
956,24.36,24.36,24.36,24.36,100
1247,24.38,24.38,24.38,24.38,539
1033,24.58,24.58,24.58,24.58,100
1454,24.62,24.62,24.62,24.62,200
1525,24.65,24.65,24.65,24.65,200
1118,24.65,24.65,24.65,24.65,100
1420,24.63,24.63,24.63,24.63,100
1523,24.63,24.63,24.63,24.63,100
1559,24.63,24.63,24.63,24.63,100
933,24.6,24.6,24.6,24.6,385
1121,24.6,24.6,24.59,24.6,325
1158,24.6,24.6,24.6,24.6,100
950,24.64,24.64,24.64,24.64,100
1039,24.61,24.61,24.61,24.61,200
