time,open,high,low,close,volume
1536,3.395,3.395,3.395,3.395,355
1545,3.395,3.395,3.395,3.395,100
1548,3.425,3.425,3.425,3.425,100
1552,3.425,3.425,3.425,3.425,115
1553,3.43,3.43,3.43,3.43,130
1558,3.49,3.49,3.49,3.49,100
945,3.61,3.61,3.61,3.61,200
1017,3.575,3.575,3.575,3.575,400
1042,3.655,3.655,3.655,3.655,400
1048,3.685,3.685,3.685,3.685,200
1056,3.675,3.675,3.675,3.675,200
110,3.675,3.675,3.675,3.675,200
1113,3.55,3.55,3.55,3.55,200
1159,3.585,3.585,3.585,3.585,200
123,3.585,3.585,3.585,3.585,200
1255,3.57,3.57,3.57,3.57,200
1326,3.565,3.565,3.565,3.565,200
1330,3.565,3.565,3.565,3.565,200
1411,3.36,3.36,3.36,3.36,506
1417,3.31,3.31,3.31,3.31,400
1418,3.34,3.34,3.34,3.34,200
1429,3.32,3.32,3.32,3.32,716
1443,3.255,3.255,3.255,3.255,758
1450,3.27,3.27,3.27,3.27,4000
1454,3.25,3.25,3.25,3.25,380
158,3.24,3.24,3.24,3.24,768
1524,3.22,3.22,3.22,3.22,716
1531,3.18,3.18,3.18,3.18,600
1537,3.135,3.135,3.135,3.135,400
1538,3.115,3.12,3.115,3.12,4560
1539,3.03,3.03,3.03,3.03,800
1541,3.02,3.06,3.02,3.06,5400
1547,3.155,3.155,3.155,3.155,200
1550,3.18,3.18,3.18,3.18,200
1554,3.115,3.115,3.115,3.115,200
1556,3.08,3.08,3.08,3.08,200
1032,3.415,3.415,3.415,3.415,100
1126,3.31,3.31,3.31,3.31,500
104,3.28,3.28,3.28,3.28,100
1025,3.25,3.25,3.25,3.25,200
1028,3.24,3.24,3.24,3.24,441
1034,3.225,3.225,3.225,3.225,200
1151,3.22,3.22,3.22,3.22,100
1241,3.305,3.305,3.305,3.305,100
1246,3.305,3.305,3.305,3.305,100
1344,3.25,3.25,3.25,3.25,100
143,3.235,3.235,3.235,3.235,100
149,3.22,3.22,3.22,3.22,100
1450,3.22,3.22,3.22,3.22,100
1514,3.22,3.22,3.22,3.22,100
1518,3.22,3.22,3.22,3.22,100
1552,3.22,3.22,3.22,3.22,100
1553,3.22,3.22,3.22,3.22,108
1558,3.29,3.35,3.29,3.35,258
1559,3.44,3.44,3.44,3.44,100
938,3.29,3.29,3.29,3.29,200
946,3.29,3.29,3.29,3.29,200
1251,3.17,3.17,3.17,3.17,200
1257,3.17,3.17,3.17,3.17,400
131,3.17,3.17,3.17,3.17,400
132,3.16,3.16,3.16,3.16,200
1412,3.125,3.125,3.125,3.125,400
155,3.14,3.14,3.14,3.14,400
