time,open,high,low,close,volume
1532,25.92,25.92,25.92,25.92,200
1540,25.91,25.91,25.91,25.91,200
1541,25.91,25.91,25.91,25.91,200
1542,25.9,25.9,25.9,25.9,200
1545,25.89,25.89,25.89,25.89,200
1546,25.89,25.89,25.89,25.89,400
1548,25.86,25.86,25.86,25.86,200
1551,25.81,25.81,25.8,25.8,828
1555,25.81,25.81,25.81,25.81,400
1557,25.78,25.78,25.77,25.77,1000
1558,25.765,25.765,25.765,25.765,508
1559,25.765,25.77,25.765,25.77,914
933,25.92,25.92,25.92,25.92,200
934,25.97,25.97,25.97,25.97,200
935,25.96,25.96,25.91,25.91,400
944,25.95,25.95,25.95,25.95,200
945,25.95,25.95,25.95,25.95,600
946,25.96,25.965,25.96,25.965,800
105,25.84,25.84,25.84,25.84,400
1020,25.87,25.87,25.87,25.87,200
1131,25.89,25.89,25.89,25.89,200
1133,25.92,25.92,25.92,25.92,200
1135,25.89,25.89,25.89,25.89,200
1138,25.88,25.88,25.88,25.88,200
1149,25.91,25.91,25.91,25.91,600
1156,25.92,25.92,25.92,25.92,200
122,25.96,25.96,25.96,25.96,400
1215,25.96,25.96,25.96,25.96,1260
1218,25.97,25.97,25.97,25.97,200
131,25.985,25.985,25.985,25.985,800
136,25.99,25.99,25.99,25.99,200
138,25.95,25.95,25.95,25.95,400
1322,26.01,26.01,26.01,26.01,200
1438,25.95,25.95,25.95,25.95,200
1439,25.97,25.97,25.97,25.97,200
1443,25.99,25.99,25.99,25.99,600
150,26.02,26.02,26.02,26.02,200
156,26,26,26,26,400
158,26.04,26.04,26.04,26.04,200
1518,26.06,26.06,26.06,26.06,200
1529,26.12,26.12,26.12,26.12,200
1548,26.13,26.13,26.13,26.13,200
1549,26.13,26.13,26.13,26.13,200
1550,26.13,26.13,26.13,26.13,200
1552,26.1,26.1,26.1,26.1,1108
1554,26.12,26.12,26.12,26.12,600
1555,26.12,26.12,26.12,26.12,200
1556,26.12,26.12,26.12,26.12,400
1559,26.175,26.175,26.175,26.175,318
944,25.99,25.99,25.99,25.99,200
945,26.01,26.01,26.01,26.01,200
955,25.88,25.88,25.88,25.88,200
104,25.91,25.91,25.91,25.91,504
111,25.92,25.92,25.92,25.92,3400
1120,26.07,26.07,26.07,26.07,200
1133,26.03,26.03,26.03,26.03,1576
1142,26.08,26.08,26.08,26.08,200
1143,26.07,26.07,26.07,26.07,200
1151,26.08,26.08,26.08,26.08,200
1158,26.07,26.07,26.07,26.07,200
1159,26.07,26.07,26.07,26.07,200
126,26.03,26.04,26.03,26.04,400
1212,26.03,26.03,26.03,26.03,200
1216,26.08,26.09,26.08,26.09,1100
1224,26.1,26.1,26.1,26.1,400
1230,26.12,26.12,26.12,26.12,200
1245,26.14,26.16,26.14,26.16,400
