time,open,high,low,close,volume
1225,26.23,26.24,26.23,26.24,600
1226,26.24,26.24,26.24,26.24,200
1230,26.23,26.23,26.23,26.23,200
1231,26.2,26.21,26.2,26.21,600
1232,26.19,26.2,26.18,26.2,1000
1234,26.2,26.21,26.2,26.21,400
1235,26.23,26.23,26.23,26.23,200
1241,26.1,26.1,26.1,26.1,200
1242,26.11,26.11,26.11,26.11,300
1244,26.07,26.07,26.07,26.07,200
1245,26.09,26.09,26.09,26.09,200
1249,26.02,26.02,26.02,26.02,200
1250,26.02,26.03,26.02,26.03,400
1253,25.94,25.94,25.94,25.94,400
1255,25.89,25.89,25.85,25.87,600
1256,25.89,25.91,25.89,25.91,400
1258,25.75,25.77,25.75,25.77,600
130,25.76,25.8,25.76,25.8,632
131,25.83,25.86,25.83,25.86,400
138,25.591,25.64,25.5,25.5,3000
139,25.55,25.6,25.55,25.58,800
1310,25.49,25.49,25.47,25.49,600
1311,25.5,25.5,25.5,25.5,200
1314,25.46,25.46,25.46,25.46,200
1315,25.38,25.38,25.371,25.371,2400
1316,25.28,25.28,25.24,25.27,1800
1317,25.19,25.19,25.04,25.04,2400
1318,25.15,25.25,25.15,25.25,3400
1319,25.21,25.24,25.15,25.24,2216
1320,25.29,25.3,25.29,25.3,404
1321,25.31,25.41,25.31,25.41,400
1322,25.39,25.45,25.39,25.43,1000
1323,25.31,25.31,25.18,25.18,600
1324,25.21,25.26,25.08,25.129,7192
1325,25.14,25.2,25.14,25.2,400
1326,25.26,25.26,25.26,25.26,2000
1331,25.33,25.33,25.33,25.33,200
1332,25.36,25.36,25.36,25.36,800
1335,25.35,25.35,25.32,25.32,400
1336,25.32,25.33,25.29,25.29,600
1337,25.31,25.31,25.31,25.31,200
1338,25.25,25.25,25.25,25.25,400
1341,25.28,25.28,25.24,25.24,600
1342,25.21,25.21,25.17,25.17,540
1343,25.17,25.21,25.17,25.21,600
1345,25.2,25.21,25.2,25.21,400
1348,25.18,25.19,25.18,25.19,400
1349,25.19,25.19,25.18,25.19,800
1351,25.04,25.07,25.04,25.07,400
1352,24.83,24.87,24.83,24.87,400
1353,24.655,24.68,24.655,24.68,1000
1354,24.77,24.81,24.77,24.81,682
1355,24.71,24.71,24.71,24.71,200
1356,24.59,24.6,24.4,24.54,5200
1357,24.56,24.58,24.56,24.58,408
1358,24.641,24.71,24.641,24.71,6400
1359,24.52,24.61,24.52,24.61,800
141,24.381,24.5,24.381,24.42,3400
142,24.39,24.39,24.39,24.39,200
143,24.46,24.46,24.46,24.46,600
144,24.46,24.46,24.46,24.46,360
145,24.59,24.59,24.59,24.59,200
146,24.73,24.73,24.675,24.675,2650
147,24.68,24.721,24.68,24.721,8600
148,24.79,24.79,24.79,24.79,412
1411,24.621,24.621,24.62,24.621,1700
1414,24.48,24.511,24.48,24.511,1400
1415,24.59,24.63,24.59,24.63,1000
1416,24.601,24.68,24.601,24.68,1400
1417,24.641,24.641,24.641,24.641,360
1418,24.651,24.651,24.64,24.65,2800
1421,24.641,24.641,24.641,24.641,2000
1424,24.56,24.56,24.47,24.51,1200
1425,24.49,24.49,24.49,24.49,200
1426,24.4,24.4,24.4,24.4,400
1427,24.35,24.38,24.31,24.38,800
1428,24.3,24.3,24.3,24.3,2210
1429,24.17,24.171,24.09,24.09,1200
1430,24.17,24.17,24,24,3100
1431,24,24.12,24,24.12,606
1432,24.2,24.34,24.16,24.29,800
1433,24.29,24.29,24.25,24.25,880
1434,24.361,24.361,24.361,24.361,1600
1436,24.24,24.24,24.22,24.22,400
1437,24.2,24.2,24.2,24.2,200
1440,24.42,24.42,24.42,24.42,600
1441,24.44,24.56,24.44,24.53,3850
1442,24.51,24.51,24.51,24.51,300
1445,24.4,24.41,24.38,24.4,1000
1446,24.5,24.5,24.5,24.5,200
1448,24.475,24.475,24.475,24.475,1200
1451,24.5,24.5,24.46,24.46,600
1454,24.53,24.58,24.53,24.58,1200
1458,24.58,24.68,24.58,24.63,1400
1459,24.69,24.69,24.64,24.64,1338
150,24.71,24.71,24.71,24.71,200
152,24.64,24.64,24.64,24.64,200
153,24.62,24.66,24.62,24.66,400
154,24.66,24.66,24.66,24.66,200
156,24.65,24.65,24.63,24.63,800
157,24.56,24.61,24.56,24.6,800
159,24.52,24.52,24.52,24.52,200
1510,24.57,24.57,24.57,24.57,200
1512,24.69,24.69,24.69,24.69,200
1513,24.67,24.67,24.67,24.67,300
1514,24.66,24.66,24.66,24.66,448
1516,24.74,24.74,24.74,24.74,200
1520,24.51,24.51,24.51,24.51,200
1521,24.52,24.52,24.52,24.52,200
1522,24.41,24.41,24.3,24.3,1000
1523,24.3,24.3,24.3,24.3,1200
1525,24.38,24.38,24.38,24.38,256
1526,24.41,24.41,24.381,24.381,600
1527,24.45,24.45,24.45,24.45,434
1529,24.48,24.48,24.48,24.48,200
1531,24.39,24.39,24.38,24.38,400
1532,24.4,24.4,24.4,24.4,200
1533,24.4,24.4,24.36,24.36,400
1534,24.31,24.31,24.31,24.31,350
1535,24.16,24.16,24.16,24.16,200
1542,24.37,24.37,24.37,24.37,200
1544,24.39,24.39,24.39,24.39,400
1545,24.43,24.43,24.43,24.43,340
1549,24.36,24.36,24.36,24.36,200
1550,24.38,24.38,24.38,24.38,200
1551,24.37,24.37,24.32,24.32,600
1553,24.25,24.25,24.19,24.19,1200
1554,24.21,24.23,24.21,24.23,800
1555,24.23,24.24,24.23,24.24,400
1557,24.3,24.3,24.3,24.3,200
1558,24.22,24.22,24.22,24.22,518
1627,23.99,23.99,23.99,23.99,200
754,24.58,24.58,24.58,24.58,400
81,24.43,24.43,24.43,24.43,1000
823,24.37,24.37,24.37,24.37,200
843,24.56,24.56,24.56,24.56,200
95,24.85,24.85,24.85,24.85,200
96,24.91,24.91,24.91,24.91,200
98,24.78,24.78,24.78,24.78,400
99,24.81,24.81,24.81,24.81,200
930,25.05,25.05,25.05,25.05,200
932,25.05,25.05,25.05,25.05,460
933,25.04,25.04,24.99,24.99,600
934,25,25,24.9,24.9,900
938,24.84,24.84,24.84,24.84,500
940,24.87,24.89,24.86,24.89,800
942,24.87,24.94,24.85,24.94,1050
943,24.96,24.96,24.96,24.96,200
945,24.96,24.96,24.94,24.94,600
946,24.85,24.85,24.82,24.82,400
947,24.85,24.85,24.7,24.7,600
948,24.74,24.75,24.74,24.75,506
949,24.76,24.79,24.75,24.76,1400
950,24.7,24.76,24.7,24.76,3396
951,24.79,24.82,24.79,24.81,1200
100,24.76,24.76,24.76,24.76,200
101,24.82,24.82,24.79,24.79,400
103,24.75,24.75,24.75,24.75,200
106,24.59,24.59,24.54,24.57,800
107,24.59,24.59,24.55,24.58,1000
108,24.6,24.64,24.6,24.63,800
109,24.64,24.64,24.5,24.52,1490
1010,24.54,24.56,24.54,24.56,1060
1011,24.55,24.6,24.55,24.6,800
1012,24.59,24.59,24.58,24.59,4400
1013,24.635,24.635,24.61,24.61,600
1014,24.67,24.67,24.67,24.67,200
1015,24.7,24.7,24.7,24.7,800
1016,24.7,24.7,24.69,24.69,400
1017,24.66,24.67,24.66,24.67,600
1018,24.72,24.74,24.72,24.73,600
1020,24.73,24.76,24.73,24.76,600
1022,24.79,24.83,24.79,24.83,706
1028,24.9,24.9,24.89,24.89,400
1029,24.94,24.94,24.93,24.93,4400
1030,24.94,24.95,24.94,24.94,2800
1031,24.95,24.99,24.95,24.99,800
1032,25.001,25.001,25.001,25.001,1120
1033,24.99,24.99,24.99,24.99,200
1034,24.94,24.965,24.94,24.965,800
1037,24.83,24.89,24.83,24.869,1200
1038,24.89,24.89,24.89,24.89,200
1041,24.95,24.95,24.95,24.95,200
1051,24.92,24.92,24.92,24.92,400
1052,24.94,24.94,24.94,24.94,400
1055,24.99,24.99,24.98,24.98,400
1056,25.02,25.06,25.02,25.04,600
1057,25.04,25.04,25.04,25.04,200
111,25.04,25.04,25.01,25.01,1000
112,25.03,25.03,25.03,25.03,200
113,25.03,25.03,25.03,25.03,200
114,25.06,25.06,25.04,25.04,600
115,25.04,25.04,25.04,25.04,200
117,25.03,25.06,25.03,25.06,400
118,25.03,25.03,25.02,25.02,410
1110,25.06,25.06,25.05,25.05,400
1114,25.03,25.03,24.94,24.94,600
1115,24.96,24.96,24.96,24.96,200
1116,24.98,24.98,24.94,24.949,2200
1117,24.94,24.94,24.94,24.94,200
1118,24.92,24.92,24.92,24.92,200
1119,24.94,24.96,24.94,24.96,600
1120,24.96,24.96,24.96,24.96,200
1123,24.89,24.89,24.87,24.87,700
1124,24.87,24.89,24.87,24.88,3200
1125,24.91,24.91,24.9,24.9,600
1127,24.91,24.93,24.91,24.93,400
1129,24.92,24.92,24.92,24.92,200
1130,24.92,24.93,24.92,24.93,400
1132,24.95,24.95,24.95,24.95,200
1133,24.99,24.99,24.99,24.99,200
1135,24.98,24.98,24.98,24.98,600
1145,24.98,24.98,24.98,24.98,300
1146,25.01,25.01,25,25,400
1147,25,25.01,25,25.01,600
1149,24.99,24.99,24.99,24.99,200
1151,25.03,25.03,25.03,25.03,600
1152,25.04,25.04,25.04,25.04,200
1153,25.05,25.05,25.05,25.05,200
1157,25.02,25.02,25.02,25.02,200
1159,25.03,25.03,25.03,25.03,200
120,25.04,25.04,25.04,25.04,200
122,25.1,25.1,25.1,25.1,200
123,25.09,25.09,25.08,25.09,1400
124,25.13,25.17,25.13,25.17,600
125,25.15,25.15,25.13,25.15,600
126,25.16,25.16,25.16,25.16,200
127,25.19,25.19,25.19,25.19,200
128,25.23,25.23,25.23,25.23,400
129,25.24,25.24,25.24,25.24,400
1210,25.25,25.25,25.25,25.25,400
1211,25.3,25.3,25.24,25.24,400
1212,25.15,25.16,25.14,25.16,1000
1213,25.17,25.17,25.17,25.17,600
1217,25.19,25.19,25.18,25.18,400
1218,25.21,25.22,25.21,25.22,400
1219,25.17,25.17,25.14,25.14,600
1220,25.07,25.1,25.07,25.1,800
1224,25.14,25.14,25.14,25.14,200
1225,25.13,25.14,25.13,25.14,700
1226,25.18,25.18,25.17,25.17,800
1231,25.23,25.23,25.23,25.23,400
1238,25.22,25.22,25.22,25.22,200
1239,25.22,25.24,25.22,25.24,400
1242,25.21,25.24,25.21,25.24,800
1243,25.27,25.32,25.27,25.32,520
1244,25.33,25.33,25.33,25.33,200
1245,25.32,25.32,25.32,25.32,200
1247,25.35,25.35,25.35,25.35,400
1252,25.31,25.31,25.31,25.31,200
1255,25.36,25.36,25.36,25.36,200
1257,25.315,25.315,25.315,25.315,200
1259,25.23,25.23,25.23,25.23,200
131,25.26,25.26,25.255,25.26,2200
132,25.3,25.3,25.3,25.3,200
133,25.32,25.32,25.32,25.32,200
135,25.28,25.28,25.28,25.28,400
138,25.24,25.24,25.22,25.23,2000
139,25.2,25.2,25.18,25.18,600
1310,25.14,25.14,25.14,25.14,200
1312,25.22,25.22,25.22,25.22,200
1315,25.23,25.23,25.23,25.23,400
1317,25.24,25.24,25.24,25.24,200
1319,25.12,25.12,25.12,25.12,200
1322,25.14,25.14,25.14,25.14,200
1323,25.11,25.11,25.11,25.11,400
1324,25.08,25.08,25.08,25.08,300
1325,25.1,25.1,25.03,25.03,600
1326,24.99,24.99,24.98,24.98,1002
1329,25.01,25.01,25.01,25.01,200
1333,25.08,25.08,25.05,25.05,600
1338,24.92,24.93,24.905,24.905,2200
1339,24.96,24.96,24.96,24.96,200
1340,24.97,24.97,24.97,24.97,200
1342,24.98,24.98,24.98,24.98,200
1345,24.98,24.98,24.98,24.98,200
1346,25,25,25,25,200
1349,24.99,24.99,24.99,24.99,200
1351,25,25,25,25,200
1353,25.04,25.04,25.04,25.04,200
1356,25.07,25.07,25.07,25.07,200
140,25.05,25.05,25.05,25.05,900
142,25.06,25.06,25.06,25.06,400
143,25.07,25.07,25.07,25.07,400
145,25.11,25.13,25.11,25.13,600
146,25.13,25.13,25.13,25.13,400
147,25.13,25.13,25.13,25.13,200
1413,25.09,25.09,25.09,25.09,200
1417,25.05,25.05,25.03,25.03,734
1420,25.05,25.05,25.05,25.05,200
1422,25.09,25.09,25.09,25.09,200
1425,25.03,25.03,25.03,25.03,200
1433,25.01,25.01,25.01,25.01,200
1435,25,25,25,25,200
1436,25.01,25.01,25.01,25.01,200
1437,24.95,24.95,24.95,24.95,200
1439,24.99,24.99,24.99,24.99,200
1447,24.97,24.97,24.96,24.96,2000
1448,24.97,24.97,24.96,24.96,800
1451,24.91,24.91,24.91,24.91,200
1452,24.87,24.87,24.87,24.87,200
1453,24.81,24.81,24.77,24.77,2268
1454,24.76,24.76,24.76,24.76,600
1455,24.82,24.82,24.82,24.82,200
1456,24.83,24.83,24.72,24.72,800
1457,24.7,24.7,24.7,24.7,200
1458,24.75,24.75,24.75,24.75,400
1459,24.75,24.75,24.75,24.75,400
151,24.8,24.8,24.79,24.79,400
152,24.815,24.815,24.815,24.815,400
153,24.82,24.82,24.82,24.82,200
156,24.75,24.75,24.75,24.75,200
157,24.75,24.75,24.75,24.75,200
1510,24.75,24.75,24.75,24.75,400
1511,24.73,24.73,24.73,24.73,200
1512,24.74,24.74,24.74,24.74,200
1514,24.81,24.811,24.81,24.81,1402
1515,24.77,24.77,24.77,24.77,200
1516,24.78,24.78,24.78,24.78,400
1519,24.68,24.68,24.68,24.68,200
1520,24.68,24.68,24.68,24.68,200
1521,24.62,24.62,24.59,24.59,400
1523,24.555,24.56,24.46,24.55,2400
1528,24.64,24.64,24.64,24.64,200
1531,24.54,24.54,24.54,24.54,400
1532,24.58,24.58,24.56,24.56,400
1535,24.64,24.64,24.64,24.64,200
1538,24.6,24.6,24.57,24.57,400
1540,24.55,24.55,24.55,24.55,220
1543,24.62,24.62,24.58,24.58,602
1544,24.59,24.59,24.58,24.58,600
1548,24.5,24.5,24.5,24.5,500
1549,24.52,24.54,24.52,24.54,400
1550,24.55,24.55,24.55,24.55,200
1551,24.57,24.57,24.57,24.57,200
1557,24.47,24.47,24.47,24.47,800
1558,24.41,24.41,24.41,24.41,200
1559,24.4,24.4,24.36,24.36,2424
81,25.34,25.34,25.34,25.34,200
82,25.4,25.4,25.39,25.39,2400
814,25.43,25.43,25.43,25.43,200
828,25.31,25.31,25.31,25.31,600
830,25.24,25.24,25.24,25.24,200
841,25.38,25.38,25.38,25.38,800
91,25.49,25.49,25.49,25.49,200
