time,open,high,low,close,volume
1024,49.04,49.04,49.04,49.04,400
1027,49.08,49.08,49.08,49.08,200
1029,49.08,49.09,49.08,49.09,800
1030,49.09,49.09,49.09,49.09,200
1032,49.04,49.04,49.04,49.04,202
1035,49.04,49.04,49.04,49.04,400
1037,49.05,49.05,49.05,49.05,404
1042,49.12,49.12,49.12,49.12,400
1043,49.12,49.125,49.12,49.125,600
1044,49.14,49.14,49.14,49.14,600
1048,49.15,49.15,49.15,49.15,400
1049,49.11,49.11,49.11,49.11,200
1050,49.12,49.13,49.1,49.1,2400
1052,49.1,49.1,49.09,49.09,826
1053,49.12,49.12,49.12,49.12,400
1054,49.13,49.14,49.13,49.14,400
1055,49.12,49.12,49.12,49.12,400
1058,49.17,49.17,49.17,49.17,800
112,49.22,49.22,49.22,49.22,400
114,49.21,49.21,49.21,49.21,508
116,49.225,49.225,49.21,49.22,5000
1110,49.27,49.27,49.27,49.27,400
1112,49.27,49.27,49.27,49.27,400
1113,49.27,49.27,49.27,49.27,1156
1114,49.28,49.28,49.28,49.28,400
1115,49.28,49.28,49.28,49.28,400
1116,49.27,49.27,49.27,49.27,800
1120,49.27,49.27,49.27,49.27,400
1123,49.31,49.31,49.31,49.31,800
1124,49.295,49.3,49.295,49.3,1200
1128,49.32,49.32,49.31,49.31,606
1133,49.261,49.261,49.26,49.26,7068
1134,49.261,49.261,49.251,49.251,3406
1135,49.29,49.29,49.29,49.29,400
1136,49.29,49.29,49.29,49.29,546
1137,49.28,49.281,49.28,49.281,1124
1139,49.25,49.25,49.25,49.25,1200
1140,49.26,49.261,49.26,49.261,3998
1143,49.241,49.241,49.231,49.231,18630
1144,49.23,49.23,49.23,49.23,600
1145,49.24,49.24,49.23,49.23,1312
1147,49.23,49.23,49.23,49.23,600
1149,49.24,49.24,49.231,49.231,6590
1157,49.17,49.17,49.17,49.17,400
122,49.2,49.2,49.2,49.2,3000
123,49.19,49.19,49.17,49.18,1600
124,49.18,49.18,49.18,49.18,400
127,49.21,49.21,49.21,49.21,400
1211,49.25,49.25,49.25,49.25,800
1212,49.24,49.24,49.24,49.24,400
1213,49.25,49.25,49.25,49.25,2002
1214,49.25,49.25,49.25,49.25,400
1218,49.291,49.3,49.291,49.291,3468
1219,49.31,49.31,49.31,49.31,834
1221,49.28,49.28,49.28,49.28,400
1222,49.33,49.33,49.33,49.33,622
1224,49.34,49.34,49.34,49.34,524
1227,49.33,49.33,49.33,49.33,406
1230,49.32,49.32,49.311,49.311,608
1233,49.31,49.31,49.31,49.31,1200
1241,49.33,49.33,49.33,49.33,200
1250,49.345,49.345,49.345,49.345,200
1252,49.345,49.345,49.345,49.345,200
1254,49.335,49.335,49.335,49.335,400
1256,49.315,49.315,49.315,49.315,200
1257,49.3,49.3,49.3,49.3,274
131,49.315,49.315,49.315,49.315,200
136,49.3,49.3,49.3,49.3,400
1310,49.32,49.32,49.32,49.32,200
1311,49.32,49.32,49.32,49.32,1400
1312,49.31,49.31,49.31,49.31,2200
1314,49.28,49.28,49.28,49.28,3600
1315,49.28,49.28,49.28,49.28,1600
1316,49.26,49.26,49.25,49.26,1600
1317,49.255,49.27,49.25,49.27,800
1320,49.27,49.28,49.27,49.27,3202
1322,49.3,49.3,49.3,49.3,600
1323,49.34,49.35,49.335,49.35,4292
1324,49.37,49.37,49.37,49.37,1200
1325,49.35,49.35,49.35,49.35,400
1326,49.35,49.35,49.35,49.35,4000
1327,49.35,49.35,49.35,49.35,600
1329,49.36,49.36,49.36,49.36,600
1330,49.36,49.36,49.36,49.36,200
1332,49.3,49.31,49.3,49.31,3600
1333,49.31,49.31,49.31,49.31,600
1334,49.3,49.31,49.3,49.31,3000
1335,49.3,49.3,49.3,49.3,1000
1336,49.3,49.3,49.3,49.3,490
1337,49.3,49.3,49.295,49.295,800
1338,49.31,49.32,49.31,49.32,2802
1339,49.3,49.31,49.3,49.31,3600
1340,49.27,49.28,49.27,49.28,1412
1342,49.275,49.28,49.27,49.28,2200
1343,49.295,49.295,49.295,49.295,200
1344,49.28,49.28,49.27,49.27,5200
1345,49.28,49.3,49.28,49.29,4200
1346,49.29,49.29,49.28,49.29,3600
1347,49.29,49.29,49.29,49.29,600
1348,49.245,49.245,49.245,49.245,200
1350,49.235,49.24,49.235,49.24,1400
1351,49.24,49.25,49.24,49.25,3600
1352,49.25,49.26,49.25,49.25,2800
1353,49.27,49.28,49.27,49.27,5924
1354,49.28,49.28,49.28,49.28,600
1355,49.275,49.275,49.275,49.275,614
1356,49.26,49.28,49.26,49.28,7144
1357,49.29,49.3,49.29,49.3,3600
1358,49.32,49.32,49.315,49.315,1000
1359,49.31,49.31,49.305,49.305,2200
140,49.31,49.315,49.31,49.31,3700
144,49.3,49.305,49.3,49.305,2346
149,49.315,49.315,49.315,49.315,400
1412,49.3,49.31,49.29,49.29,8000
1413,49.27,49.275,49.26,49.26,5448
1414,49.23,49.235,49.22,49.225,11100
1415,49.2,49.205,49.2,49.2,1600
1416,49.17,49.17,49.17,49.17,600
1417,49.155,49.19,49.15,49.19,9228
1418,49.2,49.21,49.2,49.21,1484
1419,49.21,49.22,49.21,49.21,4402
1420,49.17,49.17,49.17,49.17,1252
1421,49.19,49.2,49.19,49.2,2808
1422,49.21,49.21,49.2,49.21,3000
1423,49.19,49.2,49.18,49.18,8348
1424,49.185,49.185,49.185,49.185,200
1425,49.16,49.16,49.16,49.16,1200
1426,49.14,49.16,49.14,49.16,5200
1427,49.165,49.165,49.15,49.15,3410
1428,49.12,49.12,49.11,49.11,1804
1429,49.13,49.13,49.12,49.12,1408
1430,49.11,49.12,49.08,49.08,9000
1431,49.07,49.08,49.06,49.07,6100
1432,49.1,49.1,49.1,49.1,1200
1434,49.13,49.14,49.13,49.14,8422
1435,49.15,49.15,49.13,49.14,2768
1436,49.14,49.14,49.09,49.09,5200
1437,49.06,49.07,49.06,49.07,8032
1438,49.08,49.09,49.08,49.09,800
1440,49.09,49.09,49.09,49.09,200
1441,49.13,49.14,49.13,49.14,1400
1442,49.14,49.14,49.12,49.12,3000
1443,49.12,49.16,49.12,49.16,6746
1444,49.15,49.15,49.15,49.15,1200
1445,49.11,49.12,49.09,49.1,11200
1446,49.11,49.12,49.1,49.1,8600
1447,49.11,49.14,49.11,49.14,6100
1449,49.1,49.1,49.1,49.1,800
1451,49.09,49.09,49.09,49.09,994
1452,49.08,49.09,49.06,49.07,5200
1453,49.06,49.11,49.06,49.11,4206
1454,49.14,49.14,49.13,49.13,2000
1455,49.125,49.14,49.125,49.14,3400
1456,49.13,49.135,49.13,49.13,2600
1457,49.12,49.12,49.11,49.12,3200
1458,49.14,49.14,49.13,49.14,2800
1459,49.14,49.15,49.14,49.15,2200
151,49.17,49.17,49.13,49.14,3400
153,49.1,49.1,49.1,49.1,674
154,49.08,49.08,49.05,49.05,1100
155,49.03,49.03,49.03,49.03,2112
157,49.06,49.06,49.06,49.06,600
1511,49.075,49.075,49.07,49.07,1400
1513,49.09,49.11,49.09,49.1,3404
1514,49.08,49.08,49,49,5102
1515,49.01,49.01,48.98,48.98,2400
1516,48.97,48.97,48.93,48.93,3566
1518,48.82,48.82,48.82,48.82,426
1519,48.74,48.74,48.74,48.74,400
1520,48.825,48.825,48.825,48.825,200
1521,48.84,48.84,48.84,48.84,600
1523,48.84,48.84,48.84,48.84,4600
1524,48.81,48.81,48.81,48.81,200
1525,48.79,48.79,48.79,48.79,600
1526,48.855,48.855,48.855,48.855,200
1527,48.89,48.895,48.89,48.89,4000
1528,48.89,48.89,48.89,48.89,800
1529,48.93,48.94,48.93,48.93,10400
1530,48.9,48.9,48.9,48.9,800
1531,48.87,48.87,48.87,48.87,600
1533,48.79,48.79,48.79,48.79,1000
1534,48.73,48.73,48.73,48.73,17098
1536,48.82,48.82,48.82,48.82,600
1538,48.83,48.83,48.76,48.76,5200
1539,48.74,48.75,48.74,48.74,12478
1540,48.83,48.83,48.75,48.76,30792
1541,48.77,48.78,48.77,48.78,4800
1543,48.72,48.72,48.72,48.72,2200
1544,48.72,48.73,48.72,48.73,2600
1545,48.73,48.73,48.71,48.71,600
1546,48.69,48.69,48.69,48.69,400
1548,48.65,48.685,48.64,48.685,10000
1549,48.69,48.69,48.69,48.69,200
1551,48.61,48.61,48.61,48.61,400
1552,48.6,48.6,48.6,48.6,3860
1553,48.51,48.51,48.51,48.51,200
1554,48.57,48.57,48.54,48.54,1000
1555,48.56,48.59,48.56,48.59,1000
1558,48.58,48.58,48.58,48.58,286
1559,48.61,48.61,48.61,48.61,1200
838,49.14,49.14,49.14,49.14,600
933,49.1,49.1,49.1,49.1,200
940,49.06,49.06,49.06,49.06,1914
946,49.03,49.03,49.03,49.03,9004
948,49.1,49.1,49.1,49.1,8400
951,49.11,49.11,49.11,49.11,400
952,49.17,49.17,49.17,49.17,200
953,49.165,49.165,49.165,49.165,216
100,49.28,49.28,49.28,49.28,200
102,49.26,49.26,49.26,49.26,250
104,49.29,49.29,49.29,49.29,200
105,49.28,49.28,49.28,49.28,200
107,49.31,49.31,49.31,49.31,200
109,49.27,49.27,49.27,49.27,200
1014,49.27,49.27,49.26,49.26,400
1017,49.32,49.32,49.32,49.32,202
1018,49.31,49.32,49.3,49.3,800
1019,49.29,49.29,49.29,49.29,200
1020,49.32,49.32,49.32,49.32,200
1022,49.31,49.31,49.31,49.31,210
1026,49.37,49.37,49.37,49.37,400
1027,49.37,49.37,49.37,49.37,400
1030,49.41,49.41,49.41,49.41,200
1031,49.39,49.39,49.39,49.39,200
1032,49.4,49.4,49.4,49.4,200
1034,49.39,49.39,49.39,49.39,274
1036,49.4,49.4,49.4,49.4,200
1037,49.39,49.39,49.39,49.39,200
1038,49.38,49.38,49.38,49.38,200
1039,49.38,49.38,49.37,49.37,1000
1040,49.39,49.39,49.39,49.39,400
1042,49.38,49.38,49.38,49.38,200
1046,49.37,49.37,49.37,49.37,200
1049,49.37,49.37,49.37,49.37,204
1050,49.37,49.37,49.37,49.37,400
1051,49.42,49.42,49.42,49.42,400
1052,49.41,49.41,49.41,49.41,200
1053,49.425,49.425,49.42,49.42,800
1054,49.42,49.44,49.42,49.44,400
1056,49.46,49.46,49.46,49.46,200
112,49.42,49.42,49.42,49.42,210
114,49.42,49.42,49.42,49.42,400
115,49.46,49.46,49.46,49.46,200
116,49.43,49.43,49.43,49.43,200
119,49.42,49.42,49.42,49.42,200
1110,49.43,49.43,49.42,49.42,600
1112,49.41,49.41,49.41,49.41,600
1114,49.42,49.42,49.4,49.4,400
1115,49.42,49.42,49.42,49.42,200
1116,49.41,49.41,49.41,49.41,1000
1118,49.42,49.42,49.42,49.42,200
1121,49.46,49.46,49.46,49.46,200
1122,49.45,49.45,49.45,49.45,1048
1123,49.45,49.45,49.45,49.45,200
1125,49.45,49.45,49.45,49.45,402
1126,49.45,49.45,49.45,49.45,200
1129,49.46,49.46,49.45,49.45,400
1131,49.48,49.48,49.48,49.48,600
1132,49.47,49.47,49.47,49.47,200
1135,49.44,49.44,49.44,49.44,400
1136,49.44,49.44,49.44,49.44,200
1139,49.43,49.44,49.43,49.44,800
1140,49.44,49.44,49.44,49.44,200
1143,49.45,49.45,49.45,49.45,400
1145,49.44,49.44,49.44,49.44,200
1146,49.48,49.48,49.48,49.48,400
1147,49.47,49.47,49.47,49.47,620
1149,49.45,49.45,49.45,49.45,5400
1153,49.45,49.45,49.45,49.45,200
1155,49.46,49.46,49.45,49.45,400
1158,49.47,49.47,49.47,49.47,200
120,49.49,49.49,49.49,49.49,400
