time,open,high,low,close,volume
1239,14.89,14.89,14.89,14.89,100
1241,14.86,14.86,14.86,14.86,110
1248,14.83,14.83,14.83,14.83,100
1250,14.83,14.83,14.83,14.83,210
1256,14.795,14.795,14.795,14.795,100
1259,14.83,14.83,14.83,14.83,100
136,14.71,14.71,14.71,14.71,100
138,14.73,14.73,14.73,14.73,200
1314,14.65,14.65,14.65,14.65,100
1315,14.6,14.6,14.6,14.6,712
1321,14.59,14.59,14.58,14.58,1280
1324,14.56,14.56,14.56,14.56,110
1325,14.57,14.57,14.57,14.57,100
1327,14.59,14.59,14.59,14.59,100
1330,14.6,14.6,14.6,14.6,410
1333,14.62,14.62,14.62,14.62,100
1335,14.7,14.7,14.7,14.7,100
1336,14.71,14.71,14.71,14.71,100
1338,14.73,14.73,14.7,14.7,200
1342,14.65,14.66,14.65,14.66,543
1344,14.68,14.68,14.68,14.68,100
1347,14.65,14.65,14.65,14.65,110
1354,14.675,14.675,14.675,14.675,100
1356,14.68,14.68,14.65,14.65,266
1357,14.65,14.65,14.65,14.65,400
144,14.68,14.68,14.68,14.68,100
145,14.71,14.71,14.71,14.71,100
146,14.715,14.72,14.715,14.72,200
149,14.71,14.71,14.71,14.71,170
1412,14.67,14.67,14.67,14.67,105
1413,14.72,14.72,14.72,14.72,193
1421,14.6,14.6,14.6,14.6,500
1422,14.6,14.6,14.6,14.6,500
1423,14.59,14.59,14.59,14.59,230
1429,14.62,14.65,14.62,14.65,210
1438,14.68,14.68,14.68,14.68,125
1442,14.64,14.64,14.64,14.64,200
1444,14.7,14.7,14.7,14.7,200
1447,14.71,14.71,14.71,14.71,100
1450,14.79,14.79,14.79,14.79,200
1451,14.78,14.78,14.75,14.75,509
1453,14.75,14.75,14.75,14.75,205
1459,14.77,14.77,14.77,14.77,186
152,14.8,14.8,14.79,14.79,440
153,14.8,14.8,14.8,14.8,100
1514,14.67,14.67,14.67,14.67,110
1516,14.71,14.71,14.71,14.71,110
1519,14.72,14.72,14.72,14.72,100
1520,14.69,14.69,14.69,14.69,100
1524,14.62,14.62,14.62,14.62,250
1526,14.57,14.57,14.57,14.57,100
1527,14.58,14.58,14.58,14.58,100
1529,14.58,14.58,14.57,14.57,210
1534,14.58,14.58,14.58,14.58,363
1535,14.59,14.59,14.59,14.59,150
1536,14.58,14.58,14.58,14.58,100
1537,14.6,14.6,14.6,14.6,303
1539,14.63,14.69,14.63,14.69,1469
1541,14.64,14.64,14.64,14.64,103
1542,14.635,14.635,14.635,14.635,110
1543,14.6,14.6,14.6,14.6,130
1545,14.59,14.6,14.59,14.6,206
1548,14.59,14.59,14.59,14.59,233
1551,14.63,14.63,14.63,14.63,100
1552,14.6,14.6,14.6,14.6,100
1553,14.64,14.64,14.64,14.64,133
1554,14.63,14.63,14.63,14.63,309
1555,14.67,14.67,14.67,14.67,106
1556,14.69,14.69,14.69,14.69,326
1557,14.7,14.81,14.69,14.75,1831
1558,14.75,14.76,14.75,14.76,483
1559,14.7,14.7,14.68,14.68,868
930,14.83,14.84,14.83,14.84,200
935,14.75,14.75,14.75,14.75,101
937,14.56,14.56,14.56,14.56,100
938,14.6,14.64,14.59,14.64,445
939,14.64,14.64,14.64,14.64,155
941,14.71,14.73,14.71,14.73,300
943,14.75,14.75,14.75,14.75,100
945,14.73,14.73,14.73,14.73,100
947,14.88,14.88,14.88,14.88,100
950,14.875,14.875,14.875,14.875,100
957,14.87,14.87,14.87,14.87,100
959,14.9,14.9,14.9,14.9,100
104,14.88,14.88,14.88,14.88,100
107,14.81,14.81,14.81,14.81,100
1012,14.83,14.84,14.83,14.835,300
1032,14.91,14.91,14.91,14.91,741
1035,15.02,15.02,15.02,15.02,100
1056,15.22,15.22,15.22,15.22,100
110,15.26,15.26,15.26,15.26,111
111,15.22,15.22,15.21,15.22,600
1113,14.92,14.92,14.92,14.92,111
1121,14.92,14.92,14.92,14.92,100
1122,14.93,14.93,14.93,14.93,133
1127,14.99,14.99,14.99,14.99,100
1130,15.08,15.08,15.08,15.08,100
1135,15.05,15.05,15.05,15.05,116
1144,14.96,14.96,14.96,14.96,100
1151,15.05,15.05,15.05,15.05,100
1152,15.07,15.07,15.07,15.07,100
1154,15.04,15.04,15.04,15.04,100
1156,15.06,15.06,15.06,15.06,140
1159,15.07,15.07,15.07,15.07,110
121,15.1,15.105,15.1,15.105,200
1212,15.12,15.12,15.12,15.12,261
1213,15.11,15.11,15.11,15.11,100
1215,15.15,15.15,15.15,15.15,201
1216,15.17,15.17,15.17,15.17,100
1220,15.2,15.2,15.2,15.2,110
1227,15.15,15.17,15.15,15.17,300
1243,15.31,15.31,15.31,15.31,126
1251,15.27,15.27,15.27,15.27,100
131,15.35,15.35,15.35,15.35,100
132,15.35,15.35,15.35,15.35,115
1311,15.32,15.32,15.32,15.32,100
1315,15.33,15.33,15.33,15.33,100
1330,15.36,15.36,15.36,15.36,100
1341,15.29,15.29,15.29,15.29,100
141,15.2,15.2,15.2,15.2,201
1416,15.14,15.14,15.14,15.14,110
1417,15.14,15.14,15.14,15.14,201
1419,15.16,15.16,15.16,15.16,200
1423,15.22,15.26,15.22,15.26,2446
1424,15.23,15.23,15.23,15.23,1000
1425,15.2,15.22,15.2,15.22,1222
1426,15.22,15.22,15.21,15.21,450
1427,15.2,15.2,15.2,15.2,1739
1430,15.16,15.16,15.16,15.16,100
1431,15.195,15.195,15.195,15.195,100
150,15.29,15.33,15.29,15.33,410
151,15.34,15.34,15.34,15.34,100
154,15.39,15.39,15.39,15.39,236
155,15.41,15.41,15.41,15.41,100
156,15.43,15.43,15.43,15.43,102
1517,15.47,15.47,15.47,15.47,125
1524,15.425,15.425,15.425,15.425,500
1525,15.42,15.42,15.42,15.42,100
1528,15.415,15.415,15.415,15.415,100
1529,15.425,15.43,15.425,15.43,400
1532,15.39,15.39,15.385,15.385,200
1533,15.405,15.405,15.405,15.405,140
1535,15.4,15.4,15.4,15.4,100
1537,15.34,15.34,15.34,15.34,110
1538,15.35,15.35,15.35,15.35,110
1539,15.25,15.29,15.25,15.29,200
1540,15.29,15.29,15.29,15.29,100
1542,15.14,15.17,15.14,15.17,264
1543,15.31,15.31,15.26,15.26,400
1544,15.24,15.24,15.24,15.24,300
1545,15.26,15.26,15.22,15.22,200
1546,15.21,15.21,15.15,15.15,508
1547,15.15,15.15,15.15,15.15,200
1549,15.075,15.075,15.075,15.075,310
1550,15.06,15.14,15.06,15.14,835
1551,15.11,15.11,15.1,15.1,561
1552,15.07,15.1,15.07,15.1,1405
1553,15.2,15.2,15.14,15.14,632
1554,15.07,15.09,15.07,15.09,700
1555,15.08,15.08,15.08,15.08,121
1556,15.12,15.12,15.05,15.05,720
1557,15.04,15.1,15.04,15.09,1205
1558,15.11,15.11,15.1,15.1,420
1559,15.11,15.19,15.1,15.17,1314
933,14.92,14.92,14.8,14.8,813
934,14.72,14.72,14.63,14.63,200
935,14.6,14.6,14.6,14.6,100
936,14.65,14.65,14.65,14.65,201
937,14.675,14.675,14.645,14.645,432
938,14.725,14.725,14.725,14.725,100
940,14.73,14.73,14.72,14.72,400
944,14.795,14.8,14.795,14.8,200
945,14.87,14.87,14.87,14.87,100
953,14.72,14.72,14.72,14.72,100
955,14.71,14.77,14.71,14.74,302
956,14.69,14.69,14.69,14.69,100
100,14.72,14.72,14.69,14.69,300
107,14.7,14.7,14.7,14.7,100
1011,14.71,14.71,14.71,14.71,100
1013,14.61,14.61,14.61,14.61,323
1019,14.71,14.71,14.71,14.71,100
1020,14.77,14.77,14.77,14.77,100
1021,14.73,14.73,14.73,14.73,300
1033,14.63,14.63,14.63,14.63,163
1036,14.6,14.6,14.6,14.6,104
1047,14.79,14.79,14.79,14.79,157
1052,14.75,14.75,14.75,14.75,100
1055,14.725,14.725,14.725,14.725,100
1056,14.74,14.74,14.7,14.7,323
111,14.68,14.68,14.68,14.68,105
114,14.81,14.81,14.8,14.8,6105
117,14.82,14.82,14.82,14.82,707
1112,14.905,14.905,14.905,14.905,200
1114,15,15,14.95,14.95,306
1125,14.835,14.85,14.835,14.85,700
1126,14.9,14.9,14.89,14.89,310
1130,14.98,14.98,14.98,14.98,155
1136,14.815,14.815,14.815,14.815,101
1137,14.9,14.9,14.9,14.9,100
1145,14.665,14.665,14.665,14.665,110
1153,14.55,14.55,14.55,14.55,107
1155,14.58,14.6,14.58,14.6,210
1158,14.645,14.645,14.645,14.645,100
123,14.64,14.64,14.64,14.64,342
124,14.6,14.6,14.6,14.6,100
1211,14.655,14.655,14.655,14.655,200
1227,14.57,14.57,14.57,14.57,135
1231,14.565,14.565,14.56,14.565,515
1232,14.56,14.56,14.56,14.56,305
1236,14.625,14.625,14.625,14.625,205
1241,14.58,14.58,14.58,14.58,215
1249,14.61,14.61,14.6,14.6,506
