time,open,high,low,close,volume
113,36.385,36.385,36.385,36.385,100
1111,36.55,36.55,36.55,36.55,118
1112,36.4,36.4,36.4,36.4,100
1114,36.21,36.21,36.21,36.21,500
1115,36.205,36.205,36.205,36.205,140
1116,36.07,36.07,36.035,36.035,977
1117,36.025,36.025,35.99,36,605
1118,36.03,36.03,36.03,36.03,100
1119,36.09,36.15,36.09,36.15,609
1120,36.16,36.16,36.16,36.16,300
1122,36.195,36.195,36.195,36.195,200
1124,36.19,36.19,36.19,36.19,345
1126,36.155,36.19,36.155,36.18,1100
1127,36.195,36.195,36.195,36.195,1000
1131,36.145,36.145,36.145,36.145,2218
1141,35.6,35.77,35.6,35.77,400
1149,35.59,35.59,35.59,35.59,100
1155,35.76,35.76,35.76,35.76,105
1215,35.98,35.98,35.98,35.98,176
1216,35.82,35.82,35.82,35.82,200
1226,36.045,36.045,36.045,36.045,100
1229,36.085,36.085,36.085,36.085,100
1230,36.25,36.25,36.25,36.25,100
1242,35.905,35.905,35.905,35.905,100
1243,35.94,35.94,35.94,35.94,100
1245,35.92,35.92,35.92,35.92,100
1248,35.805,35.805,35.805,35.805,100
1250,35.8,35.8,35.8,35.8,100
1251,35.79,35.79,35.79,35.79,100
1253,35.77,35.77,35.77,35.77,100
137,35.74,35.74,35.74,35.74,100
1316,35.85,35.925,35.85,35.925,300
1319,35.895,35.895,35.895,35.895,100
1333,35.83,35.83,35.83,35.83,101
1338,35.84,35.84,35.84,35.84,100
1340,35.93,35.93,35.93,35.93,201
1349,35.95,35.95,35.95,35.95,100
1351,35.95,35.95,35.95,35.95,101
1355,35.95,35.95,35.95,35.95,100
141,35.925,35.925,35.925,35.925,100
144,35.78,35.78,35.78,35.78,200
146,35.78,35.78,35.7,35.7,710
147,35.8,35.8,35.8,35.8,277
148,35.86,35.91,35.86,35.91,641
1410,35.99,35.99,35.99,35.99,161
1424,35.77,35.895,35.77,35.87,817
1430,35.855,35.855,35.855,35.855,300
1432,35.84,35.84,35.84,35.84,200
1433,35.84,35.84,35.84,35.84,100
1437,35.845,35.845,35.845,35.845,110
1443,36.01,36.01,36.01,36.01,100
1444,36.16,36.22,36.16,36.22,500
150,36.27,36.27,36.24,36.24,302
152,36.36,36.36,36.36,36.36,100
154,36.26,36.26,36.25,36.25,463
155,36.28,36.3,36.17,36.3,1400
1510,36.38,36.38,36.38,36.38,100
1511,36.35,36.35,36.31,36.31,305
1512,36.3,36.3,36.3,36.3,200
1513,36.29,36.29,36.29,36.29,100
1514,36.3,36.3,36.29,36.29,200
1515,36.33,36.395,36.33,36.395,200
1520,36.56,36.56,36.56,36.56,100
1522,36.5,36.5,36.5,36.5,103
1523,36.5,36.5,36.5,36.5,200
1524,36.425,36.425,36.425,36.425,151
1530,36.21,36.21,36.21,36.21,100
1534,36.37,36.37,36.37,36.37,400
1535,36.37,36.37,36.37,36.37,100
1536,36.29,36.345,36.29,36.345,200
1538,36.335,36.335,36.29,36.29,402
1539,36.29,36.29,36.29,36.29,100
1540,36.275,36.275,36.275,36.275,100
1542,36.355,36.355,36.355,36.355,301
1545,36.33,36.33,36.33,36.33,200
1548,36.295,36.295,36.295,36.295,202
1549,36.25,36.25,36.25,36.25,103
1550,36.27,36.35,36.27,36.35,674
1551,36.35,36.35,36.23,36.23,300
1554,36.15,36.195,36.15,36.195,301
1555,36.195,36.195,36.195,36.195,1320
1556,36.33,36.33,36.33,36.33,102
1557,36.39,36.43,36.39,36.42,570
1558,36.415,36.415,36.37,36.37,605
1559,36.375,36.43,36.375,36.43,200
935,36.98,36.98,36.98,36.98,149
943,36.69,36.69,36.69,36.69,100
945,36.69,36.69,36.69,36.69,100
953,36.85,36.85,36.85,36.85,100
959,37.4,37.4,37.4,37.4,100
102,36.94,36.94,36.94,36.94,100
104,36.95,36.95,36.95,36.95,100
108,37.02,37.02,37.02,37.02,100
1011,37.025,37.025,37.025,37.025,100
1012,37.15,37.2,37.15,37.2,300
1015,37.245,37.245,37.245,37.245,100
1018,37.245,37.245,37.245,37.245,100
1021,37.245,37.245,37.245,37.245,200
1025,37.245,37.245,36.915,36.915,500
1026,36.915,36.915,36.915,36.915,100
1028,36.915,36.915,36.915,36.915,100
1031,36.67,36.67,36.43,36.435,3000
1038,36.435,36.435,36.435,36.435,100
1042,36.61,36.61,36.44,36.47,460
