time,open,high,low,close,volume
1043,14.22,14.22,14.22,14.22,251
1045,14.11,14.11,14.06,14.06,300
1059,13.68,13.68,13.68,13.68,100
119,13.67,13.67,13.67,13.67,100
1110,13.83,13.83,13.83,13.83,195
1112,14,14,14,14,200
1129,14.29,14.29,14.29,14.29,300
1134,13.91,13.91,13.91,13.91,100
1233,14.17,14.17,14.17,14.17,100
134,14.02,14.02,13.83,13.84,584
1314,13.91,13.91,13.91,13.91,100
155,13.83,13.83,13.83,13.83,300
1519,13.96,13.96,13.96,13.96,100
1533,14.09,14.09,14.09,14.09,257
1545,13.85,13.85,13.85,13.85,120
1548,13.84,13.84,13.84,13.84,100
1549,13.885,14.09,13.885,14.09,900
1555,13.995,13.995,13.995,13.995,200
1556,13.995,13.995,13.95,13.95,200
1557,13.85,13.85,13.85,13.85,100
1559,13.95,13.95,13.95,13.95,200
91,13.56,13.56,13.56,13.56,200
97,13.26,13.26,13.26,13.26,200
930,13.53,13.53,13.38,13.38,344
932,13.58,13.61,13.58,13.61,393
944,13.48,13.49,13.48,13.49,332
957,13.45,13.54,13.45,13.54,500
959,13.93,14.04,13.93,14.04,549
101,14.39,14.39,14.39,14.39,100
102,14.49,14.5,14.49,14.5,205
103,14.61,14.61,14.61,14.61,256
104,14.86,14.96,14.86,14.96,300
105,15.13,15.62,15.13,15.62,765
106,15.64,16.64,15.64,16.64,4299
1012,16.51,17.4,16.28,17.4,4439
1013,17.3,17.3,16.03,16.03,1601
1014,16.16,16.28,16.16,16.28,209
1015,16.44,16.45,16.42,16.42,300
1016,15.82,15.82,15.82,15.82,300
1017,15.66,15.66,15.66,15.66,246
1018,15.82,15.95,15.82,15.95,800
1020,15.51,15.51,15.51,15.51,100
1021,16.13,16.13,15.72,15.72,500
1025,16.12,16.12,16.12,16.12,100
1031,16.02,16.02,16.02,16.02,100
1036,15.98,15.98,15.98,15.98,300
1039,16.53,16.53,16.53,16.53,100
1040,16.65,16.77,16.65,16.77,400
1041,16.98,16.98,16.98,16.98,361
1042,16.66,16.66,16.66,16.66,303
1043,16.95,16.95,16.95,16.95,100
1044,18.01,18.27,17.74,18.27,1280
1045,17.66,17.71,17.66,17.71,370
1046,18.09,18.72,18.09,18.72,1969
1047,18.43,19.33,18.42,19.14,2168
1048,19.5,20,19.5,20,1800
1049,19.82,19.82,19.28,19.57,1234
1050,20,20.04,18.82,18.82,1100
1051,18.595,18.595,18.595,18.595,600
1053,18.33,18.78,18.33,18.78,1314
1054,18.8,18.9,18.8,18.9,1030
1055,18.78,18.78,18.78,18.78,500
1056,18.6,18.85,18.6,18.85,436
111,18.595,18.9,18.595,18.9,700
112,19.11,19.18,19.03,19.18,600
114,19.04,19.476,19.04,19.476,450
