time,open,high,low,close,volume
1140,96.465,96.465,96.465,96.465,300
1141,96.46,96.47,96.46,96.465,1200
1144,96.46,96.46,96.44,96.46,3200
1145,96.44,96.44,96.44,96.44,200
1148,96.46,96.47,96.46,96.46,663
1152,96.46,96.46,96.46,96.46,1178
1156,96.45,96.45,96.45,96.45,200
1157,96.445,96.445,96.445,96.445,100
1158,96.44,96.44,96.44,96.44,281
1159,96.45,96.455,96.45,96.455,1594
120,96.45,96.45,96.45,96.45,200
123,96.47,96.47,96.46,96.465,2085
126,96.47,96.47,96.47,96.47,298
127,96.48,96.48,96.48,96.48,100
1210,96.49,96.49,96.49,96.49,117
1211,96.485,96.485,96.46,96.46,800
1212,96.46,96.46,96.46,96.46,203
1213,96.465,96.465,96.46,96.46,900
1217,96.475,96.475,96.47,96.47,500
1219,96.48,96.49,96.48,96.49,763
1220,96.485,96.485,96.48,96.48,2500
1221,96.485,96.485,96.485,96.485,104
1224,96.49,96.49,96.49,96.49,1330
1228,96.49,96.495,96.49,96.495,500
1229,96.5,96.5,96.495,96.495,200
1230,96.5,96.5,96.5,96.5,100
1231,96.51,96.51,96.5,96.505,2300
1232,96.505,96.505,96.5,96.505,2300
1233,96.505,96.505,96.505,96.505,600
1235,96.505,96.505,96.505,96.505,600
1236,96.5,96.5,96.5,96.5,600
1237,96.5,96.51,96.5,96.5,600
1240,96.5,96.5,96.5,96.5,1100
1241,96.5,96.51,96.5,96.5,401
1243,96.505,96.505,96.505,96.505,498
1244,96.505,96.51,96.505,96.51,200
1246,96.51,96.51,96.51,96.51,197
1248,96.52,96.52,96.519,96.519,300
1249,96.52,96.52,96.52,96.52,100
1250,96.52,96.53,96.52,96.53,900
1251,96.53,96.53,96.525,96.53,2402
1256,96.54,96.54,96.54,96.54,300
1258,96.54,96.54,96.54,96.54,132
130,96.55,96.56,96.54,96.56,3600
131,96.56,96.58,96.56,96.58,1803
132,96.57,96.57,96.57,96.57,200
133,96.575,96.575,96.575,96.575,300
137,96.54,96.54,96.54,96.54,300
139,96.55,96.555,96.55,96.555,400
1311,96.555,96.56,96.555,96.56,1900
1312,96.57,96.57,96.57,96.57,200
1314,96.58,96.58,96.58,96.58,100
1316,96.58,96.585,96.58,96.585,1400
1319,96.585,96.585,96.58,96.585,785
1320,96.585,96.59,96.585,96.59,401
1325,96.58,96.58,96.58,96.58,561
1326,96.58,96.58,96.58,96.58,200
1329,96.59,96.59,96.59,96.59,300
1333,96.595,96.595,96.595,96.595,800
1335,96.595,96.6,96.59,96.6,1096
1339,96.59,96.6,96.59,96.6,719
1340,96.595,96.595,96.595,96.595,500
1343,96.595,96.595,96.595,96.595,200
1345,96.595,96.595,96.59,96.595,500
1346,96.59,96.59,96.59,96.59,102
1347,96.59,96.59,96.59,96.59,300
1348,96.59,96.59,96.59,96.59,272
1349,96.6,96.6,96.6,96.6,125
1350,96.595,96.595,96.595,96.595,300
1351,96.595,96.595,96.595,96.595,100
1352,96.59,96.59,96.59,96.59,513
1353,96.595,96.595,96.59,96.59,3504
1354,96.595,96.595,96.595,96.595,1800
1355,96.59,96.595,96.59,96.595,200
1356,96.595,96.595,96.595,96.595,600
1357,96.595,96.6,96.59,96.6,5951
1358,96.6,96.6,96.6,96.6,100
140,96.6,96.61,96.6,96.61,651
141,96.61,96.61,96.61,96.61,100
142,96.605,96.61,96.605,96.61,1690
143,96.61,96.61,96.61,96.61,100
