time,open,high,low,close,volume
122,123.375,123.375,123.375,123.375,100
123,123.44,123.44,123.44,123.44,137
124,123.42,123.42,123.42,123.42,300
125,123.46,123.47,123.46,123.47,200
129,123.26,123.26,123.26,123.26,100
1210,123.16,123.16,123.16,123.16,102
1212,123.11,123.11,123.11,123.11,102
1213,123.08,123.08,123.08,123.08,100
1214,123.24,123.24,123.24,123.24,102
1215,123.23,123.23,123.23,123.23,100
1216,123.34,123.34,123.3,123.3,203
1217,123.29,123.29,123.29,123.29,251
1219,123.31,123.31,123.31,123.31,102
1223,123.42,123.53,123.42,123.53,400
1224,123.525,123.54,123.41,123.41,537
1225,123.55,123.67,123.55,123.67,227
1227,123.625,123.625,123.625,123.625,113
1228,123.56,123.56,123.56,123.56,495
1229,123.635,123.71,123.635,123.71,203
1230,123.65,123.65,123.65,123.65,100
1231,123.81,123.81,123.81,123.81,102
1232,123.84,123.84,123.84,123.84,104
1235,123.8,123.82,123.8,123.82,200
1236,123.95,123.95,123.95,123.95,101
1238,123.86,123.86,123.82,123.82,338
1241,123.89,123.89,123.89,123.89,126
1242,123.99,123.99,123.99,123.99,100
1243,123.89,123.89,123.89,123.89,100
1244,123.97,123.97,123.97,123.97,100
1245,123.91,123.91,123.91,123.91,110
1248,123.84,123.84,123.84,123.84,100
1249,123.84,123.84,123.84,123.84,100
1250,123.655,123.655,123.6,123.6,206
1252,123.53,123.53,123.53,123.53,136
1253,123.505,123.505,123.505,123.505,100
1254,123.49,123.49,123.49,123.49,100
1255,123.49,123.49,123.49,123.49,100
1257,123.7,123.7,123.7,123.7,100
1258,123.71,123.71,123.71,123.71,101
1259,123.79,123.79,123.79,123.79,100
130,123.99,123.99,123.99,123.99,100
132,124.09,124.1,124.09,124.1,200
133,124.055,124.055,124.055,124.055,100
134,123.96,123.96,123.96,123.96,118
136,123.69,123.69,123.645,123.68,300
138,123.76,123.76,123.695,123.695,200
1312,123.545,123.545,123.545,123.545,110
1314,123.545,123.58,123.545,123.58,6650
1315,123.51,123.51,123.51,123.51,100
1316,123.35,123.44,123.35,123.44,400
1319,123.35,123.35,123.35,123.35,129
1320,123.355,123.355,123.355,123.355,100
1322,123.37,123.37,123.37,123.37,110
1323,123.43,123.43,123.43,123.43,200
1324,123.21,123.21,123.11,123.16,330
1325,123.14,123.14,123.14,123.14,100
1326,122.95,122.95,122.775,122.775,200
1328,122.75,122.75,122.75,122.75,112
1329,122.865,122.865,122.865,122.865,100
1330,122.86,122.92,122.86,122.92,273
1333,122.595,122.595,122.595,122.595,100
1336,122.475,122.475,122.37,122.4,500
1338,122.36,122.36,122.36,122.36,176
1339,122.605,122.605,122.605,122.605,200
1340,122.64,122.64,122.64,122.64,137
1343,122.815,122.815,122.815,122.815,100
1344,122.68,122.78,122.68,122.78,200
1345,122.735,122.735,122.735,122.735,176
1348,122.835,122.835,122.835,122.835,100
1350,122.81,122.81,122.81,122.81,100
1351,122.775,122.925,122.775,122.925,200
1353,123.03,123.03,123.03,123.03,100
1354,123,123,123,123,128
1355,123.02,123.02,123.02,123.02,100
1356,123.03,123.03,123.03,123.03,120
1357,122.96,123.02,122.955,122.955,300
1358,122.81,122.81,122.74,122.74,200
